VESSEL_NAME,VESSEL_CATEGORY,VESSEL_TYPE,VESSEL_SUBTYPE,OWNER,OPERATOR,IMO_NUMBER,FLAG_STATE,STATUS,DATA_SOURCE,DATA_SOURCE_URL,LOA_M,BEAM_M,DRAFT_M,DISPLACEMENT_TONNES,GROSS_TONNAGE,DP_CLASS,YEAR_BUILT,QUARTERS_CAPACITY,HELIDECK,MAIN_CRANE_CAPACITY_T,MAIN_CRANE_REACH_M,AUX_CRANE_CAPACITY_T,AUX_CRANE_REACH_M,PIPELAY_TENSION_T,PIPELAY_METHOD,DECK_AREA_M2,DECK_LOAD_CAPACITY_T,WATER_DEPTH_RATING_M,HEAVY_LIFT_CAPACITY_T,ROV_SYSTEMS,MOONPOOL,TURBINE_CAPACITY_MW,FOUNDATION_TYPE,TRANSIT_SPEED_KNOTS,MMSI,CLASSIFICATION_SOCIETY,CLASS_NOTATION,COLLECTION_DATE,DEPTH_M,DEADWEIGHT_TONNES,PIPELAY_CAPACITY_IN,BOLLARD_PULL_T
CHICKASAW,construction,pipelay_vessel,DP Derrick Barge,unknown,EMAS AMC,8758665,,stacked,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/CHICKASAW-IMO-8758665-MMSI-367662040,850.4,83.8,24.4,,,,,73.0,,,,,,,,,,1828.8,,,,,,,,,,,,,12.0,
IROQUOIS,construction,pipelay_vessel,Derrick/Lay Barge,Bisso Marine (acquired and renamed BISSO IROQUOIS),EMAS AMC,8758287,,sold,frontier_pipelay_csv,https://pilebuck.com/bisso-marine-acquires-new-derrickpipelay-barge/,121.9,30.5,9.1,,,,,261.0,,,,,,,,,,365.8,,,,,,,,,,,,,60.0,
LB32,construction,pipelay_vessel,,McDermott International,INTERNATIONAL CONSTRUCTION GROUP,7327768,,unknown,frontier_pipelay_csv,https://www.mcdermott.com/What-We-Do/Marine-Construction-Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO102,construction,pipelay_vessel,DP SCVessel,McDermott International,INTERNATIONAL CONSTRUCTION GROUP,9382229,,unknown,frontier_pipelay_csv,https://www.mcdermott.com/What-We-Do/Marine-Construction-Vessel,137.5,27.1,9.8,,,2.0,,199.0,,,,,,,,,,,,,,,,,,,,,,,16.0,
STEALTH,construction,pipelay_vessel,"A1 Barge: Accomodation, Pipelay, Work Barge",Leighton International,LEIGHTON INTERNATIONAL,8357837,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/8357837,100.6,30.5,6.1,,,,,232.0,,,,,,,,,,100.0,,,,,,,,,,,,,60.0,
ECLIPSE,construction,pipelay_vessel,"A1, Pipelay/Accommodation/Work Barge",Leighton International,LEIGHTON INTERNATIONAL,8357289,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/8357289,130.1,32.0,8.5,,,,,260.0,,,,,,,,,,150.0,,,,,,,,,,,,,60.0,
DLB NORCE ENDEAVOUR,construction,pipelay_vessel,Derrick/Lay Barge,Saipem (purchased from Solstad),LEIGHTON INTERNATIONAL,8794475,,active,frontier_pipelay_csv,https://www.offshore-energy.biz/saipem-opts-to-buy-dlb-norce-endeavour/,146.3,42.1,10.1,,,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,
Castoro Sei,construction,pipelay_vessel,S-lay,Saipem,SAIPEM AMERICA INC.,8758603,,stacked,acma_msiv_md,https://www.vesselfinder.com/vessels/details/8758603,210.0,30.0,6.5,,,2.0,,350.0,,600.0,,,,,,,,,,,,,,,,,,,,,,
CASTORO 10,construction,pipelay_vessel,Lay / Trenching Barge,Saipem,SAIPEM AMERICA INC.,7503166,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/7503166,112.8,36.6,9.1,,,,,168.0,,,,,,,,,,243.8,,,,,,,,,,,,,60.0,
SEMAC I,construction,pipelay_vessel,Semi-sub Lay Barge,Saipem,SAIPEM AMERICA INC.,7420352,,unknown,frontier_pipelay_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards,148.4,54.9,27.7,,,,,362.0,,,,,,,,,,,,,,,,,,,,,,,,
CASTORO 7,construction,pipelay_vessel,Semi-sub Lay Barge,Saipem,SAIPEM AMERICA INC.,8757790,,active,frontier_pipelay_csv,https://www.marinepublic.com/vessels/imo/8757790,167.3,58.5,19.8,,,,,401.0,,,,,,,,,,,,,,,,,,,,,,,,
CASTORONE,construction,pipelay_vessel,DP Lay Vessel,Saipem,SAIPEM AMERICA INC.,9444194,,active,frontier_pipelay_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards/castorone,329.8,39.0,23.8,,,3.0,,702.0,,,,,,,,,,,,,,,,,,,,,,,,
SAIPEM FDS 2,construction,pipelay_vessel,,Saipem,SAIPEM AMERICA INC.,9542362,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/9542362,182.9,32.0,14.3,,,,,325.0,,,,,,,,,,,,,,,,,,,,,,,,
JASCON 18,construction,pipelay_vessel,DP Lay Crane Accom,Walvis International (Nigeria),SAIPEM AMERICA INC.,8770261,,active,frontier_pipelay_csv,https://www.shipspotting.com/photos/2647233,150.0,36.6,15.2,,,3.0,,400.0,,,,,,,,,,,,,,,,,,,,,,,60.0,
JASCON 35,construction,pipelay_vessel,DP Lay Crane Accom,Telford Offshore,SAIPEM AMERICA INC.,9511923,,active,frontier_pipelay_csv,https://www.marinetraffic.com/en/ais/details/ships/shipid:874987/mmsi:-9511923/imo:9511923/vessel:JASCON_35,150.0,39.6,15.2,,,3.0,,400.0,,,,,,,,,,,,,,,,,,,,,,,60.0,
NORMAND SEVEN,construction,pipelay_vessel,DP Pipelay Vessel,DOF Subsea,SUBSEA 7,9367009,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/9367009,883.9,129.8,28.0,,,3.0,,100.0,,,,,,,,,,1999.5,,,,,,,,,,,,,,
SEVEN OCEANS,construction,pipelay_vessel,DP Pipelay Vessel,Subsea 7,SUBSEA 7,9358826,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/9358826,883.9,157.3,28.3,,,2.0,,120.0,,,,,,,,,,2999.8,,,,,,,,,,,,,16.0,
SEVEN NAVICA,construction,pipelay_vessel,DP Pipelay Vessel,Subsea 7,SUBSEA 7,9177856,,unknown,frontier_pipelay_csv,https://www.subsea7.com/en/media/datasheets.html,883.9,108.5,21.9,,,2.0,,72.0,,,,,,,,,,2011.7,,,,,,,,,,,,,19.0,
KOMMANDOR 3000,construction,pipelay_vessel,DP Pipelay Vessel,Subsea 7,SUBSEA 7,8207836,,stacked,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/8207836,883.9,118.3,21.0,,,2.0,,70.0,,,,,,,,,,999.7,,,,,,,,,,,,,12.0,
LOCHNAGAR,construction,pipelay_vessel,DP Pipelay Vessel,Subsea 7,SUBSEA 7,8017102,,unknown,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/8017102,883.9,106.4,22.9,,,2.0,,70.0,,,,,,,,,,1499.6,,,,,,,,,,,,,12.0,
SEVEN SEAS,construction,pipelay_vessel,DP Multi-Purpose Vessel,Subsea 7,SUBSEA 7,9384760,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/9384760,883.9,153.3,28.3,,,2.0,,120.0,,,,,,,,,,2999.8,,,,,,,,,,,,,,
ROCKWATER 1,construction,pipelay_vessel,DP Multi-Purpose Vessel,Subsea 7,SUBSEA 7,8211746,,scrapped,frontier_pipelay_csv,https://www.marinepublic.com/vessels/imo/8211746,883.9,98.5,18.0,,,2.0,,97.0,,,,,,,,,,609.6,,,,,,,,,,,,,16.0,
SEVEN PACIFIC,construction,pipelay_vessel,DP Multi-Purpose Vessel,Subsea 7,SUBSEA 7,9518311,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/9518311,883.9,133.2,24.1,,,2.0,,100.0,,,,,,,,,,2999.8,,,,,,,,,,,,,,
SKANDI NEPTUNE,construction,pipelay_vessel,DP Multi-Purpose Vessel,DOF Subsea,SUBSEA 7,9205720,,active,frontier_pipelay_csv,https://www.marinetraffic.com/en/ais/details/ships/shipid:311061/mmsi:352003122/imo:9205720/vessel:SKANDI_NEPTUNE,883.9,104.2,24.1,,,2.0,,106.0,,,,,,,,,,2695.0,,,,,,,,,,,,,16.0,
SEISRANGER,construction,pipelay_vessel,DP Multi-Purpose Vessel,Subsea 7,SUBSEA 7,9064657,,unknown,frontier_pipelay_csv,https://www.subsea7.com/en/media/datasheets.html,883.9,15.2,609.6,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,
ACERGY DISCOVERY,construction,pipelay_vessel,Flexible Pipelay/Construction Ship,Subsea 7,SUBSEA 7,8813910,,unknown,frontier_pipelay_csv,https://www.subsea7.com/en/media/datasheets.html,124.7,19.5,6.4,,,2.0,,97.0,,,,,,,flex,,,,,,,,,,,,,,,,,
ACERGY POLARIS,construction,pipelay_vessel,Derrick Lay Barge,Subsea 7,SUBSEA 7,8756772,,scrapped,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/8756772,136.9,39.0,9.1,,,3.0,,263.0,,,,,,,,,,,,,,,,,,,,,,,4.0,
ACERGY EAGLE,construction,pipelay_vessel,Flexible Pipelay/Construction Ship,Last Voyage DMCC (Dubai),SUBSEA 7,9015905,,scrapped,frontier_pipelay_csv,https://www.marinetraffic.com/ais/details/ships/shipid:752849/mmsi:636010639/imo:9015905/vessel:SEVEN_EAGLE,142.3,19.5,6.7,,,2.0,,101.0,,,,,,,flex,,,,,,,,,,,,,,,,24.0,
SEVEN MAR,construction,pipelay_vessel,Flexible Pipelay/Construction Ship,ASN Marine SASU (France),SUBSEA 7,9230414,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/SEVEN-MAR-IMO-9230414-MMSI-235083629,147.8,27.1,13.4,,,2.0,,121.0,,,,,,,flex,,,15.2,,,,,,,,,,,,,20.0,
SKANDI ACERGY,construction,pipelay_vessel,,DOF Subsea,SUBSEA 7,9387217,,active,frontier_pipelay_csv,https://news.cision.com/dof-asa/r/contract-agreements-with-subsea-7-for-the-vessels-skandi-acergy--skandi-seven-and-skandi-skansen,157.0,27.1,12.2,,,3.0,,140.0,,,,,,,,,,,,,,,,,,,,,,,14.0,
SAPURA 3000,construction,pipelay_vessel,Heavy Lift and Pipelay Ship,Sapura Energy Berhad,SUBSEA 7,9391270,,active,frontier_pipelay_csv,https://www.myshiptracking.com/vessels/sapura-3000-mmsi-533835000-imo-9391270,151.2,37.8,14.9,,,2.0,,330.0,,,,,,,,,,,,,,,,,,,,,,,6.0,
SKANDI SEVEN,construction,pipelay_vessel,Flexible Pipelay/Consruction Ship,DOF Subsea,SUBSEA 7,9408671,,active,frontier_pipelay_csv,https://www.dof.com/fleet/skandi-seven,120.7,22.9,9.1,,,3.0,,120.0,,,,,,,flex,,,,,,,,,,,,,,,,,
SWIBER CONCORDE,construction,pipelay_vessel,Pipelay barge,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,8673308,,stacked,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,113.1,28.3,7.3,,,,,248.0,,,,,,,,,,,,,,,,,,,,,,,,
CAPPY BISSO,construction,heavy_lift,700 Ton Stiff Leg,Bisso Marine LLC,"BISSO MARINE COMPANY, INC.",,,active,frontier_heavy_lift_csv,https://www.marinelink.com/companies/bisso-marine-81556,61.0,21.3,4.3,,,,,,,700.0,15.2,,,,,,,,,,,,,,,ABS,,,,,,
LILI BISSO,construction,heavy_lift,600 Ton Stiff Leg,Bisso Marine LLC,"BISSO MARINE COMPANY, INC.",,,active,frontier_heavy_lift_csv,https://www.marinelink.com/companies/bisso-marine-81556,59.4,21.9,4.0,,,,,,,500.0,,600.0,18.3,,,,,,,,,,,,,ABS,,,,,,
BIG CHIEF,construction,heavy_lift,Revolving Crane Barge,Bisso Marine LLC,"BISSO MARINE COMPANY, INC.",,,active,frontier_heavy_lift_csv,https://www.marinelink.com/companies/bisso-marine-81556,67.1,22.6,4.3,,,,,,,100.0,4.6,10.0,33.5,,,,,,,,,,,,,,,,,,,
BOAZ,construction,heavy_lift,Revolving Crane Barge,Bisso Marine LLC,"BISSO MARINE COMPANY, INC.",,,active,frontier_heavy_lift_csv,https://www.marinelink.com/companies/bisso-marine-81556,76.2,23.2,5.2,,,,,,,250.0,24.4,80.0,33.5,,,,,,,,,,,,,ABS / USCG,,,,,,
BISSO 350,construction,heavy_lift,Revolving Crane Barge,Bisso Marine LLC,"BISSO MARINE COMPANY, INC.",,,active,frontier_heavy_lift_csv,https://www.marinelink.com/companies/bisso-marine-81556,76.2,23.5,5.5,,,,,,,385.0,50.0,165.0,54.9,,,,,,,,,,,,,LLOYDS REGISTRY,,,,,,
CROSSMAR 7,construction,heavy_lift,Multi Purpose Crane Barge,unknown,"CROSSMAR, INC.",,,unknown,frontier_heavy_lift_csv,https://directory.marinelink.com/ships/ship/crossmar-7-12521,100.6,31.7,7.3,,,,,,,176.0,,330.0,9.1,,,,,,,,,,,,,ABS A+1,,,,,,
CROSSMAR 14,construction,heavy_lift,Multi Purpose Crane Barge,unknown,"CROSSMAR, INC.",,,unknown,frontier_heavy_lift_csv,https://directory.marinelink.com/ships/ship/crossmar-14-9976,76.2,21.9,4.9,,,,,,,100.0,9.1,85.0,12.2,,,,,,,,,,,,,ABS / USCG,,,,,,
CROSSMAR 21,construction,heavy_lift,Multi Purpose Crane Barge,unknown,"CROSSMAR, INC.",,,unknown,frontier_heavy_lift_csv,https://directory.marinelink.com/ships/companies-crossmar,76.2,21.9,4.6,,,,,,,120.0,9.1,104.0,12.2,,,,,,,,,,,,,ABS / USCG,,,,,,
MAMMOTH ELEVATOR,construction,heavy_lift,Class 200 Liftboat,unknown,"ELEVATING BOATS, INC.",,,unknown,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels,45.7,19.8,2.7,,,,,,,,,,,,,,,,,,,,,,,USCG & ABS Load Line,,,,,,
CHEROKEE,construction,heavy_lift,Derrick / Lay Barge,EMAS AMC (Technip acquired Global Industries 2011),"GLOBAL INDUSTRIES, LTD.",,,unknown,frontier_heavy_lift_csv,https://www.company-histories.com/Global-Industries-Ltd-Company-History.html,106.7,30.5,7.6,,,,,,,925.0,29.0,600.0,21.3,,,,,,,,,,,,,ABS A-1; USCG (2),,,,,,
TITAN II,construction,heavy_lift,Derrick Barge,unknown,"GLOBAL INDUSTRIES, LTD.",,,unknown,frontier_heavy_lift_csv,https://www.company-histories.com/Global-Industries-Ltd-Company-History.html,134.1,54.3,,,,,,,,880.0,38.1,165.0,67.1,,,,,,,,,,,,,(Note 5),,,,,,
H-851 FLOATOVER / FORK-LIFT  INSTALLATION,construction,heavy_lift,Launch/Cargo Barge,Heerema Marine Contractors,"HEEREMA MARINE CONTRACTORS U.S., INC.",,,unknown,frontier_heavy_lift_csv,https://www.heerema.com/heerema-marine-contractors/fleet,,,,,,,,,,25000.0,,,,,,,,,,,,,,,,853' x 206.7' x 49.2',,,,,,
MARIDIVE 300,construction,heavy_lift,Construction Crane Barge,Maridive Offshore Projects SAE,MARIDIVE OFFSHORE PROJECTS SAE,,,active,frontier_heavy_lift_csv,https://maridive.com/barges/,,,,,,,,,,,,,,,,,,,,,,,,,,230' x 91.2' x 7.6',,,,,,
DB 26,construction,heavy_lift,Derrick/Lay Barge,McDermott International,MCDERMOTT,,,unknown,frontier_heavy_lift_csv,https://www.mcdermott.com/What-We-Do/Marine-Construction-Vessel,121.9,32.3,,,,,,,,900.0,21.3,800.0,21.3,,,,,,,,,,,,,ABS,,,,,,
INTERMAC 650,construction,heavy_lift,Launch Barge,McDermott International,MCDERMOTT,,,unknown,frontier_heavy_lift_csv,https://www.mcdermott.com/What-We-Do/Marine-Construction-Vessel,198.1,42.1,,,,,,,,22406.0,,,,,,,,,,,,,,,,ABS,,,,,,
OSFI DB RAEFORD (Note 2),construction,heavy_lift,Derrick Barge,unknown,"OFFSHORE SPECIALTY FABRICATORS, INC.",,,unknown,frontier_heavy_lift_csv,https://www.offshore-mag.com/vessels/article/16760467/us-gulf-pipeline-contractor-survey,91.4,27.4,6.1,,,,,,,700.0,19.8,700.0,19.8,,,,,,,,,,,,,Vertias,,,,,,
SUPERIOR PRIDE,construction,heavy_lift,Heavy Lift/Pipe Lay,unknown,SUPERIOR ENERGY MARINE SERVICES,,,unknown,frontier_heavy_lift_csv,https://www.offshore-mag.com/rigs-vessels/article/16763603/worldwide-heavy-lift-vessel-fleet-size-stable,120.1,31.7,,,,,,,,881.0,,881.0,,,,,,,,,,,,,,ABS,,,,,,
TETRA DB-1,construction,heavy_lift,Derrick Barge,unknown,TETRA TECHNOLOGIES,,,unknown,frontier_heavy_lift_csv,https://www.offshore-mag.com/vessels/article/16760467/us-gulf-pipeline-contractor-survey,106.7,30.5,7.6,,,,,,,615.0,19.8,565.0,19.8,,,,,,,,,,,,,Germanischer Lloyd,,,,,,
ASCOT ESCRAVOS 1,construction,pipelay_vessel,Pipelay barge,unknown,ASCOT CONSTRUCTORS OFFSHORE LTD.,,,unknown,frontier_pipelay_csv,https://www.offshore-mag.com/vessels/article/16757932/pipelay-vessels-survey-expands-to-include-worldwide-fleet,61.0,16.5,4.3,,,,,120.0,,,,,,,,,,30.5,,,,,,,,,,,,,16.0,
DLB BIG CHIEF,construction,pipelay_vessel,Derrick/Pipelay/Bury,Bisso Marine LLC,BISSO MARINE,,,active,frontier_pipelay_csv,https://www.marinelink.com/companies/bisso-marine-81556,67.1,22.6,4.3,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,
DLB MIGHTY CHIEF,construction,pipelay_vessel,Pipelay,Bisso Marine LLC,BISSO MARINE,,,active,frontier_pipelay_csv,https://pilebuck.com/bisso-marine-acquires-new-derrickpipelay-barge/,59.7,23.2,3.7,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,
BRAVE,construction,pipelay_vessel,Pipelay/Bury,Cal Dive International (bankrupt 2015),CAL DIVE,,,stacked,frontier_pipelay_csv,https://gcaptain.com/cal-dive-sells-shallow-water-diving-fleet/,83.8,21.3,5.5,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,
RIDER,construction,pipelay_vessel,Pipelay/Bury,Cal Dive International (bankrupt 2015),CAL DIVE,,,stacked,frontier_pipelay_csv,https://gcaptain.com/cal-dive-sells-shallow-water-diving-fleet/,79.2,21.9,4.9,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,
PECOS,construction,pipelay_vessel,Pipelay/Bury,Cal Dive International (bankrupt 2015),CAL DIVE,,,stacked,frontier_pipelay_csv,https://gcaptain.com/cal-dive-sells-shallow-water-diving-fleet/,78.0,21.9,4.9,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,
CM 11,construction,pipelay_vessel,Lay/Bury Barge,Chet Morrison Contractors,CHET MORRISON CONTRACTORS,,,active,frontier_pipelay_csv,https://morrisonenergy.com/vessels-equipment/,59.4,14.0,4.0,,,,,40.0,,,,,,,,,,61.0,,,,,,,,,,,,,48.0,
CM 9,construction,pipelay_vessel,Lay/Bury Barge,Chet Morrison Contractors,CHET MORRISON CONTRACTORS,,,active,frontier_pipelay_csv,https://morrisonenergy.com/vessels-equipment/,54.9,16.5,3.7,,,,,44.0,,,,,,,,,,76.2,,,,,,,,,,,,,48.0,
CM 15,construction,pipelay_vessel,Lay/Bury Barge,Chet Morrison Contractors,CHET MORRISON CONTRACTORS,,,active,frontier_pipelay_csv,https://morrisonenergy.com/vessels-equipment/,67.1,18.3,4.3,,,,,65.0,,,,,,,,,,121.9,,,,,,,,,,,,,48.0,
BH109,construction,pipelay_vessel,Lift/ pipe laying barge,CNOOC,CNOOC,,,active,frontier_pipelay_csv,https://www.marinetraffic.com/en/ais/details/ships,93.6,28.3,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH106,construction,pipelay_vessel,Lift/ pipe laying barge,CNOOC,CNOOC,,,active,frontier_pipelay_csv,https://www.marinetraffic.com/en/ais/details/ships,79.9,22.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP,construction,pipelay_vessel,,unknown,CNOOC,,,unknown,frontier_pipelay_csv,https://www.offshore-mag.com/vessels/article/16757932/pipelay-vessels-survey-expands-to-include-worldwide-fleet,11.9,6.4,600.2,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,60.0,
ENTERPRISE 3,construction,pipelay_vessel,Derrick/Lay,unknown,CNOOC,,,unknown,frontier_pipelay_csv,https://www.offshore-mag.com/vessels/article/16757932/pipelay-vessels-survey-expands-to-include-worldwide-fleet,120.1,31.7,9.1,,,,,300.0,,,,,,,,,,106.7,,,,,,,,,,,,,36.0,
DP MSV,construction,pipelay_vessel,DP Reel Ship,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,,,stacked,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,126.8,20.4,8.2,,,3.0,,109.0,,,,,,,reel,,,1524.0,,,,,,,,,,,,,18.0,
CAESAR,construction,pipelay_vessel,,Helix Energy Solutions Group,"HELIX ENERGY SOLUTIONS GROUP, INC.",,,active,frontier_pipelay_csv,https://helixenergysolutionsgroupinc.gcs-web.com/news-releases/news-release-details/caesar-pipelay-vessel-joins-helix-esg-fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP PLV,construction,pipelay_vessel,,Helix Energy Solutions Group,"HELIX ENERGY SOLUTIONS GROUP, INC.",,,active,frontier_pipelay_csv,https://helixesg.com/our-assets/subsea-construction/,146.3,29.9,17.1,,,2.0,,115.0,,,,,,,,,,3048.0,,,,,,,,,,,,,36.0,
NA,construction,pipelay_vessel,DP SCV Vessel,McDermott International,INTERNATIONAL CONSTRUCTION GROUP,,,unknown,frontier_pipelay_csv,https://www.mcdermott.com/What-We-Do/Marine-Construction-Vessel,134.4,19.5,13.1,,,2.0,,199.0,,,,,,,,,,914.4,,,,,,,,,,,,,40.0,
DB26,construction,pipelay_vessel,,McDermott International,INTERNATIONAL CONSTRUCTION GROUP,,,unknown,frontier_pipelay_csv,https://www.mcdermott.com/What-We-Do/Marine-Construction-Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXT,construction,pipelay_vessel,,unknown,LEIGHTON INTERNATIONAL,,,unknown,frontier_pipelay_csv,https://www.offshore-mag.com/vessels/article/16757932/pipelay-vessels-survey-expands-to-include-worldwide-fleet,12.8,5.5,150.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,48.0,
6DJ,construction,pipelay_vessel,,Saipem,SAIPEM AMERICA INC.,,,unknown,frontier_pipelay_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards,25.6,12.2,1066.8,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,60.0,
2QJ,construction,pipelay_vessel,,Saipem,SAIPEM AMERICA INC.,,,unknown,frontier_pipelay_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards,51.2,15.8,3048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,
7DJ,construction,pipelay_vessel,,Saipem,SAIPEM AMERICA INC.,,,unknown,frontier_pipelay_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards,25.6,15.2,457.2,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,60.0,
1QJ,construction,pipelay_vessel,,Saipem,SAIPEM AMERICA INC.,,,unknown,frontier_pipelay_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards,51.2,3048.0,15.8,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,20.0,
7TJ,construction,pipelay_vessel,,Saipem,SAIPEM AMERICA INC.,,,unknown,frontier_pipelay_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards,38.4,11.3,3048.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,60.0,
SWIBER CHAI,construction,pipelay_vessel,Derrick pipelay barge,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,,,stacked,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,119.8,38.1,5.8,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
SWIBER CONQUEST,construction,pipelay_vessel,Accommodation/pipelay barge,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,,,stacked,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,107.9,30.5,4.0,,,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,
SWIBER GLORIOUS,construction,pipelay_vessel,Accommodation/pipelay barge,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,,,stacked,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,112.8,28.0,4.9,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
SWIBER MAGNIFICENT,construction,pipelay_vessel,Derrick Lay Barge,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,,,stacked,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,154.8,50.0,11.9,,,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,
AZIZ,construction,pipelay_vessel,Derrick Lay Barge,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,,,stacked,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,111.6,31.7,4.3,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
1 MAS 300,construction,pipelay_vessel,Pipelay/Accommodation,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,,,stacked,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,111.6,31.7,7.3,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
PJW 3000,construction,pipelay_vessel,Derrick Pipelay/Accommodation,unknown (ex Swiber PJW3000 renamed HOPES 3000),SWIBER HOLDINGS,,,stacked,frontier_pipelay_csv,https://app.vesselsvalue.com/valuation/0/Hopes-3000/,168.9,46.0,13.4,,,,,310.0,,,,,,,,,,,,,,,,,,,,,,,,
SWIBER RESOLUTE,construction,pipelay_vessel,Derrick Pipelay/Accommodation,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,,,stacked,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,126.8,39.0,8.8,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRUCTOR,construction,pipelay_vessel,,unknown (Swiber liquidated 2016),SWIBER HOLDINGS,,,unknown,frontier_pipelay_csv,https://splash247.com/swiber-goes-into-liquidation/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEP BLUE,construction,pipelay_vessel,DP Reel Ship,Technip (DEEP BLUE = Technip vessel chartered to Swiber),SWIBER HOLDINGS,,,active,frontier_pipelay_csv,https://www.subsea7.com/en/media/datasheets.html,1463.0,206.3,32.0,,,3.0,,120.0,,,,,,,reel,,,3048.0,,,,,,,,,,,,,28.0,
DB-30,construction,,Derrick Barge,,,,,,acma_msiv_md,,126.0,37.0,3.7,,,,,150.0,,1200.0,,,,,,,,,,,,,,,,,,,,,,
Nexus,construction,,Multi-purpose,,,,,,acma_msiv_md,,140.0,28.0,5.5,,,2.0,,120.0,,2000.0,,,,,,,,,,,,,,,,,,,,,,
Tai'an Kou,construction,,Semi-sub,,,,,,acma_msiv_md,,200.0,78.0,10.5,,,2.0,,300.0,,4000.0,,,,,,,,,,,,,,,,,,,,,,
