SN_APD_CSNG_INTV_FK,CASING_SECTION_NUM,CASING_SIZE,CASING_WEIGHT,CASING_GRADE,CASING_BURST_PSI,CASING_COLLPSE_PSI,CASING_SECTION_MD,CASING_SECTION_TVD,CASING_PORE_PRSS_PPG
-38003,1,20.0,129.3,X56,3060.0,1450.0,2983,2983,8.6
-38004,1,16.0,97.0,HCP-110,6920.0,2990.0,4139,4139,10.4
-39921,1,22.0,224.3,X-80,6360.0,3870.0,8746,8746,8.8
-38006,1,11.875,71.8,HCQ125,10720.0,7190.0,9645,9300,13.8
-38007,1,,,,,,20005,19000,14.9
-38095,1,20.0,133.0,J-55,3060.0,1500.0,1000,1000,8.8
-38096,1,13.625,68.0,N-80,6429.0,3980.0,4852,4500,9.2
-38097,1,9.875,62.8,Q-125,13840.0,11140.0,12265,11000,12.5
-38098,1,7.75,46.1,Q-125,16790.0,16580.0,15765,14500,16.2
-38104,1,7.625,29.7,N-80,6890.0,4790.0,6030,5510,10.1
-38707,1,10.75,45.5,J-55,3580.0,2090.0,3000,2932,9.0
-38708,1,7.0,26.0,P-110,9950.0,6230.0,8248,6400,9.0
-38702,1,18.0,94.0,X-80,3880.0,1060.0,6756,6756,0.0
-39356,1,16.0,65.0,H40,1640.0,630.0,800,800,8.5
-39213,1,5.0,18.0,P-110,13940.0,13450.0,16203,15199,17.3
-39465,1,13.375,68.0,N-80,5020.0,2260.0,5200,5200,9.0
-46223,1,11.875,71.8,HCQ-125,10720.0,7280.0,21400,20795,13.2
-46224,1,9.875,62.8,HC Q125,13840.0,11140.0,26500,25185,14.3
-46225,1,,,,,,29817,27082,14.3
-48524,1,28.0,218.0,X56,2630.0,950.0,5443,5443,8.6
-47034,1,9.375,39.0,HCQ-125,9330.0,4850.0,12400,12286,16.2
-47059,1,13.625,88.2,HCQ-125,10030.0,5930.0,15773,15552,10.8
-47060,1,9.625,53.5,110-HC,10900.0,7930.0,17864,17255,12.0
-47061,1,9.625,53.5,HCP-110,10900.0,8850.0,11106,10950,15.9
-47020,1,11.75,102.0,C-110,13220.0,9620.0,8476,8476,13.2
-47062,1,7.0,29.0,HCP-110,11220.0,9200.0,15660,13600,16.2
-47060,2,9.875,61.7,C-110,12180.0,10290.0,18964,18165,12.0
-47432,1,11.875,71.8,HCQ-125,10720.0,7280.0,11930,11621,12.6
-47431,1,7.625,29.7,HCP-110,9470.0,7150.0,6315,6315,9.5
-47433,1,9.625,53.5,HCQ-125,12390.0,8850.0,13315,12895,16.2
-47434,1,7.625,39.0,Q-125,14340.0,12060.0,15453,14910,16.7
-41153,1,13.375,72.0,HC Q-125,8410.0,3470.0,14754,13600,11.2
-47598,1,9.625,53.5,S95,9410.0,8850.0,4130,4130,9.5
-47599,1,7.625,29.7,HCP-110,9470.0,7150.0,8800,8425,12.2
-47600,1,5.5,17.0,HCP-110,10640.0,8580.0,9425,9050,12.6
-47645,1,26.0,202.0,X-60,3030.0,1190.0,800,800,8.6
-47646,1,20.0,169.0,X-56,3978.0,2510.0,4500,4500,8.6
-47647,1,13.625,88.2,HCQ-125,10030.0,5930.0,10850,10750,12.5
-47648,1,9.875,62.8,HCQ125,13840.0,11140.0,14370,14000,16.5
-47649,1,7.625,39.0,Q125,14340.0,12060.0,16605,16050,16.8
-47650,1,5.5,29.7,P-110,19670.0,20180.0,17277,16590,17.2
-47866,1,10.75,45.5,K-55,3580.0,2090.0,1800,1800,8.9
-47867,1,7.625,29.7,N-80,6890.0,4790.0,6674,6500,9.7
-48309,1,9.625,53.5,P-110,10900.0,7950.0,10080,9100,12.0
-47969,1,9.625,53.5,HCP-110,10900.0,8850.0,12500,11727,13.4
-47970,1,7.0,32.0,P-110,12460.0,10780.0,16189,14500,15.7
-48225,1,20.0,94.0,J-55,2110.0,520.0,1017,1017,8.5
-48226,1,13.375,72.0,HCP-110,7400.0,3470.0,6250,6250,9.0
-48227,1,9.625,53.5,HCP-110,10900.0,8850.0,9665,9665,11.8
-48228,1,7.625,39.0,HCP-110,12620.0,11080.0,10500,10500,16.1
-48229,1,5.5,23.0,P-110,14530.0,14520.0,14100,14100,17.0
-48525,1,22.0,224.0,X-80,6363.0,3876.0,7350,7350,9.6
-48526,1,18.0,117.0,P-110,6680.0,2110.0,11000,11000,11.0
-48527,1,13.625,88.2,Q-125E,11460.0,4800.0,13923,13923,14.0
-48527,2,13.625,88.2,Q125,10030.0,4800.0,20000,20000,14.0
-48528,1,11.875,71.8,Q125,10720.0,5630.0,28964,28700,12.0
-48529,1,9.675,47.0,P-110,9441.0,7100.0,31225,30800,10.7
-48530,1,,,,,,33593,33000,14.8
-48545,1,11.75,119.8,HCQ-125,21050.0,20000.0,5230,5230,0.0
-48545,2,10.75,64.0,HCQ-125,12700.0,8130.0,15772,13648,10.3
-48546,1,9.485,33.0,LSX-80,4980.0,2150.0,21600,15971,12.4
-48547,1,7.625,39.0,HCQ-125,14340.0,13920.0,24250,17540,13.0
-48547,2,8.06,54.0,L-80,11800.0,12420.0,20800,15675,13.0
-48927,1,10.75,45.5,J-55,3580.0,2090.0,3411,3380,8.8
-49028,1,7.625,29.7,HCP-110,9470.0,7150.0,10589,8200,9.0
-49174,1,9.625,53.5,HCP-110,10900.0,8850.0,22252,20776,14.1
-49254,1,22.0,224.3,X-80,6360.0,3870.0,7000,7000,8.6
-49255,1,18.0,117.0,P-110,6680.0,2110.0,12000,12000,11.4
-49256,1,13.625,88.2,Q-125,10030.0,4800.0,22000,22000,13.2
-51240,1,3.5,13.0,13-CR,15940.0,16260.0,14100,14100,17.3
-52174,1,16.0,65.0,H40,1640.0,630.0,800,800,8.7
-52175,1,10.75,45.5,L-80,5207.0,2480.0,5000,5000,9.1
-52176,1,7.625,39.0,Q-125,14340.0,12060.0,17000,17000,9.0
-52185,1,5.0,18.0,P-110,13940.0,13450.0,10496,10203,9.0
-52184,1,7.0,23.0,N-80,6342.0,3830.0,6956,6955,9.0
-52192,1,10.75,45.5,HCN-80,5210.0,3130.0,3000,3000,8.8
-52300,1,11.875,71.8,Q-125,10720.0,5630.0,4380,4309,11.0
-52322,1,20.0,133.0,K-55,3060.0,1500.0,2040,2013,8.7
-52323,1,13.375,68.0,N-80,5020.0,2260.0,8459,4300,9.0
-52326,1,20.0,94.0,J-55,2110.0,520.0,1100,1100,8.9
-52327,1,16.0,84.0,HCN-80,4330.0,1910.0,4200,3965,9.5
-52328,1,11.875,71.8,Q-125,10720.0,5630.0,11795,9335,12.3
-52329,1,9.625,53.5,P-110,10900.0,7950.0,15000,11696,16.0
-52337,1,7.0,35.0,Q-125,15560.0,14310.0,16300,12860,16.3
-52499,1,7.625,39.0,Q125,14340.0,12060.0,16605,16050,16.8
-52500,1,5.5,29.7,P-110,19670.0,20180.0,17277,16590,17.2
-52433,1,7.0,29.0,HCP-110,11220.0,9200.0,15462,12500,15.4
-52486,1,9.875,62.8,Q-125,13840.0,11140.0,18708,17995,15.2
-52504,1,7.75,46.1,P-110,14780.0,14980.0,20125,18968,14.8
-52505,1,5.5,23.0,Q-125,16510.0,16070.0,21242,19562,8.6
-52575,1,11.875,71.8,HCQ-125,10720.0,7280.0,10917,10805,10.8
-52576,1,9.625,53.5,HCP-110,10900.0,8850.0,12884,12650,14.0
-52577,1,7.0,32.0,P-110,12460.0,10780.0,13354,13050,7.5
-52578,1,5.0,18.0,P-110,13940.0,13450.0,14012,13600,16.0
-52660,1,,,,,,22000,21898,15.9
-52695,1,28.0,218.3,X-52,1969.0,950.0,7500,7500,0.0
-52696,1,22.0,224.3,X-80,6360.0,3870.0,9200,9200,8.8
-52696,2,22.0,170.2,X-60,3668.0,1853.0,9950,9950,9.0
-52697,1,18.0,117.0,P-110,6680.0,2110.0,9700,9700,9.0
-52697,2,17.875,93.5,P-110,5380.0,1270.0,14000,14000,10.5
-52711,1,14.0,114.0,Q-125HC,12453.0,11320.0,6742,6742,11.9
-52711,2,13.625,88.2,Q-125HC,10030.0,5930.0,12500,12500,11.9
-52711,3,13.375,72.0,Q-125HC,8410.0,3900.0,18500,18500,11.9
-52699,1,9.875,62.8,HC Q125,13840.0,11140.0,26600,26600,13.7
-52700,1,,,,,,28000,28000,14.5
-52701,1,18.625,87.5,J-55,2250.0,630.0,1000,1000,8.7
-52702,1,13.375,68.0,HCN-80,5020.0,2910.0,4750,4750,8.7
-52703,1,9.625,53.5,HCP-110,10900.0,8850.0,10500,10400,12.4
-52704,1,7.625,39.0,P-110,12620.0,11080.0,12100,12000,16.6
-52705,1,5.5,20.0,P-110,12640.0,11080.0,12950,12850,17.7
-52790,1,28.0,183.0,X56,2190.0,550.0,6896,6896,8.6
-52791,1,22.0,224.3,X-80,6360.0,3870.0,7900,7900,9.0
-52791,2,22.0,170.0,X-60,3580.0,1820.0,9396,9396,9.0
-52792,1,17.875,92.8,HCN-80,3916.0,1290.0,11200,11000,9.8
-52793,1,16.0,97.0,HCQ-125,7860.0,2990.0,13400,12570,11.0
-46006,1,18.625,87.5,J-55,2250.0,630.0,800,800,8.6
-46007,1,13.375,68.0,HCN-80,5020.0,2910.0,4000,4000,9.1
-46008,1,9.625,53.5,P-110,10900.0,7950.0,11400,11400,10.0
-46009,1,7.0,32.0,HCP-110,11710.0,10760.0,13650,13650,15.3
-46080,1,16.0,65.0,H-40,1640.0,630.0,800,800,8.5
-46081,1,10.75,45.5,J-55,3580.0,2090.0,4500,4500,9.0
-46082,1,7.625,29.7,PS 110,9470.0,7150.0,12000,12000,11.5
-46104,1,26.0,169.0,X-56,2360.0,690.0,5232,5232,8.6
-46106,1,20.0,166.0,X-56,3980.0,2510.0,7316,7316,9.4
-46107,1,13.625,72.0,P-110,7400.0,2882.0,11430,11427,11.5
-46560,1,20.0,94.0,J-55,2110.0,520.0,1200,1200,9.0
-46256,1,10.75,40.5,J-55,3130.0,1580.0,1809,1800,9.0
-46257,1,7.0,23.0,J-55,4360.0,3270.0,7321,3697,9.5
-46561,1,16.0,65.0,H40,1640.0,630.0,800,800,8.7
-46563,1,11.75,65.0,HCP-110,8750.0,5740.0,12400,12000,13.0
-46567,1,5.0,18.0,Q-125,15840.0,14830.0,17000,17000,15.0
-46606,1,9.875,62.8,Q-125,13840.0,11140.0,16733,14200,11.3
-46564,1,9.625,53.5,HCP-110,10900.0,8850.0,15000,14300,16.5
-46705,1,16.0,65.0,H-40,1640.0,630.0,800,800,8.6
-46706,1,10.75,45.5,HCN-80,5210.0,3130.0,5000,5000,9.1
-46707,1,7.625,29.7,P-110,9470.0,5340.0,9800,9800,11.5
-46708,1,5.5,20.0,P110,12640.0,11080.0,10500,10500,15.0
-47040,1,13.625,88.2,HCQ-125E,10610.0,5930.0,16572,16572,14.2
-47152,1,10.75,45.5,J55,3580.0,2090.0,4500,4500,9.0
-47153,1,7.625,29.7,HCP-110,9470.0,7150.0,11727,10600,12.0
-47225,1,13.375,68.0,J-55,3450.0,1950.0,1200,1200,8.6
-46925,1,7.625,29.7,P-110,9470.0,5340.0,10930,10500,9.1
-47286,1,20.0,94.0,J-55,2110.0,520.0,1100,1100,8.9
-47039,1,18.0,94.0,HCP-110,5350.0,1270.0,10072,10072,11.4
-47287,1,16.0,84.0,HCN-80,4330.0,1910.0,4200,3965,9.5
-47430,1,10.75,40.5,J-55,3130.0,1580.0,2000,2000,8.6
-47445,1,10.75,40.5,K-55,3130.0,1580.0,4544,4401,8.7
-47446,1,7.625,29.7,P-110,9470.0,5340.0,9743,8982,9.6
-46606,3,9.875,62.8,Q-125,13840.0,11140.0,18770,15442,11.3
-47447,1,5.5,20.0,P-110,12640.0,11080.0,10500,9637,9.9
-47321,1,20.0,166.4,X-80,5680.0,3020.0,2485,2485,10.1
-47321,2,20.0,129.3,X-56,3060.0,1450.0,4800,4800,10.1
-47322,1,16.0,97.0,Q-125,7862.0,3000.0,10400,10400,11.6
-47323,1,13.625,88.2,HC Q125,10030.0,6370.0,6000,6000,14.1
-47323,2,13.375,72.0,HC Q-125,8410.0,3470.0,14000,14000,14.1
-47324,1,11.875,71.8,HCQ-125,10720.0,7280.0,17000,17000,15.0
-47325,1,,,,,,23000,23000,15.7
-47386,1,16.0,109.0,P-110,7890.0,3470.0,7732,7732,10.4
-64008,1,7.625,29.7,HCP-110,9470.0,7150.0,8882,8200,9.6
-64061,1,7.625,29.7,P-110,9470.0,5340.0,12200,8234,8.9
-64265,1,20.0,133.0,X-55,3060.0,1500.0,1700,1700,8.6
-64207,1,13.375,72.0,HCP-110,7400.0,3470.0,16243,16193,13.3
-61202,2,10.75,84.5,Q-125,16220.0,15530.0,8000,8000,0.0
-61202,3,7.625,47.1,Q-125,17930.0,18700.0,18470,17650,0.0
-64515,1,9.875,68.0,C110,13220.0,13160.0,20835,20775,13.3
-64639,1,11.75,65.0,P110,8740.0,4490.0,25500,25500,11.7
-64640,1,11.75,36.0,L-80,4430.0,1270.0,27000,27000,12.7
-64641,1,9.375,39.0,Q-125,9330.0,3960.0,28500,28500,13.5
-64642,1,,,,,,31500,31500,13.9
-64651,1,7.0,38.0,P110,14850.0,15110.0,22330,18730,13.5
-64650,1,9.625,43.5,P110,8700.0,4430.0,18950,16000,13.6
-64665,1,18.625,99.5,J55,2580.0,960.0,1600,1600,8.6
-64738,1,16.0,75.0,J-55,2630.0,1020.0,1200,1200,8.3
-64739,1,10.75,45.5,J-55,3580.0,2090.0,3750,3750,8.6
-64740,1,7.0,26.0,HCP-110,9950.0,7800.0,9930,8438,12.0
-64823,1,9.625,53.5,N80,7930.0,6620.0,8861,8572,12.0
-64872,1,20.0,94.0,J-55,2110.0,520.0,1100,1100,9.0
-64873,1,16.0,84.0,HCN-80,4330.0,1910.0,4500,4500,9.4
-64874,1,11.875,71.8,Q-125HC,10720.0,7160.0,11400,10041,13.0
-64875,1,9.875,62.8,Q125HC,13840.0,13050.0,13450,12012,15.5
-64876,1,7.0,35.0,Q-125HC,15560.0,15910.0,13937,12500,16.0
-64918,1,22.0,224.0,X-80,6363.0,3876.0,6458,6458,9.1
-64919,1,17.875,93.5,P-110,5380.0,1270.0,9281,9279,10.1
-64920,1,16.0,95.0,HCP-110,6810.0,2580.0,16600,16598,11.5
-64921,1,13.625,88.2,140,11240.0,4940.0,15000,15000,13.6
-64921,2,13.625,88.2,Q-125HC,10030.0,5930.0,23450,23400,13.6
-64922,1,9.625,53.5,HCQ-125,12390.0,8850.0,28073,27700,12.5
-64923,1,,,,,,33013,32000,10.1
-64958,1,16.0,65.0,H-40,1640.0,630.0,800,800,8.6
-64959,1,10.75,45.5,K-55,3580.0,2090.0,3700,3700,9.1
-64960,1,7.625,29.7,P-110,9470.0,5340.0,11452,10900,9.1
-64978,1,22.0,224.3,X-80,6360.0,3870.0,7825,7825,8.9
-64978,2,22.0,170.2,X-65,3880.0,1870.0,9297,9297,8.9
-64979,1,13.625,88.2,HCQ-125,10030.0,5930.0,14575,14400,10.3
-64980,1,9.625,53.5,110-HC,10900.0,7930.0,16731,16071,12.0
-64980,2,9.875,61.7,C-110,12180.0,10290.0,18095,17285,12.0
-65038,1,9.625,36.0,J-55,3520.0,2020.0,810,800,8.7
-65020,1,13.375,68.0,HCN-80,5020.0,2910.0,3713,3713,11.0
-65039,1,7.0,23.0,N-80,6342.0,3830.0,2665,1780,9.0
-65040,1,16.0,65.0,H-40,1640.0,630.0,1000,1000,9.0
-65058,1,20.0,166.4,X-80,5680.0,3020.0,2505,2505,10.1
-65058,2,20.0,129.3,X-56,3060.0,1450.0,4827,4827,10.1
-65059,1,16.0,97.0,Q-125,7862.0,3000.0,10090,10090,11.6
-67314,1,20.0,94.0,J-55,2110.0,520.0,1000,1000,8.5
-67315,1,13.375,68.0,N-80,5020.0,2260.0,3200,3000,8.8
-67316,1,9.625,53.5,HCP-110,10900.0,8850.0,9853,9500,11.5
-67323,2,9.625,53.5,110-HC,10900.0,7930.0,16527,16476,11.5
-67323,3,9.875,62.8,C-110,12180.0,10290.0,18447,18321,11.5
-67333,1,22.0,224.0,X-80,6363.0,3876.0,7620,7620,9.4
-67334,1,17.937,94.0,X80 HDL,3890.0,1060.0,10300,10300,10.4
-67335,1,16.0,97.0,P-110HC,6920.0,2990.0,13000,13000,11.8
-67336,1,13.625,88.2,HCQ-125,10030.0,5930.0,15700,15700,12.5
-67337,1,11.875,71.8,HCQ-125,10720.0,7280.0,21584,21540,12.5
-67338,1,9.875,62.8,C-110,12180.0,10290.0,24940,24820,13.0
-67339,1,7.675,39.0,P-110,12620.0,11080.0,26025,25880,11.5
-67423,1,13.625,88.2,Q-125HC,10030.0,5930.0,13000,13000,12.4
-67424,1,11.875,71.8,Q-125HC,10720.0,7160.0,19062,19000,14.0
-67453,1,18.625,87.5,K-55,2250.0,630.0,1030,1030,8.6
-67454,1,13.375,68.0,HCN-80,5020.0,2910.0,4500,4500,9.3
-67455,1,9.675,53.5,Q-125,12390.0,8440.0,14106,13996,11.0
-67456,1,7.0,35.0,Q-125,15560.0,14310.0,16565,16200,14.5
-67457,1,16.0,65.0,H-40,1640.0,630.0,1000,1000,8.6
-67458,1,10.75,45.5,J-55,3580.0,2090.0,3500,3500,8.6
-67459,1,7.625,33.7,P-110,10860.0,7850.0,13934,12850,9.5
-67546,1,7.625,33.7,HCP-110,10860.0,8800.0,12400,11719,12.5
-67767,1,16.0,65.0,H-40,1640.0,630.0,1000,1000,8.4
-67768,1,10.75,45.5,J-55,3580.0,2090.0,3001,3000,8.9
-67769,1,7.625,29.7,N-80,6890.0,4790.0,9090,8755,9.7
-67771,1,10.75,45.5,HCN-80,5210.0,3130.0,4710,3500,9.2
-67772,1,7.625,29.7,HCP-110,9470.0,7150.0,8466,4900,10.5
-67782,1,20.0,94.0,J-55,2110.0,520.0,1100,1100,9.0
-67783,1,16.0,84.0,HCN-80,4330.0,1910.0,4500,4500,9.4
-67784,1,11.875,71.8,Q-125HC,10720.0,7160.0,10691,10050,13.0
-67785,1,9.875,62.8,Q125HC,13840.0,13050.0,13062,12300,16.1
-67786,1,7.0,35.0,Q-125HC,15560.0,15910.0,13461,12700,16.2
-67787,1,13.625,88.2,HCQ125,10045.0,4800.0,12450,12445,10.6
-67958,1,26.0,202.0,X-56,2820.0,1170.0,4600,4600,0.0
-68135,1,7.0,32.0,ECP-110,12460.0,11320.0,9985,9600,15.8
-68159,1,20.0,129.3,X56,3060.0,1450.0,6350,6350,8.8
-68160,1,16.0,84.0,N-80,4330.0,1480.0,7000,7000,9.2
-68161,1,13.625,88.2,HC Q125,10030.0,6370.0,9000,9000,10.7
-68162,1,11.875,71.8,HCQ-125,10720.0,7280.0,13505,13000,12.2
-68163,1,9.625,53.5,HCQ-125,12390.0,8850.0,15400,14900,13.2
-68164,1,,,,,,16600,16100,14.5
-68167,1,7.625,39.0,Q125,14340.0,12060.0,15900,15300,13.7
-68421,1,10.75,40.5,J-55,3130.0,1580.0,3009,2850,8.8
-68422,1,7.0,29.0,HCP-110,11220.0,9200.0,7767,6600,10.0
-68480,1,18.625,94.5,J55,2420.0,780.0,1200,1200,8.6
-68481,1,13.375,68.0,N80,5020.0,2260.0,4100,4100,9.3
-68482,1,9.625,53.5,P110,10900.0,7950.0,9803,8731,12.8
-68498,1,24.0,186.2,X-52,2840.0,1410.0,1000,1000,9.0
-68499,1,16.0,97.0,HCP-110,6920.0,2990.0,4500,4500,9.0
-68500,1,11.875,71.8,HCQ-125,10720.0,7280.0,9800,9800,12.5
-68501,1,9.625,53.5,HCP-110,10900.0,8850.0,13000,13000,15.7
-68502,1,7.75,46.1,Q-125,16790.0,16580.0,17500,17500,16.2
-68506,1,11.875,71.8,HCQ125,10720.0,7190.0,17800,17800,16.3
-68538,1,20.0,106.5,J-55,2410.0,770.0,1200,1200,8.6
-68521,1,,,,,,25000,25000,17.7
-68539,1,13.375,68.0,P-110,6910.0,2330.0,3900,3768,9.0
-68540,1,9.625,53.5,P110,10900.0,7950.0,11277,7900,11.2
-68541,1,7.0,32.0,P-110,12460.0,10780.0,14238,9600,13.0
-68659,1,10.75,45.5,HCL-80,5210.0,3130.0,5550,5550,9.0
-68658,1,16.0,65.0,H40,1640.0,630.0,1043,1043,8.7
-68660,1,7.75,46.1,HCQ-125,16790.0,17760.0,19085,17809,12.5
-68703,1,20.0,133.0,X-56 S-60,3060.0,1500.0,4306,4306,8.5
-68704,1,16.0,97.0,HCP-110,6920.0,2990.0,6106,6106,9.0
-68705,1,13.375,72.0,HC Q-125,8410.0,3470.0,11260,11260,10.5
-68706,1,9.625,53.5,HCQ-125,12390.0,8850.0,15624,15624,11.0
-68707,1,7.625,39.0,Q125,14340.0,12060.0,18921,18792,11.5
-68781,1,18.625,87.5,K-55,2250.0,630.0,1030,1030,8.6
-68782,1,13.375,68.0,HCN-80,5020.0,2910.0,4500,4500,9.3
-68783,1,9.675,53.5,Q-125,12390.0,8440.0,14106,13996,11.0
-68784,1,7.0,35.0,Q-125,15560.0,14310.0,16240,15875,12.0
-68802,1,5.0,18.0,P-110,13940.0,13450.0,16565,16200,14.0
-68928,1,9.625,36.0,J-55,3520.0,2020.0,3200,3200,9.5
-68969,1,10.75,40.5,J-55,3130.0,1580.0,2510,2510,8.5
-69438,1,26.0,202.0,X-56,2820.0,1170.0,4600,4600,0.0
-68989,1,9.875,62.8,Q125,13840.0,11140.0,15573,14900,10.8
-69004,1,10.75,45.5,HCK-55,3580.0,3130.0,7152,5240,9.5
-69008,1,7.625,29.7,HCN-80,6890.0,7150.0,12562,8500,9.7
-68894,1,28.0,225.0,X-56,2190.0,550.0,6498,6498,8.6
-68927,1,16.0,65.0,H-40,1640.0,630.0,1000,1000,8.8
-69142,1,7.0,26.0,N-80,7244.0,5410.0,4400,4022,0.0
-69143,1,5.0,18.0,N-80/L-80-55,10140.0,10490.0,7502,7000,9.5
-69439,1,20.0,166.4,X-56,3979.0,2514.0,6000,6000,8.8
-69440,1,16.0,84.0,N-80,4330.0,1480.0,8000,8000,10.7
-69441,1,13.625,88.2,Q-125HC,10030.0,5930.0,13000,13000,12.4
-69442,1,11.875,71.8,Q-125HC,10720.0,7160.0,19062,19000,14.0
-69443,1,,,,,,21063,21000,15.0
-69547,1,16.0,65.0,H40,1640.0,630.0,1043,1043,8.7
-69548,1,10.75,45.5,HCL-80,5210.0,3130.0,5550,5550,9.0
-69549,1,7.75,46.1,HCQ-125,16790.0,17760.0,19096,17818,12.5
-69550,1,5.0,21.4,Q-125,19120.0,19940.0,26848,23500,15.5
-69607,1,18.625,87.5,K-55,2250.0,630.0,1241,1230,8.5
-69608,1,13.375,68.0,J-55,3450.0,1950.0,3296,2830,9.0
-69609,1,9.625,53.5,P-110,10900.0,7950.0,4550,3710,13.0
-69661,1,20.0,133.0,X-56 S-60,3060.0,1500.0,4306,4306,8.5
-69616,1,7.0,35.0,P-110,13700.0,13010.0,14200,14200,16.0
-69662,1,16.0,97.0,HCP-110,6920.0,2990.0,6106,6106,9.0
-69663,1,13.375,72.0,HC Q-125,8410.0,3470.0,11260,11260,10.5
-69664,1,9.625,53.5,HCQ-125,12390.0,8850.0,15624,15624,11.0
-83102,1,28.0,218.3,X-52,1969.0,950.0,6205,6205,8.6
-83103,1,22.0,224.3,X-80,6360.0,3870.0,8071,8071,8.6
-83104,1,18.0,117.0,P-110,6680.0,2110.0,12000,12000,12.1
-83105,1,13.625,88.2,BP-125,11610.0,6360.0,19883,19883,13.7
-83106,1,11.875,71.8,Q-125,10720.0,5630.0,23000,23000,13.9
-83107,1,9.625,36.0,LSX-80,4550.0,1570.0,25500,25500,14.4
-83108,1,9.375,39.0,Q-125,9330.0,3960.0,28000,28000,14.8
-83109,1,,,,,,34000,34000,15.1
-83148,1,16.0,65.0,H40,1640.0,630.0,1000,1000,8.4
-83149,1,10.75,45.5,J55,3580.0,2090.0,3502,3000,8.9
-83150,1,7.625,29.7,HCP-110,9470.0,7150.0,7626,5500,9.5
-83156,1,5.5,23.0,13CR-110,14530.0,14540.0,20110,18724,13.4
-84274,1,28.0,225.0,X-56,2190.0,550.0,6500,6500,8.6
-84275,1,22.0,224.3,X-80,6360.0,3870.0,8700,8700,8.6
-84276,1,16.0,97.0,HCQ-125,7860.0,2990.0,14000,13692,10.3
-84277,1,13.625,88.2,HC Q125,10030.0,6370.0,16220,15445,11.1
-84278,1,11.875,71.8,HCQ-125,10720.0,7280.0,22000,20443,12.9
-84279,1,9.875,62.8,Q-125,13840.0,11140.0,23800,21970,13.8
-84280,1,7.75,46.1,Q-125,16790.0,16580.0,26193,24000,14.4
-84286,1,20.0,94.0,J-55,2110.0,520.0,800,800,8.5
-84287,1,16.0,97.0,HCN-80,5030.0,2990.0,5000,5000,9.0
-84292,1,5.5,17.0,J-55,5320.0,4910.0,11001,8401,9.5
-84335,1,11.875,71.8,HCQ-125,10720.0,7280.0,6531,6500,11.4
-84771,1,3.5,9.3,P-110,13970.0,12620.0,13025,12640,16.3
-84772,1,16.0,65.0,H40,1640.0,630.0,1000,1000,8.7
-86230,1,16.0,97.0,P-110HC,6920.0,2990.0,15600,15600,11.8
-86231,1,13.625,88.2,HCQ-125,10030.0,5930.0,12100,12100,14.2
-86231,2,14.0,112.0,Q125HC,12500.0,10540.0,20800,20781,14.2
-86232,1,11.875,71.8,HCQ-125,10720.0,7280.0,25180,25137,12.5
-86233,1,9.875,62.8,CR-110,12180.0,10280.0,25300,25256,13.0
-84819,1,18.625,87.5,J55,2250.0,630.0,1000,1000,8.8
-84820,1,13.375,68.0,J55,3450.0,1950.0,4000,4000,8.9
-84821,1,9.625,53.5,HCP-110,10900.0,8850.0,11874,10750,11.0
-85030,1,20.0,94.0,J-55,2110.0,520.0,1400,1400,8.9
-85031,1,13.375,68.0,N-80,5020.0,2260.0,4750,4750,11.0
-85032,1,9.625,47.0,HCP-110,9440.0,7100.0,8400,8400,14.0
-85033,1,7.0,32.0,P-110,12460.0,10780.0,12804,12000,15.5
-85002,1,7.75,46.1,P-110,14780.0,14980.0,19284,18905,14.1
-85048,1,9.875,68.0,C110,13220.0,13160.0,20475,19715,13.4
-85050,2,9.875,68.0,C110,13220.0,13160.0,16385,16021,13.3
-85257,1,9.625,53.5,P-110,10900.0,7950.0,8487,8372,13.5
-85258,1,7.625,39.0,P-110,12620.0,11080.0,14634,11571,16.0
-85259,1,5.5,20.0,P-110,12640.0,11080.0,16544,12500,14.0
-85598,1,13.375,72.0,N80,5380.0,2670.0,3500,3500,10.5
-85544,1,20.0,166.4,X-80,5680.0,3020.0,3603,3603,8.8
-78366,1,5.0,18.0,P110,13940.0,13450.0,12426,10750,15.5
-79152,1,9.625,47.0,N80,6870.0,4760.0,5100,5097,9.0
-79259,1,10.75,40.5,K-55,3130.0,1580.0,3000,2997,8.9
-79272,1,,,,,,16617,16582,14.4
-79284,1,20.0,106.5,J-55,2410.0,770.0,1800,1800,8.6
-79285,1,13.375,72.0,HCP-110,7400.0,3470.0,5800,5800,11.0
-79286,1,7.0,32.0,P-110HC,12460.0,10780.0,9900,9900,14.9
-79287,1,9.625,53.5,P-110EC,12390.0,9140.0,11416,10480,11.9
-80539,1,16.0,75.0,J-55,2630.0,1020.0,800,800,8.7
-81479,1,9.625,53.5,P-110,10900.0,7950.0,8968,7500,12.2
-81523,1,10.75,45.5,J55,3580.0,2090.0,2000,1973,8.7
-81404,1,20.0,166.4,X-80,5680.0,3020.0,3603,3603,8.8
-81404,2,20.0,129.3,X-56,3060.0,1450.0,5350,5264,8.8
-81405,1,16.0,84.0,HCN-80,4330.0,1910.0,7177,6529,9.5
-81406,1,13.625,88.2,HC Q125,10030.0,6370.0,9595,7500,11.0
-81719,1,7.625,29.7,S-95,8180.0,7150.0,11913,9900,9.3
-81408,1,7.625,39.0,HCQ-125,14340.0,13920.0,12247,9282,12.8
-81848,1,20.0,133.0,X-56,3979.0,2510.0,7083,7083,9.0
