SN_APD_QA,QA_RESPONSE_CD,QA_RESPONSE_TXT
-103586,Y,GMG290003
-103587,,
-103618,Y,
-103619,,
-103620,Y,
-103621,,
-103622,Y,"EPA NPDES Permit No. 290096, Outfall No. 447A/S"
-103623,,
-103634,Y,
-103635,,
-103636,,
-103637,,
-103638,Y,EPA General Permit GMG290096
-103639,,
-103640,Y,
-103641,Y,
-103642,,
-103643,,
-99829,,
-99830,Y,
-99831,,
-99832,Y,GMG290132
-99833,,
-100374,,
-100375,,
-100376,Y,GMG 290077 (Notice of Intent attached).
-100377,,
-100614,Y,"1000 sacks barite
200 sacks gel"
-100615,,
-100616,,
-99828,Y,
-100617,,
-100618,Y,GMG290275
-100619,,
-100590,Y,"1000 sks Barite, No gel (synthetic mud)"
-100591,Y,
-100592,Y,
-100593,,
-100594,Y,GMG290024
-100595,,
-101195,Y,No hydrocarbon based drilling fluids are planned.
-101196,,
-101197,,
-101198,Y,GMG 290103
-101199,N,see attached waivers.
-100626,Y,
-100627,,
-100628,Y,
-100629,,
-100630,Y,"NPDES Permit No. 290096, Outfall No. 461 A/S"
-100631,,
-100754,Y,
-100755,Y,
-100756,Y,
-101194,Y,
-102598,,
-102599,,
-102600,Y,GMG No. 290269/Outfall No. 043
-102601,Y,
-102638,Y,
-102639,,
-99154,Y,"Minimum Mud Quantities:
1000 sks Barite and 200 sks Gel"
-99155,,
-99156,,
-99157,,
-99158,Y,GMG290269 / Outfall No. 001
-99159,Y,
-102640,,
-102641,,
-102642,Y,
-102643,Y,
-102656,Y,Will maintain 200 sacks of gel and 1000 sacks of barite
-102657,,
-102658,,
-102659,Y,Copy of application is attached
-102660,Y,All discharges are covered by our NPDES Permit GMG 290132
-102661,Y,
-102680,Y,
-102681,,
-102682,,
-102683,,
-102684,Y,GMG290073
-102685,Y,
-102704,Y,
-102705,,
-102706,,
-102707,,
-102708,Y,GMG290073
-102709,Y,
-102750,Y,
-102751,Y,
-102752,Y,
-100051,,
-100052,,
-100053,Y,"Yes, copy of application is attached."
-100054,Y,All discharges are covered by our NPDES Permit GMG 290132
-100055,Y,
-100056,Y,Will maintain 200 sacks of gel and 1000 sacks of barite.
-100050,Y,Will maintain 200 sacks of gel and 1000 sacks of barite.
-100057,,
-100058,,
-100059,Y,"Yes, copy of application is attached."
-100060,Y,All discharges are covered by our NPDES Permit GMG 290132
-100061,Y,
-100062,Y,Will maintain 200 sacks of gel and 1000 sacks of barite.
-100063,,
-100064,,
-100065,Y,"Yes, copy of application is attached."
-100066,Y,All discharges are covered by our NPDES Permit GMG 290132.
-100067,Y,
-100150,Y,
-100151,Y,no hydrocarbon based fluids are planned.
-100152,,
-100153,,
-100154,Y,NPDES GM290000
-100155,N,see attached waiver.
-100190,Y,
-100191,Y,
-100192,Y,
-100193,,
-100194,Y,covered by EPA GMG#290058 outfall 376 A/T
-100195,,
-103644,Y,GMG290358 (Hall-Houston III)
-103645,Y,
-103646,Y,"1000 sxs. Barite
200 sxs. Gel"
-103647,,
-103648,,
-103649,,
-103650,Y,GMG No. 290269/Outfall No. 042
-103651,,
-103652,Y,
-103653,,
-103654,,
-103655,,
-103656,Y,GMG290235
-103657,Y,
-103670,Y,
-103671,,
-103672,Y,
-103673,,
-103674,Y,permit GMG 290006
-103675,,
-103767,,
-103768,Y,
-103769,,
-103770,Y,GMG290132
-103771,,
-103783,Y,While moving heavy equipment over the well bay.
-103794,Y,"691 sxs of barite and 200 sxs of gel will be maintained on the rig during drilling operations.  See Attachment ""Barite Sack Calculations? for details"
-103795,,
-103796,,
-103797,N,
-103778,Y,"1000 sacks of barite
200 sacks of gel"
-103766,Y,
-103779,,
-103780,,
-103781,,
-103782,Y,GMG290345
-97920,Y,
-97921,Y,
-97922,Y,
-97923,,
-97924,Y,"AT 618: Discharge No.: 119S
GMG290184"
-97925,,
-97950,Y,
-97951,Y,
-97952,Y,
-97953,N,
-97954,Y,
-97955,,
-98177,Y,
-98178,Y,
-98179,,
-98180,Y,Outfall 397 A/T/S  GMG 290006
-98181,,
-98182,Y,
-97992,Y,
-97993,,
-97994,,
-97995,,
-97996,Y,GMG 290351
-97997,Y,
-98176,Y,
-98183,Y,
-98184,Y,
-98185,,
-98186,Y,GMG290070
-98187,,
-98224,Y,"500 sacks Barite
200 sacks cement"
-98225,,
-102753,,
-102754,Y,EPA Permit # 290006 Outfall 394 A/T/S
-102755,,
-102756,Y,
-102757,Y,
-102758,,
-102759,,
-102760,Y,GMG290002-OUTFALL #080
-102761,,
-102770,Y,
-102771,,
-102772,Y,
-102773,,
-102774,Y,Permit # GMG 290006
-102775,,
-103050,Y,
-103051,,
-103052,,
-103053,,
-103054,Y,Number not yet assigned
-103055,,
-103188,Y,
-103189,,
-103190,,
-107022,Y,1000 sacks of barite and 200 sacks of gel will be maintained to raise the entire system MW 1/2 ppg
-107023,,
-107024,,
-107025,,
-107026,Y,General permit 290132
-107027,Y,
-107070,Y,
-107071,,
-107072,Y,
-107073,,
-107074,Y,NPDES Permit No. 290096 Outfall No. 461A/S
-107075,,
-107084,Y,
-107085,,
-107086,,
-107087,,
-107088,Y,GMG290073
-107089,Y,
-107090,Y,
-111627,N,
-111725,Y,
-111726,Y,
-111727,,
-111728,Y,"Our Permit number is GMG290350.
Our Outfall Number is 0006."
-111729,,
-111730,N,
-111751,Y,
-111691,Y,
-111692,Y,
-111693,Y,
-111694,,
-111695,Y,GMG290132
-111696,,
-111697,N,
-111724,Y,
-111752,Y,
-111753,,
-111754,,
-111755,Y,GMG290163
-111756,,
-111757,N,
-111792,Y,Minimum 1000 sacks barite and 200 sacks gel.
-111793,Y,
-111794,Y,
-111795,,
-111796,Y,GMG290002-Outfall #080
-111797,N,subsea well
-111798,N,
-111799,Y,
-111800,,
-111801,,
-111802,,
-111803,Y,GMG 290000
-111804,Y,
-111805,,
-106634,Y,1000 sxs barite and 200 sxs gel
-106635,,
-106636,,
-106637,,
-106638,Y,"GMG 290042, Outfall #004"
-106639,Y,
-109883,Y,
-107661,Y,
-107662,Y,
-107663,Y,
-107664,N,
-107665,Y,Outfall No. 443A
-109884,,
-109885,,
-109886,,
-109887,Y,GMG290073
-109888,Y,
-107666,Y,
-107667,,ST35 D18 ST2 we are drilling through the C1C sand. We have offsets in the D18 and D18 ST1 wells that penetrated the same section and are only 1000 feet away in the same lease.
-108439,Y,
-108440,Y,
-108441,,
-108442,,
-108443,Y,Outfall 245A
-108444,Y,
-108118,Y,1000 sacks of barite and 200 sacks of gel will be maintained to raise the entire system MW 1/2 ppg.
-108119,,
-108120,,
-108121,,
-108122,Y,General permit 290132
-108123,Y,
-108124,N,
-108125,Y,
-108126,Y,
-113586,,
-113587,Y,GMG290354
-113588,Y,
-113589,N,
-113616,Y,
-113617,Y,
-113618,Y,
-113619,,
-113620,Y,Outfall No. 440B
-113621,N,Skid Waiver Attached
-113622,,
-113724,Y,
-113725,,
-113726,,
-113727,Y,GMG290163
-113728,,
-113729,N,
-113723,Y,
-114036,Y,
-114037,Y,
-114038,,
-114039,,
-114040,Y,GMG920002
-114041,,
-114042,N,
-106813,Y,
-106814,,
-106815,,
-106816,Y,GMG290156
-106817,,
-118360,,
-106648,Y,
-106649,,
-106650,,
-106651,,
-106652,Y,GMG290073
-106653,Y,
-107097,,
-107098,,
-107099,,
-107100,Y,EPA Permit #GMG290211
-107101,Y,
-118362,Y,
-106846,Y,
-118361,Y,
-106812,Y,"1000 sks barite, 200 sxs gel"
-106847,,
-106848,,
-106849,,
-106850,Y,GMG290322
-106851,Y,
-107091,,
-107092,,
-107093,,
-107094,Y,GMG290073
-107095,Y,
-107096,Y,"200 sacks gel
1000 sacks barite"
-118363,Y,
-118364,,
-118365,Y,GMG290184 (Outfall Pending)
-118366,,
-107138,Y,
-192614,Y,
-192615,,"Shell will not discharge SBM except as authorized and monitored under the US EPA
General Permit GMG290000"
-192616,Y,
-192617,,
-192618,Y,GMG 290103
-192619,,
-108365,Y,
-108366,,
-108367,,
-108368,,
-108369,Y,GMG290250 / Outfall No. is pending
-108370,,
-108371,N,
-111832,Y,
-111833,,
-111834,,
-111835,Y,GMG290163
-111836,,
-111837,N,
-111847,Y,
-111813,Y,
-111814,Y,
-111815,,
-111816,,
-111817,Y,GMG 290089
-111818,,
-111819,N,
-111831,Y,
-111848,,
-111849,Y,GMG290070
-111850,,
-111851,N,
-111898,Y,
-111899,,
-111845,Y,
-111846,Y,
-108127,,
-108128,,
-108129,Y,GMG 290067
-108130,Y,
-108131,N,
-108132,Y,
-108133,Y,
-108134,Y,
-108135,,
-108136,Y,"Statoil Gulf of Mexico LLC
GMG290350 Outfall Number 003."
-108137,,
-108138,N,"NTL 2010-N06: Statoil's WCD of 108,257 stb/d was accepted by BOEM and increased it to 111,787 stb/d. Statoil submitted this volume as our WCD in our Regional OSRP. Statoil is also in the process of increasing its OPA 90 OSFR Coverage to the maximum limit of $150,000,000."
-108139,Y,
-108140,Y,
-108141,Y,
-108142,,
-108143,Y,"Our Permit number is GMG290350.
Our Outfall Number is 006."
-108144,,
-108145,N,"NTL 2010-N06: Statoil's WCD of 36,417 stb/d has been accepted by BOEM. Statoil submitted a Revised WCD of 108,257 stb/d for its Regional OSRP. BOEM incresaed it to 111,787 stb/d. Statoil is also in the process of increasing its OPA 90 OSFR Coverage to the maximum limit of $150,000,000."
-108445,,
-108607,,
-108608,,
-108609,,
-108610,Y,General permit 290132
-108611,Y,
-108612,N,
-114071,Y,
-114072,Y,"Oil Based Mud will be used to drill the Intermediate Casing, Drilling Liner, and Production Liner intervals."
-114073,,
-114074,,
-114075,Y,GMG 290067
-114076,N,OPEN WATER LOCATION
-114089,Y,
-114090,Y,
-114091,,
-114092,,
-114077,N,
-114093,Y,Outfall #235A
-114094,Y,
-114095,,
-114164,,
-114165,,
-114166,,
-114167,Y,"GMG290042, Outfall #004"
-114168,Y,
-114169,N,
-114210,Y,
-114163,Y,"1000 sacks barite
200 sacks gel"
-114211,Y,No hydrocarbon based drilling fluids are planned.
-114212,,
-114213,,
-114214,Y,GMG 290103
-114215,,
-114216,N,
-106410,Y,"200 Sacks of gel and 279 sacks of barite will be maintained on the rig during drilling operations.  See Attachment"" MC 109 A17ST1 Barite Sack Calculations"" for details."
-106411,,
-106412,,
-106413,N,
-106414,Y,"All drilling mud and cuttings will be discharged in compliance with NPDES Permit No. GMG 290188.  Daily discharge rates will vary over the duration of the drilling process.  Outfall numbers for authority to discharge per NPDES Permit No. GMG 290188 for MC 109, Lease OCS-G 05825, Well No. A17ST1 are 105A and 105T.  Authority to discharge SBM cuttings and fluids has been requested from EPA.  See Attachment ""NOI EPA MC 109"" for details."
-106415,Y,
-106416,Y,
-106417,Y,
-106418,,
-106419,,
-86206,Y,
-86207,,
-86208,,
-86209,,
-86210,Y,GMG290000
-86211,Y,
-86412,Y,
-86413,,
-84566,Y,
-84567,,
-84568,,
-84569,,
-84570,Y,GMG290300
-84571,,
-84586,Y,
-84587,,
-84588,Y,
-84589,,
-84590,Y,"GMG290110-730 A,S,T"
-84591,,
-84907,Y,
-84908,,
-84909,N,
-84910,Y,"All drilling mud and cuttings will be discharged in compliance with the NPDES Permit No. GMG 290079.  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process.  EPA outfall discharge numbers for SM 6 have been requested from EPA.  See Attachment ""SM 6 NOI"" for details."
-84911,,
-86386,Y,"Minimum Mud Quantities:
1000 sxs Barite and 200 sxs Gel"
-84886,Y,"1000 sxs barite
200 sxs gel"
-84887,Y,
-75340,Y,
-75341,,
-75342,,
-75343,,
-75344,Y,GMG 290061
-75345,,
-75641,,
-75642,Y,
-75643,,
-75644,Y,GMG 290185
-75645,,
-75640,Y,
-75380,Y,
-75381,,WBM
-75382,,
-75383,,
-75384,Y,GMG290174 
-75385,Y,
-76024,Y,"1000 sacks barite
200 sacks gel"
-76025,,
-76026,,
-76027,,
-76028,Y,GMG 290185
-76029,Y,
-88120,Y,
-88121,Y,
-88122,Y,
-88123,,
-88124,Y,
-76390,Y,
-88125,,
-76391,,
-75011,Y,GC 561 and GC 562 are part of GC 563 Unit 754300002
-75012,Y,GMG 290006 Has synthetic coverage
-75013,,
-75015,Y,
-75016,,
-75017,,
-75018,Y,GMG 290180
-75019,,
-75128,Y,
-75014,Y,
-75129,,
-75130,,
-75131,,
-75132,Y,GMG290000
-75133,,
-75134,Y,
-75135,,
-75136,,
-75137,,
-75138,Y,GMG290000
-75139,,
-78030,Y,1000 sxs barite/ 200 sxs gel
-78031,Y,
-75560,Y,"Minimum Mud Quantities:
1000 sxs Barite and 200 sxs Gel"
-75561,,
-75562,,
-75563,,
-75564,Y,"GMG No. 290269
Outfall No. 038"
-75565,,
-78996,Y,
-78997,Y,Drilling rig is outfitted for zero discharge & zero discharge procedures will be followed.
-78998,,
-78999,,
-79000,Y,GMG 290077
-85907,,
-77902,Y,
-77903,,
-77849,Y,
-80846,Y,
-78728,Y,"submittal on August 7, 2008"
-78729,,
-78784,Y,
-78785,,
-78786,,
-78787,,
-78788,Y,GMG290073
-78789,Y,
-78810,Y,
-78811,Y,
-78812,,
-78813,,
-78814,Y,GMG 290180
-78815,,
-78816,Y,"1000 sxs barite
200 sxs gel"
-78817,Y,
-78818,,
-78819,,
-78820,Y,GMG 290255
-78821,Y,
-78830,Y,
-78831,Y,
-78832,,
-78833,,
-78834,Y,Outfall No. 163A
-78835,Y,
-78836,Y,
-78837,Y,
-78838,,
-78839,,
-78840,Y,GMG 460000
-78841,,
-78844,Y,
-78845,,
-78846,Y,
-78847,,
-84888,,
-84889,,
-84890,Y,GMG 290260
-84891,Y,
-84906,Y,A minimum of 545 sxs barite and 200 sxs of gel will be maintained on the MODU during drilling operations.
-86387,,
-86388,,
-86389,,
-86390,Y,"GMG No. 290269 
Outfall No. Pending"
-86391,Y,
-86392,Y,
-86393,,
-86394,,
-86395,,
-86396,Y,GMG290235
-86397,Y,
-85093,Y,
-85094,,
-85095,,
-85096,Y,GMG290255
-85097,,
-85470,Y,
-84998,Y,
-84999,N,
-85000,Y,
-85001,Y,GC 561 & GC 562 are part of GC 563 Unit 754300002
-85002,Y,GMG 290006;Has synthetic coverage
-85003,,
-85092,Y,"200 sks of gel, 1000 sks Barite"
-85471,Y,
-85472,,
-85473,,
-85474,Y,GMG 290180
-85475,,
-85506,Y,
-85507,,
-85508,,
-77153,,
-77154,Y,"GMG 290269
Outfall No. 023"
-77155,,
-77164,Y,
-77150,Y,"Minimum Mud Quantities:
1000 sxs Barite and 200 sxs Gel"
-77165,,
-77166,,
-77167,,
-77168,Y,GMG290073
-77169,Y,
-77204,Y,"Minimum Quantities:
1000 sxs Barite and 200 sxs Gel"
-76398,Y,"657 sxs of barite and 200 sxs of gel will be on the rig during drilling operations. See Supplemental Attachment ""EI 183 
A-07ST Barite Sxs Calculations "" for details."
-76399,Y,
-76400,,
-76401,Y,Previously requested and approved on the original wellbore EI 183 A7.
-76402,Y,"All drilling mud and cuttings will be discharged in compliance with the NPDES Permit No. GMG 290344  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process. Outfall Numbers and authority to discharge per NPDES Permit No. GMG 290344 at the surface location, EI 184 A platform for the EI 183 A7ST well have been requested from EPA. See Attachment ?EPA Filing? for details."
-76403,Y,
-76418,Y,
-76419,,
-76420,,
-76421,,
-76422,Y,GMG290000
-76423,,
-78091,,
-78092,,
-78093,,
-78094,Y,GMG 290208
-78095,Y,
-78404,Y,
-76704,Y,"1000 Sxs. Barite
200 Sxs. Gell"
-76705,,
-76706,,
-76707,,
-77904,Y,
-77905,,
-77906,Y,Not yet assigned
-77907,,
-79001,Y,
-85908,,
-85909,,
-85910,Y,"GMG290269
Outfall No. 023"
-85911,Y,
-85906,Y,"Minimum Mud Qunatities:
1000 sxs Barite and 200 sxs Gel"
-79050,Y,
-79051,Y,
-79052,,
-79053,,
-79054,Y,GMG 290180
-79055,Y,
-79084,N,
-79085,Y,
-79086,,
-79087,,
-79088,Y,GMG290132
-79089,,
-85932,Y,
-78408,Y,"Permit has been submited on 
May 15, 2008"
-78409,,
-78524,Y,
-78525,Y,No hydrocarbon based drilling fluids are planned.
-78526,,
-78527,,
-77901,,
-78528,Y,GM290000
-78529,N,See attached waiver.
-78610,Y,
-78611,Y,No hydrocarbon based drilling fluids are planned.
-78612,Y,
-78613,,
-78614,Y,GMG 290103
-78848,Y,Not yet assigned
-78849,,
-87148,Y,
-87149,,
-87150,Y,
-87151,,
-87152,Y,GMG460000
-87153,,
-87188,Y,
-87189,,
-87190,,
-87191,,
-87192,Y,GMG290000
-87193,,
-87234,Y,1000 sxs Barite and 200 sxs Gel.
-87235,Y,
-87236,,
-87237,,
-96862,Y,"2,400 sks of barite will be kept on the rig"
-96863,Y,"16/18 IO Base Mud.  Rig equipped with cuttings dryers to discharge per MMS/EPA requirements.  Zero discharge contingency equipment
"
-96864,Y,
-96865,,
-96866,Y,GMG290003
-96867,,
-88991,,
-88992,Y,Minimum mud quantities and mud material to be on board: SACKS BARITE-1000/SACKS GEL-200
-88993,,
-88994,,
-88995,,
-88996,Y,GMG290156
-88997,,
-89004,Y,
-89005,Y,
-90547,Y,
-90548,Y,
-90549,,
-90550,Y,"GMG290184
Discharge 112"
-90551,N,BHP's Approved Dropped Objects Plan will be in-place.  MMS approved Plan and the request not to shut-in wells during rig move on 3/16/09.
-90726,Y,
-89104,Y,
-89105,Y,
-89106,,
-89107,,
-89108,Y,GMG290163
-89109,,
-90546,Y,
-90727,Y,
-90728,,
-90729,,
-90730,Y,GMG290163
-90731,,
-91716,Y,
-91717,Y,
-91718,,
-91719,Y,Approved under original APD.
-90458,Y,
-90459,Y,
-90460,Y,
-90461,,
-90462,Y,Outfall No. 438B
-90463,,Skid Waiver Attached
-88074,Y,"1,000 sxs Barite, 200 sxs Gel"
-88075,,Synthetic Based Mud will be used. Disposal methods and monitoring will be in compliance with EPA current regulations.
-88076,,
-88077,,
-88078,Y,290002
-88079,,Subsea Well
-90072,Y,
-90073,Y,No hydrocarbon based muds are planned.
-90074,,
-90040,Y,
-90041,,
-90042,,
-90043,Y,Please see attached log.
-90044,Y,GMG290000
-90045,Y,
-90075,,
-90076,Y,GMG 290103
-90077,,
-90426,Y,Minimum of 720 Sacks Barite; 200 sacks Gel
-90427,,
-90428,,
-90429,,
-90430,Y,GMG290057/Outfall No. Pending
-90431,,
-90432,Y,
-91739,,
-91740,Y,EPA coverage has been requested under GMG290006. SBM is included.
-91741,,
-91842,Y,
-91843,,
-91844,,
-91845,,
-91846,Y,GMG 290351 
-91847,Y,
-91856,Y,
-91857,Y,
-91858,Y,
-91859,,
-91860,Y,GMG 290180; Outfall # pending
-91861,,
-91996,Y,"1000 sxs barite
200 sxs gel"
-91997,,
-91998,,
-91999,,
-92000,Y,GMG290312
-92001,Y,
-91976,Y,
-91977,Y,
-91978,,
-91979,,
-91980,Y,GMG290067
-91981,Y,
-92076,Y,"1000 sxs Barite, 200 sxs gel"
-92077,,
-92078,,
-92079,,
-92080,Y,GMG290024
-92081,Y,
-92096,Y,
-92097,,
-92098,,
-90746,Y,
-90747,,
-96349,Y,
-96350,,
-96351,,
-96352,Y,GMG 290067
-96353,Y,
-96304,Y,
-95786,Y,
-95787,Y,No hydrocarbon based drilling fluids are planned
-95788,Y,
-95789,,
-95790,Y,GMG 290103
-95791,,
-96952,Y,
-96305,Y,
-96306,Y,
-96307,,
-96308,Y,GMG290110
-96309,,
-96348,Y,
-96953,,
-96954,,
-97202,Y,
-97203,Y,
-97204,,
-97205,,
-97206,Y,GMG 290103
-97207,N,Please see attached Approval Ltr.
-96955,,
-96956,Y,GMG290073
-96957,Y,
-96990,Y,
-96991,,
-88731,,
-88818,Y,
-88819,,
-88820,,
-88821,,
-88822,Y,GMG 290185
-88823,Y,
-89594,Y,GMG290043
-89595,,
-89664,Y,
-89665,,
-89666,Y,
-89667,,
-89592,,
-89593,,
-88830,Y,
-88831,N,
-88832,,
-88833,,
-88834,Y,
-88835,Y,
-88866,Y,
-88867,Y,
-88868,Y,
-88869,,
-88870,Y,"Outfall Number:
GMG290184"
-88871,,
-88966,Y,"325 sks Barite, 200 sks gel"
-88967,Y,
-88968,,
-88969,,
-88970,,
-88971,Y,
-88986,Y,
-88987,,
-88988,,
-88989,,
-88990,Y,GMG290250
-90433,Y,
-90434,,
-90435,,
-90436,Y,GMG290180
-90437,Y,
-88280,Y,
-88281,,
-88282,,
-88283,,
-88284,Y,GMG290250 Outfall No. Pending
-88285,,
-88306,Y,
-88307,Y,
-88308,,
-88309,,
-88310,Y,GMG 290067
-88311,Y,
-90650,Y,GMG290351
-90651,Y,
-90913,,
-90914,,
-90915,,
-90916,Y,GMG 290126
-90917,,
-90826,Y,
-90918,Y,
-90827,,
-90748,,
-90749,,
-90750,Y,GMG290000
-90751,Y,
-90786,Y,
-90787,Y,
-90788,,
-90789,,
-90790,Y,OUTFALL NO. 143B
-90791,,
-95981,,
-95998,Y,
-95999,,
-96000,,
-96001,,
-95976,Y,Minimum of 1000 sxs. Barite and 200 sxs. Gel
-90818,Y,"1,000 sxs Barite, 200 sxs Gel"
-90819,,Synthetic Based Mud will be used. Disposal methods and monitoring will be in compliance with EPA current regulations.
-90820,,
-90821,,
-90822,Y,290002
-90823,,Subsea Well
-91323,N,See attached waivers.
-91354,Y,
-95977,,
-95978,,
-95979,,
-95980,Y,EPA Region VI NPDES Permit No. GMG290226/Outfall No. is pending.
-96002,Y,"EPA Discharge Permit No.
GMG 460000"
-91355,Y,
-91356,,
-91357,,
-91358,Y,GMG 290067
-91359,N,rig will already be on location conducting plugback operations.
-95126,Y,
-95127,,
-96204,Y,
-96205,Y,
-96206,Y,
-96207,,
-96208,Y,GMG290000
-96209,,
-96992,,
-96993,,
-96994,Y,"GMG290329
Outfall No. Pending"
-96995,Y,
-96996,Y,
-96997,,
-96998,,
-96999,,
-97000,Y,"GMG290329
Outfall No. Pending"
-97001,Y,
-97002,Y,
-97003,,
-97004,,
-97005,,
-97006,Y,"GMG290329
Outfall No. Pending"
-97007,Y,
-97008,Y,
-97009,,
-97010,,
-97011,,
-97012,Y,"GMG290329
Outfall No. Pending"
-97013,Y,
-97018,Y,
-97019,Y,
-97020,,
-97021,,
-97022,Y,GMG 290185
-97023,Y,
-91720,Y,GMG 290077 (copy of NOI attached)
-91721,Y,
-92234,Y,
-92235,,
-92236,,
-92237,,
-92238,Y,GMG290000
-92239,,
-93215,N,
-93216,Y,
-93217,,
-93218,Y,EPA coverage has been requested under GMG290006.  SBM is included in the request.
-93219,,
-93220,Y,
-93221,,
-89605,Y,
-89606,,
-89607,,
-89570,Y,
-89571,Y,
-89572,,
-103191,,
-103192,Y,GMG290073
-103193,Y,
-103194,Y,See Mud Quantities attachment.
-103195,,
-103196,,
-103197,,
-103198,Y,GMG290073
-97944,Y,
-97945,Y,
-97946,Y,
-97947,,
-97948,Y,"AT 618: Discharge No.: 119S
GMG290184"
-97949,,
-98531,Y,
-98532,Y,
-98533,,
-98534,Y,GMG290202 Outfall 181
-98535,,
-98542,Y,
-98543,Y,
-98544,Y,
-98545,,
-98546,Y,GMG290110
-98547,,
-98622,Y,
-98530,Y,
-98623,N,
-98624,N,
-98625,N,
-98626,Y,GMG290073
-98627,Y,
-98650,Y,
-98651,Y,
-98652,,
-98653,,
-98654,Y,GMG 290255
-98655,Y,
-98814,,"
"
-98815,,
-98816,,
-98817,,
-98818,Y,EPA NPDES Permit No./Outfall No. 002
-98819,,
-99852,Y,
-99853,Y,
-103798,Y,"All drilling mud and cuttings will be discharged in compliance with the NPDES Permit No. GMG 290079.  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process.  EPA outfall discharge numbers EI 302 Lease, OCS-G 21642 are 101A and 101T."
-103799,,
-103800,Y,
-103801,Y,
-103802,,
-103803,,
-103804,Y,
-103805,,GMG29103
-103995,,
-103996,,
-103997,,
-103998,Y,GMG290211
-103814,Y,
-103815,Y,
-103816,,
-103817,,
-103818,Y,NPDES GMG290184  -  OUTFALL PENDING
-103819,,
-103832,Y,
-103833,,
-103834,Y,10.5 ppg Pad Mud will be maintained on the rig.
-103835,,
-103836,Y,GMG290126
-103837,,
-103854,Y,
-103855,N,
-103856,N,
-103857,N,
-103858,Y,GMG290235
-103859,Y,
-103866,Y,
-103867,,
-103868,,
-103869,,
-103870,Y,All charges covered by our NPDES Permit GMG 290132.
-103994,Y,"200 sacks gel
1000 sacks barite"
-98226,,
-98227,,
-98228,Y,GMG 290185
-98229,,
-98250,Y,
-98251,N,
-98252,N,
-98253,N,
-98254,Y,GMG290235
-98255,Y,
-98414,Y,1000 sxs barite/ 200 sxs gel
-98415,Y,
-98416,,
-98417,,
-98418,Y,GMG 290157
-98419,,
-98438,Y,
-98439,Y,
-98440,Y,
-98441,,
-98442,Y,"AT 618: Discharge No.: 119S
GMG290184"
-98443,,
-99858,Y,
-99859,Y,
-99860,,
-99861,,
-99862,Y,GMG 290103
-99863,,
-99870,Y,
-99871,,
-99872,,
-99873,,
-99874,Y,GMG 290351
-99875,Y,
-99918,Y,
-99919,,
-99920,,
-99921,,
-117885,,
-117886,N,
-118267,Y,
-118268,N,
-118269,N,
-118270,N,
-103199,Y,
-103296,Y,
-103297,,
-103298,,
-103299,,
-103300,Y,GMG290235
-103301,Y,
-103330,Y,"1000 sacks barite
200 sacks gel"
-103331,,
-103332,,
-103333,,
-103334,Y,GMG290312
-103335,Y,
-103342,Y,
-103343,,
-103344,Y,
-103345,,
-103346,Y,
-103347,,
-103348,Y,
-103349,,
-103350,Y,
-103351,,
-103352,Y,
-103353,,
-103436,Y,
-103437,,
-103438,Y,
-103439,,
-103440,Y,"EPA NPDES Permit No. 290096, Outfall No. 447A/S"
-103441,,
-118271,Y,GMG290073
-98322,Y,"200 Sacks of gel and 464 sacks of barite will be maintained on the rig during drilling operations.  See Attachment  ? VR 96 #02 Barite Sack Calculations"" for details."
-98323,Y,
-98324,,
-98325,N,
-98326,Y,"All drilling mud and cuttings will be discharged in compliance with NPDES Permit No. GMG 290188.  Daily discharge rates will vary over the duration of the drilling process.  Outfall numbers and authority to discharge per NPDES Permit No. GMG 290188 for VR 96, OCS-G 32140, Well No. 02 have been requested from EPA.  See Attachment ?VR 96 NOI EPA? for details."
-98327,,
-98384,Y,
-98385,,
-98386,,
-98387,,
-98388,Y,GMG290073
-98389,Y,
-98845,N,
-98846,,
-98847,,
-98848,Y,Outfall - A/T/S Permit - GMG290006
-101394,,
-98432,Y,
-101395,,
-101396,Y,Yes. GMG 290126
-101397,,
-98800,Y,
-98433,N,
-98434,N,
-98435,N,
-98436,Y,GMG290073
-98437,Y,
-98801,Y,
-98802,,
-98803,,
-98804,Y,GMG 290103
-98805,,
-98844,Y,
-103871,Y,
-103884,Y,
-103885,Y,
-103886,Y,
-103887,,
-103888,Y,Outfall No. 245A
-103889,Y,
-103914,Y,
-103915,Y,
-103916,Y,
-103917,,
-103918,Y,GMG290375
-103919,,
-104000,Y,"1000 sxs Barite
200 sxs Gel"
-104001,,
-104002,,
-104003,,
-104004,Y,"GMG No. 290331
Outfall No. 012"
-104005,,
-103999,,
-104018,Y,
-104019,Y,
-104020,Y,
-104021,,
-104022,Y,GMG290202 Outfall 181
-104023,,
-99924,Y,
-99925,,
-99926,,
-99927,,
-99928,Y,GMG290375
-99929,,
-99922,Y,GMG 290351
-99923,Y,
-99942,Y,
-99943,Y,
-99944,Y,
-99945,,
-99946,Y,GMG290002-Outfall #080
-99947,,
-99958,Y,
-99959,Y,
-99960,,
-99961,,
-99962,Y,GMG 290091
-99963,Y,
-100072,Y,
-100073,Y,
-100074,Y,
-100075,Y,
-100076,Y,
-100077,Y,
-100172,Y,"1000 Sxs. Barite
200 Sxs. Gell"
-100173,,
