SN_WAR,TEXT_REMARK
-204067,"8/12/12 - Wash, ream, drill out cement to 26,482'.
NOTE:  Received email approval to delay pressure testing the Production Casing until after running the CBL from Bobby Nelson (Houma BSEE) to Dean Swanzy (Petrobras) at 15:24 hrs, 08 Aug 2012.
8/13/12 - Drill out cement to float collar at 26,588'.  Circulate and condition mud.  POOH.
8/14/12 - Functioned and flushed BOPs.  Circulated bottoms up from 8,217'.  POOH.  Function tested BSR's.  Running cement bond log.  
8/15/12 - POOH and laid down bond log tools.  RIH and set CIBP on wireline at 26,586'.   POOH with wireline.  Tested BSRs and casing to 6800 psi with 14.6 ppg SBM.  Prepare for derrick work to hang completion umbilicals.  
8/16/12 - Perform derrick work.  RIH with FMC BOP test plug.  Confirm test plug seated in wellhead.  Begin pressure testing BOP.
8/17/12 - Tested BOPs on 5 7/8"" drill pipe to 10,500 psi.  Begin POOH.  Slipped and cut drill line.  Function tested BSRs.
8/18/12 - Finish POOH.  Hang umbilical sheave assembly in derrick.  Performed derrick inspection.  Prepare to RIH to displace well to completion fluid.


"
-205186,"8/26/12 - Pull marine riser w/LMRP from 3,572' to 197', land LMRP, lay down 2 jts riser, rig down RRT, install elevators, rig down spider & gimble, WOW rig in transit southwest to avoid TS Isaac.
8/27/12 - WOW Vessel Moving Southwest @ 7 kts,@ 12:00 hrs stop transit & take on 1409 bbls 14.7 ppg  ZnBr f/vessel Corcovado, Cont transit west @ 00:00 hrs 108 NM from Cascade 5 wellhead.
8/28/12 - WOW, In transit f/  Lat 25° 54.005' N. Long 092° 39.776' W. Course: 275°. Speed: 7.4 knots. Distance from wellhead: 127NM @ 066°.t/  Lat 25° 57' 48""N. Long 093° 48'37""W. Heading: 280° in Auto dp. Distance from wellhead: 185NM @ 075°.
8/29/12 - WOW, DS-5 position @ Lat 25° 57' 48""N. Long 093° 48'37""W. Heading: 280° Speed: 0 knots in auto dp. Distance from wellhead: 185NM @ 075°, @ 21:00 hrs In transit to Cascade # 5.
8/30/12 - WOW In Transit back to Cascade # 5 Walker Ridge, on location @ 19:00 hrs, Perform Drift test, R/U Riser running equipment, P/U M/U 2 jts of marine riser, Prep moon pool f/LMRP,WOW.
8/31/12 - Prepare moon pool for movement of LMRP to well center, WOW, Make several attempts to move to well center, WOW, Monitor weather.
 9/1/12 - WOW to move LMRP to BOP cart, transfer LMRP t/BOP cart, remove lift cap & secure Mux cables, clean & inspect stabs, latch up LMRP to riser, install mux cable clamps & straps, pressure test boost & conduit to 5000psi, c & k lines 250/15000, run riser & LMRP to 1022'
"
-206327,"9/9/12 - Rig maintenance while waiting on subsea visibility to improve to land LMRP. 
9/10/12 - Moved rig over wellhead.  Landed LMRP on BOP.  Unlatched BOP from wellhead and moved rig to safe zone.  Standby for M/V Viking Poseidon to install and test production tree.
9/11/12 - At standby position in safe zone.
9/12/12 - At standby position in safe zone.
9/13/12 - At standby position in safe zone.
9/14/12 - At standby position in safe zone.
 9/15/12 - At standby position in safe zone.
"
-212081,"11.25.12 - Continue running 4 1/2"" production tubing.  Picked up SCSSV assembly.  Orientated SCSSV and pressure testing to 15,000 psi.
11.26.12 - Pressure tested SCSSV line.  Continue running 4 1/2"" production tubing.  Picked up FMC tubing hanger.  Terminated control lines and begin pressure testing tubing hanger.
11.27.12 - Completed pressure testing tubing hanger.  Picked up FMC THRT.
NOTE: Diverter function test due today covered by pre-approved Alternate Procedure.
11.28.12 - Picked up Schlumberger Sub-Sea Test Tree.  RIH with SSTT/THRT on 6 5/8"" landing string.
NOTE: BOP function test due today covered by pre-approved Alternate Procedure.
11.29.12 - RIH with SSTT/THRT.  Picked up surface flowhead and landed tubing hanger in tree.  Performed commissioning tests on tubing hanger.
11.30.12 - Performed negative test on SCSSV.  Displaced annulus to 11.6 ppg CaBr.  Rigged up slick line lubricator and pulled isolation sleeve.
12.1.12 - RIH with slick line and set lower crown plug. Tested plug.  Opened FS1 valve (down hole production valve).  Established well injection rate.  RIH with slick line and set upper crown plug.  Tested plug.  Rigged down slick line equipment.  Unlatched  SSTT and THRT.
"
-205009,"8/19/12 - Picked up displacement assemblies and RIH to 8,304'.  Standby while finishing derrick work and performed derrick inspection.  RIH picking up displacement assemblies.
8/20/12 - RIH to 26,571'.  Pumped 100 bbl 15.8 ppg SBM pill and circulated out same.  Begin cleaning pits and flushing lines to prepare for displacement to completion brine.
8/21/12 - Continued to flush and clean pits and lines.  Begin to prepare for TS Isaac.  POOH to pick up storm packer.  
NOTE:  Received email approval from Casey Kavanaugh (Houma BSEE) to Dean Swanzy (Petrobras) for TA procedure to abandon well for TS Isaac at 19:58 hrs, 21 Aug 2012.
8/22/12 - POOH to 17,736'.  Picked up storm packer and RIH to 26,571'.  Performed cased hole displacement to from 14.6 SBM to 14.7 ppg completion brine.
8/23/12 - POOH to 26,304' and set storm packer at 8,525'.  Tested packer to 1000 psi.  Displaced choke, kill, boost and riser to sea water in preparation to pull riser for storm evacuation.  Function tested BOPs and diverter.  POOH.  Function tested BSRs.  Performed 5 hour seawater negative test against casing using BSR and choke line.  RIH with WBRT and pulled same.  POOH.
8/24/12 - POOH and laid down wear bushing.  Pulled diverter.  Performed brake test.  Rigged up to pull riser.  Unlatched LMRP.  Attempt to pull riser - current too strong.
8/25/12 - Stopped operations due to current.  Deployed ROV.  Moved rig 1 mile northeast of pipeline.  Un-locked slip joint from tensioner ring and laid down same.  Pulling marine riser with LMRP while drifting with current.
"
-212557,"12.2.12 - Rigged down 55' bails and rigged up BX-4 elevators and rig bails.  Displaced riser to seawater.  POOH with landing string and FMC tubing hanger running tool with Schlumberger Subsea test tree.
12.3.12 - POOH.  Laid down FMC tubing hanger running tool with Schlumberger Subsea test tree.  Rigged down Schlumberger umbilical.  Begin backloading completion equipment to boats.
12.4.12 - Pulled diverter. Unlatched BOP from subsea tree.  Installed tree cap.  Moved to safe zone.  Pulling riser and BOP.
12.5.12 - Pulling riser and BOP.
12.6.12 - Pulled riser.  Positioned BOP transporter at well center.  Performed weight indicator load pin calibration using weight of BOPs.  Landed BOPs on transporter.  
12.7.12 - Perform top drive jog upgrade.  Performing function test on BOP.  
12.8.12 - Laying down 6.625"" drill pipe on auxiliary side.  RIH with 5.875 drill pipe on main rotary.  POOH laying down 5.875"" drill pipe in doubles.  Continue to perform maintenance on the BOP.
"
-200838,"7/1/12 ¿ POOH taking formation pressure samples with LWD.  RIH to TD and circulated bottoms up.  POOH.

7/2/12 ¿ Function tested BOPs and diverter.  POOH.  Function tested all shear rams.  POOH and laid down BHA.  RU wireline and RIH to log.

7/3/12 - Attempt to get wireline tool working.

7/4/12 - Ran Baker Flex & MREX tool to 26,698' (top of tar).  Logged up to 25,785'.  POOH and stuck tool at 24,259'.  Cut wireline and rigged up to strip over wireline. 

7/5/12 - Made up overshot assembly, positioned sheave in derrick, terminated wireline, ran wireline through fishing assembly, and stripped over wireline from surface to 11,043'.

7/6/12 - Stripped over wireline with overshot to 24,256'.  Engaged fish, released wireline from tool electrically and back spooled wireline splice to drum.
NOTE:  Received approval for 24 hr extension to casing evaluation (due 07 July 2012) from Bobby Nelson, Houma BSEE, to Dean Swanzy via email at 14:24 hrs, 06 July 2012.

7/7/12 - Spliced wire and reconnected same to drum.  Ruptured burst disc in fishing assembly, pumped slug, flushed choke and kill lines.  POOH to 16,336'.  Performed drawworks brake test.  Function tested BOPs including shear rams.  POOH and LD fishing assembly and logging tool fish."
-201441,"7/8/12 ¿ Completed laying down recovered wire line tools and fishing assembly.  Rigged up wire line and RIH with 60 arm caliper tool to 24,246¿ for casing evaluation.  Logged up to 9,750'.  POOH and cleaned tool of cuttings/tar residue.  RIH and logged up from 9,750' to 8,217'.  POOH.  RIH with Baker RCI tool.  Troubleshoot tool problems.
NOTE: Received approval for 24 hr casing evaluation extension from Bobby Nelson (Houma BSEE) to Dean Swanzy (Petrobras) via email at 14:24 hrs, 06 July 2012.
7/9/12 ¿ Logging with RCI taking formation pressures and fluid sample.
7/10/12 ¿ Took formation sample at 25,846¿.  Tool stuck when attempting to release from sample point.  Cut wire line and rigged up for fishing operations.
7/11/12 ¿ RIH with drill pipe to 15,183¿ stripping over Baker wireline.
NOTE: Received approval for 24 hr extension to BOP test due 11 July 2012 from Bobby Nelson (Houma BSEE) to Greg Roland (Petrobras) via email at 09:52 hrs, 11 July 2012 due to stuck logging tool. 
7/12/12 ¿ RIH stripping over wireline and engaged fish.  Released wire line from RCI tool.  POOH with wireline.
NOTE: Received approval for additional 24 hr extension to BOP test due 12 July 2012 from Bobby Nelson (Houma BSEE) to Greg Roland (Petrobras) via email at 13:09 hrs, 12 July 2012 due to stuck logging tool. 
7/13/12 ¿ POOH with wireline.  POOH with drill pipe and logging tool fish.  RIH with FMC BOP test plug with 5 1/2"" drill pipe test joint.
NOTE: Received approval for additional 12 hr extension to BOP test due 13 July 2012 from Bobby Nelson (Houma BSEE) to Dean Swanzy (Petrobras) via email at 19:08 hrs, 13 July 2012 due to stuck logging tool. BOP test now due by 12:00 hrs, 14 July 2012. 
7/14/12 ¿ RIH with BOP test plug.  Started testing BOP on 5 1/2¿ drill pipe at 03:30 hrs.  Tested BOP on 5 1/2¿.  POOH.  RIH with BOP test plug with 6 5/8¿ drill pipe test joint.  Testing BOP on 6 5/8¿.  
"
-201921,"7/15/12 ¿ Pressure test BOP's from Toolpushers panel on yellow pod with 6 5/8"" DP against FMC test plug. All VBR's & failsafes to 250 psi low and 8,400 psi high f/ 5 min ea., annulars 250/ 4,400 psi 5 in each, Function test BOP's, Pump slug, POOH, rack back FMC tool, M/U 12 1/4"" assembly & RIH.
7/16/12 ¿ Cont to RIH w/ 12 1/4"" clean out assembly t/8,163', open and adjust CMC. Pass through BOP disarmed EHBS and select non-shearable informed bridge, continue RIH t/24,198', break circulation, continue RIH t/26,670', Circulate Condition Mud, pumped 100 bbl sweep, flow check, pump slug & POOH.
7/17/12 ¿ POOH w/12 1/4"" assembly t/16,685', function test BOP's & diverter, disarmed EHBS, continue to POOH t/810', pull BHA & L/D bit, clean rig floor, held PJSM, R/U Baker W/L, RIH w/RCI & caliper, pressure sample & caliper log, POOH f/ 25,720', L/D tools.
7/18/12 ¿ M/U SWC tools, RIH t/24,283', Stuck. Attempt t/ free W/L max pull 17,400 lbs, Prepare to strip over W/L, Slip/cut 140' d/line, Brake test, Calib, Reset f & c savers, R/U stripping over W/L, troubleshoot W/L unit, RIH t/ 4,636' stripping over W/L.
7/19/12 ¿ Strip over wireline on 6-5/8"" DP f/ 4,636' t/ 19,154', Baker cut 7' below socket to reduce tension f/11k t/ 10.5 k, Continue strip over w/line w/ 6-5/8"" DP f/ 19,154' t/ 21,588'.
7/20/12 ¿ Strip over W/L t/ 24,235', space out, circ, strip t/ 24278, press up t/1900 psi, rupture disc t/confirm latch, install t/bar, terminate line, establish communications, work W/L free, cut & reterminate line, install ses, RIH t/25690, take SWC t/ 25880'.
7/21/12 ¿ RIH t/25,890 W/L depth taking SWC, tool stuck attempt to free, sheared off, pump slug & POOH t/24,149', shear W/L, install t-bar assist at sheaves, splice W/L, troubleshoot problems w/SDI, POOH w/ W/L, POOH w/ DP & fish.
"
-195992,"4/8/12 - CCM, Check well for flow, POOH, M/U FMC SLT, TIH.

4/9/12 - Set FMC test plug, pressure test BOP's, function test BOP's, test diverter, POOH, M/U CMT stinger, TIH.
4/10/12 - TIH w/cement stinger, set W/B, TIH t/18,683', CCM, mix & pump cement, displace cement, POOH.

4/11/12 -  POOH f/15,123' t/11793', slip & cut 179' drill line, reset crown sensor, cont pooh pull W/B w/40k over pull, cont to pooh L/D stinger, clean rig floor, held PJSM, change out upper, lower IBOP & saver sub.

4/12/12 - Complete work on p/handler, P/U Directional BHA, down load MWD, change out under reamer, cont to TIH w/BHA t/1034', RIH BHA on dp t/8504', set w/bushing, cont TIH t/17,863', W & R, tagged cmt @ 17,900', drill t/17,973' attempting to get off cement plug.

4/13/12 - Wash & Ream, tag firm cmt @ 18035', time drill f/18,035'  t/18,094', activate NOV Reamer, open hole f/17968'  t/18093, t/shoot problem w/cyber chair, drill/f/18093 t/18357', problems w/down linking, trouble shoot problem sending downlink to Auto Trac.

4/14/12 - Drilled and surveyed 18.125"" X 19.5"" Directional hole from 18,357' to 18,390', changed out Baker BPA, on standpipe manifold, cont to drill taking MWD surveys F/18,390' T/ 19,248'."
-195993,"4/15/12 - Drilled 18 1/8"" x 19 1/2"" hole to 20,010'.

4/16/12 - Drilled to 20,476'.  POOH to 20,449' and function tested BOP.  Drilled to 20,486¿ while attempting to down link to Baker rotary steerable assembly - no success.  POOH five stands.

4/17/12 - Flow checked and pumped slug.  POOH to 11,144'.  Downlinked to Baker assembly.  RIH to 20,406'.  Wash down to 20,486'.  Drilled to 20,607'.

4/18/12 - Drilled to 20,691' ¿ cannot downlink to Baker tools.  Circulated and raised mud weight to 9.9 ppg.  Flow checked and POOH.

4/19/12 - POOH and laid down BHA.  Picked up FMC test assembly for blind/shear ram test.

4/20/12 - RIH with FMC test assembly.  Landed out in wellhead and released from tool.  POOH and checked that tool released as required.  Tested top and bottom blind/shear rams to 250/2500 psi 5 minutes each.  Changed retrieving sub and RIH.  Retrieved FMC test assembly and POOH.

4/21/12 - POOH and laid out FMC assembly.  Rigged up Schlumberger and ran USIT casing inspection log to satisfy 30 day casing test requirement.  Rigged down Schlumberger.  RIH with FMC test assembly to test BOP.  Begin testing BOP to 250/5900 psi."
-195998,"4/22/12 ¿ Finish testing BOPs to 250/5,900 psi.  Function tested BOPs.  Function tested diverter.  POOH and laid out FMC test tool.  Picked up 18 1/8"" x 19 1/2"" BHA.
4/23/12 ¿ Picked up 18 1/8"" x 19 1/2"" BHA and RIH to 11,950'.  Slip and cut drill line.  RIH. Washed and reamed from 20,403' to 20,650' due to tight hole.
4/24/12 ¿ Worked pipe at 20,650¿ and raise mud weight to 10.0 ppg.  Washed and reamed to 20,691'.  Raised mud weight to 10.2 ppg.  Spotted 100 bbls of 16.0 ppg mud in rathole for casing operations.  POOH.

NOTE:  Received verbal approval to run 16¿ casing to a shallower depth than planned from Bobby Nelson (Houma BSEE) to Dean Swanzy at 16:01 hrs, 24 Apr 2012.

4/25/12 ¿ POOH washing 16"" profile on way out.  Laid down BHA.  Made up cementing head stand.  Attempted drawworks brake test - no success.

4/26/12 ¿ Changed brake pads and burned in same.  Performed successful brake test.
4/27/12 ¿ Rigged up casing running equipment.  Running 16"", 96 ppf, HCQ-125 casing.
NOTE:  Received official approval, via email, of modified permit to set 16¿ casing shallower than planned from Bobby Nelson (Houma BSEE) at 14:22 hrs, 27 Apr 2012. 
4/28/12 ¿ Finished running 16"" casing (226 jts total).  Rigged down casing equipment.
"
-196157,"4/29/12 - R/D Franks, R/U Weatherford, Run 16"" CSG on landing string, wash thru profile, R/U Blackhawk & land out casing, shift sleeve & convert Baker surge tool.
4/30/12 ¿ Held PJSM, clear plugged cmt lines & manifold, Perform CMT job on 16"" csg as POA, Displace as POA, attempt to release hanger, L/D cmt head, space out and function test, R/D Franks & Weatherford.
5/01/12 ¿ R/D Franks & Weatherford, pump slug & POOH, L/O FMC seal assy, Clear floor, M/U & RIH w/ FMC polish assy.

5/02/12 ¿ RIH wash profile, POOH to 7048¿, Slip and Cut drill line, Displaced riser drom 10.2 ppg to 10.0 ppg. Continue to POOH. M/U FMC tool and RIH to 7442¿.

5/03/12 ¿ TIH to top of 16"" liner top, Install and test seal assembly, POOH above BOP,s, Test BSR,s & casing, Continue to POOH to surface. P/U 14 3/4"" x 16 1/2"" BHA.
5/04/12 ¿ P/U 14 3/4"" x 16 1/2"" BHA, TIH, Drill cement & shoe track, Circulate above BOPs.
5/05/12 - Circulate, Perform FIT, Cut mud wt in riser to 10.1 ppg, POOH.
"
-196660,"5/6/12 - Continued to trouble shoot top drive proximity switch.  POOH. Picked up FMC test tool and RIH.  Pressure tested to 250 psi low and 5900 psi high on all BOP components.
5/7/12 ¿ Tested BOPs.  POOH with test tool.  RIH with 16¿ RTTS to confirm low LOT on 16¿ shoe. 
5/8/12 ¿ RIH. Begin diagnostics to confirm LOT. Set RTTS at 11,218¿.  Tested 16¿ liner top and 22¿ casing to 2,500 psi.  RIH.  Set RTTS at 13,472¿.  Tested 16¿ collapse disks, 16¿ liner top and 22¿ casing to 2500 psi.  RIH.  Set RTTS at 19,112¿.  Established injection rate test on 16¿ shoe.  POOH with RTTS.

5/9/12 ¿ POOH.  RIH with cement stinger to squeeze 16¿ shoe.

5/10/12 ¿ Circulated well back to 10.1 ppg SBM in stages at 12,000', 16,000' and 20,476'.  Mixed and pumped cement.
5/11/12 ¿ Performed cement squeeze on 16¿ shoe.  WOC.  POOH.
5/12/12 ¿ POOH.  Picked up 14 3/4"" x 16 1/2"" BHA and RIH.
"
-196842,"5/13/12 - TIH with 14 3/4"" x 16 1/2"" BHA.  Drilled out shoe track and performed FIT to 13.2 ppg EMW.  Start displacing choke manifold, choke, kill and boost lines to 11.0 ppg.
5/14/12 ¿ Finished displacing to 11.0 ppg.  Washed and reamed rat hole.  Opened reamer and pull tested against 16¿ shoe.  Drilled 14 3/4"" x 16 1/2"" hole to 20,895'.
5/15/12 ¿ Drilled 14 3/4"" x 16 1/2"" hole to 21,650'.
5/16/12 ¿ Drilled 14 3/4"" x 16 1/2"" hole to 22,602'.
5/17/12 ¿ Drilled 14 3/4"" x 16 1/2"" hole to 22,935'.
5/18/12 ¿ Drilled 14 3/4"" x 16 1/2"" hole to 23,520'.
5/19/12 - Drilled 14 3/4"" x 16 1/2"" hole to 23,550'.  Circulated bottoms up and POOH to test BSRs.  Slipping and cutting drill line.
"
-198229,"5/27/12 ¿ Rigged up Baker wireline and RIH.  Logged with WGI-HDIL-XMAC-ORIT-CDL-CN-DSL-TTRM-ISI-MRCH from 24,418¿ to 20,169¿.  POOH and rigged down.  Made up 14.75¿ x 16.5¿ BHA and RIH.
5/28/12 ¿ Function tested BSR and CSR rams.  RIH to 20,431'.  Performed drawworks brake test and slipped and cut drill line.  RIH to 24,019¿.  Washed and reamed from 24,019' to 24,323'.  Opened 14.75¿ hole to 16.5¿ from 24,323' to 24,347'.
5/29/12 ¿ Opened hole from 24,347' to 24,471'.  Spotted 40 bbl of 16.0 ppg pad mud.  POOH to 20,431'.  Function tested BOPs and diverter.  POOH.
NOTE: At 13:50 hrs on 29 May 2012, Bobby Nelson, Houma BSEE, granted verbal approval to Dean Swanzy to begin running the 13 5/8¿ casing to a shallower depth than permitted.
5/30/12 ¿ POOH and laid down BHA.  Picked up wash tool and RIH to wash wellhead.  Pulled wear bushing and POOH.  Laid down wash assembly.
5/31/12 ¿ Slipped and cut drill line.  Performed brake test.  Rigged up to run casing.  Running 13 5/8"", 88.2 ppf, Q-125HC, Hy523 casing.
6/01/12 ¿ Function tested BSR and CSR rams.  Running 13 5/8"" casing.
NOTE: Received approval for 24 hr extension of the 22¿ x 16¿ casing pressure test (now due 03 June 2012) via email from Bobby Nelson, Houma BSEE, to Dean Swanzy at 06:42 hrs, 01 June 2012.
6/02/12 ¿ Ran 13 5/8"" to 14,235¿.  Ran 14¿, 113 ppf, Q-125HC, Hy523 casing to /16,194'.  Made up hanger assembly.
NOTE: Received approval for an additional 24 hr extension of the 22¿ x 16¿ casing pressure test (now due 04 June 2012) via email from Bobby Nelson, Houma BSEE, to Dean Swanzy at 13:31 hrs, 02 June 2012.
"
-197537,"5/20/12 ¿ Rig Repair.  RIH with EHOT assembly and set in wellhead.  Disconnected from tool.  Tested upper and lower BSRs to 250/3820 psi with 11.3 ppg mud and function tested casing shear rams while POOH.  Removed acme thread from running tool and RIH to retrieve EHOT assy.
5/21/12 ¿ RIH and retrieved EHOT.  POOH.  RIH with FMC test plug and wear bushing.  Set wear bushing and test plug.  Begin testing BOPs to 250/5900 psi.
5/22/12 ¿ Finished testing BOPs to 250/5900 psi.  POOH.  Rig maintenance.  Picked up 14 3/4"" x 16 1/2"" BHA.  
5/23/12 ¿ Function tested upper and lower BSRs and casing shear rams while finish BHA work.  RIH to 20,738'.  Attempted to downlink to Baker LWD.  POOH.
5/24/12 ¿ POOH to 17,832'.  Downlinked to LWD.  RIH to 23,340'.  Washed and reamed to 23,550'.  Drilled to 23,955'.
5/25/12 ¿ Drilled to 24,486' MD / 23, 976¿ TVD.  Raised mud weight from 11.6 to 11.8 ppg (max MW for WCST).  POOH to log and run casing.
NOTE:  J. Freeman, J. Liner and C. Martens, Houma BSEE inspectors, on rig at 0900 hrs and left rig at 1410 hrs.  Two INCs were issued for BSR discrepancies.
5/26/12 ¿ POOH and lay down BHA.  Rigged up to log.
"
-198718,"6/3/12 - Ran 13-5/8"" X 14"" casing on landing string.  Landed casing in wellhead.  Shoe at 24,233¿(The ARB approved on 29 May 2012 was for a setting casing at 24,435 feet MD and 23,929 feet TVD; howevwe, due to erroneous tally, the setting casing is 200 feet shallower than the approved setting casing. A second ARB was submitted on 12 June 2012 to correct the setting casing to 24,233 feet MD and 23, 746 feet TVD).  Cemented casing with 225 bbls (1263 cu ft) of 16.4 ppg Class H cement.  Displaced cement and bumped plug.
6/4/12 ¿ Checked that floats were holding.  Set FMC casing hanger packoff and tested seals to 7000 psi.  Laid down cement head and POOH.  Begin picking up 12-1/4"" BHA.
6/5/12 ¿ Picked up 12-1/4"" BHA and RIH to 3362¿.  Made up FMC wear bushing and BOP test tool into the string.  RIH and set wear bushing and landed out test plug in wellhead.  Begin testing BOP on 6-5/8"" DP to 250/8,400 psi on rams and 250/4,400 psi on annulars.  Function tested diverter.
6/6/12 ¿ Finished BOP test on 6-5/8¿ DP.  POOH to 3362¿.  Redressed test plug and installed stand of 5 1/2¿ DP on top of test plug.  Slip and cut drill line.  RIH and landed out test plug in wellhead.  Tested BOP on 5-1/2¿ DP to 250/8,400 psi on rams and 250/4,400 psi on annulars.  POOH.  Function tested BOP.
6/7/12 ¿ POOH to 6769¿.  Function tested BOP.  Function tested BSRs and CSR.  Tested 14¿ x 13-5/8¿ casing and lower BSR to 4500 psi with 11.8 ppg mud for 30 minutes ¿ good test.  Tested upper BSR against casing to 4500 psi with 11.8 ppg mud for 5 minutes.  Function tested diverter.  POOH and laid out BOP test tool.  RIH to 23,763¿.  Wash and ream 23,763¿ to 24,000¿.  Begin drilling out shoe track.
6/8/12 ¿ Drilled shoe track from 24,000' to shoe at 24,233'.  Cleaned out cement free rat hole to 24,271' - stuck pipe and worked free (jars not working).  Performed FIT to 15.45 ppg.  POOH to 24,125' and begin displacing well from 11.8 ppg to 14.6 ppg.
6/9/12 ¿ Finished displacing to 14.6 ppg.  POOH to change out jars.
"
-207015,"9/16/12 - Standby in safe zone while M/V Viking Poseidon completes testing of subsea tree.  Transited back to wellhead and latch BOP on wellhead.  Installed diverter and rigged down riser handling equipment.
9/17/12 - RIH with FMC test plug assembly.  Function tested diverter.  RIH with test plug.  Attempted to test upper annular - test failed due to leak between LMRP and BOP.
9/18/12 - POOH with test plug assembly to 6,407'.  Picked up BLAT tool and engaged same in lower section of slip joint.  Unlatched LMRP and positioned rig in safe zone.
9/19/12 - ROV retrieved ring gasket and came to surface.  ROV cleaned BOP profile and installed new ring gasket.  Landed out LMRP.
9/20/12 - Released BLAT tool.  RIH with test plug.  Tested BOPs (250/4400 psi annulars and 250/10500 psi rams).  Function tested BOPs on yellow pod.
9/21/12 - POOH with test plug.  RIH with Halliburton RTTS retrieval assembly.  Displacing riser from seawater to 14.7 ppg ZnBr2.  
9/22/12 - Displaced riser.  Retrieved RTTS and POOH.  RIH with clean out assembly to 26,571'.  Circulating and filtering 14.7 ZnBr2.
"
-205717,"9/2/12 - Held Pre-job Safety Meeting, continue run LMRP to 25 jts 1,922', install test cap, Howco test Choke/Kill lines 250/15,000 psi, test Boost & Conduits 250/5000, continue running LMRP f/1,922' t/2,897',held Pre-job Safety Meeting , continue to run LMRP f/2,897' t/3,797,p/ test, continue to run LMRP f/3,797' t/4,547'.
9/3/12 - Held Prejob Safety Meeting, run LMRP f/4,547' t/5,297', install test cap, test Choke/Kill 250/15,000, Boost & Conduits 250/5,000 psi, reposition vessel to safe zone, run LMRP & riser f/5,297' t/8,081' install test cap, test Choke/Kill 250/15,000, Boost & Conduits 250/5,000 psi, pick up, make up telescoping joint.
9/4/12 - Held PJSM, lock in tensioner ring, take 20k o/ pull, nipple up Telescoping Jt. & hang mux cable sheaves & install service lines, install t/ cap,P/ test C/K 250/15,000 psi w/Howco/ test conduit/ boost 250/ 5,000psi,Sub sea flush conduit lines, Monitor Visibilty, Work on ROV .
9/5/12 - ROV perform tether re-termination, ROV jump in water for test dive, ROV jump in water for dive 261' to 6,425' inspecting all mux cables. ROV pull up from 6,425' to 3,200' due to current.
9/6/12 - ROV down from 3,000' to 7,740' to inspect MUX cables and LMRP ring gasket in preparation for LMRP latch up. ROV back up from 7,740' to 3,000' due to current and lack of visibility. ROV pull up from 3,000' to surface. ROV on standby.
9/7/12 - ROV on standby at surface, ROV in water at 03:00hrs Dive #262 to inspect visibility.
 9/8/12 - Continue to standby with ROV and making dives every 5-6 hours.
"
-207497,"9.23.12 - Circulated and filtered 14.7 ppg ZnBr.  Function tested BOP.
9.24.12 - Circulated and filtered 14.7 ppg ZnBr.  Function tested diverter.
9.25.12 - Circulated and filtered 14.7 ppg ZnBr.  POOH.  Functioned all shear rams.  Tested casing and LBSR to 250 psi for 5 minutes / 6,800 psi for 30 minutes and UBSR to 250/6800 psi for 5 minutes from yellow pod.  Rig up to set sump packer.
NOTE:  Noticed small leak on supply regulator on yellow pod.  Called and discussed with Bobby Nelson (Houma BSEE).  Received email from Bobby Nelson (Houma BSEE) at 17:00 hrs, 25 Sep 2012 that operations may not proceed past setting the sump packer until this leak is repaired.
9.26.12 - RIH and set sump packer at 26,355'.  POOH and rig down wireline.  Prepare to pull riser due to BSEE orders.  Slipped and cut drilling line.  Performed brake test.  Closed upper and lower BSRs.  Displaced riser to seawater.  Rigged up to pull riser.  Prep to pull diverter.
NOTE:  Petrobras sent email to Bobby Nelson (BSEE Houma) at 10:27 hrs, 26 Sep 2012 containing Risk Assessment and specific Work Instructions pertaining to the small leak on the yellow pod regulator.  Made five phone call attempts to discuss same with BSEE with no reply.  Received email from Bobby Nelson (BSEE Houma) at 12:30 hrs, 26 Sep 2012 stating the Risk Assessment had been taken into consideration but the Houma District will not approve operations to continue beyond setting the sump packer without the leak being repaired     
9.27.12 - Pulled diverter.  Collapsed slip joint.  Unlatched LMRP.  Moved to safe zone and begin pulling LMRP and riser.
9.28.12 - Pulling LMRP and riser.  
9.29.12 - Pulled LMRP and riser to surface.  Moved LMRP to Port side.  Repair and test LMRP.
"
-208093,"9.30.12 - Repaired step down regulator on LMRP.  Surface testing LMRP.
10.1.12 - Completed surface testing LMRP.  WOW to run LMRP and riser.
10.2.12 - WOW.  Begin running LMRP and riser.
10.3.12 - Running LMRP and riser.
10.4.12 - Ran LMRP and riser.  Landed and locked LMRP to BOP.
10.5.12 - Performed 50k overpull.  Stroked out telescoping joint and laid down handling joint.  Installed diverter.  Rigged down riser handling equipment.  RIH with FMC BOP test plug.  Testing BOP on 5 7/8"" drill pipe.
10.6.12 - Tested BOP on 5 7/8"" (250/4,400 psi annulars and 250/10,500 psi rams).  Performed stripping test on 5 7/8"" drill pipe and 6 5/8"" slick joints.  POOH and laid down 5 7/8"" test assembly.  RIH to test BOP on 6 5/8"".
"
