Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports,Year
C0007327,1,THEBES (IMO 8204286),THEBES (IMO 8204286): ,Egypt,,1994-06-11 00:05:00,,Marine casualty,,In the Western Approaches to Torres Strait,,1,Unknown,1994
C0001070,1,SARAY STAR,SARAY STAR: ,Malta,Passenger/Ro-Ro Cargo,1994-06-10 00:00:00,,Marine incident,,,,0,,1994
C0001069,1,AL RAYYAN 1 (IMO 6716962),AL RAYYAN 1 (IMO 6716962): ,Panama,Other Bulk Dry,1994-06-09 00:00:00,,Marine incident,,,,0,,1994
C0007341,1,RALI II (IMO 7645524),RALI II (IMO 7645524): ,Canada,,1994-06-07 01:40:00,,Marine casualty,,Est de l'Île du Cap Breton,,1,Unknown,1994
C0001068,1,HH 208-FRIESLAND,HH 208-FRIESLAND: ,Germany,Dredging,1994-06-07 00:00:00,,Marine incident,,,,0,,1994
C0007509,1,CAPE GRAFTON,CAPE GRAFTON: ,Australia,,1994-06-02 07:55:00,,Marine casualty,,"Dent Island, Whitsunday Group, Queensland",,1,Australia,1994
C0001067,1,JAYAPURA (IMO 7129984),JAYAPURA (IMO 7129984): ,Panama,General Cargo,1994-06-01 00:00:00,,Marine incident,,,,0,,1994
C0001066,1,JAG SHANTI (IMO 7122601),JAG SHANTI (IMO 7122601): ,India,Bulk Dry,1994-05-28 00:00:00,,Marine incident,,,,0,,1994
C0001065,1,AL QAMAR AL SAUDI AL MISRI (IMO 7015365),AL QAMAR AL SAUDI AL MISRI (IMO 7015365): ,Egypt,Passenger/Ro-Ro Cargo,1994-05-19 00:00:00,,Marine incident,,,,0,,1994
C0001064,2,"ARIAKE REEFER (IMO 7902984), MING FORTUNE","ARIAKE REEFER (IMO 7902984): , MING FORTUNE: ","Panama, Unknown","Refrigerated Cargo, Refrigerated Cargo",1994-05-14 00:00:00,,Marine incident,,,,0,,1994
C0001063,2,"DAMANSARA (IMO 8421614), MING WISDOM","DAMANSARA (IMO 8421614): , MING WISDOM: ","Malaysia, Unknown","Oil Tanker, Oil Tanker",1994-05-09 00:00:00,,Marine incident,,,,0,,1994
C0001062,1,ANA MARIA,ANA MARIA: ,Ecuador,Oil Tanker,1994-05-02 00:00:00,,Marine incident,,,,0,,1994
C0007280,1,PROVINCIAL TRADER,PROVINCIAL TRADER: ,Australia,,1994-05-01 02:05:00,,Very serious marine casualty,,"Of Eden, New South Wales",,1,Unknown,1994
C0001061,1,JOHN HENRY,JOHN HENRY: ,United States,Passenger/Ro-Ro Cargo,1994-04-30 00:00:00,,Marine incident,,,,0,,1994
C0002413,1,JADE STAR (IMO 9046564),JADE STAR (IMO 9046564): ,Canada,Chemical Tanker,1994-04-24 00:00:00,,Marine casualty,,"Sainte-Croix, Quebec",,0,,1994
C0001060,1,LAVEST (IMO 7336496),LAVEST (IMO 7336496): ,Cyprus,General Cargo,1994-04-20 00:00:00,,Marine incident,,,,0,,1994
C0007222,1,UNION ROTOMA,UNION ROTOMA: ,New Zealand,Ro-Ro Cargo,1994-04-19 18:35:00,,Marine incident,35° 14.50' S 155° 16.00' E,On passage from New zeland to Port Botany,,1,Unknown,1994
C0001058,1,VIANA (IMO 7008910),VIANA (IMO 7008910): ,Panama,Fish Catching,1994-04-16 00:00:00,,Marine incident,,,,0,,1994
C0001059,1,TABASCO (IMO 7823853),TABASCO (IMO 7823853): ,Mexico,General Cargo,1994-04-16 00:00:00,,Marine incident,,,,0,,1994
C0001057,2,"FAYROUZ II (IMO 8118126), SHUI YUE 107","FAYROUZ II (IMO 8118126): , SHUI YUE 107: ","Greece, Unknown","Bulk Dry, Bulk Dry",1994-04-10 00:00:00,,Marine incident,,,,0,,1994
C0001052,1,INTREPIDO (IMO 3503950),INTREPIDO (IMO 3503950): ,Venezuela (Bolivarian Republic of),Fish Catching,1994-04-09 00:00:00,,Marine incident,,,,0,,1994
C0001050,1,COLON III (IMO 7728431),COLON III (IMO 7728431): ,Panama,Passenger/Ro-Ro Cargo,1994-04-04 00:00:00,,Marine incident,,,,0,,1994
C0001051,1,ELATMA (IMO 3503869),ELATMA (IMO 3503869): ,Russian Federation,General Cargo,1994-04-04 00:00:00,,Marine incident,,,,0,,1994
C0001049,1,RIVER MAJIDUN (IMO 7716701),RIVER MAJIDUN (IMO 7716701): ,Nigeria,General Cargo,1994-04-03 00:00:00,,Marine incident,,,,0,,1994
C0001048,1,LAGUNA,LAGUNA: ,Latvia,Fish Catching,1994-03-31 00:00:00,,Marine incident,,,,0,,1994
C0001047,2,"BAYNUNAH (IMO 8026206), SEKI (IMO 9036454)","BAYNUNAH (IMO 8026206): , SEKI (IMO 9036454): ","Unknown, Panama","Oil Tanker, Oil Tanker",1994-03-30 00:00:00,,Marine incident,,,,0,,1994
C0001046,2,"CAPO CERVO, UNITY IV","CAPO CERVO: , UNITY IV: ","Unknown, Honduras","General Cargo, General Cargo",1994-03-26 00:00:00,,Marine incident,,,,0,,1994
C0001045,1,GENERAL VLADIMIR ZAI,GENERAL VLADIMIR ZAI: ,Ukraine,General Cargo,1994-03-25 00:00:00,,Marine incident,,,,0,,1994
C0001365,1,DONA TINA (IMO 7025396),DONA TINA (IMO 7025396): ,Honduras,General Cargo,1994-03-25 00:00:00,,Marine incident,,,,0,,1994
C0001366,1,SOFALA (IMO 6815952),SOFALA (IMO 6815952): ,Panama,General Cargo,1994-03-25 00:00:00,,Marine incident,,,,0,,1994
C0001044,1,STOLIDI (IMO 7381520),STOLIDI (IMO 7381520): ,Malta,Other Liquids,1994-03-20 00:00:00,,Marine incident,,,,0,,1994
C0001042,2,"NASSIA (IMO 7385629), SHIPBROKER (IMO 7904487)","NASSIA (IMO 7385629): , SHIPBROKER (IMO 7904487): ","Cyprus, Unknown","Oil Tanker, Oil Tanker",1994-03-13 00:00:00,,Marine incident,,,,0,,1994
C0001043,2,"NASSIA, SHIPBROKER (IMO 7904487)","NASSIA: , SHIPBROKER (IMO 7904487): ","Unknown, Cyprus","Bulk Dry, Bulk Dry",1994-03-13 00:00:00,,Marine incident,,,,0,,1994
C0001041,1,SAMSUN BRAVE (IMO 8021787),SAMSUN BRAVE (IMO 8021787): ,Saint Vincent and the Grenadines,Fish Catching,1994-03-06 00:00:00,,Marine incident,,,,0,,1994
C0001364,1,DALIA (IMO 6904545),DALIA (IMO 6904545): ,Honduras,General Cargo,1994-03-06 00:00:00,,Marine incident,,,,0,,1994
C0001039,1,FALTICENI (IMO 7640598),FALTICENI (IMO 7640598): ,Romania,General Cargo,1994-03-05 00:00:00,,Marine incident,,,,0,,1994
C0001040,1,LEADER FORTUNE (IMO 7701093),LEADER FORTUNE (IMO 7701093): ,Panama,Other Bulk Dry,1994-03-05 00:00:00,,Marine incident,,,,0,,1994
C0007500,1,AUSTRALIAN ACHIEVER,AUSTRALIAN ACHIEVER: ,Unknown,,1994-03-03 00:00:00,,Very serious marine casualty,,Off the north-west coast of W.A.,,1,Australia,1994
C0001363,1,NL 251,NL 251: ,United States,Other Dry Cargo,1994-03-01 00:00:00,,Marine incident,,,,0,,1994
C0001361,1,YUJIN BUSAN,YUJIN BUSAN: ,Panama,Oil Tanker,1994-02-27 00:00:00,,Marine incident,,,,0,,1994
C0001362,1,WEISSHORN,WEISSHORN: ,Cyprus,General Cargo,1994-02-27 00:00:00,,Marine incident,,,,0,,1994
C0001360,1,KAWARI,KAWARI: ,Cyprus,Bulk Dry,1994-02-25 00:00:00,,Marine incident,,,,0,,1994
C0007494,1,BOA FORCE (IMO 7625990),BOA FORCE (IMO 7625990): ,Norway,,1994-02-24 00:00:00,,Marine casualty,,On Saladin No.3 Wellhead off Thevenard Island,,1,Australia,1994
C0000869,1,SCOT TRADER (IMO 8521414),SCOT TRADER (IMO 8521414): ,Germany,General Cargo,1994-02-21 00:00:00,,Marine incident,,,,0,,1994
C0007306,1,SEAROAD MERSEY (IMO 8914831),SEAROAD MERSEY (IMO 8914831): ,Australia,,1994-02-14 14:54:00,,Marine incident,,"At Grassy Harbour, King Island",,1,Unknown,1994
C0000867,1,DAE JIN NO.7,DAE JIN NO.7: ,Republic of Korea,Fish Catching,1994-02-12 00:00:00,,Marine incident,,,,0,,1994
C0000868,1,MATHILDE (IMO 7108899),MATHILDE (IMO 7108899): ,Norway,General Cargo,1994-02-12 00:00:00,,Marine incident,,,,0,,1994
C0000866,1,ALBINONI (IMO 7396484),ALBINONI (IMO 7396484): ,Bahamas,Oil Tanker,1994-02-08 00:00:00,,Marine incident,,,,0,,1994
C0000792,1,BRITISH ADVENTURE,BRITISH ADVENTURE: ,Bermuda (United Kingdom),Oil Tanker,1994-02-08 00:00:00,,Marine incident,,,,0,,1994
C0000865,2,"MERVE 729, STAR V (IMO 6828911)","MERVE 729: , STAR V (IMO 6828911): ","Unknown, Saint Vincent and the Grenadines","Oil Tanker, Oil Tanker",1994-02-06 00:00:00,,Marine incident,,,,0,,1994
C0000864,1,CHRISTINAKI (IMO 7221225),CHRISTINAKI (IMO 7221225): ,Malta,Bulk Dry,1994-02-03 00:00:00,,Marine incident,,,,0,,1994
C0007307,1,SEAROAD MERSEY (IMO 8914831),SEAROAD MERSEY (IMO 8914831): ,Australia,,1994-01-31 21:51:00,,Marine incident,,In Port Phillip Bay,,1,Unknown,1994
C0000834,1,BILLE FROST (IMO 7329352),BILLE FROST (IMO 7329352): ,Panama,Refrigerated Cargo,1994-01-28 00:00:00,,Marine incident,,,,0,,1994
C0000833,1,ISLA SAMAR (IMO 8103949),ISLA SAMAR (IMO 8103949): ,Philippines,General Cargo,1994-01-27 00:00:00,,Marine incident,,,,0,,1994
C0000863,1,COSMAS A. (IMO 7353470),COSMAS A. (IMO 7353470): ,Malta,Oil Tanker,1994-01-24 00:00:00,,Marine incident,,,,0,,1994
C0007269,1,OSCO STAR (IMO 8617017),OSCO STAR (IMO 8617017): ,Australia,,1994-01-19 14:20:00,,Marine casualty,,"Port of Kwinana, West Australia",,1,Unknown,1994
C0000862,1,UCKA (IMO 7710769),UCKA (IMO 7710769): ,Bahamas,General Cargo,1994-01-19 00:00:00,,Marine incident,,,,0,,1994
C0000861,1,AMERICAN STAR (IMO 5014123),AMERICAN STAR (IMO 5014123): ,Panama,Passenger,1994-01-18 00:00:00,,Marine incident,,,,0,,1994
C0000860,1,MARY ANNE NOLAND,MARY ANNE NOLAND: ,United States,Other Dry Cargo,1994-01-16 00:00:00,,Marine incident,,,,0,,1994
C0000855,1,SWEETIE SANDRA (IMO 7385758),SWEETIE SANDRA (IMO 7385758): ,Panama,General Cargo,1994-01-14 00:00:00,,Marine incident,,,,0,,1994
C0000854,1,HU JIU 101 (IMO 7396214),HU JIU 101 (IMO 7396214): ,China,Towing / Pushing,1994-01-13 00:00:00,,Marine incident,,,,0,,1994
C0000859,1,RED STAR (IMO 7368231),RED STAR (IMO 7368231): ,Italy,Liquefied Gas,1994-01-05 00:00:00,,Marine incident,,,,0,,1994
C0000858,2,"DA QING 423 (IMO 3504435), SU HE","DA QING 423 (IMO 3504435): , SU HE: ","China, Unknown","General Cargo, General Cargo",1994-01-03 00:00:00,,Marine incident,,,,0,,1994
C0000856,1,ARCTIC REEFER (IMO 7120809),ARCTIC REEFER (IMO 7120809): ,Cyprus,Refrigerated Cargo,1994-01-01 00:00:00,,Marine incident,,,,0,,1994
C0000857,1,MARIKA (IMO 7314101),MARIKA (IMO 7314101): ,Liberia,Non-ship structures,1994-01-01 00:00:00,,Very serious marine casualty,,,,1,Liberia,1994
C0000853,1,ARCTIC REEFER,ARCTIC REEFER: ,Panama,Refrigerated Cargo,1993-12-31 00:00:00,,Marine incident,,,,0,,1993
C0007235,1,UNION ROTORUA,UNION ROTORUA: ,New Zealand,,1993-12-29 17:30:00,,Marine casualty,,Off de New South Wales coast,,1,Unknown,1993
C0007305,1,SHELF SUPPORTER (IMO 8405440),SHELF SUPPORTER (IMO 8405440): ,Australia,,1993-12-29 06:40:00,,Very serious marine casualty,,North-West Coast of Australia,,1,Unknown,1993
C0000852,1,KIOWA (IMO 5413886),KIOWA (IMO 5413886): ,Philippines,General Cargo,1993-12-27 00:00:00,,Marine incident,,,,0,,1993
C0000837,1,HORNG QUN,HORNG QUN: ,Panama,General Cargo,1993-12-26 00:00:00,,Marine incident,,,,0,,1993
C0000836,1,CAROL R,CAROL R: ,Honduras,General Cargo,1993-12-19 00:00:00,,Marine incident,,,,0,,1993
C0000835,1,SEYED JAMAL AL  DIN,SEYED JAMAL AL  DIN: ,Iran (Islamic Republic of),General Cargo,1993-12-18 00:00:00,,Marine incident,,,,0,,1993
C0000831,1,LILYMOO,LILYMOO: ,Maldives,General Cargo,1993-12-17 00:00:00,,Marine incident,,,,0,,1993
C0000832,1,HUA HAI 1,HUA HAI 1: ,China,Chemical Tanker,1993-12-17 00:00:00,,Marine incident,,,,0,,1993
C0007448,1,DAKSHINESHWAR (IMO 8409771),DAKSHINESHWAR (IMO 8409771): ,India,,1993-12-12 21:20:00,,Marine casualty,10° 30.40' S 142° 17.90' E,"Off Wednesday Island, in the Torres strait",,1,Unknown,1993
C0000830,1,AQUILA,AQUILA: ,Cyprus,General Cargo,1993-12-12 00:00:00,,Marine incident,,,,0,,1993
C0000829,1,SOUTHERN GLORY,SOUTHERN GLORY: ,Malaysia,General Cargo,1993-12-10 00:00:00,,Marine incident,,,,0,,1993
C0000828,1,GRAPE ONE,GRAPE ONE: ,Malta,Oil Tanker,1993-12-09 00:00:00,,Marine incident,,,,0,,1993
C0000827,1,PINGUIN,PINGUIN: ,Germany,General Cargo,1993-12-05 00:00:00,,Marine incident,,,,0,,1993
C0000825,1,YUN TENG,YUN TENG: ,Panama,General Cargo,1993-12-03 00:00:00,,Marine incident,,,,0,,1993
C0000826,2,"BONITA, SEAL ISLAND","BONITA: , SEAL ISLAND: ","Ecuador, Unknown","Refrigerated Cargo, Refrigerated Cargo",1993-12-03 00:00:00,,Marine incident,,,,0,,1993
C0000824,1,VOLGO BALT 38,VOLGO BALT 38: ,Russian Federation,General Cargo,1993-12-02 00:00:00,,Marine incident,,,,0,,1993
C0000823,1,NYHAMMER,NYHAMMER: ,NIS (Norway),Liquefied Gas,1993-11-29 00:00:00,,Marine incident,,,,0,,1993
C0000822,1,DASA TUJUH,DASA TUJUH: ,Indonesia,General Cargo,1993-11-27 00:00:00,,Marine incident,,,,0,,1993
C0000821,1,GOLD FAITH,GOLD FAITH: ,Singapore,General Cargo,1993-11-24 00:00:00,,Marine incident,,,,0,,1993
C0000820,1,SUCCESS 1,SUCCESS 1: ,Panama,General Cargo,1993-11-20 00:00:00,,Marine incident,,,,0,,1993
C0000818,1,BORODINSKOYE POLYE,BORODINSKOYE POLYE: ,Russian Federation,Other Fishing,1993-11-17 00:00:00,,Marine incident,,,,0,,1993
C0000819,1,COPACABANA REEFER,COPACABANA REEFER: ,Malta,Refrigerated Cargo,1993-11-17 00:00:00,,Marine incident,,,,0,,1993
C0000817,2,"FOOK LUNG, WAN HAI 203","FOOK LUNG: , WAN HAI 203: ","Honduras, Unknown","General Cargo, General Cargo",1993-11-15 00:00:00,,Marine incident,,,,0,,1993
C0000816,1,TROPIC WIND,TROPIC WIND: ,Panama,General Cargo,1993-11-10 00:00:00,,Marine incident,,,,0,,1993
C0000815,1,LUNOHODS-1,LUNOHODS-1: ,Latvia,Other Fishing,1993-11-09 01:40:00,,Marine incident,,,,1,Latvia,1993
C0000813,1,AMAL,AMAL: ,Honduras,General Cargo,1993-11-03 00:00:00,,Marine incident,,,,0,,1993
C0000812,2,"AYA, WLADYSLAW","AYA: , WLADYSLAW: ","Panama, Unknown","Non-ship structures, Non-ship structures",1993-10-30 00:00:00,,Marine incident,,,,0,,1993
C0007282,1,PACIFIC COMMANDER (IMO 7808487),PACIFIC COMMANDER (IMO 7808487): ,Panama,,1993-10-29 13:24:00,,Marine casualty,,Timor Sea,,1,Unknown,1993
C0000811,1,SAMSUN FINDER,SAMSUN FINDER: ,Republic of Korea,General Cargo,1993-10-28 00:00:00,,Marine incident,,,,0,,1993
C0000810,1,OMI CHARGER,OMI CHARGER: ,United States,Oil Tanker,1993-10-19 00:00:00,,Marine incident,,,,0,,1993
C0000814,1,RONJAY TIHI (IMO 7027045),RONJAY TIHI (IMO 7027045): ,Saint Vincent and the Grenadines,Bulk Dry,1993-10-16 00:00:00,,Marine incident,,,,0,,1993
C0000809,1,ILIAD,ILIAD: ,Greece,Oil Tanker,1993-10-09 00:00:00,,Marine incident,,,,0,,1993
C0000808,1,EASTERN GLORY,EASTERN GLORY: ,Bahamas,General Cargo,1993-10-04 00:00:00,,Marine incident,,,,0,,1993
C0007490,1,BALTIC LINK (IMO 8300169),BALTIC LINK (IMO 8300169): ,Netherlands (Kingdom of),,1993-10-01 03:30:00,,Very serious marine casualty,58° 15.00' N 18° 44.00' E,"Baltic Sea, North of Gotland",,1,Sweden,1993
C0000806,1,MUTIARA PACIFIC I,MUTIARA PACIFIC I: ,India,General Cargo,1993-10-01 00:00:00,,Marine incident,,,,0,,1993
C0000807,1,FRONTIER EXPRESS,FRONTIER EXPRESS: ,Panama,Oil Tanker,1993-10-01 00:00:00,,Marine incident,,,,0,,1993
C0000805,1,TONY BEST,TONY BEST: ,Liberia,General Cargo,1993-09-29 00:00:00,,Marine incident,,,,0,,1993
C0000804,1,ALTAIR,ALTAIR: ,Panama,Oil Tanker,1993-09-25 00:00:00,,Marine incident,,,,0,,1993
C0007228,1,IRON FLINDERS (IMO 8407199),IRON FLINDERS (IMO 8407199): ,Australia,,1993-09-24 07:40:00,,Marine casualty,,"west Swanson dock, Melbourne",,1,Unknown,1993
C0000802,1,SYN PULKU,SYN PULKU: ,Poland,Bulk Dry,1993-09-20 00:00:00,,Marine incident,,,,0,,1993
C0000803,1,SIMARA EXPRESS,SIMARA EXPRESS: ,Philippines,General Cargo,1993-09-20 00:00:00,,Marine incident,,,,0,,1993
C0000801,1,PAN HARVEST (IMO 6809965),PAN HARVEST (IMO 6809965): ,Panama,Refrigerated Cargo,1993-09-18 00:00:00,,Marine incident,,,,0,,1993
C0000798,1,ANDERSON,ANDERSON: ,Malta,Bulk Dry,1993-09-17 00:00:00,,Marine incident,,,,0,,1993
C0000799,1,FENG HUANG SHAN,FENG HUANG SHAN: ,Honduras,General Cargo,1993-09-17 00:00:00,,Marine incident,,,,0,,1993
C0000800,1,POLESSK,POLESSK: ,Russian Federation,General Cargo,1993-09-17 00:00:00,,Marine incident,,,,0,,1993
C0000797,1,KISOGAWA,KISOGAWA: ,Panama,Chemical Tanker,1993-09-15 00:00:00,,Marine incident,,,,0,,1993
C0000796,2,"PACIFIC MERCURY, SO KANG","PACIFIC MERCURY: , SO KANG: ","Unknown, Republic of Korea","General Cargo, General Cargo",1993-09-14 00:00:00,,Marine incident,,,,0,,1993
C0000795,1,HENG YUN,HENG YUN: ,Panama,General Cargo,1993-09-13 00:00:00,,Marine incident,,,,0,,1993
C0000794,1,VOORTREKKER,VOORTREKKER: ,South Africa,Towing / Pushing,1993-09-10 00:00:00,,Marine incident,,,,0,,1993
C0000793,1,KANDALAKSHA,KANDALAKSHA: ,Russian Federation,Non-ship structures,1993-08-30 00:00:00,,Marine incident,,,,0,,1993
C0000791,2,"FUKUYOSHI MARU, NISSEY MARU","FUKUYOSHI MARU: , NISSEY MARU: ","Unknown, Japan","Non-ship structures, Non-ship structures",1993-08-26 00:00:00,,Marine incident,,,,0,,1993
C0000790,1,NEW ORIENT PRINCESS,NEW ORIENT PRINCESS: ,Panama,Passenger/Ro-Ro Cargo,1993-08-25 00:00:00,,Marine incident,,,,0,,1993
C0000789,1,ARABIAN EXPRESS,ARABIAN EXPRESS: ,Honduras,General Cargo,1993-08-23 00:00:00,,Marine incident,,,,0,,1993
C0000788,1,NARAN,NARAN: ,United Arab Emirates,General Cargo,1993-08-22 00:00:00,,Marine incident,,,,0,,1993
C0000786,1,INTERHILL KING,INTERHILL KING: ,Malaysia,General Cargo,1993-08-21 00:00:00,,Marine incident,,,,0,,1993
C0000787,1,TAVEECHAI MARINE,TAVEECHAI MARINE: ,Thailand,General Cargo,1993-08-21 00:00:00,,Marine incident,,,,0,,1993
C0000785,1,BARBEL,BARBEL: ,Germany,General Cargo,1993-08-18 00:00:00,,Marine incident,,,,0,,1993
C0000784,2,"LYRIA, RUBIS","LYRIA: , RUBIS: ","France, Unknown","Oil Tanker, Oil Tanker",1993-08-17 00:00:00,,Marine incident,,,,0,,1993
C0000783,1,MAAS,MAAS: ,"Hong Kong, China",Non-ship structures,1993-08-12 00:00:00,,Marine incident,,,,0,,1993
C0000782,1,HELENA,HELENA: ,Philippines,Oil Tanker,1993-08-11 00:00:00,,Marine incident,,,,0,,1993
C0000780,1,BALSA 37,BALSA 37: ,Philippines,General Cargo,1993-08-10 00:00:00,,Marine incident,,,,0,,1993
C0000781,1,SKS HORIZON,SKS HORIZON: ,Liberia,Bulk Dry,1993-08-10 00:00:00,,Marine incident,,,,0,,1993
C0000779,1,VALAAMS,VALAAMS: ,Latvia,Oil Tanker,1993-08-09 00:00:00,,Marine incident,,,,0,,1993
C0000778,1,CHERRY NAVEE,CHERRY NAVEE: ,Honduras,General Cargo,1993-08-08 00:00:00,,Marine incident,,,,0,,1993
C0001016,1,MARINE SKY,MARINE SKY: ,Panama,General Cargo,1993-08-04 00:00:00,,Marine incident,,,,0,,1993
C0001038,1,AIDA,AIDA: ,Greece,Oil Tanker,1993-08-03 00:00:00,,Marine incident,,,,0,,1993
C0000777,1,CHALLENGE,CHALLENGE: ,Saint Vincent and the Grenadines,General Cargo,1993-08-02 00:00:00,,Marine incident,,,,0,,1993
C0000776,2,"FALSTRIA, NAM YOUG NO. 99","FALSTRIA: , NAM YOUG NO. 99: ","Greece, Unknown","Container, Container",1993-08-01 00:00:00,,Marine incident,,,,0,,1993
C0007244,1,MAERSK RUNNER (IMO 7814876),MAERSK RUNNER (IMO 7814876): ,Isle of Man (United Kingdom),,1993-07-28 14:00:00,,Very serious marine casualty,,Off the North-West Coast of Australia,,1,Australia,1993
C0001037,1,CEDAR PRIDE,CEDAR PRIDE: ,Malta,General Cargo,1993-07-19 00:00:00,,Marine incident,,,,0,,1993
C0007342,1,CFV 132145,CFV 132145: ,Unknown,Fish Catching,1993-07-13 15:00:00,,Very serious marine casualty,,"Off Green Island, Bona Vistan Newfoundland",,1,Unknown,1993
C0000775,1,ZAM ZAM,ZAM ZAM: ,Saint Vincent and the Grenadines,General Cargo,1993-07-09 00:00:00,,Marine incident,,,,0,,1993
C0000773,1,DELTA II,DELTA II: ,Saint Vincent and the Grenadines,General Cargo,1993-07-07 00:00:00,,Marine incident,,,,0,,1993
C0000774,1,TEAM STAR,TEAM STAR: ,Panama,Other Bulk Dry,1993-07-07 00:00:00,,Marine incident,,,,0,,1993
C0001036,1,SKIATHOS REEFER,SKIATHOS REEFER: ,Greece,Refrigerated Cargo,1993-07-07 00:00:00,,Marine incident,,,,0,,1993
C0001035,1,PERSADA UTAMA,PERSADA UTAMA: ,Honduras,Oil Tanker,1993-07-05 00:00:00,,Marine incident,,,,0,,1993
C0001034,1,TORO,TORO: ,Saint Vincent and the Grenadines,Oil Tanker,1993-07-02 00:00:00,,Marine incident,,,,0,,1993
C0001033,1,ATON,ATON: ,Honduras,General Cargo,1993-06-30 00:00:00,,Marine incident,,,,0,,1993
C0001031,1,FAGUS,FAGUS: ,Panama,General Cargo,1993-06-29 00:00:00,,Marine incident,,,,0,,1993
C0001032,1,RYOSEI MARU,RYOSEI MARU: ,Japan,Oil Tanker,1993-06-29 00:00:00,,Marine incident,,,,0,,1993
C0001029,1,SHAKIR 3,SHAKIR 3: ,Saint Vincent and the Grenadines,General Cargo,1993-06-27 00:00:00,,Marine incident,,,,0,,1993
C0001030,1,LIAN GANG,LIAN GANG: ,Singapore,General Cargo,1993-06-27 00:00:00,,Marine incident,,,,0,,1993
C0001028,1,BETULA,BETULA: ,Norway,Chemical Tanker,1993-06-25 00:00:00,,Marine incident,,,,0,,1993
C0001027,1,BALI SUN,BALI SUN: ,Cyprus,Oil Tanker,1993-06-24 00:00:00,,Marine incident,,,,0,,1993
C0001026,1,HAI HONG 3,HAI HONG 3: ,Panama,General Cargo,1993-06-20 00:00:00,,Marine incident,,,,0,,1993
C0001025,1,WOO IL,WOO IL: ,Republic of Korea,Oil Tanker,1993-06-19 00:00:00,,Marine incident,,,,0,,1993
C0001024,1,PROTOKLITOS 4,PROTOKLITOS 4: ,Cyprus,Bulk Dry / Oil,1993-06-18 00:00:00,,Marine incident,,,,0,,1993
C0001023,1,TALENT,TALENT: ,Panama,General Cargo,1993-06-17 00:00:00,,Marine incident,,,,0,,1993
C0001022,1,KOREA VENUS,KOREA VENUS: ,Panama,Oil Tanker,1993-06-16 00:00:00,,Marine incident,,,,0,,1993
C0001021,2,"NICHIWA MARU, WINDWARD","NICHIWA MARU: , WINDWARD: ","Japan, Unknown","Non-ship structures, Non-ship structures",1993-06-15 00:00:00,,Marine incident,,,,0,,1993
C0001020,1,CARA TIMUR TIGA,CARA TIMUR TIGA: ,Malaysia,General Cargo,1993-06-13 00:00:00,,Marine incident,,,,0,,1993
C0001019,1,PALMA,PALMA: ,Peru,General Cargo,1993-06-10 00:00:00,,Marine incident,,,,0,,1993
C0001018,1,KAPITAN SAKHAROV,KAPITAN SAKHAROV: ,Russian Federation,Container,1993-06-04 00:00:00,,Marine incident,,,,0,,1993
C0001017,1,BRITISH TRENT,BRITISH TRENT: ,Bermuda (United Kingdom),Oil Tanker,1993-06-03 00:00:00,,Marine incident,,,,0,,1993
C0001014,1,HAN DOO,HAN DOO: ,Republic of Korea,Fish Catching,1993-06-02 00:00:00,,Marine incident,,,,0,,1993
C0001015,1,LAGOSCHO,LAGOSCHO: ,Panama,Fish Catching,1993-06-02 00:00:00,,Marine incident,,,,0,,1993
C0001013,1,COTY I,COTY I: ,Panama,Other Bulk Dry,1993-06-01 00:00:00,,Marine incident,,,,0,,1993
C0001012,2,"GLORIA, NEDLLOYD ROCHESTER","GLORIA: , NEDLLOYD ROCHESTER: ","Honduras, Unknown","Oil Tanker, Oil Tanker",1993-05-28 00:00:00,,Marine incident,,,,0,,1993
C0001011,1,NAGOS,NAGOS: ,Panama,Bulk Dry,1993-05-26 00:00:00,,Marine incident,,,,0,,1993
C0001010,1,HANG JUN 09,HANG JUN 09: ,China,Dredging,1993-05-20 00:00:00,,Marine incident,,,,0,,1993
C0007487,1,CROWN FOREST 72-68,CROWN FOREST 72-68: ,Canada,,1993-05-15 00:00:00,,Very serious marine casualty,,"Queen Charlotte Islands, British Columbia",,1,Canada,1993
C0007275,1,OPPAMA SPIRIT,OPPAMA SPIRIT: ,Bahamas,,1993-05-13 09:30:00,,Marine casualty,,Gove,,1,Unknown,1993
C0001009,1,SAMICK NORDIC,SAMICK NORDIC: ,Republic of Korea,Bulk Dry,1993-05-13 00:00:00,,Marine incident,,,,0,,1993
C0001008,1,CLELIA,CLELIA: ,Panama,General Cargo,1993-05-10 00:00:00,,Marine incident,,,,0,,1993
C0001007,1,WESTERN GLORY,WESTERN GLORY: ,Saint Vincent and the Grenadines,General Cargo,1993-05-06 00:00:00,,Marine incident,,,,0,,1993
C0001006,2,"GREEB LEAF, XIANG YANG HONG 16","GREEB LEAF: , XIANG YANG HONG 16: ","Unknown, China","Research, Research",1993-05-02 00:00:00,,Marine incident,,,,0,,1993
C0007493,1,BERLIN EXPRESS (IMO 8704183),BERLIN EXPRESS (IMO 8704183): ,Germany,Container,1993-05-02 00:00:00,,Marine casualty,,Port Phillip Bay,,1,Australia,1993
