PROJECT,OPERATOR,FID_YEAR,TOTAL_CAPEX_USD_MM,DEVELOPMENT_TYPE,WELL_COUNT,STAGE,SHARE_MID,COST_MID_USD_MM,COST_LOW_USD_MM,COST_HIGH_USD_MM,PROVENANCE,METHOD
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,drill,0.2241,1792.5,1152.5,2432.5,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,complete,0.1120,896.2,496.2,1296.2,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,install,0.0793,634.2,314.2,954.2,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,hookup,0.0495,396.4,156.4,636.4,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,host,0.3000,1080.0,720.0,1440.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,surf,0.2400,864.0,576.0,1152.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,drill,0.2200,792.0,504.0,1080.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,complete,0.1100,396.0,216.0,576.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,install,0.0800,288.0,144.0,432.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,hookup,0.0500,180.0,72.0,288.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Shenandoah,Beacon Offshore Energy,2021,1800.0,new_host_semi,4,host,0.2992,538.5,376.5,700.5,allocated,"Top-down back-allocation of a disclosed $1,800MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.75 for 4 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Shenandoah,Beacon Offshore Energy,2021,1800.0,new_host_semi,4,surf,0.2438,438.8,294.8,582.8,allocated,"Top-down back-allocation of a disclosed $1,800MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.75 for 4 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Shenandoah,Beacon Offshore Energy,2021,1800.0,new_host_semi,4,drill,0.2161,388.9,226.9,550.9,allocated,"Top-down back-allocation of a disclosed $1,800MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.75 for 4 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Shenandoah,Beacon Offshore Energy,2021,1800.0,new_host_semi,4,complete,0.1080,194.5,104.5,284.5,allocated,"Top-down back-allocation of a disclosed $1,800MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.75 for 4 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Shenandoah,Beacon Offshore Energy,2021,1800.0,new_host_semi,4,install,0.0776,139.6,67.6,211.6,allocated,"Top-down back-allocation of a disclosed $1,800MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.75 for 4 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Shenandoah,Beacon Offshore Energy,2021,1800.0,new_host_semi,4,hookup,0.0554,99.7,45.7,153.7,allocated,"Top-down back-allocation of a disclosed $1,800MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.75 for 4 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Ballymore,Chevron,2022,1600.0,subsea_tieback,3,surf,0.3200,512.0,368.0,656.0,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x0.88 for 3 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Ballymore,Chevron,2022,1600.0,subsea_tieback,3,drill,0.3173,507.7,347.7,667.7,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x0.88 for 3 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Ballymore,Chevron,2022,1600.0,subsea_tieback,3,complete,0.1493,238.9,142.9,334.9,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x0.88 for 3 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Ballymore,Chevron,2022,1600.0,subsea_tieback,3,install,0.1173,187.7,107.7,267.7,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x0.88 for 3 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Ballymore,Chevron,2022,1600.0,subsea_tieback,3,hookup,0.0533,85.3,37.3,133.3,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x0.88 for 3 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Ballymore,Chevron,2022,1600.0,subsea_tieback,3,host,0.0427,68.3,4.3,132.3,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x0.88 for 3 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Yellowtail,ExxonMobil,2022,10000.0,new_host_fpso,51,drill,0.3133,3132.9,2332.9,3932.9,allocated,"Top-down back-allocation of a disclosed $10,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 51 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Yellowtail,ExxonMobil,2022,10000.0,new_host_fpso,51,host,0.2373,2373.4,1373.4,3373.4,allocated,"Top-down back-allocation of a disclosed $10,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 51 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Yellowtail,ExxonMobil,2022,10000.0,new_host_fpso,51,surf,0.1899,1898.7,1098.7,2698.7,allocated,"Top-down back-allocation of a disclosed $10,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 51 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Yellowtail,ExxonMobil,2022,10000.0,new_host_fpso,51,complete,0.1566,1566.5,1066.5,2066.5,allocated,"Top-down back-allocation of a disclosed $10,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 51 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Yellowtail,ExxonMobil,2022,10000.0,new_host_fpso,51,install,0.0633,632.9,232.9,1032.9,allocated,"Top-down back-allocation of a disclosed $10,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 51 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Yellowtail,ExxonMobil,2022,10000.0,new_host_fpso,51,hookup,0.0396,395.6,95.6,695.6,allocated,"Top-down back-allocation of a disclosed $10,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 51 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Rosebank Phase 1,Equinor,2023,3800.0,new_host_fpso,7,host,0.3336,1267.8,887.8,1647.8,allocated,"Top-down back-allocation of a disclosed $3,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.69 for 7 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Rosebank Phase 1,Equinor,2023,3800.0,new_host_fpso,7,surf,0.2669,1014.3,710.3,1318.3,allocated,"Top-down back-allocation of a disclosed $3,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.69 for 7 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Rosebank Phase 1,Equinor,2023,3800.0,new_host_fpso,7,drill,0.1699,645.7,341.7,949.7,allocated,"Top-down back-allocation of a disclosed $3,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.69 for 7 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Rosebank Phase 1,Equinor,2023,3800.0,new_host_fpso,7,install,0.0890,338.1,186.1,490.1,allocated,"Top-down back-allocation of a disclosed $3,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.69 for 7 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Rosebank Phase 1,Equinor,2023,3800.0,new_host_fpso,7,complete,0.0850,322.8,132.8,512.8,allocated,"Top-down back-allocation of a disclosed $3,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.69 for 7 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Rosebank Phase 1,Equinor,2023,3800.0,new_host_fpso,7,hookup,0.0556,211.3,97.3,325.3,allocated,"Top-down back-allocation of a disclosed $3,800MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.69 for 7 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Uaru,ExxonMobil,2023,12700.0,new_host_fpso,44,drill,0.3060,3885.8,2869.8,4901.8,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.72 for 44 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Uaru,ExxonMobil,2023,12700.0,new_host_fpso,44,host,0.2423,3076.7,1806.7,4346.7,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.72 for 44 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Uaru,ExxonMobil,2023,12700.0,new_host_fpso,44,surf,0.1938,2461.4,1445.4,3477.4,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.72 for 44 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Uaru,ExxonMobil,2023,12700.0,new_host_fpso,44,complete,0.1530,1942.9,1307.9,2577.9,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.72 for 44 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Uaru,ExxonMobil,2023,12700.0,new_host_fpso,44,install,0.0646,820.5,312.5,1328.5,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.72 for 44 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Uaru,ExxonMobil,2023,12700.0,new_host_fpso,44,hookup,0.0404,512.8,131.8,893.8,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.72 for 44 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
GranMorgu (Block 58),TotalEnergies,2024,10500.0,new_host_fpso,,host,0.3000,3150.0,2100.0,4200.0,allocated,"Top-down back-allocation of a disclosed $10,500MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
GranMorgu (Block 58),TotalEnergies,2024,10500.0,new_host_fpso,,surf,0.2400,2520.0,1680.0,3360.0,allocated,"Top-down back-allocation of a disclosed $10,500MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
GranMorgu (Block 58),TotalEnergies,2024,10500.0,new_host_fpso,,drill,0.2200,2310.0,1470.0,3150.0,allocated,"Top-down back-allocation of a disclosed $10,500MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
GranMorgu (Block 58),TotalEnergies,2024,10500.0,new_host_fpso,,complete,0.1100,1155.0,630.0,1680.0,allocated,"Top-down back-allocation of a disclosed $10,500MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
GranMorgu (Block 58),TotalEnergies,2024,10500.0,new_host_fpso,,install,0.0800,840.0,420.0,1260.0,allocated,"Top-down back-allocation of a disclosed $10,500MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
GranMorgu (Block 58),TotalEnergies,2024,10500.0,new_host_fpso,,hookup,0.0500,525.0,210.0,840.0,allocated,"Top-down back-allocation of a disclosed $10,500MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Kaminho (Cameia & Golfinho),TotalEnergies,2024,6000.0,new_host_fpso,,host,0.3000,1800.0,1200.0,2400.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Kaminho (Cameia & Golfinho),TotalEnergies,2024,6000.0,new_host_fpso,,surf,0.2400,1440.0,960.0,1920.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Kaminho (Cameia & Golfinho),TotalEnergies,2024,6000.0,new_host_fpso,,drill,0.2200,1320.0,840.0,1800.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Kaminho (Cameia & Golfinho),TotalEnergies,2024,6000.0,new_host_fpso,,complete,0.1100,660.0,360.0,960.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Kaminho (Cameia & Golfinho),TotalEnergies,2024,6000.0,new_host_fpso,,install,0.0800,480.0,240.0,720.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Kaminho (Cameia & Golfinho),TotalEnergies,2024,6000.0,new_host_fpso,,hookup,0.0500,300.0,120.0,480.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Kaskida,BP,2024,5000.0,new_host_semi,6,host,0.2838,1419.2,969.2,1869.2,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.88 for 6 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Kaskida,BP,2024,5000.0,new_host_semi,6,drill,0.2392,1195.8,745.8,1645.8,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.88 for 6 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Kaskida,BP,2024,5000.0,new_host_semi,6,surf,0.2313,1156.4,756.4,1556.4,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.88 for 6 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Kaskida,BP,2024,5000.0,new_host_semi,6,complete,0.1196,597.9,347.9,847.9,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.88 for 6 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Kaskida,BP,2024,5000.0,new_host_semi,6,install,0.0736,367.9,167.9,567.9,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.88 for 6 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Kaskida,BP,2024,5000.0,new_host_semi,6,hookup,0.0526,262.8,112.8,412.8,allocated,"Top-down back-allocation of a disclosed $5,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.88 for 6 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Whiptail,ExxonMobil,2024,12700.0,new_host_fpso,48,drill,0.3133,3978.8,2962.8,4994.8,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 48 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Whiptail,ExxonMobil,2024,12700.0,new_host_fpso,48,host,0.2373,3014.2,1744.2,4284.2,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 48 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Whiptail,ExxonMobil,2024,12700.0,new_host_fpso,48,surf,0.1899,2411.4,1395.4,3427.4,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 48 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Whiptail,ExxonMobil,2024,12700.0,new_host_fpso,48,complete,0.1566,1989.4,1354.4,2624.4,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 48 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Whiptail,ExxonMobil,2024,12700.0,new_host_fpso,48,install,0.0633,803.8,295.8,1311.8,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 48 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Whiptail,ExxonMobil,2024,12700.0,new_host_fpso,48,hookup,0.0396,502.4,121.4,883.4,allocated,"Top-down back-allocation of a disclosed $12,700MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.80 for 48 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Coral North FLNG,Eni,2025,7200.0,new_host_fpso,,host,0.3000,2160.0,1440.0,2880.0,allocated,"Top-down back-allocation of a disclosed $7,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Coral North FLNG,Eni,2025,7200.0,new_host_fpso,,surf,0.2400,1728.0,1152.0,2304.0,allocated,"Top-down back-allocation of a disclosed $7,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Coral North FLNG,Eni,2025,7200.0,new_host_fpso,,drill,0.2200,1584.0,1008.0,2160.0,allocated,"Top-down back-allocation of a disclosed $7,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Coral North FLNG,Eni,2025,7200.0,new_host_fpso,,complete,0.1100,792.0,432.0,1152.0,allocated,"Top-down back-allocation of a disclosed $7,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
