RIG_NAME,RIG_TYPE,RIG_STATUS,OWNER,OPERATOR,IMO_NUMBER,FLAG_STATE,WATER_DEPTH_RATING_FT,DRILLING_DEPTH_RATING_FT,MAX_WATER_DEPTH_FT,LOA_M,BEAM_M,DISPLACEMENT_TONNES,MOONPOOL_DIAMETER_M,DP_CLASS,YEAR_BUILT,WELLS_DRILLED_COUNT,LAST_WAR_DATE,FIRST_WAR_DATE,LAST_AREA_CODE,LAST_BLOCK_NUMBER,DATA_SOURCE,IS_OFFSHORE,VESSEL_NAME,VESSEL_CATEGORY,RIG_DESIGN,DATA_SOURCE_URL,HULL_FORM_TYPE,HULL_LIBRARY_REF,DRAFT_M,DIMENSION_CONFIDENCE,DEPTH_M,MOONPOOL_LENGTH_M,MOONPOOL_WIDTH_M,VARIABLE_DECK_LOAD_ST,HOOKLOAD_RATING_KIPS,SETBACK_CAPACITY_KIPS,LEG_LENGTH_FT,CANTILEVER_REACH_FT,SPUD_CAN_DIAMETER_FT
DIAMOND OCEAN VICTORY,semi_submersible,,,,,,,,5673.0,104.0,78.0,45000.0,,,,87.0,9/9/2006 11:59:00 PM,1/1/2006 12:01:00 AM,MC,,bsee_war,True,DIAMOND OCEAN VICTORY,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND OCEAN VOYAGER,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,22.0,9/9/2001,1/1/2006 12:01:00 AM,GB,,bsee_war,True,DIAMOND OCEAN VOYAGER,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND OCEAN WARWICK,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,10.0,8/6/2005 11:59:00 PM,5/15/2005 12:01:00 AM,MP,,bsee_war,True,DIAMOND OCEAN WARWICK,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND OCEAN WINNER,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,1.0,2/7/1998,1/10/1998,GC,,bsee_war,True,DIAMOND OCEAN WINNER,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND OCEAN WORKDER,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,6.0,9/4/2000,1/30/2001,GB,,bsee_war,True,DIAMOND OCEAN WORKDER,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND OCEAN WORKER,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,9.0,9/17/2001,1/16/2001,GB,,bsee_war,True,DIAMOND OCEAN WORKER,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND OFFSHORE RATHER,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,2.0,9/7/1999,7/20/1999,MC,,bsee_war,True,DIAMOND OFFSHORE RATHER,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND OFFSHORE WEST VELA,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,14.0,9/9/2023 11:59:00 PM,1/14/2024,GC,,bsee_war,True,DIAMOND OFFSHORE WEST VELA,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND OFFSHORE/OCEAN SPARTAN,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,1.0,9/28/1998,9/15/1998,WD,,bsee_war,True,DIAMOND OFFSHORE/OCEAN SPARTAN,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND SARATOGA,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,4.0,9/8/1998,10/14/1998,GC,,bsee_war,True,DIAMOND SARATOGA,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND SUMMIT,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,3.0,8/28/2000,1/27/1998,WC,,bsee_war,True,DIAMOND SUMMIT,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND VICTORY,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,5/13/2001,10/15/2001,MC,,bsee_war,True,DIAMOND VICTORY,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DIAMOND WEST AURIGA,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,10.0,9/9/2023 11:59:00 PM,1/1/2023 12:01:00 AM,GC,,bsee_war,True,DIAMOND WEST AURIGA,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND WORKER,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,19.0,9/7/1999,1/11/2000,GC,,bsee_war,True,DIAMOND WORKER,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DIAMOND'S OCEAN CONFIDENCE,semi_submersible,,,,,,,,3944.0,104.0,78.0,45000.0,,,,1.0,9/3/2005,4/16/2006,GC,,bsee_war,True,DIAMOND'S OCEAN CONFIDENCE,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DIAMOND-OCEN KING,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,1.0,6/6/1999,5/24/1999,HI,,bsee_war,True,DIAMOND-OCEN KING,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DICSOVERER 534,drillship,,,,,,,,,228.0,42.0,96000.0,,,,1.0,9/6/2000,8/24/2000,MC,,bsee_war,True,DICSOVERER 534,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DISCOVER DEEP SEAS,drillship,,,,,,,,4292.0,228.0,42.0,96000.0,,,,4.0,8/6/2002,3/11/2002,GC,,bsee_war,True,DISCOVER DEEP SEAS,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DISCOVER ENTERPIRSE,drillship,,,,,,,,5613.0,228.0,42.0,96000.0,,,,1.0,5/27/2006,5/17/2006,MC,,bsee_war,True,DISCOVER ENTERPIRSE,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DISCOVER ENTERPRISE,drillship,,,,,,,,6271.0,228.0,42.0,96000.0,,,,9.0,9/30/2006,1/1/2006,MC,,bsee_war,True,DISCOVER ENTERPRISE,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DISCOVERER 534,drillship,,,,,,7000.0,25000.0,7000.0,162.76,26.52,,,,1975.0,14.0,9/6/1998,1/13/2000,GC,,bsee_war,True,DISCOVERER 534,drilling_rig,,,drillship,drillship_160m,,,,,,,,,,,
DISCOVERER DEEP SEA,drillship,,,,,,,,,228.0,42.0,96000.0,,,,1.0,3/3/2002,1/14/2002,GC,,bsee_war,True,DISCOVERER DEEP SEA,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DISCOVERER DEEP SEAS,drillship,,,,,,10000.0,35000.0,10000.0,254.51,38.1,,,,,45.0,9/9/2006 11:59:00 PM,1/1/2006 12:01:00 AM,AC,,bsee_war,True,DISCOVERER DEEP SEAS,drilling_rig,,,drillship,drillship_250m,,,,,,,,,,,
DISCOVERER ENTERPRISE,drillship,,,,,,10000.0,35000.0,10000.0,254.51,38.1,,,,1999.0,22.0,9/9/2006 11:59:00 PM,1/1/2012 12:01:00 AM,MC,,bsee_war,True,DISCOVERER ENTERPRISE,drilling_rig,,,drillship,drillship_250m,,,,,,,,,,,
DISCOVERER SEVEN SEAS,drillship,,,,,,7000.0,25000.0,7000.0,162.76,26.21,,,,1976.0,12.0,9/9/1998,1/10/1999,MC,,bsee_war,True,DISCOVERER SEVEN SEAS,drilling_rig,,,drillship,drillship_160m,,,,,,,,,,,
DISCOVERER SPIRIT,drillship,,,,,,10000.0,35000.0,10000.0,254.51,38.1,,,,2000.0,44.0,9/9/2006 11:59:00 PM,1/1/2006 12:01:00 AM,MC,,bsee_war,True,DISCOVERER SPIRIT,drilling_rig,,,drillship,drillship_250m,,,,,,,,,,,
DISCOVERY DEEP SEAS,drillship,,,,,,,,4292.0,228.0,42.0,96000.0,,,,1.0,2/9/2003,1/20/2003,GC,,bsee_war,True,DISCOVERY DEEP SEAS,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DISCOVERY ENTERPRISE,drillship,,,,,,,,,228.0,42.0,96000.0,,,,2.0,4/2/2001,1/2/2001,MC,,bsee_war,True,DISCOVERY ENTERPRISE,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DISOVERER SPIRIT,drillship,,,,,,,,8056.0,228.0,42.0,96000.0,,,,1.0,7/7/2003,6/17/2003,AT,,bsee_war,True,DISOVERER SPIRIT,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DIVE BOAT,support_vessel,,,,,,,,450.0,,,,,,,3.0,5/8/2004,10/28/2003,GA,,bsee_war,True,DIVE BOAT,drilling_rig,,,,,,,,,,,,,,,
DIVE VESSEL/WIRELINE UNIT,support_vessel,,,,,,,,,,,,,,,1.0,9/22/2002,1/6/2003,WD,,bsee_war,True,DIVE VESSEL/WIRELINE UNIT,drilling_rig,,,,,,,,,,,,,,,
DIXIE ENDEAVOR LIFT BOAT,lift_boat,,,,,,,,133.0,70.0,76.0,16000.0,,,,1.0,7/24/2004,7/11/2004,PN,,bsee_war,True,DIXIE ENDEAVOR LIFT BOAT,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DIXIE LEGACY LIFT BOAT,lift_boat,,,,,,,,180.0,70.0,76.0,16000.0,,,,2.0,7/3/2004,5/16/2004,MO,,bsee_war,True,DIXIE LEGACY LIFT BOAT,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DIZAMOND OCEAN COLUMBIA,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,1.0,3/31/2003,3/11/2003,EI,,bsee_war,True,DIZAMOND OCEAN COLUMBIA,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DO CONCORD,semi_submersible,,,,,,,,2033.0,104.0,78.0,45000.0,,,,1.0,12/8/2003,11/17/2003,VK,,bsee_war,True,DO CONCORD,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DO QUEST,semi_submersible,,,,,,,,1849.0,104.0,78.0,45000.0,,,,1.0,7/4/2003,6/12/2003,MC,,bsee_war,True,DO QUEST,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DOLPHIN,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,9/23/2001,9/17/2001,ST,,bsee_war,True,DOLPHIN,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN 105,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,4.0,9/6/1999,10/1/2002,SS,,bsee_war,True,DOLPHIN 105,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN 106,jack_up,,,,,,,,148.0,70.0,76.0,16000.0,,,,15.0,9/8/2004,1/22/2006,HI,,bsee_war,True,DOLPHIN 106,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN 109,jack_up,,,,,,,,45.0,70.0,76.0,16000.0,,,,12.0,7/7/2006,1/13/2003,WD,,bsee_war,True,DOLPHIN 109,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN 110,jack_up,,,,,,,,66.0,70.0,76.0,16000.0,,,,39.0,9/9/1998,1/1/2001,MO,,bsee_war,True,DOLPHIN 110,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN 111,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,8.0,7/23/2000,4/10/2004,WD,,bsee_war,True,DOLPHIN 111,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN II0,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,9/4/1998,8/10/1998,MO,,bsee_war,True,DOLPHIN II0,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN III,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,6.0,9/6/1998,10/21/2002,ST,,bsee_war,True,DOLPHIN III,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN TITAL 105 (JU),jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,12/7/1999,11/29/1999,VR,,bsee_war,True,DOLPHIN TITAL 105 (JU),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN TITAL 106 (JU),jack_up,,,,,,,,37.0,70.0,76.0,16000.0,,,,2.0,9/7/1999,10/17/2004,VR,,bsee_war,True,DOLPHIN TITAL 106 (JU),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN TITAN 105 (JU),jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,12/21/1999,12/14/1999,VR,,bsee_war,True,DOLPHIN TITAN 105 (JU),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN TITAN 106 (JU),jack_up,,,,,,,,,70.0,76.0,16000.0,,,,4.0,9/21/1999,10/7/1999,VR,,bsee_war,True,DOLPHIN TITAN 106 (JU),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN TITAN 110,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,2/11/2002,1/17/2002,ST,,bsee_war,True,DOLPHIN TITAN 110,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN TITAN 111,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,3.0,4/1/2000,1/4/2000,WD,,bsee_war,True,DOLPHIN TITAN 111,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHIN TITAN III,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,4/4/1999,3/22/1999,ST,,bsee_war,True,DOLPHIN TITAN III,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOLPHION TITAL 106 (JU),jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,11/30/1999,11/16/1999,VR,,bsee_war,True,DOLPHION TITAL 106 (JU),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DOTS OCEAN NUGGET,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,1.0,12/7/1998,10/14/1998,MI,,bsee_war,True,DOTS OCEAN NUGGET,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DP WORKBOAT,support_vessel,,,,,,,,186.0,,,,,,,2.0,9/4/2004,11/21/2004,VR,,bsee_war,True,DP WORKBOAT,drilling_rig,,,,,,,,,,,,,,,
DRILLING 3-1/16 CTU FOR SIDETRACKS WITH MUD MOTOR,coil_tubing_unit,,,,,,,,,,,,,,,1.0,11/4/2006 11:59:00 PM,11/1/2006,EW,,bsee_war,True,DRILLING 3-1/16 CTU FOR SIDETRACKS WITH MUD MOTOR,drilling_rig,,,,,,,,,,,,,,,
DRL,unknown,,,,,,,,,,,,,,,2.0,9/29/2000,1/18/2002,ST,,bsee_war,True,DRL,drilling_rig,,,,,,,,,,,,,,,
DSV,support_vessel,,,,,,,,365.0,,,,,,,2.0,8/7/2004,8/1/2004,VR,,bsee_war,True,DSV,drilling_rig,,,,,,,,,,,,,,,
"DSV ""AMERICAN CONSTITUTION""",support_vessel,,,,,,,,364.0,,,,,,,1.0,7/31/2005,7/28/2005,VR,,bsee_war,True,"DSV ""AMERICAN CONSTITUTION""",drilling_rig,,,,,,,,,,,,,,,
DSV-AMERICAN TRIUMPH,support_vessel,,,,,,,,134.0,,,,,,,1.0,12/7/2003,11/14/2003,HI,,bsee_war,True,DSV-AMERICAN TRIUMPH,drilling_rig,,,,,,,,,,,,,,,
DT-105,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,2.0,12/4/2000,11/2/1999,VR,,bsee_war,True,DT-105,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DT 106,jack_up,,,,,,,,63.0,70.0,76.0,16000.0,,,,2.0,9/28/2003,11/24/2003,SP,,bsee_war,True,DT 106,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DT 110,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,7/21/1998,4/16/2001,ST,,bsee_war,True,DT 110,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DUAL RIG 41,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,10/6/2002,10/7/2002,EC,,bsee_war,True,DUAL RIG 41,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
DULARGE,unknown,,,,,,,,,,,,,,,1.0,5/29/2000,5/18/2000,MP,,bsee_war,True,DULARGE,drilling_rig,,,,,,,,,,,,,,,
DUPLICATE FOR DEEPWATER ASGARD -USE 51292,drillship,,,,,,,,,228.0,42.0,96000.0,,,,2.0,12/5/2015 11:59:00 PM,10/14/2015,GC,,bsee_war,True,DUPLICATE FOR DEEPWATER ASGARD -USE 51292,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DW MILLENNIUM,drillship,,,,,,,,4017.0,228.0,42.0,96000.0,,,,1.0,7/3/2004,6/13/2004,GC,,bsee_war,True,DW MILLENNIUM,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DW NAUTILUS,semi_submersible,,,,,,,,,104.0,78.0,45000.0,,,,1.0,3/5/2001,1/16/2001,AC,,bsee_war,True,DW NAUTILUS,drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
DW PATHFINDER,drillship,,,,,,,,,228.0,42.0,96000.0,,,,5.0,9/6/2002,1/26/2002,WR,,bsee_war,True,DW PATHFINDER,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DW PATHFINDER/GLOMAR EXPLORER,drillship,,,,,,,,,228.0,42.0,96000.0,,,,3.0,2/8/2002,1/12/2002,GC,,bsee_war,True,DW PATHFINDER/GLOMAR EXPLORER,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
DW PATHFRINDER,drillship,,,,,,,,,228.0,42.0,96000.0,,,,1.0,2/7/2003,1/25/2003,KC,,bsee_war,True,DW PATHFRINDER,drilling_rig,,,drillship,drillship_230m,12.0,generic,,,,,,,,,
E/LINE,wireline_unit,,,,,,,,30.0,,,,,,,3.0,9/10/2003,2/18/2003,SS,,bsee_war,True,E/LINE,drilling_rig,,,,,,,,,,,,,,,
E LINE AND PARKER 21-J,platform_rig,,,,,,,,46.0,,,,,,,1.0,9/28/2003,9/27/2003,MP,,bsee_war,True,E LINE AND PARKER 21-J,drilling_rig,,,,,,,,,,,,,,,
E LINE AND PARKER 21J,platform_rig,,,,,,,,46.0,,,,,,,1.0,10/16/2003,10/13/2003,MP,,bsee_war,True,E LINE AND PARKER 21J,drilling_rig,,,,,,,,,,,,,,,
E-LINE & CTU,wireline_unit,,,,,,,,,,,,,,,1.0,2/7/2004,1/27/2004,EI,,bsee_war,True,E-LINE & CTU,drilling_rig,,,,,,,,,,,,,,,
E-LINE & TCU,wireline_unit,,,,,,,,,,,,,,,1.0,2/7/2004,1/27/2004,EI,,bsee_war,True,E-LINE & TCU,drilling_rig,,,,,,,,,,,,,,,
E-LINE / COIL TUBING,wireline_unit,,,,,,,,196.0,,,,,,,1.0,2/19/2005,2/13/2005,VR,,bsee_war,True,E-LINE / COIL TUBING,drilling_rig,,,,,,,,,,,,,,,
E-LINE / COOIL TUBING UNIT,wireline_unit,,,,,,,,196.0,,,,,,,1.0,3/5/2005,2/20/2005,VR,,bsee_war,True,E-LINE / COOIL TUBING UNIT,drilling_rig,,,,,,,,,,,,,,,
E-LINE / S-LINE,wireline_unit,,,,,,,,,,,,,,,1.0,9/14/2003,9/9/2003,EI,,bsee_war,True,E-LINE / S-LINE,drilling_rig,,,,,,,,,,,,,,,
E-LINE UNIT,wireline_unit,,,,,,,,130.0,,,,,,,7.0,7/31/2004,12/2/2003,EC,,bsee_war,True,E-LINE UNIT,drilling_rig,,,,,,,,,,,,,,,
E-LINE/SLICKLINE,wireline_unit,,,,,,,,44.0,,,,,,,1.0,5/29/2004,2/24/2004,WC,,bsee_war,True,E-LINE/SLICKLINE,drilling_rig,,,,,,,,,,,,,,,
E-LINE/SLICKLINE UNIT,wireline_unit,,,,,,,,,,,,,,,1.0,8/2/2003,7/13/2003,EI,,bsee_war,True,E-LINE/SLICKLINE UNIT,drilling_rig,,,,,,,,,,,,,,,
E-LINE/SLICKLINE/CTU,wireline_unit,,,,,,,,52.0,,,,,,,1.0,4/17/2004,4/11/2004,SS,,bsee_war,True,E-LINE/SLICKLINE/CTU,drilling_rig,,,,,,,,,,,,,,,
"E-LINTE, CT",wireline_unit,,,,,,,,2160.0,,,,,,,1.0,2/29/2004,2/16/2004,SM,,bsee_war,True,"E-LINTE, CT",drilling_rig,,,,,,,,,,,,,,,
E/L,wireline_unit,,,,,,,,25.0,,,,,,,6.0,7/25/2004,11/30/2001,SS,,bsee_war,True,E/L,drilling_rig,,,,,,,,,,,,,,,
E/L & SNUBBING UNIT,wireline_unit,,,,,,,,36.0,,,,,,,1.0,5/1/2004,4/11/2004,MP,,bsee_war,True,E/L & SNUBBING UNIT,drilling_rig,,,,,,,,,,,,,,,
E/LINE & CT,wireline_unit,,,,,,,,107.0,,,,,,,1.0,6/5/2004,5/16/2004,EI,,bsee_war,True,E/LINE & CT,drilling_rig,,,,,,,,,,,,,,,
EAR FREDERICKSON,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,12/28/2000,1/5/2001,WC,,bsee_war,True,EAR FREDERICKSON,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
EARL FREDEREICKSON,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,2/13/2001,10/22/2000,WC,,bsee_war,True,EARL FREDEREICKSON,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
EARL FREDERICKSON,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,12.0,9/7/2000,1/19/2001,WC,,bsee_war,True,EARL FREDERICKSON,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
EARL FREDERICSON,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,8/3/2000,6/19/2000,WC,,bsee_war,True,EARL FREDERICSON,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
EARL FREDRICKSON,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,7/3/2000,1/19/2000,WC,,bsee_war,True,EARL FREDRICKSON,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
ECSCO 98,jack_up,,,,,,,,51.0,70.0,76.0,16000.0,,,,1.0,8/6/2005,7/23/2005,MP,,bsee_war,True,ECSCO 98,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
EDDIE PAUL,jack_up,,,,,,,,305.0,70.0,76.0,16000.0,,,,50.0,9/5/1999,1/1/2001,MP,,bsee_war,True,EDDIE PAUL,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
EE-LINE,wireline_unit,,,,,,,,70.0,,,,,,,1.0,8/7/2004,8/1/2004,SM,,bsee_war,True,EE-LINE,drilling_rig,,,,,,,,,,,,,,,
EL,wireline_unit,,,,,,,,721.0,,,,,,,104.0,9/8/2001,1/13/2004,VR,,bsee_war,True,EL,drilling_rig,,,,,,,,,,,,,,,
EL & P&A UNIT,wireline_unit,,,,,,,,720.0,,,,,,,1.0,7/24/2004,7/11/2004,GB,,bsee_war,True,EL & P&A UNIT,drilling_rig,,,,,,,,,,,,,,,
EL/SL,wireline_unit,,,,,,,,123.0,,,,,,,2.0,7/9/2005,5/23/2005,SP,,bsee_war,True,EL/SL,drilling_rig,,,,,,,,,,,,,,,
EL/SLU,wireline_unit,,,,,,,,190.0,,,,,,,2.0,9/18/2004,3/29/1997,WC,,bsee_war,True,EL/SLU,drilling_rig,,,,,,,,,,,,,,,
EL UNIT,wireline_unit,,,,,,,,274.0,,,,,,,24.0,9/5/2005,10/2/2005,SS,,bsee_war,True,EL UNIT,drilling_rig,,,,,,,,,,,,,,,
"EL,SL,CTU",wireline_unit,,,,,,,,184.0,,,,,,,1.0,11/5/2005,10/19/2005,HI,,bsee_war,True,"EL,SL,CTU",drilling_rig,,,,,,,,,,,,,,,
EL/CT,wireline_unit,,,,,,,,,,,,,,,5.0,9/7/2002,1/21/2001,SS,,bsee_war,True,EL/CT,drilling_rig,,,,,,,,,,,,,,,
EL/CTU,wireline_unit,,,,,,,,272.0,,,,,,,1.0,8/7/2003,2/18/2004,VR,,bsee_war,True,EL/CTU,drilling_rig,,,,,,,,,,,,,,,
EL/EDDIE PAUL,wireline_unit,,,,,,,,210.0,,,,,,,1.0,6/8/2003,6/16/2003,WD,,bsee_war,True,EL/EDDIE PAUL,drilling_rig,,,,,,,,,,,,,,,
EL/SL UNIT,wireline_unit,,,,,,,,255.0,,,,,,,1.0,7/9/2005,6/26/2005,HI,,bsee_war,True,EL/SL UNIT,drilling_rig,,,,,,,,,,,,,,,
EL/SLICKLINE,wireline_unit,,,,,,,,50.0,,,,,,,1.0,3/20/2004,2/10/2004,EI,,bsee_war,True,EL/SLICKLINE,drilling_rig,,,,,,,,,,,,,,,
EL/SNUBBING UNIT,wireline_unit,,,,,,,,,,,,,,,1.0,6/13/2003,6/9/2003,SM,,bsee_war,True,EL/SNUBBING UNIT,drilling_rig,,,,,,,,,,,,,,,
ELEC LINE UNIT,wireline_unit,,,,,,,,,,,,,,,1.0,7/8/1998,7/4/2000,MI,,bsee_war,True,ELEC LINE UNIT,drilling_rig,,,,,,,,,,,,,,,
ELECTRIC LIN UNIT,wireline_unit,,,,,,,,,,,,,,,1.0,4/6/2003,3/24/2003,MP,,bsee_war,True,ELECTRIC LIN UNIT,drilling_rig,,,,,,,,,,,,,,,
ELECTRIC LINE,wireline_unit,,,,,,,,484.0,,,,,,,55.0,9/9/2002,1/1/2005,SS,,bsee_war,True,ELECTRIC LINE,drilling_rig,,,,,,,,,,,,,,,
ELECTRIC LINE / COIL TUBING,wireline_unit,,,,,,,,196.0,,,,,,,1.0,2/20/2005,2/13/2005,VR,,bsee_war,True,ELECTRIC LINE / COIL TUBING,drilling_rig,,,,,,,,,,,,,,,
ELECTRIC LINE/WIRELINE UNITS,wireline_unit,,,,,,,,50.0,,,,,,,1.0,7/7/2004,10/6/2003,HI,,bsee_war,True,ELECTRIC LINE/WIRELINE UNITS,drilling_rig,,,,,,,,,,,,,,,
ELECTRIC LINE UNIT,wireline_unit,,,,,,,,210.0,,,,,,,20.0,9/30/2006,1/13/2003,MP,,bsee_war,True,ELECTRIC LINE UNIT,drilling_rig,,,,,,,,,,,,,,,
"ELECTRIC LINE, RBF 253",wireline_unit,,,,,,,,142.0,,,,,,,1.0,11/9/2003,10/13/2003,SS,,bsee_war,True,"ELECTRIC LINE, RBF 253",drilling_rig,,,,,,,,,,,,,,,
ELECTRIC LINE/SLICK LINE,wireline_unit,,,,,,,,,,,,,,,1.0,4/19/2003,3/10/2003,SP,,bsee_war,True,ELECTRIC LINE/SLICK LINE,drilling_rig,,,,,,,,,,,,,,,
ELECTRIC LINE/SLICKLINE UNIT,wireline_unit,,,,,,,,212.0,,,,,,,1.0,3/13/2004,3/7/2004,EI,,bsee_war,True,ELECTRIC LINE/SLICKLINE UNIT,drilling_rig,,,,,,,,,,,,,,,
