REGION,BUS_PROCESS,APPROVAL_TYPE,APRV_DATE,REGULATION_NUMBER,WCR_REG,BUS_ASC_CODE,BUS_ASC_NAME,SHORT_DESCRIPTION,ATTR_LABEL_1,ATTR_VALUE_1,ATTR_LABEL_2,ATTR_VALUE_2,ATTR_LABEL_3,ATTR_VALUE_3,ATTR_LABEL_4,ATTR_VALUE_4,ATTR_LABEL_5,ATTR_VALUE_5
Gulf of Mexico,APM ABANDON,Alternate Compliance,11/19/2024 11:06:46 AM,30 CFR 250.737(a)(4), ,730,Walter Oil & Gas Corporation,APM - Not pressure test BOPs while Subsea Test Tree (SSTT) is across the stack,Lease,G20051,Area/Block,GC   243,Rig ID,49565,Well Name,SS005,API Well Number,608114045701
Gulf of Mexico,APM ABANDON,Alternate Compliance,11/19/2024 11:06:46 AM,30 CFR 250.737(c), ,730,Walter Oil & Gas Corporation,Digital BOP testing ,Lease,G20051,Area/Block,GC   243,Rig ID,49565,Well Name,SS005,API Well Number,608114045701
Gulf of Mexico,APM ABANDON,Alternate Compliance,11/19/2024 11:06:46 AM,30 CFR 250.737(a), ,730,Walter Oil & Gas Corporation,APM - Not function test BOP's while Subsea Test Tree (SSTT) is across the stack,Lease,G20051,Area/Block,GC   243,Rig ID,49565,Well Name,SS005,API Well Number,608114045701
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 10:58:34 AM,30 CFR 250.520,N,3672,Talos QN Exploration LLC,Time Extension for Casing Pressure Monitoring,Complex ID,2045,Area Code,MC,Block Number,  736,Facility Name,MC 736 - A(Thunder Hawk),,
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 10:47:44 AM,30 CFR 250.880(c)(3)(viii),N,3670,"White Fleet Operating, LLC",Time Extension for Flame Arrestor Inspection,Complex ID,463,Area Code,HI,Block Number,A 368,Facility Name,HI A 368 - B,,
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 10:47:44 AM,30 CFR 250.860,N,3670,"White Fleet Operating, LLC",Time Extension for Firefighting Equipment Inspection,Complex ID,463,Area Code,HI,Block Number,A 368,Facility Name,HI A 368 - B,,
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 10:47:44 AM,30 CFR 250.880(c)(2)(i),N,3670,"White Fleet Operating, LLC","Time Extension for API RP 14C Device Testing (PSHL, LSHL, TSH, PSV, BSL, FSL, FSV, and SDV)",Complex ID,463,Area Code,HI,Block Number,A 368,Facility Name,HI A 368 - B,,
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 10:47:44 AM,30 CFR 250.816,N,3670,"White Fleet Operating, LLC",Time Extension for SSSV testing or Annual No Flow Verification,Complex ID,463,Area Code,HI,Block Number,A 368,Facility Name,HI A 368 - B,,
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 10:29:01 AM,30 CFR 250.860,N,3670,"White Fleet Operating, LLC",Time Extension for Firefighting Equipment Inspection,Complex ID,1917,Area Code,HI,Block Number,A 351,Facility Name,HI A 351 - C,,
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 10:29:01 AM,30 CFR 250.880(c)(1)(i),N,3670,"White Fleet Operating, LLC",Time Extension for SSSV testing or Annual No Flow Verification,Complex ID,1917,Area Code,HI,Block Number,A 351,Facility Name,HI A 351 - C,,
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 10:29:01 AM,30 CFR 250.880(c)(2)(i),N,3670,"White Fleet Operating, LLC","Time Extension for API RP 14C Device Testing (PSHL, LSHL, TSH, PSV, BSL, FSL, FSV, and SDV)",Complex ID,1917,Area Code,HI,Block Number,A 351,Facility Name,HI A 351 - C,,
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 10:29:01 AM,30 CFR 250.880(c)(3)(viii),N,3670,"White Fleet Operating, LLC",Time Extension for Flame Arrestor Inspection,Complex ID,1917,Area Code,HI,Block Number,A 351,Facility Name,HI A 351 - C,,
Gulf of Mexico,Resource Conservation Requests and Reports,Departure,11/19/2024 9:56:49 AM,30 CFR 250.1163(a)(4),N,689,Shell Offshore Inc.,Flaring/Venting Meter Measurement Departure,Lease Number,G17001,Well API,,Area Code,WR,Block Number,508,Complex ID,2503
Gulf of Mexico,FSS Permit,Time Extension,11/19/2024 9:42:54 AM,30 CFR 250.880(c)(1)(i),N,3670,"White Fleet Operating, LLC",Time Extension for SSSV testing or Annual No Flow Verification,Complex ID,28036,Area Code,HI,Block Number,A 465,Facility Name,HI A 465 - A,,
