RIG_NAME,RIG_TYPE,NOTES
FALCON RIG 18,jack_up,Falcon jack-up rig
FALCON RIG 86,jack_up,Falcon jack-up rig
FALCON TAURUS,jack_up,Falcon Taurus jack-up
FALCON'S PHOENIX II,jack_up,Falcon Phoenix II jack-up
FALCON-PHOENIX IV,jack_up,Falcon Phoenix IV jack-up
FALRIG 17,jack_up,Falcon jack-up rig
FALRIG 18,jack_up,Falcon jack-up rig
FALRIG 19,jack_up,Falcon jack-up rig
FALRIG 20,jack_up,Falcon jack-up rig
FALRIG 20 RBF 253,jack_up,Falcon jack-up rig
FALRIG 20 RBF 263,jack_up,Falcon jack-up rig
FALRIG 47,jack_up,Falcon jack-up rig
FALRIG 77,jack_up,Falcon jack-up rig
FALRIG 82,jack_up,Falcon jack-up rig
FALRIG 84,jack_up,Falcon jack-up rig
FALRIG 85,jack_up,Falcon jack-up rig
FALRIG 86,jack_up,Falcon jack-up rig
FALRIG TAURUS,jack_up,Falcon Taurus jack-up
FOCUS WL,wireline_unit,wireline unit
FREEPORT 2,jack_up,Freeport jack-up rig
FREEPORT RIG 1,jack_up,Freeport jack-up rig
FREEPORT RIG 2,jack_up,Freeport jack-up rig
FREEPORT RIG I,jack_up,Freeport jack-up rig
FREEPROT RIG 2,jack_up,Freeport jack-up rig typo
FRI RODLI,jack_up,Noble Fri Rodli jack-up
FRONTIER DRILLER,drillship,Frontier Driller drillship
G H GALLOWAY,jack_up,G.H. Galloway jack-up
G. H. GALLOWAY,jack_up,G.H. Galloway jack-up
G.H. GALLOWAY,jack_up,G.H. Galloway jack-up
GALLOWAY,jack_up,Galloway jack-up
GENE ROSSER,jack_up,Noble Gene Rosser jack-up
GENERIC COIL TUBING UNIT,coil_tubing_unit,generic coiled tubing unit
GEORGE GALLOWAY,jack_up,George Galloway jack-up
GEORGE H GALLOWAY,jack_up,George H. Galloway jack-up
GEORGE H. GALLOWAY,jack_up,George H. Galloway jack-up
GIBLERT ROWE,jack_up,Gilbert Rowe typo
GILBERT ROWE,jack_up,Gilbert Rowe jack-up
GILBERT TOWE,jack_up,Gilbert Rowe typo
GLO0MAR ADRIATIC IV,jack_up,Glomar Adriatic IV typo
GLOBAL ADRIATIC III,jack_up,Global/GSF Adriatic III jack-up
GLOBAL CELTIC SEA,jack_up,Global/GSF Celtic Sea jack-up
GLOBAL HIGH ISLAND IV,jack_up,Global/GSF High Island IV jack-up
GLOBAL KINGFISH,jack_up,Global Kingfish jack-up
GLOBAL L/B DOLPHIN,lift_boat,Global lift boat Dolphin
GLOBAL MARINE ADRIATIC,jack_up,Global Marine Adriatic jack-up
GLOBAL MARINE BALTIC,jack_up,Global Marine Baltic jack-up
GLOBAL MARINE BALTIC 1,jack_up,Global Marine Baltic I jack-up
GLOBAL MARINE BALTIC I,jack_up,Global Marine Baltic I jack-up
GLOBAL MARINE BLATIC I,jack_up,Global Marine Baltic I typo
GLOBAL MARINE CELTIC SEA,jack_up,Global Marine Celtic Sea jack-up
GLOBAL MARINE HI IV/CTU,jack_up,Global Marine High Island IV with CTU
GLOBAL MARINE HIGH ISLAND II,jack_up,Global Marine High Island II jack-up
GLOBAL MARINE MAIN PASS IV,jack_up,Global Marine Main Pass IV jack-up
GLOBAL MARINE MP IV,jack_up,Global Marine Main Pass IV jack-up
"GLOBAL MV HAMMERHEAD WIRELINE""",wireline_unit,wireline unit on vessel
GLOBAL SANTA FE,jack_up,GSF jack-up rig
"GLOBAL SANTA FE  ""CELTIC SEA""",jack_up,GSF Celtic Sea jack-up
"GLOBAL SANTA FE ""ADRIATIC X""",jack_up,GSF Adriatic X jack-up
"GLOBAL SANTA FE ""ADRIATICX""",jack_up,GSF Adriatic X jack-up
"GLOBAL SANTA FE ""MAIN PASS 1""",jack_up,GSF Main Pass I jack-up
"GLOBAL SANTA FE ""MAIN PASS I""",jack_up,GSF Main Pass I jack-up
GLOBAL SANTA FE - MAIN PASS I,jack_up,GSF Main Pass I jack-up
GLOBAL SANTA FE ADRIATIC III,jack_up,GSF Adriatic III jack-up
GLOBAL SANTA FE ARCTIC 1,jack_up,GSF Arctic I jack-up
GLOBAL SANTA FE ARTIC I,jack_up,GSF Arctic I jack-up
GLOBAL SANTA FE HIGH ISLAND I,jack_up,GSF High Island I jack-up
GLOBAL SANTA FE HIGH ISLAND II,jack_up,GSF High Island II jack-up
GLOBAL SANTA FE HIGH ISLAND VI,jack_up,GSF High Island VI jack-up
GLOBAL SANTA FE HIGH ISLANDI,jack_up,GSF High Island I jack-up
GLOBAL SANTA FE INC.,unknown,company name
GLOBAL SANTA FE JACK RYAN,jack_up,GSF Jack Ryan jack-up
"GLOBAL SANTA FE"" CELTIC SEA""",jack_up,GSF Celtic Sea jack-up
GLOBAL SANTA FE-ARCTIC 1,jack_up,GSF Arctic I jack-up
GLOBAL SANTA FE-MAIN PASS I,jack_up,GSF Main Pass I jack-up
GLOBAL SANTA FE/HIGH ISLAND VI,jack_up,GSF High Island VI jack-up
GLOBAL SANTA FE: C.R. LUIGS,jack_up,GSF C.R. Luigs jack-up
GLOBAL SANTA FE: CR LUIGS,jack_up,GSF C.R. Luigs jack-up
GLOBAL SANTAFE ADRIATIC 10,jack_up,GSF Adriatic X jack-up
GLOBAL SANTE FE  MAIN PASS I,jack_up,GSF Main Pass I jack-up
GLOBAL SANTE FE CELTIC SEA,jack_up,GSF Celtic Sea jack-up
GLOMAR ADRIATIC,jack_up,Glomar Adriatic jack-up
GLOMAR ADRIATIC II,jack_up,Glomar Adriatic II jack-up
GLOMAR ADRIATIC III,jack_up,Glomar Adriatic III jack-up
GLOMAR ADRIATIC IV,jack_up,Glomar Adriatic IV jack-up
GLOMAR ADRIATIC IX,jack_up,Glomar Adriatic IX jack-up
GLOMAR ADRIATIC VI,jack_up,Glomar Adriatic VI jack-up
GLOMAR ADRIATIC VII,jack_up,Glomar Adriatic VII jack-up
GLOMAR ADRIATIC X,jack_up,Glomar Adriatic X jack-up
GLOMAR ADRIATICX,jack_up,Glomar Adriatic X jack-up
GLOMAR ARCTIC 1,jack_up,Glomar Arctic I jack-up
GLOMAR ARCTIC I,jack_up,Glomar Arctic I jack-up
GLOMAR ARTIC 1,jack_up,Glomar Arctic I jack-up
GLOMAR ARTIC I,jack_up,Glomar Arctic I jack-up
GLOMAR BALTIC I,jack_up,Glomar Baltic I jack-up
GLOMAR C. R. LUIGS,jack_up,Glomar C.R. Luigs jack-up
GLOMAR C.R. LUIGS,jack_up,Glomar C.R. Luigs jack-up
GLOMAR CELTIC SEA,jack_up,Glomar Celtic Sea jack-up
GLOMAR CLETIC SEA,jack_up,Glomar Celtic Sea typo
GLOMAR HI ISL VIII,jack_up,Glomar High Island VIII jack-up
GLOMAR HI ISLAND VIII,jack_up,Glomar High Island VIII jack-up
GLOMAR HIGH ISL. II,jack_up,Glomar High Island II jack-up
GLOMAR HIGH ISLAND,jack_up,Glomar High Island jack-up
GLOMAR HIGH ISLAND 1,jack_up,Glomar High Island I jack-up
GLOMAR HIGH ISLAND 11,jack_up,Glomar High Island II jack-up
GLOMAR HIGH ISLAND I,jack_up,Glomar High Island I jack-up
GLOMAR HIGH ISLAND II,jack_up,Glomar High Island II jack-up
GLOMAR HIGH ISLAND III,jack_up,Glomar High Island III jack-up
GLOMAR HIGH ISLAND IV,jack_up,Glomar High Island IV jack-up
GLOMAR HIGH ISLAND VIII,jack_up,Glomar High Island VIII jack-up
GLOMAR HIGH ISLAND VIII 593-31,jack_up,Glomar High Island VIII jack-up
GLOMAR HIGH ISLAND VILL,jack_up,Glomar High Island VIII jack-up
GLOMAR HISH ISLAND 1,jack_up,Glomar High Island I typo
GLOMAR HISH ISLAND II,jack_up,Glomar High Island II typo
GLOMAR MAIN PASS,jack_up,Glomar Main Pass jack-up
GLOMAR MAIN PASS 1,jack_up,Glomar Main Pass I jack-up
GLOMAR MAIN PASS I,jack_up,Glomar Main Pass I jack-up
GLOMAR MAIN PASS IV,jack_up,Glomar Main Pass IV jack-up
GLOMAR MARINE HIGH ISLAND IV,jack_up,Glomar High Island IV jack-up
"GLOMAR MV HAMMERHEAD ""WIRELINE",wireline_unit,wireline unit on vessel
GLOOMAR CELTIC SEA,jack_up,Glomar Celtic Sea typo
GM HIGH ISLAND II,jack_up,Glomar High Island II jack-up
GOMAR CELTIC SEA,jack_up,Glomar Celtic Sea typo
GSF ADRIATIC III,jack_up,GSF Adriatic III jack-up
GSF ARCTIC I,jack_up,GSF Arctic I jack-up
GSF ARTIC I,jack_up,GSF Arctic I jack-up
GSF C.R. LUIGS,jack_up,GSF C.R. Luigs jack-up
GSF CELTIC SEA,jack_up,GSF Celtic Sea jack-up
GSF HIGH ISLAND 1,jack_up,GSF High Island I jack-up
GSF HIGH ISLAND I,jack_up,GSF High Island I jack-up
GSF HIGH ISLAND II,jack_up,GSF High Island II jack-up
GSF HIGH ISLAND III,jack_up,GSF High Island III jack-up
GSF HIGH ISLAND IV,jack_up,GSF High Island IV jack-up
GSF HIGH ISLAND VIII,jack_up,GSF High Island VIII jack-up
GSF MAIN PASS I,jack_up,GSF Main Pass I jack-up
GSF MAIN PASS IV,jack_up,GSF Main Pass IV jack-up
GULF ISLAND III,jack_up,Gulf Island III jack-up
GULF ISLAND VII,jack_up,Gulf Island VII jack-up
GULF ISLAND VIII,jack_up,Gulf Island VIII jack-up
H & P  105,jack_up,H&P 105 jack-up
H & P 105,jack_up,H&P 105 jack-up
H & P 201,jack_up,H&P 201 jack-up
H & P 204,jack_up,H&P 204 jack-up
H & P 205,jack_up,H&P 205 jack-up
H & P 406 (TLP),platform_rig,H&P 406 platform rig on TLP
H& 108,jack_up,H&P 108 jack-up
H&_ 108,jack_up,H&P 108 jack-up typo
H7P 100,jack_up,H&P 100 jack-up typo
H7P RIG 202,jack_up,H&P 202 jack-up typo
HALIFAX,jack_up,Halifax jack-up rig
HALLIBURTON CT,coil_tubing_unit,Halliburton coiled tubing
HARKAND SPEARFISH,support_vessel,Harkand support vessel
HARVEY INTERVENTION,support_vessel,Harvey intervention vessel
HARVEY SUB-SEA,support_vessel,Harvey subsea vessel
HES WL UNIT,wireline_unit,wireline unit
HI II,jack_up,High Island II abbreviation
HIGH ILSAND VIII,jack_up,High Island VIII typo
HIGH ISL. VIII,jack_up,High Island VIII abbreviation
HIGH ISLALND 111,jack_up,High Island III typo
HIGH ISLAN III,jack_up,High Island III typo
HIGH ISLAND,jack_up,High Island jack-up rig
HIGH ISLAND / COIL TUBING UNIT,jack_up,High Island rig with coiled tubing
HIGH ISLAND 1,jack_up,High Island I jack-up
HIGH ISLAND 11,jack_up,High Island II jack-up
HIGH ISLAND 111,jack_up,High Island III jack-up
HIGH ISLAND 8,jack_up,High Island VIII jack-up
HIGH ISLAND BLOCK VIII,jack_up,High Island VIII jack-up
HIGH ISLAND I,jack_up,GSF High Island I jack-up
HIGH ISLAND II,jack_up,GSF High Island II jack-up
HIGH ISLAND III,jack_up,GSF High Island III jack-up
HIGH ISLAND IV,jack_up,GSF High Island IV jack-up
HIGH ISLAND RIG III,jack_up,High Island III jack-up
HIGH ISLAND VII,jack_up,High Island VII jack-up
HIGH ISLAND VIII,jack_up,GSF High Island VIII jack-up
HIGH ISLND VIII,jack_up,High Island VIII typo
HIGHISLAND III,jack_up,High Island III jack-up
HISG ISLAND IV,jack_up,High Island IV typo
HO 105,snubbing_unit,hydraulic workover unit
HOLSTEIN SPAR RIG,platform_rig,Holstein Spar platform rig
HOLSTEIN SPAR RIG DRILLING,platform_rig,Holstein Spar platform rig
HOMER FARRINGTON,jack_up,Noble Homer Farrington jack-up
HOMER FERRINGTON,jack_up,Noble Homer Ferrington jack-up
HOS WARLAND,support_vessel,HOS support vessel
HOS WOODLAND,support_vessel,HOS support vessel
HP 106,jack_up,H&P 106 jack-up
HP 107,jack_up,H&P 107 jack-up
HP 203,jack_up,H&P 203 jack-up
HWC,snubbing_unit,hydraulic workover company abbreviation
HWC #114,snubbing_unit,hydraulic workover unit
HWC 104,snubbing_unit,hydraulic workover unit
HWC 109,snubbing_unit,hydraulic workover unit
HWC 114,snubbing_unit,hydraulic workover unit
HWC 115,snubbing_unit,hydraulic workover unit
HWC 123 SNUBBING UNIT,snubbing_unit,snubbing unit
HWC 125,snubbing_unit,hydraulic workover unit
HWC 125 SNUBBER,snubbing_unit,snubbing unit
HWC SNUBBING UNIT,snubbing_unit,snubbing unit
HWO,snubbing_unit,hydraulic workover abbreviation
HWO UNIT,snubbing_unit,hydraulic workover unit
HYDRAULIC WO UNIT,snubbing_unit,hydraulic workover unit
HYDRAULIC WORKOVER RIG (HWO),snubbing_unit,hydraulic workover unit
HYDRAULIC WORKOVER UNIT,snubbing_unit,hydraulic workover unit
HYP 91,jack_up,H&P 91 typo
Harvey Deep Sea,support_vessel,Harvey support vessel
INTERNATIONAL FRONTIER,jack_up,International Frontier jack-up
ISLAND INTERVENTION,support_vessel,Island Intervention vessel
ISLAND PERFORMER,support_vessel,Island Performer vessel
ISLAND VENTURE,support_vessel,Island Venture vessel
ISS #17,jack_up,ISS jack-up rig
ISS #28,jack_up,ISS jack-up rig
ISS 18,jack_up,ISS jack-up rig
ISS 18 P/F,jack_up,ISS jack-up rig platform
ISS 22,jack_up,ISS jack-up rig
ISS#17,jack_up,ISS jack-up rig
ISS18 P/F,jack_up,ISS jack-up rig platform
J/U ARIES RAM 7,lift_boat,Aries Ram 7 lift boat
J/U LIFTBOAT JUAN,lift_boat,Juan lift boat
JACK RYAN,jack_up,GSF Jack Ryan jack-up
JACK UP BOAT,lift_boat,jack-up boat/lift boat
JACK-UP BOAT,lift_boat,jack-up boat/lift boat
JACK-UP-BOAT,lift_boat,jack-up boat/lift boat
JACKUP,jack_up,generic jack-up
JACKUP BOAT,lift_boat,jack-up boat/lift boat
JIM THOMPSON,jack_up,Noble Jim Thompson jack-up
JOE ALFORD,jack_up,Noble Joe Alford jack-up
JOHN CHANCER SONAR,support_vessel,sonar support vessel
JOHN SANDIFER,jack_up,Noble John Sandifer jack-up
JOHN SANNDIFER,jack_up,Noble John Sandifer typo
JOHNNIE HOFFMAN,jack_up,Noble Johnnie Hoffman jack-up
JOPHNNIE HOFFMAN,jack_up,Noble Johnnie Hoffman typo
JU,lift_boat,jack-up boat abbreviation
JU BOAT,lift_boat,jack-up boat/lift boat
JU BOAT W/WIRELINE UNIT,lift_boat,jack-up boat with wireline
JU BOAT/POWER 8,lift_boat,jack-up boat
JU LIFTBOAT JUAN,lift_boat,Juan lift boat
JUAN,lift_boat,Juan lift boat
JUB SUPERIOR VALOR,lift_boat,Superior Valor lift boat
KELLI BEADLE,lift_boat,Kelli Beadle lift boat
L-B / WL / EL,lift_boat,lift boat with wireline/electric line
L/B,lift_boat,lift boat abbreviation
"L/B ""GULFISLAND 4"" - CTU",lift_boat,Gulf Island 4 lift boat with CTU
"L/B ""RAM 8"" - CTU",lift_boat,Ram 8 lift boat with CTU
"L/B ""SPIRIT"" WLU",lift_boat,Spirit lift boat with wireline
L/B ADVENTURER,lift_boat,Adventurer lift boat
L/B ALEC SCOTT,lift_boat,Alec Scott lift boat
"L/B ARIES ""RAM 11""",lift_boat,Aries Ram 11 lift boat
"L/B ARIES ""RAM XII""",lift_boat,Aries Ram XII lift boat
L/B ARIES RAM 11,lift_boat,Aries Ram 11 lift boat
L/B BOBBY,lift_boat,Bobby lift boat
L/B DISCOVER WELL TEST EQUIP.,lift_boat,Discovery lift boat
L/B DISCOVERY,lift_boat,Discovery lift boat
L/B DISCOVERY-W/L UNIT,lift_boat,Discovery lift boat with wireline
L/B DONNIE PAUL30,lift_boat,Donnie Paul lift boat
L/B FOCUS,lift_boat,Focus lift boat
L/B INDEPENDENCE,lift_boat,Independence lift boat
L/B INTEGRITY,lift_boat,Integrity lift boat
L/B JUAN,lift_boat,Juan lift boat
L/B RAM 8 - CTU,lift_boat,Ram 8 lift boat with CTU
L/B RAM XIV,lift_boat,Ram XIV lift boat
L/B SPIRIT & WL UNIT,lift_boat,Spirit lift boat with wireline
L/B SUPERIOR QUALITY,lift_boat,Superior Quality lift boat
L/B SUPERIOR VALOR,lift_boat,Superior Valor lift boat
"L/B TAMMY (WL, EL, CT)",lift_boat,Tammy lift boat with intervention units
L/BJA HOLLEMAN,lift_boat,JA Holleman lift boat
L/BJN MITCHELL,lift_boat,JN Mitchell lift boat
L/G VICTORY,lift_boat,Victory lift boat
LAB LIFT III,lift_boat,Lab Lift III lift boat
LAB LIFT III (COIL TUING),lift_boat,Lab Lift III with coiled tubing
LAB LIFT IV,lift_boat,Lab Lift IV lift boat
LAB LIFT IV BOAT,lift_boat,Lab Lift IV lift boat
LAB LIFT V,lift_boat,Lab Lift V lift boat
LAB LIFT V/ SNUBBING UNIT,lift_boat,Lab Lift V with snubbing
LAB LIFT V/SNUBBING UNIT,lift_boat,Lab Lift V with snubbing
"LABORDE MARINE ""LAB LIFT III""",lift_boat,Lab Lift III lift boat
LAFFIT PINCAY,lift_boat,Laffit Pincay lift boat
LB,lift_boat,lift boat abbreviation
LB CHRISTIE & HWC 123,lift_boat,Christie lift boat with HWC
LB ERIC DANOS,lift_boat,Eric Danos lift boat
LB JUAN,lift_boat,Juan lift boat
LB SUPERIOR CONQUEROR,lift_boat,Superior Conqueror lift boat
LB/CTU,lift_boat,lift boat with coiled tubing
LBJ HOLLEMAN,lift_boat,LBJ Holleman lift boat
LEONARD JONES,jack_up,Noble Leonard Jones jack-up
LESTER PELTUS,jack_up,Noble Lester Pettus typo
LESTER PETTUS,jack_up,Noble Lester Pettus jack-up
LESTER PETUS,jack_up,Noble Lester Pettus typo
LESTER PTTTUS,jack_up,Noble Lester Pettus typo
LEWIS DUGGER,jack_up,Noble Lewis Dugger jack-up
LEXINGTON,semi_submersible,Diamond Lexington semi
LIFT BOAT,lift_boat,generic lift boat
"LIFT BOAT "" ENDURANCE"" /WL&EL",lift_boat,Endurance lift boat with wireline
"LIFT BOAT ""ENDURANCE""/WL/EL",lift_boat,Endurance lift boat with wireline
"LIFT BOAT ""KAITLYN EYMARD""",lift_boat,Kaitlyn Eymard lift boat
"LIFT BOAT ""SPIRIT"" / CTU",lift_boat,Spirit lift boat with CTU
LIFT BOAT (BLAKE 101),lift_boat,Blake lift boat
LIFT BOAT - GULF ISLAND II,lift_boat,Gulf Island II lift boat
LIFT BOAT / CTU,lift_boat,lift boat with coiled tubing
LIFT BOAT / WIRELINE,lift_boat,lift boat with wireline
LIFT BOAT AND DIVERS,lift_boat,lift boat with divers
LIFT BOAT ARIES MARINE RAM X,lift_boat,Aries Ram X lift boat
LIFT BOAT BLUE RUNNER - W/L UN,lift_boat,Blue Runner lift boat with wireline
LIFT BOAT COIL TUBING UNIT,lift_boat,lift boat with coiled tubing
LIFT BOAT ENDURANCE / WL/EL,lift_boat,Endurance lift boat with wireline
LIFT BOAT LABLIFT 4 - W/L UNIT,lift_boat,Lab Lift 4 with wireline
LIFT BOAT LACIE BOURG,lift_boat,Lacie Bourg lift boat
LIFT BOAT LAREDO GRAND,lift_boat,Laredo Grand lift boat
LIFT BOAT PETITE,lift_boat,Petite lift boat
LIFT BOAT SARAH DAVID,lift_boat,Sarah David lift boat
LIFT BOAT SUPERIOR CHALLENGE,lift_boat,Superior Challenge lift boat
LIFT BOAT SUPERIOR CLASS,lift_boat,Superior Class lift boat
LIFT BOAT SUPERIOR ENDEAVOR,lift_boat,Superior Endeavor lift boat
LIFT BOAT TAMMY,lift_boat,Tammy lift boat
LIFT BOAT-AIRES RAM I,lift_boat,Aries Ram I lift boat
LIFT BOAT-GULF ISLAND II,lift_boat,Gulf Island II lift boat
LIFT BOAT/COIL TUBING,lift_boat,lift boat with coiled tubing
LIFT BOAT/COIL TUBING UNIT,lift_boat,lift boat with coiled tubing
LIFT BOAT/CTU,lift_boat,lift boat with coiled tubing
LIFT BOAT/EL,lift_boat,lift boat with electric line
LIFT BOAT/ELECTRIC LINE,lift_boat,lift boat with electric line
LIFT BOAT/WIRELINE,lift_boat,lift boat with wireline
LIFTBOAT,lift_boat,lift boat
"LIFTBOAT ""MYRTLE""",lift_boat,Myrtle lift boat
LIFTBOAT / WL / EL,lift_boat,lift boat with wireline/electric line
LIFTBOAT ALEX SCOTT,lift_boat,Alex Scott lift boat
LIFTBOAT C/T,lift_boat,lift boat with coiled tubing
LIFTBOAT CHAMNPION,lift_boat,Champion lift boat
LIFTBOAT CTU,lift_boat,lift boat with coiled tubing
LIFTBOAT ERIC DANOS,lift_boat,Eric Danos lift boat
LIFTBOAT FOCUS / WL/EL,lift_boat,Focus lift boat with wireline/electric line
LIFTBOAT FOCUS WL/EL,lift_boat,Focus lift boat with wireline/electric line
LIFTBOAT JUAN,lift_boat,Juan lift boat
LIFTBOAT KAITLYN EZMARD,lift_boat,Kaitlyn Eymard lift boat
LIFTBOAT MR. ALLEN,lift_boat,Mr. Allen lift boat
LIFTBOAT MYRTLE,lift_boat,Myrtle lift boat
LIFTBOAT RAM XI,lift_boat,Ram XI lift boat
LIFTBOAT RENE DANOS,lift_boat,Rene Danos lift boat
LIFTBOAT SEA BASS,lift_boat,Sea Bass lift boat
LIFTBOAT SUPERIOR ENDEAVOR,lift_boat,Superior Endeavor lift boat
LIFTBOAT SUPERIOR LEGACY,lift_boat,Superior Legacy lift boat
LIFTBOAT SUPERIOR VISION,lift_boat,Superior Vision lift boat
LIFTBOAT TAMMY,lift_boat,Tammy lift boat
LIFTBOAT TARPON,lift_boat,Tarpon lift boat
LIFTBOAT WIRELINE UNIT,lift_boat,lift boat with wireline
LIFTBOAT/ CTU,lift_boat,lift boat with coiled tubing
LIFTBOAT/ SLICKLINE,lift_boat,lift boat with slickline
LIFTBOAT/CTU,lift_boat,lift boat with coiled tubing
LIFTBOAT/EL UNIT,lift_boat,lift boat with electric line
LIFTBOAT/SLICKLINE,lift_boat,lift boat with slickline
LIFTBOAT/WIRELINE/CT,lift_boat,lift boat with multi-intervention
LIFTBOAT/WL UNIT,lift_boat,lift boat with wireline
LIS ENERGY SERVICES,unknown,service company entry
LORRIS BOUIGUARD,jack_up,Noble Lorris Bouzigard typo
LORRIS BOURZIGARD,jack_up,Noble Lorris Bouzigard typo
LORRIS BOUZIARD,jack_up,Noble Lorris Bouzigard typo
LORRIS BOUZIGARD,jack_up,Noble Lorris Bouzigard jack-up
LORRIS BOUZIGARD(SS),jack_up,Noble Lorris Bouzigard jack-up
LUBRICATOR,unknown,equipment not rig
LUKE DAVID LIFT BOAT,lift_boat,Luke David lift boat
M. G. HULME,jack_up,M.G. Hulme jack-up
"M. G. HULME, JR.",jack_up,M.G. Hulme Jr jack-up
"M.G. HULME, JR.",jack_up,M.G. Hulme Jr jack-up
M/V (SEA LION),support_vessel,Sea Lion support vessel
M/V JEAN-ELAINE,support_vessel,Jean-Elaine support vessel
M/V JOHN GILBERT JACKUP,jack_up,John Gilbert jack-up
MAARINE 304,jack_up,Marine 304 typo
MAD DOG,platform_rig,Mad Dog Spar platform rig
MAD DOG SPAR RIG,platform_rig,Mad Dog Spar platform rig
MADD DOG,platform_rig,Mad Dog Spar typo
MAIAN PASS IV,jack_up,Main Pass IV typo
MAIN PASS !,jack_up,Main Pass I typo
MAIN PASS 1,jack_up,Main Pass I jack-up
MAIN PASS 226,jack_up,Main Pass jack-up rig
MAIN PASS I,jack_up,GSF Main Pass I jack-up
MAIN PASS IV,jack_up,GSF Main Pass IV jack-up
MALLARD 41,jack_up,Mallard jack-up rig
MALLARD 41-E,jack_up,Mallard jack-up rig
MALLARD RIG 42E,jack_up,Mallard jack-up rig
MAN O WAR SLICKLINE,wireline_unit,slickline unit
MARIANAS,jack_up,Transocean Marianas jack-up
MARINE,jack_up,Marine jack-up rig
MARINE # 18,jack_up,Marine jack-up rig
MARINE # 303,jack_up,Marine jack-up rig
MARINE #15,jack_up,Marine jack-up rig
MARINE #225,jack_up,Marine jack-up rig
MARINE #304,jack_up,Marine jack-up rig
MARINE 15,jack_up,Marine jack-up rig
MARINE 16,jack_up,Marine jack-up rig
MARINE 17,jack_up,Marine jack-up rig
MARINE 18,jack_up,Marine jack-up rig
MARINE 200,jack_up,Marine jack-up rig
MARINE 201,jack_up,Marine jack-up rig
MARINE 202,jack_up,Marine jack-up rig
MARINE 225,jack_up,Marine jack-up rig
MARINE 3,jack_up,Marine jack-up rig
MARINE 300,jack_up,Marine jack-up rig
MARINE 300\,jack_up,Marine jack-up rig typo
MARINE 301,jack_up,Marine jack-up rig
MARINE 303,jack_up,Marine jack-up rig
MARINE 304,jack_up,Marine jack-up rig
MARINE 304/PRIDE WISCONSIN,jack_up,Marine 304/Pride Wisconsin jack-up
MARINE 4,jack_up,Marine jack-up rig
MARINE 700,jack_up,Marine jack-up rig
MARINE HIGH ISLAND VIII,jack_up,Marine High Island VIII jack-up
MARINE III,jack_up,Marine jack-up rig
MARINE IV,jack_up,Marine jack-up rig
MARINE NO. 16,jack_up,Marine jack-up rig
MARINE RIG #4,jack_up,Marine jack-up rig
MARINE RIG 3,jack_up,Marine jack-up rig
MARINE XV,jack_up,Marine jack-up rig
MARINE XVII,jack_up,Marine jack-up rig
MARINE XVIII,jack_up,Marine jack-up rig
MASTER BRANDON,support_vessel,Master Brandon support vessel
MAX SMITH,jack_up,Noble Max Smith jack-up
MIDDLETOWN,jack_up,jack-up rig
MIDNIGHT HUNTER,support_vessel,Midnight Hunter dive vessel
MIDNIGHT HUNTER DIVE VESSEL,support_vessel,Midnight Hunter dive vessel
MILLENNIUM,drillship,Deepwater Millennium drillship
MISS AUDREY LB,lift_boat,Miss Audrey lift boat
MISSISSIPPI,jack_up,Pride Mississippi jack-up
MOBS 200,jack_up,MODS 200 typo
MOD 141,jack_up,MODS 141 jack-up
MODS 141,jack_up,MODS 141 jack-up
MODS 150,jack_up,MODS 150 jack-up
MODS 200,jack_up,MODS 200 jack-up
MR BICE,jack_up,Mr. Bice jack-up
MR. BICE,jack_up,Mr. Bice jack-up
MRINE 17,jack_up,Marine 17 typo
MSV AMERICAN,support_vessel,MSV American support vessel
MSV BRANDON BORDELON,support_vessel,MSV Brandon Bordelon support vessel
MSV CADE CANDIES,support_vessel,MSV Cade Candies support vessel
MSV CAL DIVE Q-4000,support_vessel,MSV Cal Dive Q-4000 support vessel
MSV HARVEY BLUE SEA,support_vessel,MSV Harvey Blue Sea support vessel
MV NORTHERN RIVER DIVE BOAT,support_vessel,Northern River dive vessel
N/,unknown,unclear entry
N/A,unknown,not applicable entry
N/Q,unknown,unclear entry
NA - WIRELINE,wireline_unit,wireline unit
NA/,unknown,unclear entry
NABOR DOLPHIN TITAN,jack_up,Nabors Dolphin Titan jack-up
NABOR MODS 150,jack_up,Nabors MODS 150 jack-up
NABOR T270,jack_up,Nabors T270 jack-up
NEW ERA,semi_submersible,Diamond Ocean New Era semi
NEW ERA (SS),semi_submersible,Diamond Ocean New Era semi
NEW ORLEANS,jack_up,jack-up rig
NOBEL AMOS RUNNER,jack_up,Noble Amos Runner typo
NOBEL CARL NORBERG,jack_up,Noble Carl Norberg typo
NOBEL EDDIE PAUL,jack_up,Noble Eddie Paul typo
"NOBLE ""CARL NORBERG""",jack_up,Noble Carl Norberg jack-up
"NOBLE ""EARL FREDERICKSON""",jack_up,Noble Earl Frederickson jack-up
"NOBLE ""EDDIE PAUL""",jack_up,Noble Eddie Paul jack-up
"NOBLE ""FRI RODLI""",jack_up,Noble Fri Rodli jack-up
"NOBLE ""JIM THOMPSON""",jack_up,Noble Jim Thompson jack-up
"NOBLE ""JOE ALFORD""",jack_up,Noble Joe Alford jack-up
"NOBLE ""JOHNNIE HOFFMAN""",jack_up,Noble Johnnie Hoffman jack-up
"NOBLE ""JOHNNIE""HOFFMAN",jack_up,Noble Johnnie Hoffman typo
