SN_APD,API_WELL_NUMBER,MMS_COMPANY_NUM,KICKOFF_POINT_MD,WELL_NAME,WELL_NM_BP_SFIX,WELL_NM_ST_SFIX,WATER_DEPTH,PERMIT_TYPE,PRP_RKB_ELEV,MINERAL_CODE,REQ_SPUD_DATE,SUBSEA_BOP_FLAG,WELL_TYPE_CODE,DRIVE_DEPTH,DRIVE_SIZE,SURF_AREA_CODE,SURF_BLOCK_NUMBER,SURF_LEASE_NUMBER,SURF_STATE_LEASE_NUM,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_LATITUDE,SURF_LONGITUDE,SURF_E_W_DISTANCE,SURF_E_W_CODE,SURF_N_S_DISTANCE,SURF_N_S_CODE,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,BOTM_LEASE_NUMBER,BOTM_STATE_LEASE_NUM,SV_PLAN_CTRL_CD,SV_PLAN_CTRL_NUM,SV_SURF_LEASE_NUM,SV_SURF_AREA_CODE,SV_SURF_BLOCK_NUM,SV_WELL_NAME,BV_PLAN_CTRL_CD,BV_PLAN_CTRL_NUM,BV_BOTM_LEASE_NUM,BV_BOTM_AREA_CODE,BV_BOTM_BLOCK_NUM,BV_WELL_NAME,RIG_ANCHOR_FLAG,RIG_NAME,RIG_TYPE_CODE,RIG_ID_NUM,RIG_FUNC_CODE,CONSTRUCTION_YR,SHIPYARD_NAME,REFURBISHED_YR,RATED_WTR_DEPTH,RATE_DRIL_DEPTH,ABS_CERT_EXPR_DT,CG_CERT_EXPR_DT,SAFE_BRN_APRV_DT,SAFE_BURN_DIST,SAFE_BRN_RMK,BUS_ASC_NAME,APD_SUB_STATUS_DT,APD_STATUS_DT,REGION_CODE
-15339,608174128800,2058,,001,0,0,4927,Revised New Well,86,H,10/15/2014,Y,E,5313,36,MC,253,G24062,,1204385.700944,10434791.856578,28.746915,-88.36110472,546,W,3768,N,MC,208,G32303,,S,7666,G24062,MC,  253,H,S,7666,G32303,MC,  208,H,N,VALARIS 8503 (ENSCO 8503),DP SEMISUBMERSIBLE,50541,D,2010.0,SINGAPORE,,8500.0,37500,9/27/2020,7/9/2021,1/19/2012,GOMR Houma District,"Need Current USCG and ABS Certs which should be completed after sea trails.

7-13-11 - ABS Certificate has been recieved and attached. (MR)
12-19-11 - USCG Certificate has been recieved and attached. (MR)

SWA Approval 19-JAN-2012 Houma District...BN","LLOG Exploration Offshore, L.L.C.",10/21/2014 3:58:15 PM,10/22/2014 9:32:04 AM,G
-15362,608114061500,2481,,MD018,0,0,4428,Revised New Well,168,H,8/1/2014,N,D,4887,36,GC,782,G15610,,2528148.750036,9875546.333551,27.18830972,-90.26887639,6251,E,7226,S,GC,781,G15609,,R,5519,G15610,GC,  782,P,R,5519,G15610,GC,  782,P,N,MAD DOG SPAR RIG,PLATFORM,51323,D,2012.0,KOS INGLESIDE,,4450.0,30000,11/8/2024,10/15/2024,,,,BP Exploration & Production Inc.,10/24/2014 1:32:20 PM,10/27/2014 2:04:01 PM,G
-15385,608114036904,981,12745.0,A004,0,4,4968,Sidetrack,162,H,12/15/2014,N,D,5398,36,GC,680,G22987,,2300241.245958,9908900.090123,27.29194607,-90.96795408,3441,W,6940,N,GC,680,G22987,,S,6025,G22987,GC,  680,C,S,6025,G22987,GC,  680,C,N,BLAKE 1007,PLATFORM,61610,D,,,,15000.0,15000,,,,,"CG and ABS Cert Not required -
See Drilling Depth Rating in Attachment Data
4.5in pipe - Max Drilling Depth - 17,950ft
5.0in pipe - Max Drilling Depth - 14,880ft",Anadarko Petroleum Corporation,11/13/2014 8:40:23 AM,1/20/2015 1:56:27 PM,G
-15398,608114040900,2481,,DC134,0,0,6816,Revised New Well,75,H,8/1/2014,Y,D,7082,36,GC,743,G15607,,2604740.423132,9890473.84065,27.22454801,-90.03239888,6980,W,6314,S,GC,743,G15607,,R,5984,G15607,GC,  743,DC134,R,5984,G15607,GC,  743,DC134,N,DIAMOND WEST AURIGA,DRILLSHIP,49560,D,2013.0,SHI,,11810.0,37400,4/3/2028,2/17/2024,2/9/2022,GOMR Houma District,"Approved for flag transfer from SEADRILL to DIAMOND OFFSHORE by Houma District, 02/09/2022",BP Exploration & Production Inc.,10/31/2014 12:44:51 PM,11/12/2014 4:07:20 PM,G
-15403,177190085602,2375,9083.0,B020,0,2,180,Sidetrack,102,H,10/31/2014,N,D,478,20,WD,74,G01084,,2529011.974253,103840.068237,28.94171008,-89.67957968,3316,E,848,S,WD,74,G01084,,R,6089,G01084,WD,   74,B20ST01,R,6089,G01084,WD,   74,B20ST01,N,NABORS 17,PLATFORM,92502,D,1955.0,NEW IBERIA,,0.0,22000,12/31/2016,12/31/2016,,,"CG and ABS Cert Not required - platform rig, ABS and Coast Guard Letter not Applicable","Energy XXI GOM, LLC",10/30/2014 4:51:50 PM,10/31/2014 10:11:25 PM,G
-15441,177150100201,2628,315.0,P008,0,1,137,Sidetrack,120,H,12/1/2014,N,D,507,24,ST,152, 00464,,2350155.22,-15991.4,28.61811087,-90.24223114,785,W,2741,N,ST,151, 00463,,R,6140,,ST,  152,P008 ST1,R,6140, 00463,ST,  151,P008 ST1,N,WFD 350,JACKUP,90828,D,1982.0,CANADA,,300.0,25000,9/30/2022,11/13/2022,10/2/2017,GOMR Lafayette District,Safe Welding Area was originally approved by the Houma District on 2/2/1995. Safe Welding Area approval re-issued by the Lafayette District on 10/2/2017 to include the new name on the form and also confirmed to be in compliance during inspection offshore (MR).,"Arena Offshore, LP",11/7/2014 10:22:50 AM,12/18/2014 3:41:57 PM,G
-15408,177254087401,78,10480.0,CC051,0,1,46,Revised Sidetrack,99,H,9/4/2014,N,D,414,24,MP,41, 00374,,2745076.480846,271418.320182,29.39212305,-88.99360123,6476,W,6662,N,MP,41, 00374,,R,4876, 00374,MP,   41,51,R,4876, 00374,MP,   41,51,N,HERCULES 120,JACKUP,14307,D,1958.0,,1980.0,110.0,18000,2/28/2016,4/3/2015,5/8/2006,GOMR Houma District,"The rig's rated depth for WO operations is 25,000 ft.

The rig's Safe Welding Area has mitigation conditions for SBM and OBM cuttings boxes.  Refer to approval letter attached in d-base.

Synthetic oil based drilling fluid (SBM) and diesel oil based drilling fluid (OBM) are utilized on the Hercules Rig 120. Cuttings boxes are used to contain OBM cuttings and to contain wet SBM cuttings if the SBM cuttings dryer system suffers a temporary disruption. Due to deck space limitations there is a necessity to store cutting boxes within a 35' radius of the approved Safe Welding Area. This is not an approved condition.

1) When using SBM or OBM on Hercules 120, the Safe Welding Area will be temporarily decommissioned.
2) When #1 above is in force an appropriate sign designating that the Safe Welding Area is decommissioned/closed will be posted within the decommissioned Safe Welding Area.
3) When #1 above is in force hotwork performed on the rig will be by permit only using the ¿Chevron Daily Hot Work Permit"" process.
4) All hotwork safe practices and procedures as mandated by the approved 'Welding. Burning and Hot Tapping Safe Practices and Procedures Plan' will continue to be adhered to.",Chevron U.S.A. Inc.,10/30/2014 2:29:45 PM,10/30/2014 3:10:56 PM,G
-15416,608234002800,689,,001,0,0,7590,Revised New Well,47,H,6/15/2014,Y,E,7837,36,DC,398,G25854,,1369780.623235,10374460.454423,28.58515278,-87.84354167,7541,W,740,N,DC,398,G25854,,S,7650,G25854,DC,  398,J,S,7650,G25854,DC,  398,J,N,NOBLE GLOBETROTTER,DRILLSHIP,51121,D,2011.0,HUISMAN,,10000.0,40000,2/20/2027,3/26/2025,,,,Shell Offshore Inc.,10/31/2014 12:53:23 PM,11/3/2014 5:48:59 PM,G
-15435,608174128900,2647,,006,0,0,2047,Revised New Well,92,H,9/16/2014,Y,E,2399,36,MC,538,G16614,,853733.999037,10315225.025445,28.402795,-89.4474275,1626,E,3385,S,MC,538,G16614,,S,7590,G16614,MC,  538,SS006,S,7590,G16614,MC,  538,SS006,N,T.O. DISCOVERER DEEP SEAS,DRILLSHIP,46105,D,2000.0,"ASTANO, SPAIN",,10000.0,40000,1/5/2016,1/5/2017,,,"No SW&B Plan - will permit welding on case-by-case basis - DJT.
DNV certificate.",Murphy Exploration & Production Company - USA,11/4/2014 6:53:19 AM,11/5/2014 5:33:26 PM,G
-15463,177244035201,78,3927.0,DA008,0,1,217,Sidetrack,146,H,3/1/2015,N,D,561,24,MP,299,G01316,,2824607.067627,225233.957329,29.26044468,-88.74720812,383,E,8596,N,MP,298,G01315,,R,6234,G01316,MP,  299,DA008 ST,R,6234,G01315,MP,  298,DA008 ST,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976.0,LETOURNEAU,,320.0,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,11/11/2014 2:03:19 PM,3/25/2015 2:22:29 PM,G
-15464,608234002800,689,,001,0,0,7590,Revised New Well,47,H,6/15/2014,Y,E,7837,36,DC,398,G25854,,1369780.623235,10374460.454423,28.58515278,-87.84354167,7541,W,740,N,DC,398,G25854,,S,7650,G25854,DC,  398,J,S,7650,G25854,DC,  398,J,N,NOBLE GLOBETROTTER,DRILLSHIP,51121,D,2011.0,HUISMAN,,10000.0,40000,2/20/2027,3/26/2025,,,,Shell Offshore Inc.,11/10/2014 3:08:35 PM,11/12/2014 10:42:03 AM,G
-15465,608174129500,2058,,002,0,0,6131,New Well,108,H,12/11/2014,Y,E,6539,36,MC,300,G22868,,1263488.038029,10411039.053314,28.68330861,-88.17591556,3712,E,4159,S,MC,300,G22868,,R,6238,G22868,MC,  300,D,R,6238,G22868,MC,  300,D,N,SEADRILL SEVAN LOUISIANA,DP SEMISUBMERSIBLE,49565,D,2013.0,COSCO (CHINA),,10000.0,35000,10/21/2028,4/18/2025,2/2/2016,GOMR New Orleans District,,"LLOG Exploration Offshore, L.L.C.",11/13/2014 4:18:42 PM,12/19/2014 12:51:50 PM,G
-15466,608174127701,3059,7148.0,B011,1,0,668,Bypass,141,H,11/8/2014,N,D,1170,26,MC,21,G28351,,1029000.980242,10506442.008672,28.93731556,-88.91196694,599,E,4522,S,MC,22,G22850,,R,5995,G28351,MC,   21,D,R,5995,G22850,MC,   22,D,N,NABORS MODS 200,PLATFORM,47794,D,2004.0,,,5000.0,25000,12/31/2024,12/31/2024,,,CG and ABS Cert Not required - This is a platform rig designed for Murphy's Front Runner SPAR.  BOPs have a dolley system.,ANKOR Energy LLC,11/11/2014 2:56:10 PM,11/18/2014 9:27:24 AM,G
-15467,608174128900,2647,,006,0,0,2047,Revised New Well,92,H,9/16/2014,Y,E,2399,36,MC,538,G16614,,853733.999037,10315225.025445,28.402795,-89.4474275,1626,E,3385,S,MC,538,G16614,,S,7590,G16614,MC,  538,SS006,S,7590,G16614,MC,  538,SS006,N,T.O. DISCOVERER DEEP SEAS,DRILLSHIP,46105,D,2000.0,"ASTANO, SPAIN",,10000.0,40000,1/5/2016,1/5/2017,,,"No SW&B Plan - will permit welding on case-by-case basis - DJT.
DNV certificate.",Murphy Exploration & Production Company - USA,11/11/2014 5:39:05 PM,11/13/2014 10:18:34 PM,G
-15473,608114062201,981,22550.0,005,1,0,4017,Bypass,81,H,12/30/2014,Y,E,4429,36,GC,562,G11075,,2525495.074353,9955093.4071,27.40712663,-90.27168935,6935,W,7573,S,GC,562,G11075,,S,7589,G11075,GC,  562,BB,S,7589,G11075,GC,  562,BB,N,DIAMOND OCEAN BLACKHAWK,DRILLSHIP,51501,D,2014.0,HYUNDAI KOREA,,12000.0,40000,1/26/2029,3/24/2025,5/29/2014,GOMR Houma District,,Anadarko Petroleum Corporation,12/3/2014 2:39:17 PM,1/21/2015 8:09:11 AM,G
-15474,608114062700,2481,,001,0,0,4416,Revised New Well,86,H,6/1/2014,Y,E,4802,36,GC,627,G25174,,2159376.968424,9920689.042315,27.33000639,-91.40115028,5137,W,4849,S,GC,627,G25174,,N,9749,G25174,GC,  627,C,N,9749,G25174,GC,  627,C,N,SEADRILL WEST SIRIUS,DP SEMISUBMERSIBLE,49579,D,2008.0,JURONG,,10000.0,37500,3/24/2018,9/27/2015,10/13/2009,GOMR Lafayette District,Dynamically positioned - no anchors - DJT,BP Exploration & Production Inc.,11/13/2014 3:13:56 PM,11/24/2014 1:08:22 PM,G
-15503,177104167700,2628,,C020,0,0,235,Revised New Well,125,H,11/18/2014,N,D,592,24,EI,314,G02111,,1872037.938776,-144035.645286,28.27002083,-91.73069667,7237,W,6531,S,EI,314,G33636,,S,7661,G02111,EI,  314,J,S,7661,G33636,EI,  314,J,N,H&P 105,PLATFORM,94109,D,1986.0,NEW IBERIA,,,25000,12/31/2016,12/31/2016,3/16/1995,GOMR New Orleans District,CG and ABS Cert Not required - ,"Arena Offshore, LP",11/18/2014 3:33:40 PM,11/19/2014 11:13:31 AM,G
-15505,177144001503,78,2300.0,078,0,3,43,Revised Sidetrack,87,H,11/13/2014,N,D,345,24,BM,2,,,2377226.692111,144504.523043,29.05868749,-90.15272835,2449,W,10175,S,BM,2, 00369,,S,5891,,BM,    2,78,S,5891, 00369,BM,    2,78,N,HERCULES 173,JACKUP,90103,D,1971.0,VICKSBURG,,173.0,15000,5/31/2016,5/21/2016,5/27/2009,GOMR Lafayette District,Rig name change to HERCULES 173 issued new stamped drawings on 5-27-09.,Chevron U.S.A. Inc.,11/20/2014 9:36:04 AM,11/20/2014 10:52:37 AM,G
-15509,608084004701,78,13340.0,002,1,0,6823,Revised Bypass,82,H,10/27/2014,Y,E,7213,36,KC,785,G25806,,1931891.364988,9513207.997635,26.21496887,-92.110686,589,E,6632,N,KC,785,G25806,,S,7655,G25806,KC,  785,BMP 3,S,7655,G25806,KC,  785,BMP 3,N,NOBLE STANLEY LAFOSSE (FKA PACIFIC SHARAV),DRILLSHIP,51090,D,2014.0,SAMSUNG KOREA,,12000.0,40000,5/13/2029,6/13/2025,,,"Any welding performed on the Pacific Sharav will follow Chevron's Welding Plan as approved by the BSEE New Orleans District on May 17, 2017.",Chevron U.S.A. Inc.,11/19/2014 4:43:58 PM,11/20/2014 3:16:18 PM,G
-15510,608114062900,2899,,002,0,0,2240,Revised New Well,82,H,7/7/2014,Y,D,2632,36,GC,237,G15563,,2250612.977429,10064172.96144,27.72113639,-91.11345194,1333,W,5773,S,GC,236,G34971,,N,9771,G15563,GC,  237,001,N,9771,G34971,GC,  236,001,N,VALARIS 8502,DP SEMISUBMERSIBLE,50540,D,2010.0,SINGAPORE,,8500.0,35000,1/14/2015,6/10/2016,11/23/2010,GOMR Houma District,,"Energy Resource Technology GOM, Inc.",11/25/2014 7:40:22 AM,11/25/2014 8:55:53 AM,G
-15511,608174112305,689,13422.0,PI001,0,3,3853,Revised Sidetrack,82,H,8/18/2014,Y,D,4136,36,MC,809,G05868,,966092.966689,10224167.522976,28.15824905,-89.09317492,147,E,7368,S,MC,810,G09873,,S,7022,G05868,MC,  809,PI-1,R,5873,G09873,MC,  810,PI001ST,N,NOBLE DON TAYLOR,DRILLSHIP,92600,D,2013.0,HYUNDAI,,10000.0,40000,4/29/2023,6/25/2021,,,,Shell Offshore Inc.,11/19/2014 10:30:37 AM,11/19/2014 2:25:08 PM,G
-14928,608174128200,2237,,002,0,0,6565,Revised New Well,103,H,4/1/2014,Y,E,6930,36,MC,782,G33757,,1226028.984806,10245555.026888,28.22703806,-88.28722833,6349,W,2925,N,MC,782,G33757,,R,6063,G33757,MC,  782,782 B,R,6063,G33757,MC,  782,782 B,N,ATWOOD ADVANTAGE,DRILLSHIP,92908,D,2014.0,DAEWOO,,12000.0,40000,12/9/2018,3/1/2017,,,,"Noble Energy, Inc.",8/1/2014 9:24:58 AM,8/7/2014 2:38:25 PM,G
-16698,608104014600,1284,,A008,0,0,557,Revised New Well,146,H,2/21/2015,N,D,1125,30,EW,910,G13079,,2431264.170108,10188243.639313,28.05348944,-90.54762167,7744,W,3124,S,EW,954,G13081,,R,6143,G13079,EW,  910,A008,R,6143,G13081,EW,  954,A008,N,H&P 203,PLATFORM,94115,D,1997.0,GALVESTON,2014.0,9999.0,30000,12/31/2025,12/31/2025,,,CG and ABS Cert Not required - ,"W & T Offshore, Inc.",10/29/2015 2:35:38 PM,10/29/2015 3:56:06 PM,G
-16103,427094117200,2628,,C002,0,0,253,Revised New Well,126,H,1/6/2015,N,D,643,30,HI,A547,G02705,,3627353.825389,101119.959697,28.01489333,-93.95568278,6842,E,1840,N,HI,A547,G02705,,S,7662,G02705,HI,A 547,C002,S,7662,G02705,HI,A 547,C002,N,WFD 300,JACKUP,45642,D,1974.0,BETHLEHEM,,300.0,25000,8/8/2023,5/16/2021,4/1/2014,GOMR Houma District,"(Formerly Pride Texas)  
(Formerly Hercules 300)","Arena Offshore, LP",4/29/2015 1:59:55 PM,4/29/2015 2:31:45 PM,G
-16699,608114065500,59,,SA002,0,0,3531,New Well,83,H,11/20/2015,N,D,3930,36,GC,512,G26315,,2431916.03028,9978357.982097,27.47643417,-90.55851972,7444,E,842,N,GC,512,G26315,,N,9866,G26315,GC,  512,SA002,N,9866,G26315,GC,  512,SA002,N,DIAMOND OCEAN BLACKLION,DRILLSHIP,51525,D,2015.0,Hyundai,,12000.0,40000,5/21/2025,9/12/2024,12/3/2015,GOMR Houma District,,Hess Corporation,11/6/2015 9:23:20 AM,11/18/2015 3:04:05 PM,G
-16705,608174120701,689,17400.0,MB008,0,1,3037,Sidetrack,232,H,11/2/2015,N,E,3536,38,MC,807,G07963,,919077.077473,10225648.417068,28.16001332,-89.239114,357,W,6992,N,MC,763,G07958,,N,9627,G07963,MC,  807,MB008,N,9627,G07958,MC,  763,MB008,N,OLYMPUS N88,PLATFORM,2385,D,2015.0,UNKNOWN,,5000.0,40000,2/25/2025,2/25/2025,,,,Shell Offshore Inc.,11/2/2015 1:58:42 PM,11/5/2015 9:13:18 AM,G
-17063,608084005400,78,,002,0,0,4838,Revised New Well,82,H,12/24/2015,Y,E,5244,36,KC,96,G33531,,1463085.022726,9746285.0535,26.85815056,-93.5440875,5805,W,4685,S,KC,96,G33531,,N,9880,G33531,KC,   96,E1,N,9880,G33531,KC,   96,E1,N,PACIFIC SANTA ANA,DRILLSHIP,51081,D,2011.0,SAMSUNG KOREA,,12000.0,40000,12/19/2016,5/26/2018,,,,Chevron U.S.A. Inc.,3/4/2016 11:19:37 AM,3/10/2016 9:32:48 AM,G
-17364,608114066800,2010,,SS001,0,0,4226,Revised New Well,79,H,6/21/2016,Y,E,4615,36,GC,564,G34993,,2555750.0303,9954000.019752,27.40226611,-90.17859306,5510,W,6480,S,GC,564,G34993,,R,6460,G34993,GC,  564,D1,R,6460,G34993,GC,  564,D1,N,DIAMOND WEST AURIGA,DRILLSHIP,49560,D,2013.0,SHI,,11810.0,37400,4/3/2028,2/17/2024,2/9/2022,GOMR Houma District,"Approved for flag transfer from SEADRILL to DIAMOND OFFSHORE by Houma District, 02/09/2022",BHP Billiton Petroleum (GOM) Inc.,7/5/2016 4:14:24 PM,7/7/2016 1:14:01 PM,G
-17366,608174134300,2058,,002,0,0,1381,Revised New Well,108,H,6/26/2016,Y,E,1789,36,MC,794,G34909,,721830.017402,10227896.019485,28.15481861,-89.851,6810,E,4744,N,MC,794,G34909,,S,7804,G34909,MC,  794,C,S,7804,G34909,MC,  794,C,N,SEADRILL SEVAN LOUISIANA,DP SEMISUBMERSIBLE,49565,D,2013.0,COSCO (CHINA),,10000.0,35000,10/21/2028,4/18/2025,2/2/2016,GOMR New Orleans District,,"LLOG Exploration Offshore, L.L.C.",7/7/2016 5:15:19 PM,7/8/2016 2:56:37 PM,G
-17372,177154127500,2628,,K002,0,0,152,Revised New Well,153,H,6/15/2016,N,D,555,26,ST,131, 00457,,2379998.578088,8164.64676,28.683715,-90.14846583,1112,W,6657,S,ST,131, 00457,,S,7786, 00457,ST,  131,M,S,7786, 00457,ST,  131,M,N,WFD 300,JACKUP,45642,D,1974.0,BETHLEHEM,,300.0,25000,8/8/2023,5/16/2021,4/1/2014,GOMR Houma District,"(Formerly Pride Texas)  
(Formerly Hercules 300)","Arena Offshore, LP",7/7/2016 3:04:57 PM,7/7/2016 3:51:20 PM,G
-17385,608114066700,981,,007,0,0,5255,Revised New Well,83,H,4/5/2016,Y,E,5642,36,GC,903,G24197,,2357887.85793,9834274.614585,27.08404111,-90.794565,2272,E,2365,N,GC,903,G24197,,S,7651,G24197,GC,  903,EE,S,7651,G24197,GC,  903,EE,N,DIAMOND OCEAN BLACKHORNET,DRILLSHIP,51500,D,2014.0,KOREA,,12000.0,40000,11/30/2024,3/26/2025,4/13/2015,GOMR New Orleans District,,Anadarko Petroleum Corporation,7/12/2016 9:47:50 AM,7/12/2016 3:18:36 PM,G
-17384,608114066800,2010,,SS001,0,0,4226,Revised New Well,79,H,6/21/2016,Y,E,4615,36,GC,564,G34993,,2555750.0303,9954000.019752,27.40226611,-90.17859306,5510,W,6480,S,GC,564,G34993,,R,6460,G34993,GC,  564,D1,R,6460,G34993,GC,  564,D1,N,DIAMOND WEST AURIGA,DRILLSHIP,49560,D,2013.0,SHI,,11810.0,37400,4/3/2028,2/17/2024,2/9/2022,GOMR Houma District,"Approved for flag transfer from SEADRILL to DIAMOND OFFSHORE by Houma District, 02/09/2022",BHP Billiton Petroleum (GOM) Inc.,7/15/2016 2:25:13 PM,7/20/2016 1:06:49 PM,G
-17387,608114067200,981,,006,0,0,3922,New Well,82,H,8/29/2016,Y,E,4314,36,GC,562,G11075,,2527611.987085,9956215.055971,27.41008194,-90.26509389,6788,E,7145,N,GC,562,G11075,,S,7794,G11075,GC,  562,FFF,S,7794,G11075,GC,  562,FFF,N,DIAMOND OCEAN BLACKHORNET,DRILLSHIP,51500,D,2014.0,KOREA,,12000.0,40000,11/30/2024,3/26/2025,4/13/2015,GOMR New Orleans District,,Anadarko Petroleum Corporation,7/18/2016 2:49:03 PM,8/31/2016 1:34:20 PM,G
-17389,177104140403,2628,5995.0,A014,0,2,275,Sidetrack,138,H,7/12/2016,N,D,603,28,EI,341,G02914,,1934160.361482,-168845.812428,28.20225758,-91.53764981,5751,E,3781,N,EI,341,G02914,,R,6363,G02914,EI,  341,A014,R,6363,G02914,EI,  341,A014,N,ROWAN GORILLA IV,JACKUP,91320,D,1986.0,VICKSBURG,,450.0,35000,12/31/2017,7/10/2019,3/29/2000,GOMR Lake Jackson District,"It was found during inspection on 1/3/13 that the accumulator system has a High Pressure (HP) Shear function on the main station but not at the remote station. When the HP Shear mode is needed to shear the pipe in use, the rig must conduct operations in HP mode, but may conduct tests and functions in normal mode.","Arena Offshore, LP",7/12/2016 12:28:19 PM,7/13/2016 9:50:58 AM,G
-17398,608174133200,2058,,001,0,0,5869,Revised New Well,82,H,5/1/2016,Y,E,6261,36,MC,257,G35325,,1280441.982183,10429087.962994,28.73340694,-88.12356278,2598,E,6368,S,MC,257,G35325,,R,6441,G35325,MC,  257,A,R,6441,G35325,MC,  257,A,N,SEADRILL WEST NEPTUNE,DRILLSHIP,100035,D,2013.0,Korea,,12000.0,37000,8/27/2024,8/8/2025,8/5/2020,GOMR New Orleans District,,"LLOG Exploration Offshore, L.L.C.",7/18/2016 10:02:10 AM,7/21/2016 5:07:12 PM,G
-17817,608114066903,981,22657.0,005,2,1,5355,Bypass,82,H,12/25/2016,Y,E,5759,36,GC,859,G24194,,2355071.336649,9845642.64453,27.11543831,-90.80260711,5089,E,6837,N,GC,859,G24194,,R,6141,G24194,GC,  859,H,R,6141,G24194,GC,  859,H,N,NOBLE BOB DOUGLAS,DRILLSHIP,92620,D,2013.0,HYUNDAI,,10000.0,40000,10/23/2018,3/27/2020,11/21/2014,GOMR Houma District,,Anadarko Petroleum Corporation,12/22/2016 7:23:26 AM,12/27/2016 8:55:55 AM,G
-17820,608124011101,276,14067.0,JU105,0,1,7147,Sidetrack,84,H,12/29/2016,Y,D,279,36,WR,584,G20351,,2174943.753959,9576968.472417,26.38388854,-91.366842,4864,W,6232,N,WR,540,G25251,,N,9699,G20351,WR,  584,DC1-4,N,9699,G25251,WR,  540,DC1-4,N,MAERSK VIKING,DRILLSHIP,50410,D,2014.0,SINGAPORE,,12000.0,40000,2/23/2019,6/2/2017,6/18/2014,GOMR Houma District,,Exxon Mobil Corporation,1/6/2017 7:42:42 AM,1/23/2017 2:19:47 PM,G
-17823,608174135002,689,23627.0,001,0,1,7293,Sidetrack,82,H,1/13/2017,Y,E,7572,36,MC,567,G33744,,1307834.870102,10314398.0605,28.41858453,-88.03498237,6885,E,2558,S,MC,567,G33744,,N,9953,G33744,MC,  567,E,N,9953,G33744,MC,  567,E,N,NOBLE BULLY I,DRILLSHIP,4828,D,2011.0,SINGAPORE,,10000.0,40000,9/1/2021,9/14/2017,6/4/2013,GOMR New Orleans District,,Shell Offshore Inc.,12/25/2016 10:34:57 AM,1/11/2017 4:17:49 PM,G
-17824,608174135200,78,,001,0,0,4014,Revised New Well,106,H,12/1/2016,Y,E,4434,36,MC,122,G34424,,1220193.056602,10471589.583232,28.84861806,-88.31303972,513,W,1350,S,MC,166,G35318,,S,7821,G34424,MC,  122,A,S,7821,G35318,MC,  166,A,N,T.O. DEEPWATER ASGARD,DRILLSHIP,51292,D,2014.0,DAEWOO,,12000.0,40000,2/21/2029,3/21/2025,7/8/2015,GOMR New Orleans District,,Chevron U.S.A. Inc.,12/23/2016 11:05:03 AM,12/29/2016 5:04:09 PM,G
-17826,608174134000,689,,AW001,0,0,7166,Revised New Well,102,H,12/17/2016,Y,E,7538,38,MC,391,G26252,,1311357.424027,10387189.007361,28.61891389,-88.02595833,3363,E,3851,N,MC,391,G26252,,S,7761,G26252,MC,  391,AW001,S,7761,G26252,MC,  391,AW001,N,T.O. DEEPWATER PROTEUS,DRILLSHIP,50160,D,2015.0,Daewoo,,12000.0,40000,12/14/2025,4/5/2025,5/5/2017,GOMR Houma District,,Shell Offshore Inc.,12/26/2016 4:26:04 PM,12/30/2016 3:49:09 PM,G
-17827,608114066600,78,,PC002,0,0,4239,Revised New Well,92,H,11/11/2016,Y,E,4641,36,GC,640,G20082,,2372568.14519,9920936.65589,27.32163083,-90.74467417,3432,E,5097,S,GC,640,G20082,,S,7778,G20082,GC,  640,PC002,S,7778,G20082,GC,  640,PC002,N,T.O. DISCOVERER INSPIRATION,DRILLSHIP,50279,D,2007.0,DAEWOO KOREA,,10000.0,37000,10/31/2024,9/20/2023,2/9/2010,GOMR Lafayette District,DNV Certificate Submitted. Specification data sheet is attached.,Chevron U.S.A. Inc.,1/3/2017 11:49:55 AM,1/4/2017 1:58:36 PM,G
-17828,608094000200,981,,002,0,0,8710,Revised New Well,81,H,11/1/2016,Y,E,9071,36,SE,39,G27779,,1957070.045303,9416020.057695,25.94701194,-92.03606528,7090,E,7060,S,SE,39,G27779,,S,7730,G27779,SE,   39,E,S,7730,G27779,SE,   39,E,N,VALARIS DS-16 (ROWAN RESOLUTE),DRILLSHIP,100033,D,2014.0,Hyundai,,12000.0,40000,12/6/2025,5/21/2025,12/5/2014,GOMR Houma District,,Anadarko Petroleum Corporation,12/27/2016 10:16:49 AM,12/29/2016 7:40:15 AM,G
-17830,608114067500,981,,003,0,0,4585,Revised New Well,81,H,12/15/2016,Y,E,4996,36,GC,727,G16783,,2358388.014664,9887555.058222,27.23053389,-90.79014556,1772,E,3395,S,GC,727,G16783,,S,7813,G16783,GC,  727,H,S,7813,G16783,GC,  727,H,N,DIAMOND OCEAN BLACKHORNET,DRILLSHIP,51500,D,2014.0,KOREA,,12000.0,40000,11/30/2024,3/26/2025,4/13/2015,GOMR New Orleans District,,Anadarko Petroleum Corporation,12/28/2016 10:39:03 AM,12/29/2016 9:52:21 AM,G
