Rank,Field    name,Field           Nickname,Disc          year,Water  depth  (feet),Field class,Field   type,Field               GOR     (SCF/STB),"Original  Reserves, Oil (MMbbl)","Original  Reserves, Gas (Bcf)","Original  Reserves, BOE (MMbbl)","Cumulative Production, Oil (MMbbl)","Cumulative Production, Gas (Bcf)","Cumulative Production, BOE (MMbbl)","Reserves, Oil (MMbbl)","Reserves, Gas (Bcf)","Reserves, BOE (MMbbl)"
221,MC354,ZINC,1977,1493,P,G,"562,422 ",0.7,391.3,70.3,0.7,391.3,70.3,0.0,0.0,0.0
222,WC149,,1949,40,P,G,"61,276 ",5.9,361.8,70.3,4.1,337.1,64.1,1.8,24.7,6.2
223,EW305,,1980,311,P,O,"5,934 ",34.1,202.6,70.2,32.5,184.8,65.4,1.6,17.8,4.8
224,BA020A,PICAROON/ALEX,1978,130,P,G,"999,999 ",0.2,392.0,70.0,0.2,392.0,70.0,0.0,0.0,0.0
225,WR508,STONES,2005,9235,P,O,159 ,67.8,10.7,69.7,7.9,1.2,8.1,59.9,9.5,61.6
226,GC184,JOLLIET,1981,1718,P,O,"3,891 ",41.6,158.2,69.7,36.2,138.5,60.8,5.4,19.7,8.9
227,MP061,,2000,95,P,G,857 ,60.5,51.9,69.8,58.2,48.6,66.9,2.3,3.3,2.9
228,SM009,,1965,60,P,G,"12,477 ",21.6,268.8,69.4,21.1,265.0,68.2,0.5,3.8,1.2
229,SS113A,,1972,44,P,G,"914,511 ",0.4,386.9,69.2,0.4,386.7,69.2,0.0,0.2,0.0
230,VR120,,1957,70,P,O,"4,992 ",36.7,183.2,69.3,36.7,183.2,69.3,0.0,0.0,0.0
231,SS158,,1960,45,P,G,"737,496 ",0.5,384.0,68.9,0.5,382.4,68.6,0.0,1.6,0.3
232,VR331,,1974,217,P,O,"6,433 ",31.8,204.2,68.0,31.4,203.7,67.6,0.4,0.5,0.4
233,GI076,,1972,150,P,G,"145,161 ",2.5,362.0,66.9,2.4,360.9,66.6,0.1,1.1,0.3
234,ST295,,1984,285,P,O,"3,225 ",42.5,136.9,66.8,40.1,130.2,63.2,2.4,6.7,3.6
235,VR265,,1966,165,P,G,"9,546 ",24.7,235.3,66.5,24.3,232.4,65.6,0.4,2.9,0.9
236,EI045,,1948,21,P,G,"11,923 ",21.1,252.0,66.0,21.1,252.0,66.0,0.0,0.0,0.0
237,MP151,,1979,171,P,O,"7,625 ",27.8,211.9,65.5,27.6,211.5,65.2,0.2,0.4,0.3
238,MP140,,1972,167,P,O,"4,110 ",37.4,153.9,64.9,36.4,153.1,63.7,1.0,0.8,1.2
239,WC294,,1960,46,P,G,"180,553 ",1.9,353.0,64.8,1.9,352.1,64.6,0.0,0.9,0.2
240,MI665,,1977,72,P,G,"999,999 ",0.1,357.8,63.7,0.1,357.8,63.7,0.0,0.0,0.0
241,SS291,,1973,233,P,O,"4,139 ",36.5,151.0,63.4,36.3,150.1,63.0,0.2,0.9,0.4
242,SS259,,1967,153,P,G,"57,840 ",5.6,322.8,63.1,5.2,306.1,59.7,0.4,16.7,3.4
243,GC339,FRONT RUNNER,2001,3327,P,O,"1,017 ",53.4,54.2,63.0,41.1,40.9,48.4,12.3,13.3,14.6
244,HI140,,1958,50,P,G,"98,411 ",3.4,334.6,62.9,3.4,334.6,62.9,0.0,0.0,0.0
245,MP133,,1970,176,P,G,"29,338 ",10.1,296.2,62.8,10.0,295.6,62.6,0.1,0.6,0.2
246,HI196,RESOLUTE,1985,52,P,G,"72,075 ",4.5,326.9,62.7,4.4,325.5,62.4,0.1,1.4,0.3
247,MC682,TUBULAR BELLS,2003,4497,P,O,"3,241 ",39.8,128.8,62.6,21.8,53.2,31.2,18.0,75.6,31.4
248,GB189,TICK,1988,718,P,G,"14,362 ",17.6,252.4,62.5,17.6,252.4,62.5,0.0,0.0,0.0
249,MC243,MATTERHORN,1990,2785,P,O,"1,860 ",35.8,146.1,61.8,28.3,53.2,37.8,7.5,92.9,24.0
250,GB783,MAGNOLIA,1999,4659,P,O,"2,956 ",40.4,119.4,61.7,37.8,102.2,56.0,2.6,17.2,5.7
251,HI537A,,1974,199,P,O,"8,100 ",25.2,204.3,61.6,25.2,204.3,61.6,0.0,0.0,0.0
252,WR627,JULIA,2007,7134,P,O,136 ,59.7,8.1,61.1,7.7,0.7,7.8,52.0,7.4,53.3
253,WC165,,1960,47,P,G,"161,219 ",2.1,331.3,61.0,2.1,331.3,61.0,0.0,0.0,0.0
254,HI552A,,1974,272,P,G,"51,338 ",6.0,308.6,60.9,6.0,307.6,60.7,0.0,1.0,0.2
255,EI089,,1949,23,P,G,"12,563 ",18.6,233.3,60.1,18.6,233.3,60.1,0.0,0.0,0.0
256,HI309A,,1974,209,P,G,"363,310 ",0.9,331.0,59.8,0.9,331.0,59.8,0.0,0.0,0.0
257,MC148,,1975,659,P,G,"259,290 ",1.3,328.6,59.7,1.3,328.6,59.7,0.0,0.0,0.0
258,EI385,,1975,414,P,G,"40,040 ",7.3,291.5,59.2,7.3,291.5,59.2,0.0,0.0,0.0
259,VR273,,1964,166,P,G,"4,914 ",31.5,154.9,59.1,29.9,145.7,55.8,1.6,9.2,3.3
260,HI343A,,1974,237,P,G,"999,999 ",0.0,331.8,59.0,0.0,331.8,59.0,0.0,0.0,0.0
261,SS239,,1965,131,P,G,"13,142 ",17.7,232.2,58.9,17.4,231.9,58.6,0.3,0.3,0.3
262,SM142,,1966,235,P,G,"21,941 ",12.0,263.1,58.8,11.7,258.4,57.6,0.3,4.7,1.2
263,SS349,MAHOGANY,1993,374,P,O,"1,988 ",43.0,85.6,58.3,35.0,70.4,47.6,8.0,15.2,10.7
264,WC280,,1965,93,P,G,"432,699 ",0.7,322.7,58.2,0.7,322.7,58.2,0.0,0.0,0.0
265,EI380,,1974,369,P,G,"77,919 ",3.9,304.3,58.0,3.9,304.3,58.0,0.0,0.0,0.0
266,EI108,THUNDERBOLT INT,1979,28,P,G,"58,976 ",4.9,287.2,56.0,4.9,287.2,56.0,0.0,0.0,0.0
267,PL023,,1962,60,P,O,"7,135 ",24.6,175.4,55.8,24.3,173.8,55.2,0.3,1.6,0.6
268,HI368A,,1974,317,P,G,"600,927 ",0.5,310.5,55.7,0.5,303.2,54.4,0.0,7.3,1.3
269,WC507,,1973,148,P,G,"116,333 ",2.6,298.3,55.7,2.1,267.2,49.7,0.5,31.1,6.0
270,SS189,,1961,70,P,G,"117,548 ",2.5,298.0,55.6,2.4,292.0,54.4,0.1,6.0,1.2
271,EC089,,1963,60,P,G,"144,351 ",2.0,294.9,54.5,2.0,294.9,54.5,0.0,0.0,0.0
272,GC112,ANGUS,1997,1845,P,O,"1,522 ",42.8,65.2,54.5,41.4,63.0,52.7,1.4,2.2,1.8
273,GI116,HICKORY,1998,319,P,G,"14,862 ",14.9,220.6,54.1,13.3,206.0,49.9,1.6,14.6,4.2
274,MP108,,1962,65,P,G,"44,952 ",6.0,269.8,54.0,5.2,261.4,51.7,0.8,8.4,2.3
275,HI330A,,1974,262,P,G,"248,291 ",1.2,295.4,53.8,1.2,295.4,53.8,0.0,0.0,0.0
276,HI467A,,1974,186,P,G,"149,019 ",2.0,291.5,53.8,2.0,291.5,53.8,0.0,0.0,0.0
277,MO904,,1988,59,P,G,"999,999 ",0.0,300.1,53.4,0.0,270.9,48.2,0.0,29.2,5.2
278,WC543,,1971,184,P,G,"29,446 ",8.6,252.0,53.4,7.4,242.7,50.6,1.2,9.3,2.8
279,EB165,SNAPPER,1984,880,P,O,"2,912 ",34.8,101.5,52.9,33.2,97.6,50.6,1.6,3.9,2.3
280,MU757,,1976,146,P,G,"999,999 ",0.2,294.1,52.6,0.2,294.1,52.6,0.0,0.0,0.0
281,WC576,,1972,205,P,G,"276,774 ",1.0,289.8,52.6,1.0,289.8,52.6,0.0,0.0,0.0
282,VR046,,1956,34,P,G,"96,564 ",2.9,278.8,52.5,2.9,271.1,51.1,0.0,7.7,1.4
283,VR380,,1974,345,P,G,"9,082 ",20.0,181.7,52.4,18.7,176.0,50.1,1.3,5.7,2.3
284,GC072,POPEYE,1985,2019,P,G,"18,309 ",12.3,224.9,52.3,12.3,224.9,52.3,0.0,0.0,0.0
285,VR164,,1957,95,P,O,"8,073 ",21.4,173.3,52.3,20.2,157.4,48.2,1.2,15.9,4.1
286,HI302A,,1975,211,P,G,"999,999 ",0.0,293.3,52.2,0.0,293.3,52.2,0.0,0.0,0.0
287,EW826,,1985,483,P,O,"3,288 ",32.8,107.6,51.9,28.9,88.5,44.6,3.9,19.1,7.3
288,WD152,,1968,526,P,O,"4,965 ",27.6,136.9,51.9,27.4,136.2,51.6,0.2,0.7,0.3
289,MU085A,,1976,262,P,G,"136,566 ",2.0,278.3,51.5,2.0,270.0,50.0,0.0,8.3,1.5
290,SS032,,1947,18,P,G,"11,395 ",16.4,196.2,51.3,15.2,170.3,45.5,1.2,25.9,5.8
291,SA017,,1980,41,P,G,"233,908 ",1.2,278.8,50.8,1.2,278.8,50.8,0.0,0.0,0.0
292,EC014,,1968,33,P,G,"29,471 ",8.2,239.8,50.8,8.1,234.8,49.9,0.1,5.0,0.9
293,HI340A,,1974,235,P,G,"571,547 ",0.5,282.3,50.7,0.5,282.3,50.7,0.0,0.0,0.0
294,VR215,,1963,122,P,G,"9,935 ",18.2,180.9,50.4,17.9,178.0,49.5,0.3,2.9,0.9
295,MI527,,1979,72,P,G,"275,675 ",1.0,277.1,50.3,1.0,277.1,50.3,0.0,0.0,0.0
296,GC116,POPEYE,1985,2120,P,G,"36,711 ",6.6,242.2,49.7,6.6,242.2,49.7,0.0,0.0,0.0
297,HI545A,,1975,254,P,G,"49,408 ",5.1,249.4,49.4,4.4,242.6,47.5,0.7,6.8,1.9
298,EW878,HUMMINGBIRD,2000,1441,P,O,"1,016 ",41.5,42.2,49.0,9.6,16.9,12.6,31.9,25.3,36.4
299,WC620,,1973,299,P,G,"317,704 ",0.8,269.2,48.8,0.8,269.2,48.8,0.0,0.0,0.0
300,EI064,,1969,23,P,G,"46,407 ",5.2,244.1,48.6,5.0,232.8,46.4,0.2,11.3,2.2
301,DC621,SPIDERMAN/AMAZO,2003,8082,P,G,"999,999 ",0.1,272.1,48.5,0.1,272.1,48.5,0.0,0.0,0.0
302,MU031A,,1978,214,P,G,"366,297 ",0.7,267.7,48.4,0.7,267.7,48.4,0.0,0.0,0.0
303,HI376A,,1975,331,P,O,"6,523 ",22.2,144.9,48.0,21.5,136.8,45.8,0.7,8.1,2.2
304,EB158,CERVEZA,1976,919,P,O,"12,588 ",14.7,184.6,47.6,14.5,181.3,46.8,0.2,3.3,0.8
305,MP259,,1990,412,P,G,"49,030 ",4.8,237.1,47.0,4.8,235.6,46.7,0.0,1.5,0.3
306,AC859,TOBAGO,2004,9404,P,O,"1,268 ",38.1,48.2,46.6,23.0,31.5,28.6,15.1,16.7,18.0
307,EB579,FALCON,2001,3454,P,G,"451,105 ",0.6,258.6,46.6,0.6,258.6,46.6,0.0,0.0,0.0
308,MI681,,1982,130,P,G,"492,353 ",0.5,256.7,46.2,0.5,256.7,46.2,0.0,0.0,0.0
309,MP280,,1997,303,P,G,"8,893 ",17.8,158.9,46.1,17.7,157.5,45.7,0.1,1.4,0.4
310,EI136,,1977,66,P,G,"30,340 ",7.2,218.2,46.0,7.0,211.1,44.5,0.2,7.1,1.5
311,GC680,CONSTITUTION,2001,4995,P,O,"1,074 ",38.6,41.2,45.9,30.0,33.1,35.8,8.6,8.1,10.1
312,ST206,,1984,165,P,G,"286,767 ",0.9,251.5,45.6,0.9,251.5,45.6,0.0,0.0,0.0
313,MP310,,1981,257,P,O,903 ,38.9,35.2,45.1,36.9,32.7,42.7,2.0,2.5,2.4
314,EI053,,1957,18,P,G,"67,556 ",3.5,234.6,45.2,3.4,230.2,44.4,0.1,4.4,0.8
315,WC196,,1984,57,P,G,"158,219 ",1.5,244.3,45.0,1.5,244.3,45.0,0.0,0.0,0.0
316,SM146,,1974,237,P,G,"26,401 ",7.9,208.3,45.0,7.7,208.1,44.8,0.2,0.2,0.2
317,EI240,,1981,139,P,G,"48,125 ",4.7,226.0,44.9,4.7,226.0,44.9,0.0,0.0,0.0
318,SA010,,1979,38,P,G,"79,105 ",3.0,235.3,44.9,3.0,235.3,44.9,0.0,0.0,0.0
319,GB559,OREGANO,1999,3398,P,O,"1,501 ",35.4,53.1,44.8,33.1,49.6,41.9,2.3,3.5,2.9
320,AT349,JUBILEE,2003,8778,P,G,"999,999 ",0.1,250.7,44.7,0.1,250.7,44.7,0.0,0.0,0.0
321,GI102,,1984,250,P,G,"15,183 ",12.1,183.4,44.7,12.1,183.4,44.7,0.0,0.0,0.0
322,HI052,,1959,43,P,G,"48,166 ",4.7,224.7,44.6,4.7,224.7,44.6,0.0,0.0,0.0
323,VR310,,1966,203,P,G,"42,832 ",5.2,220.4,44.3,5.1,219.5,44.1,0.1,0.9,0.2
324,EC261,,1966,160,P,G,"682,537 ",0.4,247.6,44.4,0.4,247.6,44.4,0.0,0.0,0.0
325,WD058,,1954,55,P,G,"14,740 ",12.3,180.8,44.4,12.3,180.8,44.4,0.0,0.0,0.0
326,GC243,ASPEN,2001,3039,P,O,"1,214 ",36.5,44.2,44.3,33.8,33.8,39.8,2.7,10.4,4.5
327,HI448A,,1978,164,P,G,"7,247 ",19.3,140.0,44.2,19.2,139.9,44.1,0.1,0.1,0.1
328,GC006,KILAUEA,1985,612,P,G,"12,056 ",14.0,168.0,43.8,13.9,167.8,43.7,0.1,0.2,0.1
329,WD112,,1967,226,P,O,"6,102 ",21.0,125.5,43.4,19.1,118.8,40.3,1.9,6.7,3.1
330,VR071,,1947,19,P,G,"258,285 ",0.9,234.1,42.6,0.9,226.5,41.2,0.0,7.6,1.4
331,WC498,,1977,154,P,G,"19,794 ",9.4,186.2,42.5,9.2,183.2,41.8,0.2,3.0,0.7
332,VR221,,1981,111,P,G,"999,999 ",0.2,236.3,42.3,0.2,236.3,42.3,0.0,0.0,0.0
333,MI703,,1979,124,P,G,"498,192 ",0.5,234.6,42.2,0.5,234.6,42.2,0.0,0.0,0.0
334,VR370,,1973,299,P,G,"22,274 ",8.4,187.7,41.8,8.0,180.3,40.1,0.4,7.4,1.7
335,EC245,,1963,148,P,G,"999,999 ",0.0,233.9,41.6,0.0,233.9,41.6,0.0,0.0,0.0
336,VK780,SPIRIT,1986,825,P,G,"53,588 ",3.8,204.8,40.3,3.8,204.8,40.3,0.0,0.0,0.0
337,BA070A,,1968,150,P,G,"871,594 ",0.3,224.5,40.2,0.3,224.5,40.2,0.0,0.0,0.0
338,WC198,,1976,56,P,G,"177,487 ",1.2,218.5,40.1,1.2,218.5,40.1,0.0,0.0,0.0
339,GC859,HEIDELBERG,2009,5327,P,O,437 ,37.1,16.2,40.0,17.0,7.7,18.4,20.1,8.5,21.6
340,SS343,,1972,337,P,G,0 ,0.0,224.2,39.9,0.0,224.2,39.9,0.0,0.0,0.0
341,WC480,,1973,134,P,G,"850,584 ",0.3,222.3,39.8,0.3,222.3,39.8,0.0,0.0,0.0
342,SM038,,1963,94,P,G,"26,273 ",7.0,184.4,39.9,6.8,183.4,39.5,0.2,1.0,0.4
343,EC322,,1973,232,P,O,"4,404 ",22.3,98.1,39.7,21.0,96.6,38.2,1.3,1.5,1.5
344,SM249,,1973,27,P,G,"70,176 ",2.9,205.2,39.4,2.5,202.9,38.6,0.4,2.3,0.8
345,MC211,MICA,1990,4296,P,G,"32,024 ",5.9,188.0,39.3,5.9,188.0,39.3,0.0,0.0,0.0
346,EI341,,1976,273,P,O,"2,019 ",28.8,58.2,39.2,25.6,51.7,34.8,3.2,6.5,4.4
347,VR159,,1976,91,P,G,"36,382 ",5.2,189.0,38.8,5.2,189.0,38.8,0.0,0.0,0.0
348,SS299,,1965,262,P,O,"2,713 ",26.0,69.7,38.3,24.2,68.3,36.3,1.8,1.4,2.0
349,EC046,,1978,48,P,O,"10,445 ",13.4,139.9,38.3,13.4,139.9,38.3,0.0,0.0,0.0
350,PL013,,1976,35,P,O,"7,561 ",16.3,123.1,38.2,14.9,119.3,36.1,1.4,3.8,2.1
351,HI006A,,1982,59,P,G,"379,537 ",0.6,211.3,38.2,0.6,211.3,38.2,0.0,0.0,0.0
352,WC109,,1988,42,P,G,"77,965 ",2.6,198.7,37.9,2.5,195.7,37.3,0.1,3.0,0.6
353,GC110,ROCKY,1987,1959,P,O,"1,561 ",29.5,46.0,37.7,29.1,45.6,37.2,0.4,0.4,0.5
354,LL399,CHEYENNE,2004,8986,P,G,"999,999 ",0.1,210.8,37.6,0.1,210.8,37.6,0.0,0.0,0.0
355,HI022,,1983,39,P,G,"393,759 ",0.5,206.5,37.2,0.5,204.1,36.8,0.0,2.4,0.4
356,MU805,,1993,152,P,G,"999,999 ",0.1,207.9,37.1,0.1,207.9,37.1,0.0,0.0,0.0
357,HI327A,,1973,225,P,G,"63,377 ",3.0,189.8,36.8,3.0,189.8,36.8,0.0,0.0,0.0
358,VK962,SWORDFISH,2001,4676,P,O,"3,395 ",22.9,77.9,36.8,22.6,77.5,36.4,0.3,0.4,0.4
359,WC068,,1958,31,P,G,"45,355 ",4.0,183.6,36.7,4.0,183.6,36.7,0.0,0.0,0.0
360,HI020A,,1984,59,P,G,"55,077 ",3.4,186.7,36.6,3.4,186.7,36.6,0.0,0.0,0.0
361,EI198,,1958,104,P,G,"18,890 ",8.3,157.7,36.4,8.3,157.7,36.4,0.0,0.0,0.0
362,HI116,,1984,43,P,G,"132,550 ",1.5,195.2,36.2,1.5,195.2,36.2,0.0,0.0,0.0
363,MI686,,1978,90,P,G,"149,454 ",1.3,195.8,36.1,1.3,195.8,36.1,0.0,0.0,0.0
364,EI231,,1966,109,P,G,"115,959 ",1.7,193.4,36.1,1.5,177.2,33.0,0.2,16.2,3.1
365,SM041,,1963,101,P,G,"5,873 ",17.6,103.6,36.1,16.6,94.3,33.4,1.0,9.3,2.7
366,ST300,COUGAR,1978,339,P,O,"5,173 ",18.8,97.1,36.0,18.8,97.1,36.0,0.0,0.0,0.0
367,MC305,ACONCAGUA,1999,7043,P,G,"863,086 ",0.2,201.2,36.0,0.2,201.2,36.0,0.0,0.0,0.0
368,MI587,DIXILYN 84,1987,92,P,G,"999,999 ",0.2,200.6,35.9,0.2,200.6,35.9,0.0,0.0,0.0
369,HI317A,,1974,211,P,G,"492,026 ",0.4,197.5,35.5,0.4,197.5,35.5,0.0,0.0,0.0
370,BA076A,,1969,166,P,G,"547,606 ",0.4,196.6,35.3,0.4,196.6,35.3,0.0,0.0,0.0
371,WC504,,1971,154,P,G,"196,940 ",1.0,192.5,35.2,1.0,192.5,35.2,0.0,0.0,0.0
372,ST185,,1970,178,P,G,"110,503 ",1.7,186.9,35.0,1.7,186.9,35.0,0.0,0.0,0.0
373,MI519,,1987,64,P,G,"432,436 ",0.4,194.1,35.0,0.4,192.9,34.8,0.0,1.2,0.2
374,HI384A,,1976,360,P,O,"5,430 ",17.7,96.3,34.9,17.5,96.2,34.7,0.2,0.1,0.2
375,SM241,,1982,22,P,G,"21,452 ",7.1,153.5,34.5,6.8,152.7,34.0,0.3,0.8,0.5
376,HI323A,,1974,229,P,G,"999,999 ",0.1,191.9,34.3,0.1,191.9,34.3,0.0,0.0,0.0
377,PN969,,1984,152,P,G,"999,999 ",0.1,191.6,34.2,0.1,191.6,34.2,0.0,0.0,0.0
378,WD133,,1962,264,P,O,"3,587 ",20.8,74.9,34.2,19.8,73.1,32.8,1.0,1.8,1.4
379,WC537,,1975,185,P,G,"260,496 ",0.7,187.5,34.1,0.7,187.5,34.1,0.0,0.0,0.0
380,SP054,,1968,278,P,G,"28,529 ",5.6,159.4,33.9,5.6,159.4,33.9,0.0,0.0,0.0
381,BA052A,,1983,161,P,G,"277,554 ",0.7,186.7,33.9,0.7,186.7,33.9,0.0,0.0,0.0
382,MU111A,,1978,309,P,G,"151,240 ",1.2,182.9,33.8,1.2,182.9,33.8,0.0,0.0,0.0
383,HI154,,1974,52,P,G,"23,351 ",6.6,153.0,33.8,6.6,153.0,33.8,0.0,0.0,0.0
384,GA343,,1988,72,P,G,"228,459 ",0.8,184.8,33.7,0.8,184.8,33.7,0.0,0.0,0.0
385,HI177,,1988,52,P,G,"78,789 ",2.2,176.9,33.7,2.2,176.9,33.7,0.0,0.0,0.0
386,HI129,,1968,48,P,G,"110,450 ",1.7,179.9,33.7,1.6,174.9,32.7,0.1,5.0,1.0
387,EC286,,1972,182,P,G,"224,127 ",0.8,183.1,33.4,0.8,183.1,33.4,0.0,0.0,0.0
388,VR191,,1963,95,P,G,"19,375 ",7.4,144.9,33.2,6.6,128.6,29.5,0.8,16.3,3.7
389,MC020,,1982,535,P,O,"1,996 ",24.5,48.9,33.3,23.4,47.3,31.9,1.1,1.6,1.4
390,MP223,,1995,264,P,G,"59,398 ",2.8,169.1,32.9,2.8,169.1,32.9,0.0,0.0,0.0
391,HI199,,1980,47,P,G,"121,229 ",1.5,176.0,32.8,1.5,176.0,32.8,0.0,0.0,0.0
392,VR115,,1961,54,P,G,"47,848 ",3.4,164.8,32.8,3.4,164.8,32.8,0.0,0.0,0.0
393,EB160,LIGERA,1976,904,P,O,"6,517 ",15.0,97.7,32.4,14.8,96.7,32.0,0.2,1.0,0.4
394,MP255,,1990,341,P,G,"999,999 ",0.1,181.5,32.4,0.1,181.5,32.4,0.0,0.0,0.0
395,GB083,ENCHILADA/ELMER,1988,638,P,G,"17,181 ",7.9,137.0,32.4,7.8,135.6,32.0,0.1,1.4,0.4
396,GC472,KING KONG,1989,3813,P,G,"521,013 ",0.3,179.7,32.3,0.3,179.7,32.3,0.0,0.0,0.0
397,GC768,TICONDEROGA,2004,5258,P,O,839 ,27.5,23.1,31.7,23.6,20.0,27.2,3.9,3.1,4.5
398,MO864,,1983,63,P,G,"999,999 ",0.0,176.8,31.5,0.0,176.8,31.5,0.0,0.0,0.0
399,EC215,,1967,116,P,G,"209,655 ",0.8,172.7,31.5,0.8,172.7,31.5,0.0,0.0,0.0
400,VR086,,1957,39,P,G,"75,168 ",2.2,164.6,31.5,2.2,164.6,31.5,0.0,0.0,0.0
401,GB065,,1974,465,P,G,"999,999 ",0.2,175.6,31.4,0.2,175.6,31.4,0.0,0.0,0.0
402,MC755,GOMEZ,1986,2941,P,O,"3,236 ",19.9,64.3,31.3,19.9,64.3,31.3,0.0,0.0,0.0
403,HI270A,,1975,165,P,G,"75,990 ",2.1,163.2,31.2,2.1,163.2,31.2,0.0,0.0,0.0
404,EI172,,1956,83,P,G,"9,695 ",11.1,111.7,31.0,10.4,101.6,28.5,0.7,10.1,2.5
405,MO827,,1984,49,P,G,"999,999 ",0.0,170.8,30.5,0.0,157.0,28.0,0.0,13.8,2.5
406,MP273,,1967,220,P,G,"50,011 ",3.1,153.8,30.5,1.2,80.9,15.6,1.9,72.9,14.9
407,WC049,,1966,30,P,G,"130,046 ",1.2,162.5,30.2,1.2,162.5,30.2,0.0,0.0,0.0
408,EC160,,1956,86,P,G,"97,085 ",1.6,160.0,30.1,1.6,160.0,30.1,0.0,0.0,0.0
409,HI568A,,1975,272,P,G,"85,613 ",1.8,157.0,29.8,1.8,157.0,29.8,0.0,0.0,0.0
410,MI700,,1975,103,P,G,"365,142 ",0.5,164.7,29.8,0.5,164.7,29.8,0.0,0.0,0.0
411,VK823,VIRGO,1993,1142,P,G,"24,697 ",5.5,135.8,29.7,3.8,120.3,25.2,1.7,15.5,4.5
412,WC368,,1962,76,P,G,"112,115 ",1.4,158.2,29.6,1.4,158.2,29.6,0.0,0.0,0.0
413,EC359,,1974,316,P,G,"10,557 ",10.2,107.7,29.3,9.4,105.8,28.2,0.8,1.9,1.1
414,GC282,BORIS,2001,2367,P,O,"1,552 ",22.9,35.6,29.3,20.5,34.2,26.6,2.4,1.4,2.7
415,GB462,GEAUXPHER,2007,2789,P,G,"16,905 ",7.3,123.1,29.2,6.3,113.7,26.5,1.0,9.4,2.7
416,MC503,APPALOOSA,2007,2833,P,G,"2,864 ",19.4,55.4,29.1,14.1,37.4,20.7,5.3,18.0,8.4
417,HI280A,,1974,187,P,G,"296,457 ",0.5,160.7,29.1,0.5,160.7,29.1,0.0,0.0,0.0
418,SS069,,1979,29,P,O,"2,553 ",19.9,50.9,29.0,19.9,50.9,29.0,0.0,0.0,0.0
419,GB200,NORTHWESTERN,1998,1391,P,G,"55,076 ",2.6,147.3,28.9,2.6,146.0,28.6,0.0,1.3,0.3
420,MO868,CONCH,1986,45,P,G,"999,999 ",0.0,161.2,28.8,0.0,150.7,26.9,0.0,10.5,1.9
421,VR284,,1989,180,P,O,"3,515 ",17.7,62.1,28.7,14.9,57.0,25.0,2.8,5.1,3.7
422,WC333,,1976,69,P,G,"999,999 ",0.1,161.2,28.7,0.1,161.2,28.7,0.0,0.0,0.0
423,EI337,,1976,274,P,O,"1,817 ",21.6,39.3,28.6,20.2,37.0,26.8,1.4,2.3,1.8
424,MP127,,1965,55,P,G,"253,611 ",0.6,157.4,28.6,0.6,157.4,28.6,0.0,0.0,0.0
425,HI492A,,1975,186,P,G,"57,012 ",2.6,145.9,28.5,2.5,145.7,28.4,0.1,0.2,0.1
426,LP000,,1958,10,P,G,"111,541 ",1.3,150.2,28.1,1.3,150.2,28.1,0.0,0.0,0.0
427,WR469,CHINOOK,2003,8842,P,O,136 ,27.0,3.7,27.7,20.0,2.8,20.5,7.0,0.9,7.2
428,EI297,,1980,205,P,G,"21,205 ",5.8,123.0,27.7,5.8,123.0,27.7,0.0,0.0,0.0
429,EC222,,1971,119,P,G,"92,062 ",1.6,146.1,27.6,1.6,146.1,27.6,0.0,0.0,0.0
430,EC237,,1975,127,P,G,"80,253 ",1.8,145.2,27.6,1.8,145.2,27.6,0.0,0.0,0.0
431,MC292,GEMINI,1995,3529,P,G,"61,946 ",2.3,141.0,27.4,2.3,141.0,27.4,0.0,0.0,0.0
432,EI346,TANZANITE,1977,307,P,G,"6,514 ",12.7,82.7,27.4,12.4,82.2,27.0,0.3,0.5,0.4
433,ST041,ROCK CREEK,2004,70,P,G,"22,364 ",5.5,121.5,27.1,5.1,119.2,26.3,0.4,2.3,0.8
434,MP265,,1967,220,P,G,"37,491 ",3.6,132.7,27.1,3.5,112.1,23.4,0.1,20.6,3.7
435,BA451,,1979,69,P,G,"339,293 ",0.4,148.8,26.9,0.4,148.8,26.9,0.0,0.0,0.0
436,EW963,ARNOLD,1996,1682,P,O,869 ,23.3,20.2,26.8,22.8,20.0,26.3,0.5,0.2,0.5
437,SM076,,1964,141,P,G,"195,037 ",0.7,146.0,26.7,0.7,145.4,26.6,0.0,0.6,0.1
438,HI083A,,1985,82,P,G,"999,999 ",0.0,149.7,26.6,0.0,149.7,26.6,0.0,0.0,0.0
439,WC540,,1975,183,P,G,"201,009 ",0.7,145.3,26.6,0.7,145.3,26.6,0.0,0.0,0.0
440,GC599,FRIESIAN,2006,3857,P,O,276 ,25.4,7.0,26.6,3.3,1.1,3.5,22.1,5.9,23.1
441,WC353,,1975,75,P,G,"211,186 ",0.7,143.3,26.2,0.7,143.3,26.2,0.0,0.0,0.0
442,VR171,,1966,86,P,G,"28,411 ",4.3,123.0,26.2,4.3,123.0,26.2,0.0,0.0,0.0
443,MC486,,1978,940,P,G,"88,918 ",1.5,137.6,26.0,1.5,137.6,26.0,0.0,0.0,0.0
444,SM175,,1973,317,P,O,"4,460 ",14.4,64.4,25.9,14.4,64.4,25.9,0.0,0.0,0.0
445,EW910,,1996,564,P,O,"2,209 ",18.4,40.7,25.6,13.5,26.0,18.1,4.9,14.7,7.5
446,SM261,,1973,31,P,G,"44,136 ",2.9,127.7,25.6,2.9,127.7,25.6,0.0,0.0,0.0
