,Record Type,API Well Number,Paleo Report ID Number,Total Number of Reports for API,Measured Depth,True Vertical Depth,Definite/Possible,At/In,Paleo Age,Definite/Possible,At/In,Ecozone
1802,P,608074067800,1,2,15830,15829,DEF,AT,Upper Oligocene (Chattian) Globigerina angulisuturalis,DEF,AT,5.0
1803,P,608074067800,1,2,15860,15859,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima nana,DEF,AT,5.0
1804,P,608074067800,1,2,15889,15888,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima opima,DEF,AT,5.0
1805,P,608074067800,1,2,15890,15889,DEF,AT,Lower Oligocene (Rupelian) Globigerina gortani,DEF,AT,5.0
1806,P,608074067800,1,2,16040,16039,DEF,AT,Lower Oligocene (Rupelian) Globigerina tapuriensis,DEF,AT,5.0
1807,P,608074067800,1,2,16280,16279,DEF,AT,Lower Oligocene (Rupelian) Turborotalia ampliapertura,DEF,AT,5.0
1808,P,608074067800,1,2,16370,16369,DEF,AT,Lower Oligocene (Rupelian) Turborotalia increbescens,DEF,AT,5.0
1809,P,608074067800,1,2,16460,16459,DEF,AT,Lower Oligocene (Rupelian) Pseudohastigerina micra,DEF,AT,5.0
1810,P,608074067800,1,2,16580,16579,DEF,AT,Upper Eocene (Priabonian) Hantkenina alabamensis,DEF,AT,5.0
1811,P,608074067800,1,2,16609,16608,DEF,AT,Upper Eocene (Priabonian) Turborotalia cerroazulensis cocoaensis,DEF,AT,5.0
1812,P,608074067800,1,2,16610,16609,DEF,AT,Upper Eocene (Priabonian) Subbotina linaperta,DEF,AT,5.0
1813,P,608074067800,1,2,16789,16788,DEF,IN,Upper Eocene (Priabonian) Globorotalia pomeroli,DEF,IN,5.0
1814,P,608074067800,1,2,16790,16789,DEF,IN,Upper Eocene (Priabonian) Globigerinatheka semiinvoluta,DEF,IN,5.0
1815,P,608074067800,1,2,16820,16819,DEF,IN,Upper Eocene (Priabonian) Globigerinatheka mexicana,DEF,IN,5.0
1816,P,608074067800,1,2,17059,17058,DEF,AT,Middle Eocene (Bartonian) Acarinina spinuloinflata,DEF,AT,5.0
1817,P,608074067800,1,2,17060,17059,DEF,AT,Middle Eocene (Bartonian) Truncorotaloides rohri,DEF,AT,5.0
1818,P,608074067800,1,2,17210,17209,DEF,AT,Middle Eocene (Bartonian) Orbulinoides beckmanni,DEF,AT,5.0
1819,P,608074067800,1,2,17240,17239,DEF,AT,Middle Eocene (Bartonian) Radiolarian acme A,DEF,AT,5.0
1820,P,608074067800,1,2,17270,17269,DEF,AT,Middle Eocene (Bartonian) Turborotalia frontosa,DEF,AT,5.0
1821,P,608074067800,1,2,17299,17298,DEF,AT,Middle Eocene (Lutetian) Igorina broedermanni,DEF,AT,5.0
1822,P,608074067800,1,2,17300,17299,DEF,AT,Middle Eocene (Lutetian) Globigerinoides higginsi,DEF,AT,5.0
1823,P,608074067800,1,2,17390,17389,DEF,AT,Lower Eocene (Ypresian) Acarinina angulosa,DEF,AT,5.0
1824,P,608074067800,1,2,17480,17479,DEF,AT,Middle Eocene (Lutetian) Morozovella aragonensis,DEF,AT,5.0
1825,P,608074067800,1,2,17540,17539,DEF,AT,Middle Eocene (Lutetian) Morozovella caucasica,DEF,AT,5.0
1826,P,608074067800,1,2,17600,17599,DEF,AT,Lower Eocene (Ypresian) Radiolarian acme B,DEF,AT,5.0
1827,P,608074067800,1,2,17990,17989,DEF,AT,Lower Eocene (Ypresian) Acarinina angulosa,DEF,AT,5.0
1828,P,608074067800,1,2,18079,18078,DEF,AT,Lower Eocene (Ypresian) Morozovella rex / subbotinae,DEF,AT,5.0
1829,P,608074067800,1,2,18080,18079,DEF,AT,Lower Eocene (Ypresian) Morozovella formosa formosa,DEF,AT,5.0
1830,P,608074067800,1,2,18138,18137,DEF,AT,Lower Eocene (Ypresian) Morozovella aequa,DEF,AT,5.0
1831,P,608074067800,1,2,18139,18138,DEF,AT,Lower Eocene (Ypresian) Subbotina velascoensis,DEF,AT,5.0
1832,P,608074067800,1,2,18140,18139,DEF,AT,Lower Eocene (Ypresian) Radiolarian acme C,DEF,AT,5.0
1833,P,608074067800,1,2,18199,18198,DEF,AT,Lower Eocene (Ypresian) Morozovella acuta,DEF,AT,5.0
1834,P,608074067800,1,2,18200,18199,DEF,AT,Lower Eocene (Ypresian) Radiolarian acme C,DEF,AT,5.0
1835,P,608074067800,1,2,18260,18259,DEF,AT,Lower Eocene (Ypresian) Morozovella velascoenesis,DEF,AT,5.0
1836,P,608074067800,1,2,18319,18318,DEF,AT,Upper Paleocene (Thanetian) Planulorotalites pseudomenardii,DEF,AT,5.0
1837,P,608074067800,1,2,18320,18319,DEF,AT,Upper Paleocene (Thanetian) Morozovella angulata,DEF,AT,5.0
1838,P,608074067800,1,2,18343,18342,DEF,AT,Upper Paleocene (Thanetian) Acarinina mckannai,DEF,AT,5.0
1839,P,608074067800,1,2,18344,18343,DEF,AT,Upper Paleocene (Thanetian) Subbotina triloculinoides,DEF,AT,5.0
1840,P,608074067800,1,2,18345,18344,DEF,AT,Upper Paleocene (Selandian) Igorina pusilla pusilla,DEF,AT,5.0
1841,P,608074067800,1,2,18346,18345,DEF,AT,Upper Paleocene (Selandian) Morozovella conicotruncana,DEF,AT,5.0
1842,P,608074067800,1,2,18347,18346,DEF,AT,Lower Paleocene (Danian) Parasubbotina pseudobulloides,DEF,AT,5.0
1843,P,608074067800,1,2,18348,18347,DEF,AT,Lower Paleocene (Danian) Praemurica uncinata,DEF,AT,5.0
1844,P,608074067800,1,2,18349,18348,DEF,AT,Lower Paleocene (Danian) Praemurica inconstans,DEF,AT,5.0
1845,P,608074067800,1,2,18350,18349,DEF,AT,Lower Paleocene (Danian) Praemurica trinidadensis,DEF,AT,5.0
1846,P,608074067800,1,2,25160,25159,DEF,AT,Middle Eocene,DEF,AT,5.0
1847,P,608074067800,1,2,25610,25609,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima opima,DEF,AT,5.0
1848,P,608074067800,1,2,26320,26319,DEF,AT,Lower Oligocene (Rupelian) Turborotalia ampliapertura,DEF,AT,5.0
1849,P,608074067800,1,2,26340,26339,DEF,AT,Lower Oligocene (Rupelian) Globigerina gortani,DEF,AT,5.0
1850,P,608074067800,1,2,26440,26439,DEF,AT,Lower Oligocene (Rupelian) Turborotalia ampliapertura,DEF,AT,5.0
1851,P,608074067800,1,2,26530,26529,DEF,AT,Lower Oligocene (Rupelian) Cibicides pippeni,DEF,AT,5.0
1852,P,608074067800,1,2,26590,26589,DEF,AT,Lower Oligocene (Rupelian) Turborotalia increbescens,DEF,AT,5.0
1853,P,608074067800,1,2,26769,26768,DEF,AT,Upper Eocene (Priabonian) Hantkenina alabamensis,DEF,AT,5.0
1854,P,608074067800,1,2,26770,26769,DEF,AT,Upper Eocene (Priabonian) Subbotina linaperta,DEF,AT,5.0
1855,P,608074067800,1,2,26800,26799,DEF,AT,Upper Eocene (Priabonian) Turborotalia cerroazulensis cocoaensis,DEF,AT,5.0
1856,P,608074067800,1,2,26829,26828,DEF,AT,Upper Eocene (Priabonian) Globorotalia pomeroli,DEF,AT,5.0
1857,P,608074067800,1,2,26830,26829,DEF,AT,Upper Eocene (Priabonian) Globigerinatheka semiinvoluta,DEF,AT,5.0
1858,P,608074067800,1,2,26859,26858,DEF,AT,Upper Eocene (Priabonian) Globigerinatheka mexicana,DEF,AT,5.0
1859,P,608074067800,1,2,26860,26859,DEF,AT,Upper Eocene (Priabonian) Globigerinatheka barri,DEF,AT,5.0
1860,P,608074067800,1,2,27008,27007,DEF,AT,Middle Eocene (Bartonian) Truncorotaloides rohri,DEF,AT,5.0
1861,P,608074067800,1,2,27009,27008,DEF,AT,Middle Eocene (Bartonian) Truncorotaloides topilensis,DEF,AT,5.0
1862,P,608074067800,1,2,27010,27009,DEF,AT,Middle Eocene (Bartonian) Acarinina bullbrooki,DEF,AT,5.0
1863,P,608074067800,1,2,27040,27039,DEF,AT,Middle Eocene (Bartonian) Radiolarian acme A,DEF,AT,5.0
1864,P,608074067800,1,2,27100,27099,DEF,AT,Middle Eocene (Bartonian) Turborotalia frontosa,DEF,AT,5.0
1865,P,608074067800,1,2,27160,27159,DEF,AT,Lower Eocene (Ypresian) Radiolarian acme B,DEF,AT,5.0
1866,P,608074067800,1,2,27300,27299,DEF,AT,Lower Eocene (Ypresian) Acarinina wilcoxensis,DEF,AT,7.0
1867,P,608074067800,1,2,27930,27929,POS,AT,Lower Eocene (Ypresian) Subbotina velascoensis,POS,AT,7.0
1868,P,608074067800,1,2,28109,28108,DEF,AT,Lower Eocene (Ypresian) Morozovella aequa,DEF,AT,5.0
1869,P,608074067800,1,2,28110,28109,DEF,AT,Lower Eocene (Ypresian) Subbotina velascoensis,DEF,AT,5.0
1870,P,608074067800,1,2,28140,28139,DEF,AT,Lower Eocene (Ypresian) Morozovella acuta,DEF,AT,5.0
1871,P,608074067800,1,2,28740,28739,POS,AT,Lower Eocene (Ypresian) Rzehakina epigona,POS,AT,5.0
1872,P,608074067800,1,2,30420,30419,POS,AT,Upper Paleocene (Thanetian) Bathysiphon spp increase,POS,AT,5.0
1873,P,608074067800,2,2,15680,15679,DEF,AT,Upper Oligocene (Chattian) Dictyococcites bisectus,DEF,AT,
1874,P,608074067800,2,2,15710,15709,DEF,AT,Upper Oligocene (Chattian) Sphenolithus ciperoensis,DEF,AT,
1875,P,608074067800,2,2,15860,15859,DEF,AT,Upper Oligocene (Chattian) Sphenolithus distentus,DEF,AT,
1876,P,608074067800,2,2,15890,15889,DEF,AT,Upper Oligocene (Chattian) Sphenolithus predistentus,DEF,AT,
1877,P,608074067800,2,2,16040,16039,DEF,AT,Lower Oligocene (Rupelian) Helicosphaera compacta,DEF,AT,
1878,P,608074067800,2,2,16069,16068,DEF,AT,Lower Oligocene (Rupelian) Sphenolithus pseudoradians,DEF,AT,
1879,P,608074067800,2,2,16070,16069,DEF,AT,Lower Oligocene (Rupelian) Discoaster nodifer,DEF,AT,
1880,P,608074067800,2,2,16550,16549,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,
1881,P,608074067800,2,2,16638,16637,DEF,AT,Upper Eocene (Priabonian) Discoaster saipanensis,DEF,AT,
1882,P,608074067800,2,2,16639,16638,DEF,AT,Upper Eocene (Priabonian) Discoaster barbadiensis,DEF,AT,
1883,P,608074067800,2,2,16640,16639,DEF,AT,Upper Eocene (Priabonian) Cribrocentrum reticulatum,DEF,AT,
1884,P,608074067800,2,2,16880,16879,DEF,AT,Upper Eocene (Priabonian) Pemma papillatum,DEF,AT,
1885,P,608074067800,2,2,17060,17059,DEF,AT,Middle Eocene (Bartonian) Chiasmolithus grandis,DEF,AT,
1886,P,608074067800,2,2,17210,17209,DEF,AT,Middle Eocene (Bartonian) Sphenolithus spiniger,DEF,AT,
1887,P,608074067800,2,2,17810,17809,DEF,AT,Middle Eocene (Lutetian) Discoaster sublodoensis,DEF,AT,
1888,P,608074067800,2,2,17960,17959,DEF,AT,Middle Eocene (Lutetian) Discoaster lodoensis,DEF,AT,
1889,P,608074067800,2,2,18020,18019,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus orthostylus,DEF,AT,
1890,P,608074067800,2,2,18109,18108,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus contortus,DEF,AT,
1891,P,608074067800,2,2,18110,18109,DEF,AT,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,AT,
1892,P,608074067800,2,2,18320,18319,DEF,AT,Lower Eocene (Ypresian) Fasciculithus tympaniformis,DEF,AT,
1893,P,608074067800,2,2,18350,18349,DEF,AT,Upper Paleocene (Selandian) Chiasmolithus danicus,DEF,AT,
1894,P,608074067800,2,2,25130,25129,DEF,AT,Lower Oligocene,DEF,AT,
1895,P,608074067800,2,2,25460,25459,DEF,AT,Lower Oligocene (Rupelian) Sphenolithus pseudoradians,DEF,AT,
1896,P,608074067800,2,2,26440,26439,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra hillae,DEF,AT,
1897,P,608074067800,2,2,26800,26799,DEF,AT,Upper Eocene (Priabonian) Discoaster barbadiensis,DEF,AT,
1898,P,608074067800,2,2,26830,26829,DEF,AT,Upper Eocene (Priabonian) Cribrocentrum reticulatum,DEF,AT,
1899,P,608074067800,2,2,27010,27009,DEF,AT,Middle Eocene (Bartonian) Sphenolithus spiniger,DEF,AT,
1900,P,608074067800,2,2,27210,27209,DEF,AT,Middle Eocene (Lutetian) Discoaster lodoensis,DEF,AT,
1901,P,608074067800,2,2,27300,27299,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus orthostylus,DEF,AT,
1902,P,608074067800,2,2,27360,27359,DEF,AT,Lower Eocene (Ypresian) Toweius pertusus,DEF,AT,
1903,P,608074067800,2,2,27420,27419,DEF,AT,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,AT,
1904,P,608074067800,2,2,27599,27598,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus contortus,DEF,AT,
1905,P,608074067800,2,2,27600,27599,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus bramlettei,DEF,AT,
1906,P,608074067800,2,2,28140,28139,DEF,AT,Lower Eocene (Ypresian) Fasciculithus tympaniformis,DEF,AT,
1907,P,608074067800,2,2,29310,29309,DEF,AT,Upper Paleocene (Thanetian) Ericsonia robusta,DEF,AT,
1908,P,608074067800,2,2,30810,30809,DEF,AT,Lower Eocene (Ypresian) Fasciculithus involutus,DEF,AT,
1909,P,608074083000,1,2,12251,12251,DEF,AT,Lower Oligocene (Rupelian) Turborotalia ampliapertura,DEF,AT,5.0
1910,P,608074083000,1,2,12269,12269,DEF,AT,Lower Oligocene (Rupelian) Turborotalia increbescens,DEF,AT,5.0
1911,P,608074083000,1,2,12270,12270,DEF,AT,Lower Oligocene (Rupelian) Pseudohastigerina micra,DEF,AT,5.0
1912,P,608074083000,1,2,12300,12300,DEF,AT,Upper Eocene (Priabonian) Hantkenina alabamensis,DEF,AT,5.0
1913,P,608074083000,1,2,12360,12360,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima opima,DEF,AT,5.0
1914,P,608074083000,1,2,12930,12930,DEF,AT,Lower Oligocene (Rupelian) Turborotalia increbescens,DEF,AT,5.0
1915,P,608074083000,1,2,12960,12960,DEF,AT,Lower Oligocene (Rupelian) Pseudohastigerina micra,DEF,AT,5.0
1916,P,608074083000,1,2,12990,12990,DEF,AT,Upper Eocene (Priabonian) Hantkenina alabamensis,DEF,AT,5.0
1917,P,608074083000,1,2,13019,13019,DEF,AT,Upper Eocene (Priabonian) Globorotalia pomeroli,DEF,AT,5.0
1918,P,608074083000,1,2,13020,13020,DEF,AT,Upper Eocene (Priabonian) Globigerinatheka semiinvoluta,DEF,AT,5.0
1919,P,608074083000,1,2,13169,13169,DEF,AT,Middle Eocene (Bartonian) Acarinina bullbrooki,DEF,AT,5.0
1920,P,608074083000,1,2,13170,13170,DEF,AT,Middle Eocene (Lutetian) Igorina broedermanni,DEF,AT,5.0
1921,P,608074083000,1,2,13229,13229,DEF,AT,Lower Eocene (Ypresian) Acarinina soldadoensis,DEF,AT,5.0
1922,P,608074083000,1,2,13230,13230,DEF,AT,Lower Eocene (Ypresian) Morozovella rex / subbotinae,DEF,AT,5.0
1923,P,608074083000,1,2,13259,13259,DEF,AT,Lower Eocene (Ypresian) Morozovella velascoenesis,DEF,AT,5.0
1924,P,608074083000,1,2,13260,13260,DEF,AT,Upper Paleocene (Thanetian) Morozovella angulata,DEF,AT,5.0
1925,P,608074083000,1,2,13350,13350,DEF,AT,Lower Eocene (Ypresian) Morozovella velascoenesis,DEF,AT,5.0
1926,P,608074083000,1,2,13440,13440,DEF,AT,Lower (Early) Eocene,DEF,AT,5.0
1927,P,608074083000,1,2,13470,13470,DEF,AT,Middle Eocene Bartonian Stage,DEF,AT,5.0
1928,P,608074083000,1,2,13500,13500,DEF,AT,Upper Eocene Priabonian Stage,DEF,AT,5.0
1929,P,608074083000,1,2,13530,13530,DEF,AT,Lower Oligocene,DEF,AT,5.0
1930,P,608074083000,1,2,13740,13740,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima opima,DEF,AT,5.0
1931,P,608074083000,1,2,28560,28560,DEF,AT,Upper Eocene (Priabonian) Globorotalia pomeroli,DEF,AT,5.0
1932,P,608074083000,1,2,28602,28602,DEF,AT,Middle Eocene (Bartonian) Morozovella lehneri,DEF,AT,5.0
1933,P,608074083000,1,2,28603,28603,DEF,AT,Middle Eocene (Bartonian) Acarinina bullbrooki,DEF,AT,5.0
1934,P,608074083000,1,2,28604,28604,DEF,AT,Middle Eocene (Bartonian) Truncorotaloides topilensis,DEF,AT,5.0
1935,P,608074083000,1,2,28739,28739,DEF,AT,Lower Eocene (Ypresian) Morozovella formosa formosa,DEF,AT,5.0
1936,P,608074083000,1,2,28740,28740,DEF,AT,Lower Eocene (Ypresian) Acarinina wilcoxensis,DEF,AT,5.0
1937,P,608074083000,2,2,12251,12251,DEF,AT,Upper Oligocene (Chattian) Sphenolithus ciperoensis,DEF,AT,
1938,P,608074083000,2,2,12300,12300,DEF,AT,Upper Oligocene (Chattian) Sphenolithus predistentus,DEF,AT,
1939,P,608074083000,2,2,12809,12809,DEF,AT,Lower Oligocene (Rupelian) Sphenolithus pseudoradians,DEF,AT,
1940,P,608074083000,2,2,12810,12810,DEF,AT,Lower Oligocene (Rupelian) Discoaster nodifer,DEF,AT,
1941,P,608074083000,2,2,12930,12930,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra umbilica,DEF,AT,
1942,P,608074083000,2,2,12960,12960,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,
1943,P,608074083000,2,2,12988,12988,DEF,AT,Upper Eocene (Priabonian) Discoaster saipanensis,DEF,AT,
1944,P,608074083000,2,2,12989,12989,DEF,AT,Upper Eocene (Priabonian) Discoaster barbadiensis,DEF,AT,
1945,P,608074083000,2,2,12990,12990,DEF,AT,Upper Eocene (Priabonian) Cribrocentrum reticulatum,DEF,AT,
1946,P,608074083000,2,2,13080,13080,DEF,AT,Middle Eocene (Bartonian) Chiasmolithus grandis,DEF,AT,
1947,P,608074083000,2,2,13170,13170,DEF,AT,Middle Eocene (Bartonian) Chiasmolithus solitus,DEF,AT,
1948,P,608074083000,2,2,13200,13200,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus orthostylus,DEF,AT,
1949,P,608074083000,2,2,13230,13230,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus contortus,DEF,AT,
1950,P,608074083000,2,2,13260,13260,DEF,AT,Lower Eocene (Ypresian) Fasciculithus tympaniformis,DEF,AT,
1951,P,608074083000,2,2,13440,13440,DEF,AT,Lower (Early) Eocene,DEF,AT,
1952,P,608074083000,2,2,13470,13470,DEF,AT,Middle Eocene,DEF,AT,
1953,P,608074083000,2,2,13500,13500,DEF,AT,Upper Oligocene Chattian Stage,DEF,AT,
1954,P,608074083000,2,2,14010,14010,DEF,AT,Upper Oligocene Chattian Stage,DEF,AT,
1955,P,608074083000,2,2,28467,28467,DEF,AT,Lower Oligocene (Rupelian) Ericsonia formosa,DEF,AT,
1956,P,608074083000,2,2,28470,28470,DEF,AT,Lower Oligocene (Rupelian) Reticulofenestra umbilica,DEF,AT,
1957,P,608074083000,2,2,28500,28500,DEF,AT,Upper Eocene (Priabonian) Discoaster barbadiensis,DEF,AT,
1958,P,608074083000,2,2,28605,28605,DEF,AT,Middle Eocene (Bartonian) Chiasmolithus grandis,DEF,AT,
1959,P,608074083000,2,2,28620,28620,DEF,AT,Middle Eocene (Bartonian) Chiasmolithus solitus,DEF,AT,
1960,P,608074083000,2,2,28680,28680,DEF,AT,Middle Eocene (Lutetian) Discoaster lodoensis,DEF,AT,
1961,P,608074083000,2,2,28770,28770,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus orthostylus,DEF,AT,
1962,P,608074083000,2,2,28830,28830,DEF,AT,Lower Eocene (Ypresian) Toweius crassus,DEF,AT,
1963,P,608074083000,2,2,28880,28880,DEF,AT,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,AT,
1964,P,608074083000,2,2,29180,29180,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus contortus,DEF,AT,
1965,P,608074083000,2,2,29330,29330,DEF,AT,Lower Eocene (Ypresian) Fasciculithus tympaniformis,DEF,AT,
1966,P,608074083000,2,2,29750,29750,DEF,AT,Lower Eocene (Ypresian) Fasciculithus tympaniformis,DEF,AT,
1967,P,608074083000,2,2,30410,30410,DEF,AT,Upper Paleocene (Selandian) Chiasmolithus danicus,DEF,AT,
1968,P,608074030300,1,2,24789,24268,DEF,AT,Lower Eocene (Ypresian) Rzehakina epigona,DEF,AT,4.0
1969,P,608074030300,1,2,24790,24269,POS,AT,Lower Eocene (Ypresian) Radiolarian acme C,POS,AT,4.0
1970,P,608074030300,1,2,27238,26481,DEF,AT,Upper Paleocene (Thanetian) Subbotina triloculinoides,DEF,AT,5.0
1971,P,608074030300,1,2,27239,26482,DEF,AT,Lower Paleocene (Danian) Parasubbotina pseudobulloides,DEF,AT,5.0
1972,P,608074030300,1,2,27240,26483,DEF,AT,Lower Paleocene (Danian) Praemurica trinidadensis,DEF,AT,5.0
1973,P,608074030300,2,2,13190,13190,DEF,AT,Upper Oligocene (Chattian) Sphenolithus predistentus,DEF,AT,
1974,P,608074030300,2,2,24160,23698,DEF,AT,Lower Eocene (Ypresian) Toweius pertusus,DEF,AT,
1975,P,608074030300,2,2,24670,24160,DEF,AT,Lower Eocene (Ypresian) Prinsius bisulcus,DEF,AT,
1976,P,608074030300,2,2,25010,24468,DEF,AT,Lower Eocene (Ypresian) Fasciculithus tympaniformis,DEF,AT,
1977,P,608074030300,2,2,26540,25849,DEF,AT,Lower Eocene (Ypresian) Fasciculithus involutus,DEF,AT,
1978,P,608074030300,2,2,27210,26456,DEF,AT,Upper Paleocene (Selandian) Cruciplacolithus tenuis increase,DEF,AT,
1979,P,608114060201,1,2,23040,23008,DEF,AT,Upper Oligocene (Chattian) Globigerina ciperoensis ciperoensis,DEF,AT,5.0
1980,P,608114060201,1,2,23200,23165,DEF,AT,Upper Oligocene,DEF,AT,6.0
1981,P,608114060201,2,2,23130,23096,DEF,AT,Upper Oligocene (Chattian) Sphenolithus delphix,DEF,AT,
1982,P,608114049201,1,1,22240,21599,DEF,AT,Upper Oligocene (Chattian) Dictyococcites bisectus,DEF,AT,5.0
1983,P,608114053400,1,1,20880,20879,DEF,AT,Lower Paleocene (Danian) Markalius inversus astroporus,DEF,AT,
1984,P,608114053400,1,1,20910,20909,DEF,AT,Upper Paleocene (Selandian) Cruciplacolithus tenuis increase,DEF,AT,
1985,P,608114053400,1,1,20940,20939,DEF,AT,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,AT,
1986,P,608114053400,1,1,21030,21029,DEF,AT,Lower Eocene (Ypresian) Discoaster multiradiatus,DEF,AT,
1987,P,608114053400,1,1,21120,21119,DEF,AT,Lower Eocene (Ypresian) Tribrachiatus contortus,DEF,AT,
1988,P,608114053400,1,1,21149,21148,DEF,AT,Lower Oligocene (Rupelian) Discoaster nodifer,DEF,AT,
1989,P,608114053400,1,1,21150,21149,DEF,AT,Lower Oligocene (Rupelian) Helicosphaera compacta,DEF,AT,
1990,P,608114043201,1,2,19742,19185,DEF,AT,Upper Oligocene (Chattian) Globigerina ciperoensis ciperoensis,DEF,AT,5.0
1991,P,608114043201,2,2,19760,19201,DEF,AT,Upper Oligocene (Chattian) Dictyococcites bisectus,DEF,AT,
1992,P,608114044600,1,2,30967,30175,DEF,AT,Upper Oligocene (Chattian) Globigerina ciperoensis ciperoensis,DEF,AT,4.0
1993,P,608114044600,1,2,30968,30176,DEF,AT,Upper Oligocene (Chattian) Globigerina angulisuturalis,DEF,AT,4.0
1994,P,608114044600,1,2,30969,30177,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima nana,DEF,AT,4.0
1995,P,608114044600,1,2,30970,30178,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima opima,DEF,AT,4.0
1996,P,608114044600,1,2,31030,30227,DEF,AT,Lower Oligocene (Rupelian) Textularia mississippiensis seligi,DEF,AT,4.0
1997,P,608114044600,1,2,31090,30276,DEF,AT,Lower Oligocene (Rupelian) Globigerina gortani,DEF,AT,4.0
1998,P,608114044600,2,2,30790,30031,DEF,AT,Upper Oligocene (Chattian) Sphenolithus ciperoensis,DEF,AT,
1999,P,608114044600,2,2,30940,30153,DEF,AT,Upper Oligocene (Chattian) Sphenolithus distentus,DEF,AT,
2000,P,608114022602,2,2,27420,23382,DEF,AT,Upper Eocene (Priabonian) Turborotalia cerroazulensis cocoaensis,DEF,AT,5.0
2001,P,608114056100,1,2,22650,22513,DEF,AT,Middle Eocene,DEF,AT,6.0
2002,P,608114056100,1,2,22679,22541,DEF,AT,Lower Oligocene,DEF,AT,6.0
2003,P,608114035800,1,2,22860,22855,DEF,AT,Upper Oligocene (Chattian) Globigerina ciperoensis ciperoensis,DEF,AT,5.0
2004,P,608114035800,1,2,22950,22945,DEF,AT,Upper Oligocene (Chattian) Globigerina angulisuturalis,DEF,AT,6.0
2005,P,608114035800,1,2,23010,23005,DEF,AT,Upper Oligocene (Chattian) Paragloborotalia opima opima,DEF,AT,6.0
2006,P,608114035800,2,2,22830,22826,DEF,AT,Upper Oligocene (Chattian) Sphenolithus ciperoensis,DEF,AT,
2007,P,608114024601,1,2,25940,25204,DEF,AT,Upper Oligocene (Chattian) Globigerina ciperoensis ciperoensis,DEF,AT,5.0
2008,P,608114024601,2,2,25917,25185,DEF,AT,Upper Oligocene (Chattian) Sphenolithus ciperoensis,DEF,AT,
2009,P,608114024601,2,2,25918,25186,DEF,AT,Upper Oligocene (Chattian) Clausicoccus fenestratus,DEF,AT,
2010,P,608114024601,2,2,25940,25204,DEF,AT,Upper Oligocene (Chattian) Dictyococcites bisectus increase,DEF,AT,
2011,P,608114024900,1,1,21900,21888,DEF,AT,Upper Eocene (Priabonian) Turborotalia cerroazulensis cocoaensis,DEF,AT,6.0
2012,P,608114024900,1,1,21930,21918,DEF,AT,Upper Eocene (Priabonian) Globigerinatheka tropicalis,DEF,AT,6.0
2013,P,608114024900,1,1,21990,21978,DEF,AT,Upper Eocene (Priabonian) Globigerinatheka tropicalis,DEF,AT,6.0
2014,P,608114024901,1,1,19591,19314,DEF,IN,Paleocene,DEF,IN,6.0
2015,P,608114024901,1,1,19920,19618,DEF,IN,Paleocene,DEF,IN,6.0
2016,P,608114024901,1,1,19921,19619,DEF,IN,Oligocene Anahuac Formation/Provincial Stage,DEF,IN,6.0
2017,P,608114024903,1,1,25890,25428,DEF,IN,Oligocene,DEF,IN,5.0
2018,P,608114024903,1,1,25905,25443,DEF,IN,Upper Oligocene (Chattian) Sphenolithus delphix,DEF,IN,5.0
2019,P,608114024903,1,1,25965,25500,DEF,IN,Upper Oligocene (Chattian) Dictyococcites bisectus,DEF,IN,5.0
2020,P,608114024903,1,1,26085,25614,DEF,IN,Upper Oligocene (Chattian) Sphenolithus ciperoensis,DEF,IN,5.0
2021,P,608114024903,1,1,26100,25628,DEF,IN,Upper Oligocene (Chattian) Globigerina ciperoensis ciperoensis,DEF,IN,5.0
2022,P,608114024903,1,1,26101,25629,DEF,IN,Upper Oligocene (Chattian) Paragloborotalia opima nana,DEF,IN,5.0
2023,P,608114024903,1,1,26102,25630,DEF,IN,Upper Oligocene (Chattian) Sphenolithus predistentus,DEF,IN,5.0
2024,P,608114024903,1,1,26160,25684,DEF,IN,Upper (Late) Eocene,DEF,IN,5.0
2025,P,608114024903,1,1,26250,25769,DEF,IN,Middle Eocene,DEF,IN,5.0
