date,accident_type,activity,activity_name,subactivity,subactivity_name,confidence,match_method
4/10/2011,- Fire - Generator Fire,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
6/8/1997,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/9/1998,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
5/4/2013,- Fire - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
7/31/2014,- Other Injury - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/6/2014,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
6/23/2015,- Other Injury - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
6/25/2015,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
5/25/2013,- Incident >$25K - Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
3/6/2011,- Required Evacuation - Explosion - Fire - Incident >$25K - Waiting on P&A,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
11/12/2016,- LTA (>3 days) - RW/JT (1-3 days) - Required Evacuation - Fire ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/3/2017,- Fire - Incident >$25K ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
10/27/2011,- LTA (>3 days) - Required Evacuation - Tubing hanger pin ejected,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/1/2008,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
9/28/2010,- Fire - Portable offshore office bldg.,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
10/24/2014,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/13/2009,- Fire - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
11/1/2011,- LTA (>3 days) - Troubleshooting Gen. Starter,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/31/2016,- RW/JT (1-3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/28/2010,- LTA (>3 days) - Required Evacuation - Fire - Cutting torch fire,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/27/2009,- LTA (>3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
9/28/2012,- RW/JT (>3 days) - Required Evacuation - Hand Injury,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/18/2011,- Fatality - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/2/2008,- LTA (>3 days) - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/29/2011,- LTA (>3 days) - Required Evacuation - Open hole on crane deck.,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/26/2011,- LTA (>3 days) - Injury while decomm. crane,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/22/2008,- Shutdown from Gas Release - Required Muster ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
11/18/2014,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/2/2020,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
9/19/2017,- Shutdown from Gas Release - Required Muster ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
11/8/2017,- LTA (>3 days) - LTA (1-3) days - Required Evacuation - Explosion - Fire - Incident >$25K - Structural Damage - Required Muster - Platform Evacuation,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/14/2018,- LTA (>3 days) - Required Evacuation - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
6/29/2015,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/10/2021,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/31/2011,- Fire - Incident >$25K ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/13/2013,- Pollution - Crane ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/23/2014,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
4/25/2016,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
7/17/2025,- Other Injury - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/17/2016,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/19/2022,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/21/2023,- EDS,OTHER,Other,unknown,Unknown,0.1,default
6/2/2025,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/4/2007,- LTA (>3 days) - Required Evacuation - Other Lifting Device - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/4/2021,- Other Injury - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/8/2012,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
12/8/2012,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
12/20/2012,- RW/JT (>3 days) - Required Evacuation - Finger Injury,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/19/2014,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/25/2016,- Other Injury - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/31/2019,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/3/2021,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/10/2021,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
11/23/2021,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/14/2022,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
9/28/2020,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
1/10/2021,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/29/2017,- LTA (>3 days) - Other Injury - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
6/7/2017,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
6/25/2018,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/22/2019,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
3/20/2024,- RW/JT (>3 days) - Required Evacuation - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/26/2008,- Pollution - 80 bbls SBM lost overboard,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
10/31/2013,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
7/30/2008,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
6/30/2005,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
10/4/2004,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
5/12/2003,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
10/14/2012,- RW/JT (>3 days) - Required Evacuation - Other Lifting Device - Finger Injury,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/8/2008,- LTA (>3 days) - Shutdown from Glycol Release,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/23/2015,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
8/3/2025,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
3/28/2021,- Pollution - Shallow Water Flow,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
10/28/2015,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/23/2020,- Fatality ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
9/18/2020,- RW/JT (1-3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/19/2013,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/28/2009,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/31/2013,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/18/2012,- Pollution - Incident >$25K ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/24/2012,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
10/17/2012,- Required Evacuation ,OTHER,Other,unknown,Unknown,0.1,default
1/30/2013,- LTA (>3 days) - Required Evacuation - Other Lifting Device - Tugger,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
6/25/2019,- Other Lifting Device - Dropped object,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
4/30/2018,- Pollution - Chemical leak in flying lead,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
8/14/2014,- Incident >$25K - Tension Ring not fully engaged,OTHER,Other,unknown,Unknown,0.1,default
10/26/2013,- Other Lifting Device - Incident >$25K ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
11/22/2023,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/18/2012,- Incident >$25K ,OTHER,Other,unknown,Unknown,0.1,default
5/5/2018,- Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
9/5/2012,- LTA (>3 days) - Required Evacuation - Other Lifting Device - Injury to Fingers,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/17/2018,- Fatality ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/30/2011,- RW/JT (1-3 days) - Required Evacuation - Eline failure - corrosion,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/13/2012,- LTA (>3 days) - Required Evacuation - Fire - Burn Injury,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/13/2016,- LTA (>3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
1/1/2016,- Collision >$25K - Collision - Structural Damage ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
10/17/2016,- LTA (>3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/1/2013,- Shutdown from Gas Release - Pollution ,PSAFE,Process Safety,pressure_release,Pressure Release,0.95,bsee_accident_type
8/10/2023,- LTA (>3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/13/2019,- LTA (>3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/27/2021,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
10/13/2014,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/30/2014,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
7/8/2014,- Other Injury - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/14/2014,- Other Lifting Device - Incident >$25K ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
7/18/2021,- Incident >$25K ,OTHER,Other,unknown,Unknown,0.1,default
9/27/2024,- LTA (>3 days) - Required Evacuation - Crane - Slip trip fall,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/12/2024,- LTA (>3 days) - Required Evacuation - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
9/29/2020,- Crane - Load Strike,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
12/13/2015,- Fire - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
3/12/2016,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
3/16/2018,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
12/8/2023,- LTA (>3 days) - Required Evacuation - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/25/2017,- Incident >$25K ,OTHER,Other,unknown,Unknown,0.1,default
7/17/2021,- Incident >$25K - Total Power Loss,ELEC,Electrical,unknown,Unknown,0.35,keyword_match
3/18/2022,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
4/1/2022,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
2/6/2016,- RW/JT (>3 days) - LTA (1-3) days ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/12/2015,- Incident >$25K - Lifting Device,CRANE,Crane and Lifting,unknown,Unknown,0.35,keyword_match
2/8/2016,- LTA (1-3) days - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
7/12/2018,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/26/2021,- Other Lifting Device ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
5/25/2016,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/5/2016,- LTA (>3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/3/2024,- Fire - Incident >$25K ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
9/4/2023,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
1/3/2023,- Fire - Incident >$25K - Required Muster - Damaged UPS 7560,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
6/21/2023,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
10/29/2021,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
10/20/2015,- Other Lifting Device - Fatality ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
5/2/2016,- Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
4/1/2015,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
8/7/2019,- RW/JT (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
1/6/2016,"- Deck damage 5"" hole",CONST,Construction and Installation,platform_construction,Platform Construction,0.35,keyword_match
3/7/2024,- LTA (>3 days) - Required Evacuation - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/26/2019,- LTA (>3 days) - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/21/2018,- LTA (>3 days) ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/28/2019,- Fire - Incident >$25K - Required Muster ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
11/16/2018,- Other Injury - Required Evacuation ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
5/21/1996,"- St water fire,explosion,injury",PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
7/18/2006,- Fatality ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/24/2006,- Pollution - Anchor drag,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/15/2024,- Required Muster ,OTHER,Other,unknown,Unknown,0.1,default
4/5/2016,- RW/JT (>3 days) - Required Evacuation - Other Lifting Device ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/8/2001,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/8/2000,- Explosion ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
9/23/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/10/2000,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/27/2000,- Pollution - synthetic based mud,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
7/5/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
1/26/2000,- Crane failure,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
4/18/2001,- Collision ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
9/5/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
11/15/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
3/21/2000,- Injury - Crane Accident,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/16/2001,- Collision - Pollution ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
8/26/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
8/15/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
4/27/2000,- Crane slings parted,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
5/4/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/22/2000,- Release of H2S,ENV,Environmental,unknown,Unknown,0.35,keyword_match
7/26/2000,- H2S release,ENV,Environmental,gas_release,Gas Release,0.55,keyword_match
1/21/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
1/30/2001,- Collision - Hit by fishing boat,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
3/29/2000,- Crane/Equipment Overboard,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
3/7/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
12/21/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
9/13/2000,- Collision ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
3/1/2001,- Blowout - Fire ,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
8/15/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
2/24/2001,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
4/1/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/12/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
5/11/2000,- Collision ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
12/9/1999,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/9/2000,- Fire - Pollution ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
8/1/2000,- Collision - Injury ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
6/6/2000,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/18/2000,- Collision ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
5/2/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
4/2/2001,- Blowout ,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
4/16/2000,- Collision ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
8/29/2000,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/31/2000,- Cut into live P/L for removal,CONST,Construction and Installation,decommissioning,Decommissioning,0.35,keyword_match
4/5/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
3/30/2001,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
4/7/2000,- Blowout ,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
5/9/2001,- Blowout - Pollution ,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
3/31/2000,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
2/28/2001,- Collision - Explosion - Fire ,MARINE,Marine Transport,vessel_navigation,Vessel Navigation,0.95,bsee_accident_type
4/4/2001,- Blowout - Equipment overboard,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
7/11/2000,- Fire - Injury ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
8/14/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
7/18/2000,- Crane,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
9/26/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
5/19/2000,- Fatality ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/16/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
5/21/2000,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
3/4/2000,- Injury - Hose Rupture,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
8/16/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
6/8/2000,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
5/20/2000,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/28/2000,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
2/11/2001,- Fire - Pollution ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
8/15/2000,- Blowout ,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
11/18/2000,- Blowout ,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
1/13/2001,- Explosion - Fire - Injury ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
6/23/2004,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/4/2009,- Incident >$25K ,OTHER,Other,unknown,Unknown,0.1,default
1/29/2006,- Item Lost Overboard,OTHER,Other,unknown,Unknown,0.1,default
5/24/2001,- Blowout - Lubricator leak,DRILL,Drilling,well_control,Well Control,0.95,bsee_accident_type
7/10/2008,- LTA (>3 days) - Required Evacuation - Fire ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
11/18/2006,- Pollution ,ENV,Environmental,oil_spill,Oil Spill,0.95,bsee_accident_type
1/27/2009,- Crane ,CRANE,Crane and Lifting,crane_operations,Crane Operations,0.95,bsee_accident_type
11/20/2003,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
6/24/2008,- Fire ,PSAFE,Process Safety,fire_explosion,Fire and Explosion,0.95,bsee_accident_type
11/6/2004,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
12/1/2006,- Fatality ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
1/14/2005,- Injury - Atmospheric release of gas.,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
4/7/2006,- Injury ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
10/1/2007,- LTA (>3 days) - Required Evacuation - Crane ,PERS,Personnel Safety,slip_trip_fall,"Slip, Trip, and Fall",0.95,bsee_accident_type
