incident_id,date,vessel_name,description,incident_type,location,source,fatalities,injuries
17881,1990-07-10,,"STAGE SUPPORT ROPE KNOT SLIPPED, VICTIM FELL INTO HARBOUR",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17881,1990-07-10,,"STAGE SUPPORT ROPE KNOT SLIPPED, VICTIM FELL INTO HARBOUR",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17881,1990-07-10,,"STAGE SUPPORT ROPE KNOT SLIPPED, VICTIM FELL INTO HARBOUR",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17830,1990-07-02,,"FELL ASLEEP AT WHEEL AND STRUCK CLIFF, DIED LATER OF INJURIES",GROUNDING - Under power (non-intentional),N/A,Canadian TSB,1,0
17830,1990-07-02,,"FELL ASLEEP AT WHEEL AND STRUCK CLIFF, DIED LATER OF INJURIES",GROUNDING - Under power (non-intentional),N/A,Canadian TSB,1,0
17830,1990-07-02,,"FELL ASLEEP AT WHEEL AND STRUCK CLIFF, DIED LATER OF INJURIES",GROUNDING - Under power (non-intentional),N/A,Canadian TSB,1,0
17830,1990-07-02,,"FELL ASLEEP AT WHEEL AND STRUCK CLIFF, DIED LATER OF INJURIES",GROUNDING - Under power (non-intentional),N/A,Canadian TSB,1,0
17776,1990-06-18,,CAUGHT IN A CLOSING WATERTIGHT DOOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17776,1990-06-18,,CAUGHT IN A CLOSING WATERTIGHT DOOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17776,1990-06-18,,CAUGHT IN A CLOSING WATERTIGHT DOOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17776,1990-06-18,,CAUGHT IN A CLOSING WATERTIGHT DOOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17776,1990-06-18,,CAUGHT IN A CLOSING WATERTIGHT DOOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17776,1990-06-18,,CAUGHT IN A CLOSING WATERTIGHT DOOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17776,1990-06-18,,CAUGHT IN A CLOSING WATERTIGHT DOOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17776,1990-06-18,,CAUGHT IN A CLOSING WATERTIGHT DOOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17729,1990-06-08,,OPERATOR DROWNED AFTER ACCIDENTALLY FALLING OVERBOARD.,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17729,1990-06-08,,OPERATOR DROWNED AFTER ACCIDENTALLY FALLING OVERBOARD.,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17729,1990-06-08,,OPERATOR DROWNED AFTER ACCIDENTALLY FALLING OVERBOARD.,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17729,1990-06-08,,OPERATOR DROWNED AFTER ACCIDENTALLY FALLING OVERBOARD.,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17729,1990-06-08,,OPERATOR DROWNED AFTER ACCIDENTALLY FALLING OVERBOARD.,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17672,1990-05-27,,"CAR ACCELERATED ONTO FERRY, CRASHED THROUGH GATE & INTO WATER",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,3,0
17672,1990-05-27,,"CAR ACCELERATED ONTO FERRY, CRASHED THROUGH GATE & INTO WATER",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,3,0
17672,1990-05-27,,"CAR ACCELERATED ONTO FERRY, CRASHED THROUGH GATE & INTO WATER",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,3,0
17672,1990-05-27,,"CAR ACCELERATED ONTO FERRY, CRASHED THROUGH GATE & INTO WATER",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,3,0
17672,1990-05-27,,"CAR ACCELERATED ONTO FERRY, CRASHED THROUGH GATE & INTO WATER",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,3,0
17651,1990-05-22,,PASSENGER JUMPED OVERBOARD AND DROWNED Note: formerly OccNo : 1300-5-90,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17651,1990-05-22,,PASSENGER JUMPED OVERBOARD AND DROWNED Note: formerly OccNo : 1300-5-90,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17651,1990-05-22,,PASSENGER JUMPED OVERBOARD AND DROWNED Note: formerly OccNo : 1300-5-90,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17649,1990-05-20,,"VL NOT FOUND,BOOM TOWLINE BROKEN,LOG BOOMS & 0PERATORS BODY RECOVERD",SANK - Flooding,N/A,Canadian TSB,1,0
17649,1990-05-20,,"VL NOT FOUND,BOOM TOWLINE BROKEN,LOG BOOMS & 0PERATORS BODY RECOVERD",SANK - Flooding,N/A,Canadian TSB,1,0
17649,1990-05-20,,"VL NOT FOUND,BOOM TOWLINE BROKEN,LOG BOOMS & 0PERATORS BODY RECOVERD",SANK - Flooding,N/A,Canadian TSB,1,0
17649,1990-05-20,,"VL NOT FOUND,BOOM TOWLINE BROKEN,LOG BOOMS & 0PERATORS BODY RECOVERD",SANK - Flooding,N/A,Canadian TSB,1,0
17649,1990-05-20,,"VL NOT FOUND,BOOM TOWLINE BROKEN,LOG BOOMS & 0PERATORS BODY RECOVERD",SANK - Flooding,N/A,Canadian TSB,1,0
17649,1990-05-20,,"VL NOT FOUND,BOOM TOWLINE BROKEN,LOG BOOMS & 0PERATORS BODY RECOVERD",SANK - Flooding,N/A,Canadian TSB,1,0
17542,1990-05-02,,"CREWMAN JUMPED OVERBOARD, HEART STOPPED, UNABLE TO REVIVE Note: formerly OccNo : 9708-5-90",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17542,1990-05-02,,"CREWMAN JUMPED OVERBOARD, HEART STOPPED, UNABLE TO REVIVE Note: formerly OccNo : 9708-5-90",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17517,1990-04-27,,GUEST PROBABLY LOST HIS BALANCE AND FELL OVERBOARD WITH OPERATOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17517,1990-04-27,,GUEST PROBABLY LOST HIS BALANCE AND FELL OVERBOARD WITH OPERATOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17517,1990-04-27,,GUEST PROBABLY LOST HIS BALANCE AND FELL OVERBOARD WITH OPERATOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17517,1990-04-27,,GUEST PROBABLY LOST HIS BALANCE AND FELL OVERBOARD WITH OPERATOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17517,1990-04-27,,GUEST PROBABLY LOST HIS BALANCE AND FELL OVERBOARD WITH OPERATOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17517,1990-04-27,,GUEST PROBABLY LOST HIS BALANCE AND FELL OVERBOARD WITH OPERATOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17517,1990-04-27,,GUEST PROBABLY LOST HIS BALANCE AND FELL OVERBOARD WITH OPERATOR,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17471,1990-04-13,,"STARTER MOTOR FAULTY, VSL DRIFTED ASHORE IN SURF",GROUNDING - Not under power (includes drifting) (non-intentional),N/A,Canadian TSB,3,1
17471,1990-04-13,,"STARTER MOTOR FAULTY, VSL DRIFTED ASHORE IN SURF",GROUNDING - Not under power (includes drifting) (non-intentional),N/A,Canadian TSB,3,1
17471,1990-04-13,,"STARTER MOTOR FAULTY, VSL DRIFTED ASHORE IN SURF",GROUNDING - Not under power (includes drifting) (non-intentional),N/A,Canadian TSB,3,1
17471,1990-04-13,,"STARTER MOTOR FAULTY, VSL DRIFTED ASHORE IN SURF",GROUNDING - Not under power (includes drifting) (non-intentional),N/A,Canadian TSB,3,1
17471,1990-04-13,,"STARTER MOTOR FAULTY, VSL DRIFTED ASHORE IN SURF",GROUNDING - Not under power (includes drifting) (non-intentional),N/A,Canadian TSB,3,1
17471,1990-04-13,,"STARTER MOTOR FAULTY, VSL DRIFTED ASHORE IN SURF",GROUNDING - Not under power (includes drifting) (non-intentional),N/A,Canadian TSB,3,1
17471,1990-04-13,,"STARTER MOTOR FAULTY, VSL DRIFTED ASHORE IN SURF",GROUNDING - Not under power (includes drifting) (non-intentional),N/A,Canadian TSB,3,1
17471,1990-04-13,,"STARTER MOTOR FAULTY, VSL DRIFTED ASHORE IN SURF",GROUNDING - Not under power (includes drifting) (non-intentional),N/A,Canadian TSB,3,1
17446,1990-04-11,,"SWAMPED BY WAVE,HIT BAR,LISTED,SWAMPED BY 2ND WAVE,CAPSIZED,BROKE UP",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,2,1
17446,1990-04-11,,"SWAMPED BY WAVE,HIT BAR,LISTED,SWAMPED BY 2ND WAVE,CAPSIZED,BROKE UP",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,2,1
17446,1990-04-11,,"SWAMPED BY WAVE,HIT BAR,LISTED,SWAMPED BY 2ND WAVE,CAPSIZED,BROKE UP",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,2,1
17446,1990-04-11,,"SWAMPED BY WAVE,HIT BAR,LISTED,SWAMPED BY 2ND WAVE,CAPSIZED,BROKE UP",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,2,1
17446,1990-04-11,,"SWAMPED BY WAVE,HIT BAR,LISTED,SWAMPED BY 2ND WAVE,CAPSIZED,BROKE UP",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,2,1
17446,1990-04-11,,"SWAMPED BY WAVE,HIT BAR,LISTED,SWAMPED BY 2ND WAVE,CAPSIZED,BROKE UP",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,2,1
17446,1990-04-11,,"SWAMPED BY WAVE,HIT BAR,LISTED,SWAMPED BY 2ND WAVE,CAPSIZED,BROKE UP",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,2,1
17446,1990-04-11,,"SWAMPED BY WAVE,HIT BAR,LISTED,SWAMPED BY 2ND WAVE,CAPSIZED,BROKE UP",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,2,1
17348,1990-03-19,,EXPLOSION AT NO 1 HATCH DURING PREPARATIONS TO OPEN HATCH,EXPLOSION,N/A,Canadian TSB,2,13
17348,1990-03-19,,EXPLOSION AT NO 1 HATCH DURING PREPARATIONS TO OPEN HATCH,EXPLOSION,N/A,Canadian TSB,2,13
17348,1990-03-19,,EXPLOSION AT NO 1 HATCH DURING PREPARATIONS TO OPEN HATCH,EXPLOSION,N/A,Canadian TSB,2,13
17348,1990-03-19,,EXPLOSION AT NO 1 HATCH DURING PREPARATIONS TO OPEN HATCH,EXPLOSION,N/A,Canadian TSB,2,13
17348,1990-03-19,,EXPLOSION AT NO 1 HATCH DURING PREPARATIONS TO OPEN HATCH,EXPLOSION,N/A,Canadian TSB,2,13
17348,1990-03-19,,EXPLOSION AT NO 1 HATCH DURING PREPARATIONS TO OPEN HATCH,EXPLOSION,N/A,Canadian TSB,2,13
17328,1990-03-12,,CREWMAN SUFFERED A CARDIAC ARREST WHILE SWIMMING BACK TO THE SHIP Note: formerly OccNo : 9708-5-90,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17328,1990-03-12,,CREWMAN SUFFERED A CARDIAC ARREST WHILE SWIMMING BACK TO THE SHIP Note: formerly OccNo : 9708-5-90,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17255,1990-02-15,,"CREWMAN STABBED 2ND COOK, SET FIRE TO CABIN, THEN TOOK HIS OWN LIFE Note: formerly OccNo : 9708-5-90",FIRE,N/A,Canadian TSB,2,0
17255,1990-02-15,,"CREWMAN STABBED 2ND COOK, SET FIRE TO CABIN, THEN TOOK HIS OWN LIFE Note: formerly OccNo : 9708-5-90",FIRE,N/A,Canadian TSB,2,0
17255,1990-02-15,,"CREWMAN STABBED 2ND COOK, SET FIRE TO CABIN, THEN TOOK HIS OWN LIFE Note: formerly OccNo : 9708-5-90",FIRE,N/A,Canadian TSB,2,0
17242,1990-02-10,,"LAST SIGHTED FEB 6,1990 OFF CANOE PASS - CAUSE OF DISAPPEARANCE UNK.",MISSING (the ship is),N/A,Canadian TSB,4,0
17242,1990-02-10,,"LAST SIGHTED FEB 6,1990 OFF CANOE PASS - CAUSE OF DISAPPEARANCE UNK.",MISSING (the ship is),N/A,Canadian TSB,4,0
17242,1990-02-10,,"LAST SIGHTED FEB 6,1990 OFF CANOE PASS - CAUSE OF DISAPPEARANCE UNK.",MISSING (the ship is),N/A,Canadian TSB,4,0
17242,1990-02-10,,"LAST SIGHTED FEB 6,1990 OFF CANOE PASS - CAUSE OF DISAPPEARANCE UNK.",MISSING (the ship is),N/A,Canadian TSB,4,0
17242,1990-02-10,,"LAST SIGHTED FEB 6,1990 OFF CANOE PASS - CAUSE OF DISAPPEARANCE UNK.",MISSING (the ship is),N/A,Canadian TSB,4,0
17242,1990-02-10,,"LAST SIGHTED FEB 6,1990 OFF CANOE PASS - CAUSE OF DISAPPEARANCE UNK.",MISSING (the ship is),N/A,Canadian TSB,4,0
17193,1989-12-17,,CARETAKER DIED - COMBINATION CARBON MONOXIDE POISONING & HYPOTHERMIA Note: formerly OccNo : 9708-5-90,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17193,1989-12-17,,CARETAKER DIED - COMBINATION CARBON MONOXIDE POISONING & HYPOTHERMIA Note: formerly OccNo : 9708-5-90,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17193,1989-12-17,,CARETAKER DIED - COMBINATION CARBON MONOXIDE POISONING & HYPOTHERMIA Note: formerly OccNo : 9708-5-90,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17174,1980-10-10,,"VSL STRUCK AN OBSTRUCTION, THROWING THE 2 POB INTO THE WATER,DROWNED Note: formerly OccNo : 9708-5-90",BOTTOM CONTACT,N/A,Canadian TSB,2,0
17173,1989-10-17,,"VSL CAPSIZED DURING A FISHING TRIP, 2 POB DROWNED Note: formerly OccNo : 9708-5-90",CAPSIZES,N/A,Canadian TSB,2,0
17170,1989-08-19,,ZODIAC CAPSIZED AFTER BEING DRIVEN INTO A WHITE WATER FUNNEL Note: formerly OccNo : 9708-5-90,CAPSIZES,N/A,Canadian TSB,2,0
17169,1989-10-22,,"OPERATOR STOOD UP IN BOAT TO RELIEVE HIMSELF, BOAT CAPSIZED, HE DIED Note: formerly OccNo : 9708-5-90",CAPSIZES,N/A,Canadian TSB,1,0
17167,1987-07-27,,SKIBOAT COLLIDED WITH 2H39594 WHILE TOWING 2 SKIERS ON COLD LAKE Note: formerly OccNo : 9708-5-90,COLLISION - With another vessel or other floating object,N/A,Canadian TSB,1,0
17166,1987-03-15,,14 FT BOAT CAPSIZED WHILE CARRYING 3 POB & 12 DRUMS OF FURNACE FUEL Note: formerly OccNo : 9708-5-90,CAPSIZES,N/A,Canadian TSB,3,0
17159,1987-08-21,,"VSL FOUND CAPSIZED, 3 POB DROWNED, POSSIBLY DUE TO ROUGH SEAS Note: formerly OccNo : 9708-5-90",CAPSIZES,N/A,Canadian TSB,3,0
17157,1987-09-15,,"HOUSEBOAT WAS MOORED IN A COVE, SUDDEN STORM CAPSIZED THE VSL Note: formerly OccNo : 9708-5-90",CAPSIZES,N/A,Canadian TSB,2,2
17155,1987-11-05,,"VSL SWAMPED WITH 4 POB, 2 WHO WERE NOT WEARING LIFEJACKETS DIED Note: formerly OccNo : 9708-5-90",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,2,0
17154,1988-09-18,,"VSL CAPSIZED WITH 4 POB, 2 DIED, 1 MISSING AND THE OTHER IN HOSPITAL Note: formerly OccNo : 9708-5-90",CAPSIZES,N/A,Canadian TSB,2,1
17153,1988-09-30,,"SWAMPED AFTER TAKING A WAVE OVER THE STERN, 4 POB IN WATER, 3 DIED Note: formerly OccNo : 9708-5-90",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,3,0
17152,1989-07-22,,"WHILE DRIVING A ZODIAC, TURNED TOO SHARPLY, FELL OVERBOARD, DROWNED Note: formerly OccNo : 9708-5-90",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17151,1989-05-28,,"CANOE SWAMPED IN 4 FT SWELLS, 2 POB HELD ONTO THE CANOE, 1 DIED Note: formerly OccNo : 9708-5-90",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,1,1
17137,1990-01-16,,OP. STAYED WITH VSL AFTER GROUNDING AND WAS LATER DISCOVERED DROWNED,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17137,1990-01-16,,OP. STAYED WITH VSL AFTER GROUNDING AND WAS LATER DISCOVERED DROWNED,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17137,1990-01-16,,OP. STAYED WITH VSL AFTER GROUNDING AND WAS LATER DISCOVERED DROWNED,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17137,1990-01-16,,OP. STAYED WITH VSL AFTER GROUNDING AND WAS LATER DISCOVERED DROWNED,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17137,1990-01-16,,OP. STAYED WITH VSL AFTER GROUNDING AND WAS LATER DISCOVERED DROWNED,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17137,1990-01-16,,OP. STAYED WITH VSL AFTER GROUNDING AND WAS LATER DISCOVERED DROWNED,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
17068,1989-12-22,,LIFEBOAT OVERTURNED AS CREW DISEMBARKED TO SHIP - 7 TRAPPED INSIDE,CAPSIZES,N/A,Canadian TSB,1,0
17068,1989-12-22,,LIFEBOAT OVERTURNED AS CREW DISEMBARKED TO SHIP - 7 TRAPPED INSIDE,CAPSIZES,N/A,Canadian TSB,1,0
17068,1989-12-22,,LIFEBOAT OVERTURNED AS CREW DISEMBARKED TO SHIP - 7 TRAPPED INSIDE,CAPSIZES,N/A,Canadian TSB,1,0
17068,1989-12-22,,LIFEBOAT OVERTURNED AS CREW DISEMBARKED TO SHIP - 7 TRAPPED INSIDE,CAPSIZES,N/A,Canadian TSB,1,0
17010,1989-12-14,,"GIRDED BY TOWED BARGE STRAITS WATER SKIDDER, CAPSIZED,MASTER DROWNED",CAPSIZES,N/A,Canadian TSB,1,0
17010,1989-12-14,,"GIRDED BY TOWED BARGE STRAITS WATER SKIDDER, CAPSIZED,MASTER DROWNED",CAPSIZES,N/A,Canadian TSB,1,0
17010,1989-12-14,,"GIRDED BY TOWED BARGE STRAITS WATER SKIDDER, CAPSIZED,MASTER DROWNED",CAPSIZES,N/A,Canadian TSB,1,0
17010,1989-12-14,,"GIRDED BY TOWED BARGE STRAITS WATER SKIDDER, CAPSIZED,MASTER DROWNED",CAPSIZES,N/A,Canadian TSB,1,0
17010,1989-12-14,,"GIRDED BY TOWED BARGE STRAITS WATER SKIDDER, CAPSIZED,MASTER DROWNED",CAPSIZES,N/A,Canadian TSB,1,0
17010,1989-12-14,,"GIRDED BY TOWED BARGE STRAITS WATER SKIDDER, CAPSIZED,MASTER DROWNED",CAPSIZES,N/A,Canadian TSB,1,0
16981,1989-12-07,,"VICTIM FOUND COLLAPSED FACEDOWN IN PUDDLE OF WATER IN THE CARGO, ENTERED HOLD WITHOUT TESTING THE ATMOSPHERE.",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16981,1989-12-07,,"VICTIM FOUND COLLAPSED FACEDOWN IN PUDDLE OF WATER IN THE CARGO, ENTERED HOLD WITHOUT TESTING THE ATMOSPHERE.",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16981,1989-12-07,,"VICTIM FOUND COLLAPSED FACEDOWN IN PUDDLE OF WATER IN THE CARGO, ENTERED HOLD WITHOUT TESTING THE ATMOSPHERE.",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16981,1989-12-07,,"VICTIM FOUND COLLAPSED FACEDOWN IN PUDDLE OF WATER IN THE CARGO, ENTERED HOLD WITHOUT TESTING THE ATMOSPHERE.",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16981,1989-12-07,,"VICTIM FOUND COLLAPSED FACEDOWN IN PUDDLE OF WATER IN THE CARGO, ENTERED HOLD WITHOUT TESTING THE ATMOSPHERE.",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16979,1989-12-08,,"HEAVY SEAS, FREEZING SPRAY, SANK AFTER FLOODING THROUGH HATCH",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,16,0
16979,1989-12-08,,"HEAVY SEAS, FREEZING SPRAY, SANK AFTER FLOODING THROUGH HATCH",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,16,0
16979,1989-12-08,,"HEAVY SEAS, FREEZING SPRAY, SANK AFTER FLOODING THROUGH HATCH",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,16,0
16979,1989-12-08,,"HEAVY SEAS, FREEZING SPRAY, SANK AFTER FLOODING THROUGH HATCH",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,16,0
16979,1989-12-08,,"HEAVY SEAS, FREEZING SPRAY, SANK AFTER FLOODING THROUGH HATCH",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,16,0
16979,1989-12-08,,"HEAVY SEAS, FREEZING SPRAY, SANK AFTER FLOODING THROUGH HATCH",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,16,0
16979,1989-12-08,,"HEAVY SEAS, FREEZING SPRAY, SANK AFTER FLOODING THROUGH HATCH",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,16,0
16979,1989-12-08,,"HEAVY SEAS, FREEZING SPRAY, SANK AFTER FLOODING THROUGH HATCH",SANK - Founders (taking on water above the waterline),N/A,Canadian TSB,16,0
16974,1989-12-06,,LONGSHOREMAN FELL FROM TOP OF TIMBER DECK CARGO WHILE LASHING CARGO,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16974,1989-12-06,,LONGSHOREMAN FELL FROM TOP OF TIMBER DECK CARGO WHILE LASHING CARGO,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16974,1989-12-06,,LONGSHOREMAN FELL FROM TOP OF TIMBER DECK CARGO WHILE LASHING CARGO,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16974,1989-12-06,,LONGSHOREMAN FELL FROM TOP OF TIMBER DECK CARGO WHILE LASHING CARGO,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16954,1989-12-02,,"VSL FOUND UNATTENDED, OPERATOR PROBABLY FELL OVERBOARD",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16954,1989-12-02,,"VSL FOUND UNATTENDED, OPERATOR PROBABLY FELL OVERBOARD",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16954,1989-12-02,,"VSL FOUND UNATTENDED, OPERATOR PROBABLY FELL OVERBOARD",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16954,1989-12-02,,"VSL FOUND UNATTENDED, OPERATOR PROBABLY FELL OVERBOARD",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16954,1989-12-02,,"VSL FOUND UNATTENDED, OPERATOR PROBABLY FELL OVERBOARD",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16953,1989-12-02,,DECKHAND WAS KILLED WHEN A MOORING LINE PARTED AND STRUCK HIM,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16953,1989-12-02,,DECKHAND WAS KILLED WHEN A MOORING LINE PARTED AND STRUCK HIM,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16953,1989-12-02,,DECKHAND WAS KILLED WHEN A MOORING LINE PARTED AND STRUCK HIM,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16953,1989-12-02,,DECKHAND WAS KILLED WHEN A MOORING LINE PARTED AND STRUCK HIM,PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16920,1989-11-13,,"USING LIVE BOATING PROCEDURE, DIVER'S AIRLINE CAUGHT IN PROPELLER",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16920,1989-11-13,,"USING LIVE BOATING PROCEDURE, DIVER'S AIRLINE CAUGHT IN PROPELLER",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16920,1989-11-13,,"USING LIVE BOATING PROCEDURE, DIVER'S AIRLINE CAUGHT IN PROPELLER",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
16920,1989-11-13,,"USING LIVE BOATING PROCEDURE, DIVER'S AIRLINE CAUGHT IN PROPELLER",PERSON SERIOUSLY INJURED OR KILLED - In contact with any part of the ship or its contents,N/A,Canadian TSB,1,0
