incident_id,date,vessel_name,description,fatalities,location,source,injuries
28569,2000-06-04,,F/V reported taking on water. Declaring Mayday. Have pump on board but no gas. Other F/V responded to mayday and provided gas. Water pumped out and F/V escorted to port.,0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28538,2000-05-20,,Open boat sunk while fishermen where retrieving lobster pots.  Sea was rough.  No survivors.  ,1,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28538,2000-05-20,,Open boat sunk while fishermen where retrieving lobster pots.  Sea was rough.  No survivors.  ,1,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28538,2000-05-20,,Open boat sunk while fishermen where retrieving lobster pots.  Sea was rough.  No survivors.  ,1,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28535,2000-05-20,,A 40 ft GRP F/V with 3 POB reported taking on water. SAR pump transferred from F/V MURPHY'S LAW and vessel towed to Woods Harbour by F/V SEXY LADY.,0,N/A,Canadian TSB,0
28535,2000-05-20,,A 40 ft GRP F/V with 3 POB reported taking on water. SAR pump transferred from F/V MURPHY'S LAW and vessel towed to Woods Harbour by F/V SEXY LADY.,0,N/A,Canadian TSB,0
28530,2000-05-22,,Fast Rescue Craft with 2 POB operating from OSV HEBRON SEA capsized. Both crewmembers rescued and medevac'ed to Halifax.,0,NOVA SCOTIA (NS),Canadian TSB,2
28530,2000-05-22,,Fast Rescue Craft with 2 POB operating from OSV HEBRON SEA capsized. Both crewmembers rescued and medevac'ed to Halifax.,0,NOVA SCOTIA (NS),Canadian TSB,2
28495,2000-05-03,,"Two fishermen went fishing on the first day of the lobster fishing season during North Westerly gale in a 22 foot open boat. The boat took on water over the bow and sank. One person made it to shore, the body of the other was found later.",1,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28495,2000-05-03,,"Two fishermen went fishing on the first day of the lobster fishing season during North Westerly gale in a 22 foot open boat. The boat took on water over the bow and sank. One person made it to shore, the body of the other was found later.",1,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28487,2000-04-30,,"While under tow of tug, towline to laden scrap metal barge broke.  Barge subsequently capsized.  Tug proceeded to Vancouver.  Barge secured and taken under tow to Seaspan International facility by another tug.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28487,2000-04-30,,"While under tow of tug, towline to laden scrap metal barge broke.  Barge subsequently capsized.  Tug proceeded to Vancouver.  Barge secured and taken under tow to Seaspan International facility by another tug.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28483,2000-04-28,,"While heading out from Heater Harbour, fishing vessel took on water over bow. A pump was used to keep water under control. Vessel returned safely to Heater Harbour.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28483,2000-04-28,,"While heading out from Heater Harbour, fishing vessel took on water over bow. A pump was used to keep water under control. Vessel returned safely to Heater Harbour.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28482,2000-04-30,,65 ft F/V with 3 pob taking on water. Proceeding to  safe haven.,0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28482,2000-04-30,,65 ft F/V with 3 pob taking on water. Proceeding to  safe haven.,0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28464,2000-04-21,,"60 ft Wood F/V with 5 POB taking on water between planks. Pump suctions clogged and not working. Underway to St Anthony, NFLD.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28464,2000-04-21,,"60 ft Wood F/V with 5 POB taking on water between planks. Pump suctions clogged and not working. Underway to St Anthony, NFLD.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28462,2000-04-19,,"F/V reported a ""small leak"" (taking on water).  Almost out of fuel and require a tow to port.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28462,2000-04-19,,"F/V reported a ""small leak"" (taking on water).  Almost out of fuel and require a tow to port.",0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28453,2000-04-18,,A Longliner with 5 POB taking on water in forecastle. Hove to for PM in ice. Pumps on board managing ingress of water. Two fishing vessels standing by for PM and intend to escort in the AM.,0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28447,2000-04-16,,"Fishing vessel ""LISA D. NO.1"" reported taking water.  Defective drain plug on sea suction.  Vessel returned to port.",0,QUEBEC (QC),Canadian TSB,0
28447,2000-04-16,,"Fishing vessel ""LISA D. NO.1"" reported taking water.  Defective drain plug on sea suction.  Vessel returned to port.",0,QUEBEC (QC),Canadian TSB,0
28444,2000-04-13,,"V/L reported taking on water. 05:44 pump keeping up with water. F/V ""PACIFIC FISHER"" and CCG ""PORT HARDY #1"" escorting across Nahwitti Bar. V/L under own power for Port Hardy.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28444,2000-04-13,,"V/L reported taking on water. 05:44 pump keeping up with water. F/V ""PACIFIC FISHER"" and CCG ""PORT HARDY #1"" escorting across Nahwitti Bar. V/L under own power for Port Hardy.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28442,2000-04-07,,"F/V reported to RCC, it was taking on water and requested escort to port.  Vessel escorted to shelburne.",0,N/A,Canadian TSB,0
28442,2000-04-07,,"F/V reported to RCC, it was taking on water and requested escort to port.  Vessel escorted to shelburne.",0,N/A,Canadian TSB,0
28426,2000-04-02,,"Barge FOREST PRINCE"" with a cargo of coal was taking on a small amount of water in a bow tank. V/L made arrangement with ""SS PACER"" to bring pumps. V/L pumped dry and proceeded to Tilbury Coal Dock, Fraser River.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28426,2000-04-02,,"Barge FOREST PRINCE"" with a cargo of coal was taking on a small amount of water in a bow tank. V/L made arrangement with ""SS PACER"" to bring pumps. V/L pumped dry and proceeded to Tilbury Coal Dock, Fraser River.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28425,2000-03-31,,"F/V report having a cracked rudder seal and taking water into hold.  Water pumped out and vessel proceeded to Dartmouth, NS.",0,N/A,Canadian TSB,0
28425,2000-03-31,,"F/V report having a cracked rudder seal and taking water into hold.  Water pumped out and vessel proceeded to Dartmouth, NS.",0,N/A,Canadian TSB,0
28415,2000-03-28,,Fish packer reportedly took on water and flooded the forecastle while the vessel was on the Goose Bank. Emergency pumps in use. Vessel subsequently escorted into Port Hardy.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
28415,2000-03-28,,Fish packer reportedly took on water and flooded the forecastle while the vessel was on the Goose Bank. Emergency pumps in use. Vessel subsequently escorted into Port Hardy.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
28408,2000-03-28,,"While on passage in British Columbia from Powell Anchorage to Waglisla, the small fishing vessel Lori Cathlynn heeled over to starboard, downflooded and capsized to starboard in Seaforth Channel off Campbell Island. The vessel was transporting herring spawn on kelp in tote boxes on deck. The weather and sea were relatively calm at the time. All five members of the crew were safely recovered.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28408,2000-03-28,,"While on passage in British Columbia from Powell Anchorage to Waglisla, the small fishing vessel Lori Cathlynn heeled over to starboard, downflooded and capsized to starboard in Seaforth Channel off Campbell Island. The vessel was transporting herring spawn on kelp in tote boxes on deck. The weather and sea were relatively calm at the time. All five members of the crew were safely recovered.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28408,2000-03-28,,"While on passage in British Columbia from Powell Anchorage to Waglisla, the small fishing vessel Lori Cathlynn heeled over to starboard, downflooded and capsized to starboard in Seaforth Channel off Campbell Island. The vessel was transporting herring spawn on kelp in tote boxes on deck. The weather and sea were relatively calm at the time. All five members of the crew were safely recovered.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28377,2000-01-29,,WHILE SECURED AT CHANGE ISLAND FERRY TERMINAL VESSEL DEVELOPED A LEAK IN THE E/R BOTTOM IN FRONT OF STBD. MAIN ENGINE. REPAIRED AND CLEARED TO PROCEED TO DRY DOCK.,0,NEWFOUNDLAND AND LABRADOR (NL),Canadian TSB,0
28368,2000-03-05,,F/V reported disabled taking on water and requested assistance.  Vessel towed to Meteghan N.S.  ,0,NOVA SCOTIA (NS),Canadian TSB,0
28368,2000-03-05,,F/V reported disabled taking on water and requested assistance.  Vessel towed to Meteghan N.S.  ,0,NOVA SCOTIA (NS),Canadian TSB,0
28361,2000-02-25,,"Tug enroute San Francisco towing empty barge ""SS 270"" was taking on small amount of water in forepeak. Proceeded to sheltered waters, found small crack in hull which they welded and proceeded on voyage.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28361,2000-02-25,,"Tug enroute San Francisco towing empty barge ""SS 270"" was taking on small amount of water in forepeak. Proceeded to sheltered waters, found small crack in hull which they welded and proceeded on voyage.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28343,2000-02-11,,Vessel taking on seawater while secured to a dock. No one aboard. CCG vessel POINT HENRY placed a portable pump aboard the vessel and pumped the hull dry.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
28343,2000-02-11,,Vessel taking on seawater while secured to a dock. No one aboard. CCG vessel POINT HENRY placed a portable pump aboard the vessel and pumped the hull dry.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
28342,2000-02-12,,"F/V reported LOUISA taking on water. RCC dispatched two vessels with pumps to assist. However, LOUISA was pumped out without assistance.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28342,2000-02-12,,"F/V reported LOUISA taking on water. RCC dispatched two vessels with pumps to assist. However, LOUISA was pumped out without assistance.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28340,2000-02-14,,Vessel reported disabled and taking on water while on the mooring in Westport about 1 cable from dock.  Vessel towed to wharf. ,0,NOVA SCOTIA (NS),Canadian TSB,0
28340,2000-02-14,,Vessel reported disabled and taking on water while on the mooring in Westport about 1 cable from dock.  Vessel towed to wharf. ,0,NOVA SCOTIA (NS),Canadian TSB,0
28335,2000-02-09,,"Equipment barge ""DMS 101"" attended by the tug ""Iron Mac II"" capsized while retrieving a 2.5 ton concrete boom anchor used in marking a log stowage area. The barge owner suffered a minor injury to his hip. The barge was anchored and later salvaged.",0,BRITISH COLUMBIA (BC),Canadian TSB,1
28335,2000-02-09,,"Equipment barge ""DMS 101"" attended by the tug ""Iron Mac II"" capsized while retrieving a 2.5 ton concrete boom anchor used in marking a log stowage area. The barge owner suffered a minor injury to his hip. The barge was anchored and later salvaged.",0,BRITISH COLUMBIA (BC),Canadian TSB,1
28335,2000-02-09,,"Equipment barge ""DMS 101"" attended by the tug ""Iron Mac II"" capsized while retrieving a 2.5 ton concrete boom anchor used in marking a log stowage area. The barge owner suffered a minor injury to his hip. The barge was anchored and later salvaged.",0,BRITISH COLUMBIA (BC),Canadian TSB,1
28332,2000-02-06,,F/V taking on water. Vessel proceeding under own power. Vessel escorted to Sandy Point and secured,0,N/A,Canadian TSB,0
28332,2000-02-06,,F/V taking on water. Vessel proceeding under own power. Vessel escorted to Sandy Point and secured,0,N/A,Canadian TSB,0
28321,2000-01-31,,"Barge SEASPAN #175 with load of scrap metal, under tow of tug SEASPAN VICTOR capsized in heavy weather.  Towed inverted to shipyard.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28321,2000-01-31,,"Barge SEASPAN #175 with load of scrap metal, under tow of tug SEASPAN VICTOR capsized in heavy weather.  Towed inverted to shipyard.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28239,1999-12-21,,CCGS taking water by an opening in the engine room.  Vessel had a 2 degree list.  Incoming water was stopped and situation under control. ,0,N/A,Canadian TSB,0
28239,1999-12-21,,CCGS taking water by an opening in the engine room.  Vessel had a 2 degree list.  Incoming water was stopped and situation under control. ,0,N/A,Canadian TSB,0
28230,1999-12-13,,"The engine room of the FV ""PARR FOUR"" flooded with seawater while at anchor. The crew stopped the ingress and the ""POINT HENRY"" supplied de-watering pumps before towing the vessel to Port Edwards. No injuries or pollution were reported.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28230,1999-12-13,,"The engine room of the FV ""PARR FOUR"" flooded with seawater while at anchor. The crew stopped the ingress and the ""POINT HENRY"" supplied de-watering pumps before towing the vessel to Port Edwards. No injuries or pollution were reported.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28211,1999-12-03,,"On 03 December, 1999 the F/V ""PETERS' PRIDE"" reported taking on water. CGC ""WESTPORT"" responded and took the vessel under tow. The vessel was safely secured at Meteghan, NS.",0,N/A,Canadian TSB,0
28204,1999-12-02,,"On 02 December,1999 the F/V ""SILVER EAGLE 1"" reported taking on water. The vessel was safely escorted to port by CMRA ""GLORY BOUND""",0,N/A,Canadian TSB,0
28204,1999-12-02,,"On 02 December,1999 the F/V ""SILVER EAGLE 1"" reported taking on water. The vessel was safely escorted to port by CMRA ""GLORY BOUND""",0,N/A,Canadian TSB,0
28203,1999-12-01,,"Whilst engaged in replacing oyster shells, oysters, mud and gravel in an area south of Bird Island in Malpeque Bay, the platform deck on which the load had been stowed collapsed, causing the vessel to develop a list. The skipper, in an attempt to reach a wharf on Lennox Island, turned the vessel and presented the lower side of the vessel to the weather.In a freshening breeze and choppy seas the listing vessel shipped water and capsized. One of the five persons on board drowned.There was no pollution reported.",1,N/A,Canadian TSB,0
28203,1999-12-01,,"Whilst engaged in replacing oyster shells, oysters, mud and gravel in an area south of Bird Island in Malpeque Bay, the platform deck on which the load had been stowed collapsed, causing the vessel to develop a list. The skipper, in an attempt to reach a wharf on Lennox Island, turned the vessel and presented the lower side of the vessel to the weather.In a freshening breeze and choppy seas the listing vessel shipped water and capsized. One of the five persons on board drowned.There was no pollution reported.",1,N/A,Canadian TSB,0
28201,1999-11-30,,"On 30 November, 1999 the F/V ""KING OF THE NIGHT"" reported taking on water. CCGC ""CLARKS HARBOUR"" towed the vessel to Woods Harbour.",0,N/A,Canadian TSB,0
28193,1999-11-29,,"On 29 November,1999 it was reported that the F/V ""OCEAN SURF 1"" was taking on water and in danger of sinking. CCG ""WESTPORT""  assisted and safely escorted the vessel to port.",0,N/A,Canadian TSB,0
28193,1999-11-29,,"On 29 November,1999 it was reported that the F/V ""OCEAN SURF 1"" was taking on water and in danger of sinking. CCG ""WESTPORT""  assisted and safely escorted the vessel to port.",0,N/A,Canadian TSB,0
28190,1999-10-29,,"On 29 November, 1999 the F/V ""KARLA & BROTHERS"" was reported abandoned and sinking. All crewmembers were safely picked up the F/V ""NICHOLAS & ALEX."" Salvage of submerged vessel attempted.",0,N/A,Canadian TSB,0
28190,1999-10-29,,"On 29 November, 1999 the F/V ""KARLA & BROTHERS"" was reported abandoned and sinking. All crewmembers were safely picked up the F/V ""NICHOLAS & ALEX."" Salvage of submerged vessel attempted.",0,N/A,Canadian TSB,0
28178,1999-11-20,,"Fishing vessel took on water. Vessel escorted by Coast Guard Vessel ""TANU"" into Shearwater for repairs.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28178,1999-11-20,,"Fishing vessel took on water. Vessel escorted by Coast Guard Vessel ""TANU"" into Shearwater for repairs.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28135,1999-11-05,,"On 05 November, 1999 the F/V ""BRIER DAWN"" reported taking on water. The CCGS ""SIR WILFRED GRENFELL"" was tasked and the vessel secured at Twillingate.",0,N/A,Canadian TSB,0
28135,1999-11-05,,"On 05 November, 1999 the F/V ""BRIER DAWN"" reported taking on water. The CCGS ""SIR WILFRED GRENFELL"" was tasked and the vessel secured at Twillingate.",0,N/A,Canadian TSB,0
28125,1999-10-29,,"Vessel reports taking on water in heavy seas. Before arrival of assistance, v/l reports situation under control and assistance v/l's stood down.  ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28125,1999-10-29,,"Vessel reports taking on water in heavy seas. Before arrival of assistance, v/l reports situation under control and assistance v/l's stood down.  ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
28124,1999-10-31,,Cooling water pipe leaking near sea suction causing ingress. Vessel escorted to Matane.,0,N/A,Canadian TSB,0
28124,1999-10-31,,Cooling water pipe leaking near sea suction causing ingress. Vessel escorted to Matane.,0,N/A,Canadian TSB,0
28122,1999-11-01,,"On 1 November 1999, the BOATMAN NO 5 sank alongside at section 115, Montreal Harbour.",0,N/A,Canadian TSB,0
28122,1999-11-01,,"On 1 November 1999, the BOATMAN NO 5 sank alongside at section 115, Montreal Harbour.",0,N/A,Canadian TSB,0
28104,1999-10-23,,"At about 1815 central daylight time, while gill netting in increasing wind conditions, an open commercial fishing vessel was swamped by a large cresting wave. The vessel lost its reserve buoyancy and quickly sank by the stern. Neither of the two men aboard was wearing a lifejacket or personal flotation device, nor were there any aboard. One person drowned.",1,MANITOBA (MB),Canadian TSB,0
28104,1999-10-23,,"At about 1815 central daylight time, while gill netting in increasing wind conditions, an open commercial fishing vessel was swamped by a large cresting wave. The vessel lost its reserve buoyancy and quickly sank by the stern. Neither of the two men aboard was wearing a lifejacket or personal flotation device, nor were there any aboard. One person drowned.",1,MANITOBA (MB),Canadian TSB,0
28104,1999-10-23,,"At about 1815 central daylight time, while gill netting in increasing wind conditions, an open commercial fishing vessel was swamped by a large cresting wave. The vessel lost its reserve buoyancy and quickly sank by the stern. Neither of the two men aboard was wearing a lifejacket or personal flotation device, nor were there any aboard. One person drowned.",1,MANITOBA (MB),Canadian TSB,0
28104,1999-10-23,,"At about 1815 central daylight time, while gill netting in increasing wind conditions, an open commercial fishing vessel was swamped by a large cresting wave. The vessel lost its reserve buoyancy and quickly sank by the stern. Neither of the two men aboard was wearing a lifejacket or personal flotation device, nor were there any aboard. One person drowned.",1,MANITOBA (MB),Canadian TSB,0
28103,1999-10-23,,"On October 22, 1999, a 22 foot aluminium workboat (Hydro Québec work boat) foundered just off the Forestville wharf in heavy North-Easterly winds and heavy waves.",0,N/A,Canadian TSB,0
28103,1999-10-23,,"On October 22, 1999, a 22 foot aluminium workboat (Hydro Québec work boat) foundered just off the Forestville wharf in heavy North-Easterly winds and heavy waves.",0,N/A,Canadian TSB,0
28096,1999-10-11,,"On October 11 1999, the small charter boat 26D-1673, while on a fishing trip on Lake St. Pierre(St. Lawrence river) flooded and capsized with 5 persons on board. Two persons were recovered from the water alive. Three bodies were also recovered.",3,N/A,Canadian TSB,2
28096,1999-10-11,,"On October 11 1999, the small charter boat 26D-1673, while on a fishing trip on Lake St. Pierre(St. Lawrence river) flooded and capsized with 5 persons on board. Two persons were recovered from the water alive. Three bodies were also recovered.",3,N/A,Canadian TSB,2
28096,1999-10-11,,"On October 11 1999, the small charter boat 26D-1673, while on a fishing trip on Lake St. Pierre(St. Lawrence river) flooded and capsized with 5 persons on board. Two persons were recovered from the water alive. Three bodies were also recovered.",3,N/A,Canadian TSB,2
28096,1999-10-11,,"On October 11 1999, the small charter boat 26D-1673, while on a fishing trip on Lake St. Pierre(St. Lawrence river) flooded and capsized with 5 persons on board. Two persons were recovered from the water alive. Three bodies were also recovered.",3,N/A,Canadian TSB,2
28096,1999-10-11,,"On October 11 1999, the small charter boat 26D-1673, while on a fishing trip on Lake St. Pierre(St. Lawrence river) flooded and capsized with 5 persons on board. Two persons were recovered from the water alive. Three bodies were also recovered.",3,N/A,Canadian TSB,2
28096,1999-10-11,,"On October 11 1999, the small charter boat 26D-1673, while on a fishing trip on Lake St. Pierre(St. Lawrence river) flooded and capsized with 5 persons on board. Two persons were recovered from the water alive. Three bodies were also recovered.",3,N/A,Canadian TSB,2
28093,1999-10-20,,"On 20 October, 1999 the F/V ""ISLAND BOUNTY"" was reported as being alongside at Westport. NS. after taking on water. CCGC ""WESTPORT"" assisted and pumped out the water from the vessel. ",0,N/A,Canadian TSB,0
28093,1999-10-20,,"On 20 October, 1999 the F/V ""ISLAND BOUNTY"" was reported as being alongside at Westport. NS. after taking on water. CCGC ""WESTPORT"" assisted and pumped out the water from the vessel. ",0,N/A,Canadian TSB,0
28080,1999-10-14,,"Whilst bound for an area off Parsboro, Minas Basin, Nova Scotia, to lay 160 metal lobster traps at the start of the fall lobster season, the fishing vessel ""JOSEPH & SISTERS"" encountered adverse weather and shipped a series of three waves. The heavily laden vessel capsized, throwing the unsecured lobster traps into the water. Four crew members who were sitting on top of the traps were also thrown into the water. After the vessel partially righted in a flooded condition, the owner/operator escaped from the wheelhouse. Soon after, the vessel sank stern first. Four of the five persons were rescued. One crew member is missing and presumed drowned. ",0,N/A,Canadian TSB,0
28080,1999-10-14,,"Whilst bound for an area off Parsboro, Minas Basin, Nova Scotia, to lay 160 metal lobster traps at the start of the fall lobster season, the fishing vessel ""JOSEPH & SISTERS"" encountered adverse weather and shipped a series of three waves. The heavily laden vessel capsized, throwing the unsecured lobster traps into the water. Four crew members who were sitting on top of the traps were also thrown into the water. After the vessel partially righted in a flooded condition, the owner/operator escaped from the wheelhouse. Soon after, the vessel sank stern first. Four of the five persons were rescued. One crew member is missing and presumed drowned. ",0,N/A,Canadian TSB,0
28080,1999-10-14,,"Whilst bound for an area off Parsboro, Minas Basin, Nova Scotia, to lay 160 metal lobster traps at the start of the fall lobster season, the fishing vessel ""JOSEPH & SISTERS"" encountered adverse weather and shipped a series of three waves. The heavily laden vessel capsized, throwing the unsecured lobster traps into the water. Four crew members who were sitting on top of the traps were also thrown into the water. After the vessel partially righted in a flooded condition, the owner/operator escaped from the wheelhouse. Soon after, the vessel sank stern first. Four of the five persons were rescued. One crew member is missing and presumed drowned. ",0,N/A,Canadian TSB,0
28080,1999-10-14,,"Whilst bound for an area off Parsboro, Minas Basin, Nova Scotia, to lay 160 metal lobster traps at the start of the fall lobster season, the fishing vessel ""JOSEPH & SISTERS"" encountered adverse weather and shipped a series of three waves. The heavily laden vessel capsized, throwing the unsecured lobster traps into the water. Four crew members who were sitting on top of the traps were also thrown into the water. After the vessel partially righted in a flooded condition, the owner/operator escaped from the wheelhouse. Soon after, the vessel sank stern first. Four of the five persons were rescued. One crew member is missing and presumed drowned. ",0,N/A,Canadian TSB,0
28076,1999-12-04,,"On 04 December, 1999 it was reported that the tug ""OSHAWA"" had sunk alongside. There was nobody on board at the time.",0,N/A,Canadian TSB,0
28076,1999-12-04,,"On 04 December, 1999 it was reported that the tug ""OSHAWA"" had sunk alongside. There was nobody on board at the time.",0,N/A,Canadian TSB,0
28073,1999-09-03,,The NORDIK EXPRESS was informed that a small tug had been sunk as the vessel left St. Augustin.  The vessel participated in the tug recovery on return.,0,N/A,Canadian TSB,0
28073,1999-09-03,,The NORDIK EXPRESS was informed that a small tug had been sunk as the vessel left St. Augustin.  The vessel participated in the tug recovery on return.,0,N/A,Canadian TSB,0
28064,1999-10-13,,F/V reports taking on water.  Pump dropped by Hercules aircraft. Water pumped out and vessel made it to port on own power. ,0,N/A,Canadian TSB,0
28049,1999-10-09,,"On 09 October, 1999 the F/V ""LISA MARIE"" reported taking on water. The CGA ""LADY DEBORAH"" towed ""LISA MARIE"" to Seaforth where it was pumped out.",0,N/A,Canadian TSB,0
28040,1999-10-04,,Fishing vessel with 2 POB took on water. CCGC Arrow Post FRC arrived on scene and vessel pumped out. Later found out that bilge pump auto-switch had failed.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
28040,1999-10-04,,Fishing vessel with 2 POB took on water. CCGC Arrow Post FRC arrived on scene and vessel pumped out. Later found out that bilge pump auto-switch had failed.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
28030,1999-09-26,,Fishpacker losing power and taking on water.  Vessel was taken under tow to Tofino.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
28030,1999-09-26,,Fishpacker losing power and taking on water.  Vessel was taken under tow to Tofino.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
28022,1999-09-26,,"On September 26, 1999 the F/V ""MARIO G."" reported taking on water and requested assistance. The CCGC ""SPINDRIFT"" assisted with a portable pump and the vessel was safely escorted to Louisbourg, NS.",0,N/A,Canadian TSB,0
28022,1999-09-26,,"On September 26, 1999 the F/V ""MARIO G."" reported taking on water and requested assistance. The CCGC ""SPINDRIFT"" assisted with a portable pump and the vessel was safely escorted to Louisbourg, NS.",0,N/A,Canadian TSB,0
28020,1999-09-23,,F/V reported taking on water.  Vessel escorted into Canso canal.,0,N/A,Canadian TSB,0
28020,1999-09-23,,F/V reported taking on water.  Vessel escorted into Canso canal.,0,N/A,Canadian TSB,0
27992,1999-09-14,,F/v reported taking on water quickly and sinking. Motor shut off due to amount of water onboard. Mayday broadcasted. Engine and pump restarted and situation brought under control.,0,N/A,Canadian TSB,0
27992,1999-09-14,,F/v reported taking on water quickly and sinking. Motor shut off due to amount of water onboard. Mayday broadcasted. Engine and pump restarted and situation brought under control.,0,N/A,Canadian TSB,0
27971,1999-09-06,,Ferry report reports leak in main suction line.  Tied up alongside.  Divers attempting to plug leak.,0,N/A,Canadian TSB,0
27971,1999-09-06,,Ferry report reports leak in main suction line.  Tied up alongside.  Divers attempting to plug leak.,0,N/A,Canadian TSB,0
27966,1999-09-04,,Vessel reported taking on water.  Vessel towed into Lismore.,0,N/A,Canadian TSB,0
27966,1999-09-04,,Vessel reported taking on water.  Vessel towed into Lismore.,0,N/A,Canadian TSB,0
27936,1999-08-25,,F/V reported taking on water. Vessel towed into Shippegan. Vessel was only partially afloat on arrival.,0,N/A,Canadian TSB,0
27936,1999-08-25,,F/V reported taking on water. Vessel towed into Shippegan. Vessel was only partially afloat on arrival.,0,N/A,Canadian TSB,0
27933,1999-08-23,,F/V taking on water.  Mayday broadcasted.  Crew was able to stop the leak and pump out the water.  Vessel made it to port on own power.  ,0,N/A,Canadian TSB,0
27933,1999-08-23,,F/V taking on water.  Mayday broadcasted.  Crew was able to stop the leak and pump out the water.  Vessel made it to port on own power.  ,0,N/A,Canadian TSB,0
27925,1999-08-18,,"Fishing vessel took on water.  Pumps keeping up.  CCG vessel tasked and escorted vessel into Government Dock, Campbell River.  ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
27925,1999-08-18,,"Fishing vessel took on water.  Pumps keeping up.  CCG vessel tasked and escorted vessel into Government Dock, Campbell River.  ",0,BRITISH COLUMBIA (BC),Canadian TSB,0
27903,1999-08-11,,Seiner took on water.  Initially own pumps could not keep up.  Hovercraft on scene to provide additional pumps.  Leaking stabilized and vessel proceeded on its own to Navy buoys in Vancouver Harbour.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
27903,1999-08-11,,Seiner took on water.  Initially own pumps could not keep up.  Hovercraft on scene to provide additional pumps.  Leaking stabilized and vessel proceeded on its own to Navy buoys in Vancouver Harbour.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
27903,1999-08-11,,Seiner took on water.  Initially own pumps could not keep up.  Hovercraft on scene to provide additional pumps.  Leaking stabilized and vessel proceeded on its own to Navy buoys in Vancouver Harbour.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
27903,1999-08-11,,Seiner took on water.  Initially own pumps could not keep up.  Hovercraft on scene to provide additional pumps.  Leaking stabilized and vessel proceeded on its own to Navy buoys in Vancouver Harbour.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
27898,1999-08-09,,Fishing vessel took on water through stuffing box into lazerette. Compartment bilge pump initially inoperative but crew member repaired it. Vessel pumped out and vessel proceeded to dock in Yellow Island.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
27898,1999-08-09,,Fishing vessel took on water through stuffing box into lazerette. Compartment bilge pump initially inoperative but crew member repaired it. Vessel pumped out and vessel proceeded to dock in Yellow Island.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
27898,1999-08-09,,Fishing vessel took on water through stuffing box into lazerette. Compartment bilge pump initially inoperative but crew member repaired it. Vessel pumped out and vessel proceeded to dock in Yellow Island.,0,BRITISH COLUMBIA (BC),Canadian TSB,0
27896,1999-08-09,,"Vessel caught gill net on bottom, girded and capsized.  All POB taken off.  No injuries.  Initial salvage attempt unsuccessful.",0,BRITISH COLUMBIA (BC),Canadian TSB,0
