# Regional decommissioning liability (facility-level, offshore-assets)
# source: data/modules/offshore_assets/curated/production_facilities.csv | 836 facilities
# modeled=421 (5 regions with a cost multiplier); unmodeled-region=414 excluded; unmapped-asset=1 (Artificial Island) excluded
# total modeled liability = $17.5B (17,505 MUSD)
# pricing: DecommissioningCostEstimator, weight=0, depth floor; FPSO base low-confidence
facility_id,facility_name,country,region,asset,host_type,water_depth_m,cost_musd
162,Pompano Production Platform,US,gom,jacket,Fixed Platform,393.0,3.965
186,Prince TLP,US,gom,tlp,TLP,454.0,40.908
253,PSVM FPSO,Angola,west_africa,fpso,FPSO,2000.0,92.0
627,Quad 204 FPSO,UK,ukcs,fpso,FPSO,400.0,100.0
188,Ram Powell TLP,US,gom,tlp,TLP,980.0,41.96
173,Red Hawk SPAR Platform,US,gom,spar,SPAR,1615.0,54.845
247,Rosa Subsea,Angola,west_africa,subsea_tree,Subsea Tieback,1350.0,2.3
413,Rosebank,UK,ukcs,fpso,FPSO,1128.0,100.0
155,Salsa FIxed Platform,US,gom,jacket,Fixed Platform,453.0,4.265
1700,Scapa Subsea,UK,ukcs,subsea_tree,Subsea Tieback,111.0,2.5
627,Schiehallion FPSO,UK,ukcs,fpso,FPSO,400.0,100.0
909,Schooner Platform,UK,ukcs,jacket,Fixed Platform,71.0,2.9438
1693,Scott Platform,UK,ukcs,jacket,Fixed Platform,142.0,3.3875
764,Seillean FPSO,Brazil,brazil,fpso,FPSO,1365.0,88.0
295,Sendje Ceiba FPSO,Equatorial Guinea,west_africa,fpso,FPSO,2200.0,92.0
133,Shenzi TLP,US,gom,tlp,TLP,1341.0,42.682
203,Sigyn Subsea,Norway,ncs,subsea_tree,Subsea Tieback,70.0,2.6
373,Skarv FPSO,Norway,ncs,fpso,FPSO,391.0,104.0
374,Sleipner A,Norway,ncs,jacket,Fixed Platform,80.0,3.12
374,Sleipner B,Norway,ncs,jacket,Fixed Platform,0.0,2.6
374,Sleipner T,Norway,ncs,jacket,Fixed Platform,0.0,2.6
223,Snohvit Subsea,Norway,ncs,subsea_tree,Subsea Tieback,340.0,2.6
204,Snorre A TLP,Norway,ncs,tlp,TLP,350.0,52.91
204,Snorre B Platform,Norway,ncs,fpso,Semisub,0.0,104.0
1296,SNX Platform,Angola,west_africa,jacket,Fixed Platform,118.0,2.9785
1113,Solan Platform,UK,ukcs,jacket,Fixed Platform,135.0,3.3438
1463,South Morecambe Cluster,UK,ukcs,jacket,Fixed Platform,32.0,2.7
1296,South Nemba,Angola,west_africa,jacket,Fixed Platform,119.0,2.9842
140,South Timbalier 301,US,gom,jacket,Fixed Platform,101.0,2.505
419,Spectacular Bid (GB 72 Platform A),US,gom,jacket,Fixed Platform,541.0,4.705
1338,SS349 A Platform,US,gom,jacket,Fixed Platform,113.0,2.565
128,Stampede TLP,US,gom,fpso,FPU/FPS,1000.0,80.0
208,Statfjord A Platform,Norway,ncs,jacket,Fixed Platform,150.0,3.575
208,Statfjord B Platform,Norway,ncs,jacket,Fixed Platform,0.0,2.6
208,Statfjord C Platform,Norway,ncs,jacket,Fixed Platform,290.0,4.485
350,Stones FPSO,US,gom,fpso,FPSO,2896.0,80.0
127,Tahiti Spar Platform,US,gom,spar,SPAR,1339.0,54.017
1324,Takula Platform,Angola,west_africa,jacket,Fixed Platform,57.0,2.6277
1146,Tartan Platform,UK,ukcs,jacket,Fixed Platform,138.0,3.3625
407,Telemark Hub (ATP Titan),US,gom,fpso,FPU/FPS,1201.0,80.0
1038,TEN FPSO,Ghana,west_africa,fpso,FPSO,1425.0,92.0
1503,Tern Alpha Platform,UK,ukcs,jacket,Fixed Platform,167.0,3.5438
1312,Thistle Alpha Platform,UK,ukcs,jacket,Fixed Platform,160.0,3.5
368,Thunder Hawk FPU,US,gom,fpso,FPU/FPS,1850.0,80.0
129,Thunder Horse Semisub,US,gom,fpso,Semisub,1841.0,80.0
1392,Tiffany Platform,UK,ukcs,jacket,Fixed Platform,0.0,2.5
539,Tombua Landana Compliant Tower,Angola,west_africa,jacket,Compliant Tower,369.0,4.4217
1028,Triton FPSO,UK,ukcs,fpso,FPSO,91.0,100.0
770,Troll A,Norway,ncs,jacket,Fixed Platform,340.0,4.81
770,Troll B & C,Norway,ncs,fpso,Semisub,350.0,104.0
353,Tubular Bells FPS,US,gom,fpso,FPU/FPS,1311.0,80.0
479,Tune South (Sor) Subsea,Norway,ncs,subsea_tree,Subsea Tieback,0.0,2.6
479,Tune Subsea,Norway,ncs,subsea_tree,Subsea Tieback,95.0,2.6
317,Tyrihans Subsea,Norway,ncs,subsea_tree,Subsea Tieback,270.0,2.6
433,Ula Fixed Platform,Norway,ncs,jacket,Fixed Platform,70.0,3.055
318,Unity FSO,Nigeria,west_africa,fpso,FSO/FSU,40.0,92.0
149,Ursa TLP,US,gom,tlp,TLP,1222.0,42.444
341,Usan FPSO,Nigeria,west_africa,fpso,FPSO,750.0,92.0
1104,Valemon Fixed Platform,Norway,ncs,jacket,Fixed Platform,0.0,2.6
462,Valhall Flank North Platform,Norway,ncs,jacket,Fixed Platform,70.0,3.055
462,Valhall Flank South Platform,Norway,ncs,jacket,Fixed Platform,70.0,3.055
462,Valhall Production Platform,Norway,ncs,jacket,Fixed Platform,70.0,3.055
462,Valhall Quarters Platform,Norway,ncs,jacket,Fixed Platform,70.0,3.055
462,Valhall Water Injection Platform,Norway,ncs,jacket,Fixed Platform,70.0,3.055
664,Varg Wellhead Platform,Norway,ncs,jacket,Fixed Platform,84.0,3.146
379,Veer Prem MOPU,Nigeria,west_africa,fpso,Semisub,41.0,92.0
549,Veslefrikk A,Norway,ncs,jacket,Fixed Platform,185.0,3.8025
549,Veslefrikk B,Norway,ncs,fpso,Semisub,185.0,104.0
1197,Viking Complex,UK,ukcs,jacket,Fixed Platform,0.0,2.5
138,Virgo Platform,US,gom,jacket,Fixed Platform,345.0,3.725
379,Virini Prem FSO,Nigeria,west_africa,fpso,FSO/FSU,41.0,92.0
198,Visund A,Norway,ncs,fpso,FPU/FPS,335.0,104.0
198,Visund North Subsea,Norway,ncs,subsea_tree,Subsea Tieback,0.0,2.6
902,Voyageur Spirit FPSO,UK,ukcs,fpso,FPSO,91.0,100.0
963,West Sole Alpha Platform,UK,ukcs,jacket,Fixed Platform,0.0,2.5
1107,Western Isles FPSO,UK,ukcs,fpso,FPSO,155.0,100.0
954,Who Dat FPS,US,gom,fpso,FPU/FPS,914.0,80.0
865,WHP-2,Brazil,brazil,jacket,Fixed Platform,105.0,2.7775
639,Xikomba FPSO,Angola,west_africa,fpso,FPSO,1341.0,92.0
873,Yme MOPU,Norway,ncs,jacket,MOPU,93.0,3.2045
622,Yoho FSO,Nigeria,west_africa,fpso,FSO/FSU,95.0,92.0
622,Yoho Wellhead Platform I,Nigeria,west_africa,jacket,Fixed Platform,95.0,2.8462
622,Yoho Wellhead Platform II,Nigeria,west_africa,jacket,Fixed Platform,95.0,2.8462
1417,York Platform,UK,ukcs,jacket,Fixed Platform,43.0,2.7687
359,Yttergryta Subsea,Norway,ncs,subsea_tree,Subsea Tieback,297.0,2.6
