Plan Control Code,Plan Control Number,Bottom Lease Number,Bottom Area,Bottom Block,Surface Lease Number,Surface Area,Surface Block,Operator Name,Operator Number,Plan Type Code,Received Date,Plan Final Action Code,Plan Final Action Date,NEPA Determination Type,Water Depth (feet),Plan
R,5973,G19996,MC,  773,G19996,MC,  773,Eni US Operating Co. Inc.,02782,DOCD,9/16/2013,A,2/28/2014,,5610,
S,7634,,,,G24980,ST,  220,Walter Oil & Gas Corporation,00730,DOCD,9/13/2013,A,1/22/2014,CERA,156,
S,7634,G24980,ST,  220,G24980,ST,  220,Walter Oil & Gas Corporation,00730,DOCD,9/13/2013,A,1/22/2014,CERA,156,
S,7633,G32207,SS,  290,G02923,SS,  291,Monforte Exploration L.L.C.,02800,DOCD,9/12/2013,A,7/3/2014,CERA,240,
S,7632,G21642,EI,  302,G21642,EI,  302,Talos ERT LLC,02899,DOCD,9/10/2013,A,2/26/2014,CERA,223,
N,9750,,,,G34334,ST,  110,"Contango Operators, Inc.",02503,EP,9/10/2013,A,2/3/2014,CERA,62,
R,5971,,,,G00989,EI,  276,Union Oil Company of California,00003,DOCD,9/10/2013,A,11/14/2013,CERA,51,
R,5970,G09867,MC,  777,G09866,MC,  776,BP Exploration & Production Inc.,02481,DOCD,9/10/2013,A,5/30/2014,SEAD,5636,
N,9750,G34334,ST,  110,G34334,ST,  110,"Contango Operators, Inc.",02503,EP,9/10/2013,A,2/3/2014,CERA,62,
R,5970,G09866,MC,  776,G19997,MC,  775,BP Exploration & Production Inc.,02481,DOCD,9/10/2013,A,5/30/2014,SEAD,5655,
S,7632,,,,G21642,EI,  302,Talos ERT LLC,02899,DOCD,9/10/2013,A,2/26/2014,CERA,223,
N,9748,G32218,ST,  232,G32218,ST,  232,"LLOG Exploration Offshore, L.L.C.",02058,DOCD,9/6/2013,A,3/5/2014,CERA,220,
N,9749,G25170,GC,  583,G25174,GC,  627,BP Exploration & Production Inc.,02481,EP,9/6/2013,A,4/24/2014,,4398,
N,9749,G25170,GC,  583,G25174,GC,  627,BP Exploration & Production Inc.,02481,EP,9/6/2013,A,4/24/2014,,4416,
N,9749,G25174,GC,  627,G25174,GC,  627,BP Exploration & Production Inc.,02481,EP,9/6/2013,A,4/24/2014,,4416,
N,9749,G25174,GC,  627,G25174,GC,  627,BP Exploration & Production Inc.,02481,EP,9/6/2013,A,4/24/2014,,4398,
N,9748,,,,G32218,ST,  232,"LLOG Exploration Offshore, L.L.C.",02058,DOCD,9/6/2013,A,3/5/2014,CERA,220,
N,9748,G31416,ST,  231,G32218,ST,  232,"LLOG Exploration Offshore, L.L.C.",02058,DOCD,9/6/2013,A,3/5/2014,CERA,220,
N,9747,G33129,MP,  284,G13662,MP,  283,"W & T Offshore, Inc.",01284,DOCD,9/5/2013,X,1/21/2014,CERA,300,
R,5969,00166,ST,   23, 00387,ST,   24,Chevron U.S.A. Inc.,00078,DOCD,9/3/2013,A,11/5/2013,,52,
N,9746,G25234,WR,   96,G31943,WR,   95,Shell Offshore Inc.,00689,EP,8/30/2013,A,11/8/2013,CERA,5860,
R,5968,G32822,EB,  645,G32822,EB,  645,Anadarko Petroleum Corporation,00981,EP,8/30/2013,A,11/20/2013,,3798,
N,9745,G34032,HI,A 588,G34032,HI,A 588,Walter Oil & Gas Corporation,00730,EP,8/27/2013,A,1/16/2014,,492,
N,9745,G34032,HI,A 588,,HI,A 581,Walter Oil & Gas Corporation,00730,EP,8/27/2013,A,1/16/2014,,430,
R,5967,G01228,SS,  208,G01228,SS,  208,"Hilcorp Energy GOM, LLC",03041,DOCD,8/26/2013,A,9/13/2013,CERA,95,
R,5966,,,,G04109,SM,   99,Chevron U.S.A. Inc.,00078,DOCD,8/26/2013,X,8/1/2015,,162,
S,7631,G15563,GC,  237,G15563,GC,  237,Talos ERT LLC,02899,DOCD,8/26/2013,A,5/21/2014,SEAD,2431,
S,7629,00456,ST,  130, 00457,ST,  131,"Arena Offshore, LP",02628,EP,8/20/2013,A,11/26/2013,,141,
S,7630,,,, 00385,WD,   29,"EPL Oil & Gas, LLC",02266,DOCD,8/20/2013,A,1/27/2014,CERA,43,
S,7630,00385,WD,   29, 00385,WD,   29,"EPL Oil & Gas, LLC",02266,DOCD,8/20/2013,A,1/27/2014,CERA,43,
N,9744,G34813,EI,   23,G34813,EI,   23,"Contango Operators, Inc.",02503,EP,8/20/2013,A,1/23/2014,CERA,14,
S,7629,00457,ST,  131, 00457,ST,  131,"Arena Offshore, LP",02628,EP,8/20/2013,A,11/26/2013,,141,
N,9744,,,,G34813,EI,   23,"Contango Operators, Inc.",02503,EP,8/20/2013,A,1/23/2014,CERA,14,
N,9744,G31483,EI,   23,G34183,EI,   23,"Contango Operators, Inc.",02503,EP,8/20/2013,A,1/23/2014,CERA,14,
S,7628,00829,SS,  219, 00829,SS,  219,"Renaissance Offshore, LLC",03209,DOCD,8/19/2013,A,4/24/2014,,112,
S,7628,00829,SS,  219, 00829,SS,  219,"Renaissance Offshore, LLC",03209,DOCD,8/19/2013,A,4/24/2014,,116,
N,9743,G31752,GC,  807,G31752,GC,  807,Chevron U.S.A. Inc.,00078,EP,8/15/2013,A,12/3/2013,SEAD,4623,
N,9743,G31752,GC,  807,G31752,GC,  807,Chevron U.S.A. Inc.,00078,EP,8/15/2013,A,12/3/2013,SEAD,4847,
N,9743,G31752,GC,  807,G31752,GC,  807,Chevron U.S.A. Inc.,00078,EP,8/15/2013,A,12/3/2013,SEAD,4957,
N,9743,G31752,GC,  807,G31752,GC,  807,Chevron U.S.A. Inc.,00078,EP,8/15/2013,A,12/3/2013,SEAD,4971,
N,9743,G31752,GC,  807,G31752,GC,  807,Chevron U.S.A. Inc.,00078,EP,8/15/2013,A,12/3/2013,SEAD,5223,
N,9742,,,,G34025,HI,  117,"Castex Offshore, Inc.",02970,DOCD,8/14/2013,A,12/13/2013,,50,
S,7627,00462,ST,  135, 00463,ST,  151,"Arena Offshore, LP",02628,EP,8/14/2013,A,12/19/2013,,135,
S,7627,00463,ST,  151, 00463,ST,  151,"Arena Offshore, LP",02628,EP,8/14/2013,A,12/19/2013,,133,
N,9742,G34025,HI,  117,G34025,HI,  117,"Castex Offshore, Inc.",02970,DOCD,8/14/2013,A,12/13/2013,,50,
R,5964,G33335,KC,  642,G33335,KC,  642,Repsol E&P USA Inc.,02805,EP,8/13/2013,A,9/19/2013,CERA,6116,
R,5964,G33335,KC,  642,G33335,KC,  642,Repsol E&P USA Inc.,02805,EP,8/13/2013,A,9/19/2013,CERA,6161,
R,5965,,,,G30654,GA,A 155,"Peregrine Oil & Gas, LP",02777,DOCD,8/13/2013,A,11/29/2013,CERA,180,
R,5964,G33341,KC,  686,G33341,KC,  686,Repsol E&P USA Inc.,02805,EP,8/13/2013,A,9/19/2013,CERA,6213,
R,5963,00166,ST,   23, 00166,ST,   23,Chevron U.S.A. Inc.,00078,DOCD,8/12/2013,A,10/31/2013,,53,
R,5962,,,,G01634,MP,  144,Chevron U.S.A. Inc.,00078,DOCD,8/12/2013,A,9/24/2013,CERA,206,
N,9741,G32257,MP,  244,G32257,MP,  244,Tana Exploration Company LLC,02579,DOCD,8/9/2013,X,9/30/2013,CERA,202,
N,9739,G32500,GC,  393,G32500,GC,  393,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/31/2014,SEAD,3813,
N,9740,G27740,KC,  627,G27740,KC,  627,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/14/2014,,8569,
N,9740,G27748,KC,  671,G27748,KC,  671,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/14/2014,,8885,
N,9740,G27740,KC,  627,G27740,KC,  627,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/14/2014,,8746,
N,9740,G27748,KC,  671,G27748,KC,  671,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/14/2014,,8856,
N,9739,G31717,GC,  349,G31717,GC,  349,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/31/2014,SEAD,3758,
N,9739,G32500,GC,  393,G32500,GC,  393,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/31/2014,SEAD,3828,
N,9739,G32500,GC,  393,G32500,GC,  393,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/31/2014,SEAD,3817,
N,9739,G32500,GC,  393,G32500,GC,  393,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/31/2014,SEAD,3800,
N,9740,G27740,KC,  627,G27740,KC,  627,Freeport-McMoRan Oil & Gas LLC,03280,EP,8/9/2013,A,3/14/2014,,8794,
R,5961,,,,G02917,SS,   68,Apache Corporation,00105,DOCD,8/8/2013,X,9/25/2013,CERA,30,
N,9738,,,,G34332,ST,   72,Walter Oil & Gas Corporation,00730,EP,8/5/2013,A,11/4/2013,CERA,64,
N,9738,G34332,ST,   72,G34332,ST,   72,Walter Oil & Gas Corporation,00730,EP,8/5/2013,A,11/4/2013,CERA,64,
S,7626,G07976,MC,  935,G07975,MC,  934,Shell Offshore Inc.,00689,DOCD,8/2/2013,A,11/19/2013,SEAD,3875,
R,5956,G28030,MC,  948,G28030,MC,  948,"Noble Energy, Inc.",02237,EP,8/1/2013,A,10/18/2013,,6083,
S,7624,G24102,MC,  727,G24102,MC,  727,"Deep Gulf Energy II, LLC",02985,DOCD,7/31/2013,A,6/11/2014,SEAD,4823,
R,5955,G28022,MC,  698,G28022,MC,  698,"Noble Energy, Inc.",02237,EP,7/31/2013,A,9/19/2013,CERA,7247,
S,7625,G22296,EB,  690,G22296,EB,  690,Anadarko Petroleum Corporation,00981,EP,7/31/2013,A,11/26/2013,SEAD,4004,
S,7624,G24107,MC,  771,G24102,MC,  727,"Deep Gulf Energy II, LLC",02985,DOCD,7/31/2013,A,6/11/2014,SEAD,4829,
R,5955,G28022,MC,  698,G28022,MC,  698,"Noble Energy, Inc.",02237,EP,7/31/2013,A,9/19/2013,CERA,7233,
R,5954,G33171,MC,  721,G33171,MC,  721,Shell Offshore Inc.,00689,EP,7/31/2013,A,8/19/2013,SEA,3688,
R,5955,G28021,MC,  697,G28022,MC,  698,"Noble Energy, Inc.",02237,EP,7/31/2013,A,9/19/2013,CERA,7232,
S,7625,G22295,EB,  689,G22295,EB,  689,Anadarko Petroleum Corporation,00981,EP,7/31/2013,A,11/26/2013,SEAD,3448,
S,7624,G24102,MC,  727,G24102,MC,  727,"Deep Gulf Energy II, LLC",02985,DOCD,7/31/2013,A,6/11/2014,SEAD,4833,
S,7625,G22296,EB,  690,G22296,EB,  690,Anadarko Petroleum Corporation,00981,EP,7/31/2013,A,11/26/2013,SEAD,4160,
S,7625,G22295,EB,  689,G22295,EB,  689,Anadarko Petroleum Corporation,00981,EP,7/31/2013,A,11/26/2013,SEAD,3540,
S,7624,G24107,MC,  771,G24102,MC,  727,"Deep Gulf Energy II, LLC",02985,DOCD,7/31/2013,A,6/11/2014,SEAD,4818,
S,7625,G22296,EB,  690,G22296,EB,  690,Anadarko Petroleum Corporation,00981,EP,7/31/2013,A,11/26/2013,SEAD,3860,
R,5955,G28021,MC,  697,G28021,MC,  697,"Noble Energy, Inc.",02237,EP,7/31/2013,A,9/19/2013,CERA,7223,
S,7625,G22295,EB,  689,G22295,EB,  689,Anadarko Petroleum Corporation,00981,EP,7/31/2013,A,11/26/2013,SEAD,3477,
N,9737,G32145,VR,  179,G32145,VR,  179,"Energy XXI GOM, LLC",02375,DOCD,7/30/2013,A,10/23/2013,CERA,103,
N,9737,,,,G32145,VR,  179,"Energy XXI GOM, LLC",02375,DOCD,7/30/2013,A,10/23/2013,CERA,103,
R,5953,G34468,MC,  983,G34468,MC,  983,Apache Deepwater LLC,03165,EP,7/29/2013,A,8/23/2013,SEA,4326,
N,9736,G34400,CA,   28,G34400,CA,   28,"W & T Offshore, Inc.",01284,EP,7/26/2013,C,9/26/2014,CERA,35,
N,9736,,,,G34400,CA,   28,"W & T Offshore, Inc.",01284,EP,7/26/2013,C,9/26/2014,CERA,35,
R,5950,00386,ST,   23, 00386,ST,   23,Chevron U.S.A. Inc.,00078,DOCD,7/25/2013,A,9/12/2013,,45,
S,7623,G18421,GC,  683,G18421,GC,  683,Anadarko Petroleum Corporation,00981,EP,7/25/2013,A,11/8/2013,SEAD,4485,
R,5949,G24980,ST,  220,G24980,ST,  220,Walter Oil & Gas Corporation,00730,DOCD,7/24/2013,A,7/25/2013,CERA,156,
R,5948,,,,G16623,MC,  582,Murphy Exploration & Production Company - USA,02647,DOCD,7/22/2013,A,9/25/2013,CERA,2223,
S,7622,G32399,GB,  122,G32399,GB,  122,Anadarko Petroleum Corporation,00981,EP,7/19/2013,X,12/5/2013,,885,
S,7622,G31601,GB,   78,G31601,GB,   78,Anadarko Petroleum Corporation,00981,EP,7/19/2013,X,12/5/2013,,885,
S,7622,G32398,GB,  121,G32398,GB,  121,Anadarko Petroleum Corporation,00981,EP,7/19/2013,X,12/5/2013,,876,
S,7622,G31600,GB,   77,G31600,GB,   77,Anadarko Petroleum Corporation,00981,EP,7/19/2013,X,12/5/2013,,871,
R,5946,00390,GI,   26, 00390,GI,   26,Chevron U.S.A. Inc.,00078,DOCD,7/19/2013,A,8/19/2013,,43,
R,5944,G25780,KC,   93,G25780,KC,   93,BP Exploration & Production Inc.,02481,EP,7/18/2013,A,8/28/2013,,4860,
R,5945,G32771,HI,A 469,G32771,HI,A 469,Walter Oil & Gas Corporation,00730,EP,7/18/2013,A,10/25/2013,CERA,205,
R,5944,G25792,KC,  292,G25780,KC,   93,BP Exploration & Production Inc.,02481,EP,7/18/2013,A,8/28/2013,,4860,
N,9735,G24060,MC,  215,G24060,MC,  215,Eni US Operating Co. Inc.,02782,EP,7/17/2013,C,12/20/2013,SEAD,6250,
N,9735,G24060,MC,  215,G24060,MC,  215,Eni US Operating Co. Inc.,02782,EP,7/17/2013,C,12/20/2013,SEAD,6000,
R,5937,,,,G01027,SS,  246,Eni US Operating Co. Inc.,02782,DOCD,7/16/2013,A,9/13/2013,,162,
R,5939,,,,G01029,SS,  248,Eni US Operating Co. Inc.,02782,DOCD,7/16/2013,A,9/12/2013,,180,
R,5941,,,,G20084,GC,  653,BHP Billiton Petroleum (GOM) Inc.,02010,DOCD,7/16/2013,A,11/25/2013,CERA,4400,
R,5942,G09866,MC,  776,G09866,MC,  776,BP Exploration & Production Inc.,02481,DOCD,7/16/2013,A,10/4/2013,CERA,5736,
R,5942,G09867,MC,  777,G09867,MC,  777,BP Exploration & Production Inc.,02481,DOCD,7/16/2013,A,10/4/2013,CERA,5724,
R,5942,,,,G09868,MC,  778,BP Exploration & Production Inc.,02481,DOCD,7/16/2013,A,10/4/2013,CERA,6500,
R,5940,G33364,WR,  282,G33364,WR,  282,Exxon Mobil Corporation,00276,EP,7/16/2013,A,8/12/2013,SEA,6354,
R,5943,,,,,GC,  613,BHP Billiton Petroleum (GOM) Inc.,02010,DOCD,7/16/2013,X,12/13/2013,CERA,4232,
R,5942,G09867,MC,  777,G09866,MC,  776,BP Exploration & Production Inc.,02481,DOCD,7/16/2013,A,10/4/2013,CERA,5400,
R,5938,,,,G01029,SS,  248,Eni US Operating Co. Inc.,02782,DOCD,7/16/2013,A,9/4/2013,,188,
R,5928,,,,G01027,SS,  246,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,8/19/2013,CERA,166,
R,5931,,,,G12142,EW,  921,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,12/2/2013,,1700,
R,5929,,,,G01172,VR,  313,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,1/30/2014,CERA,214,
R,5935,,,,G10910,MP,  281,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,X,8/19/2013,CERA,307,
R,5934,,,,G01028,SS,  247,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,1/30/2014,CERA,225,
R,5933,,,,G07049,GC,  254,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,9/24/2013,,3294,
R,5924,G01373,BS,   56, 00374,MP,   41,Chevron U.S.A. Inc.,00078,DOCD,7/15/2013,A,7/31/2013,,40,
R,5926,,,,G01172,VR,  313,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,11/14/2013,CERA,202,
R,5927,,,,G12761,WC,  130,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,9/26/2013,CERA,35,
R,5925,,,,G22510,WC,  100,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,10/30/2013,CERA,43,
R,5932,,,,G01088,WD,   89,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,9/3/2013,,210,
R,5930,,,,G01172,VR,  313,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,11/14/2013,,213,
R,5936,,,,G19996,MC,  773,Eni US Operating Co. Inc.,02782,DOCD,7/15/2013,A,11/14/2013,CERA,5610,
R,5923,G16987,WR,  425,G16987,WR,  425,Petrobras America Inc.,01207,EP,7/11/2013,A,7/29/2013,SEA,8843,
N,9734,G33109,ST,  127,G33109,ST,  127,Walter Oil & Gas Corporation,00730,DOCD,7/9/2013,A,10/21/2013,CERA,84,
N,9734,,,,G33109,ST,  127,Walter Oil & Gas Corporation,00730,DOCD,7/9/2013,A,10/21/2013,CERA,84,
N,9733,G34257,VR,  262,G03328,VR,  261,"Apache Shelf, Inc.",02851,DOCD,7/8/2013,A,12/18/2013,CERA,153,
S,7621,G05868,MC,  809,G05868,MC,  809,Shell Offshore Inc.,00689,EP,7/5/2013,A,9/27/2013,SEAD,3635,
S,7621,G05868,MC,  809,G05868,MC,  809,Shell Offshore Inc.,00689,EP,7/5/2013,A,9/27/2013,SEAD,3637,
N,9732,G34242,EC,  352,G34242,EC,  352,Walter Oil & Gas Corporation,00730,EP,7/5/2013,C,9/13/2013,CERA,279,
S,7621,G05868,MC,  809,G05868,MC,  809,Shell Offshore Inc.,00689,EP,7/5/2013,A,9/27/2013,SEAD,3640,
S,7621,G05868,MC,  809,G05868,MC,  809,Shell Offshore Inc.,00689,EP,7/5/2013,A,9/27/2013,SEAD,3615,
S,7621,G05868,MC,  809,G05868,MC,  809,Shell Offshore Inc.,00689,EP,7/5/2013,A,9/27/2013,SEAD,3645,
S,7621,G06981,MC,  808,G05868,MC,  809,Shell Offshore Inc.,00689,EP,7/5/2013,A,9/27/2013,SEAD,3645,
R,5920,G01083,WD,   73,G01083,WD,   73,"Energy XXI GOM, LLC",02375,DOCD,7/3/2013,A,8/1/2013,,168,
R,5921,,,,G27306,MC,  736,Murphy Exploration & Production Company - USA,02647,DOCD,7/3/2013,A,8/13/2013,CERA,6050,
R,5918,,,, 00827,SS,  209,"Hilcorp Energy GOM, LLC",03041,DOCD,7/2/2013,A,8/2/2013,CERA,84,
R,5919,G33757,MC,  782,G33757,MC,  782,"Noble Energy, Inc.",02237,EP,7/2/2013,A,8/13/2013,SEA,6576,
R,5916,G02280,SM,  130,G02280,SM,  130,Talos ERT LLC,02899,DOCD,7/1/2013,A,8/12/2013,,213,
R,5913,,,,G10910,MP,  281,Eni US Operating Co. Inc.,02782,DOCD,6/28/2013,A,10/18/2013,CERA,307,
R,5914,G11080,GC,  644,G11081,GC,  645,Freeport-McMoRan Oil & Gas LLC,03280,DOCD,6/28/2013,A,2/20/2014,,4340,
R,5912,G32293,EW,  920,G32293,EW,  920,"Century Exploration New Orleans, LLC",02714,EP,6/28/2013,X,7/31/2014,SEAD,1498,
R,5914,G11081,GC,  645,G11081,GC,  645,Freeport-McMoRan Oil & Gas LLC,03280,DOCD,6/28/2013,A,2/20/2014,,4340,
R,5915,00182,WD,   70, 00838,WD,   71,GOM Shelf LLC,02451,DOCD,6/28/2013,A,8/1/2013,,146,
R,5910,00026,WD,   30, 00026,WD,   30,"Energy XXI GOM, LLC",02375,DOCD,6/27/2013,A,8/19/2013,,43,
R,5909,,,,G16500,MP,  138,McMoRan Oil & Gas LLC,02312,DOCD,6/26/2013,A,7/30/2013,CERA,146,
S,7620,G33088,SM,  166,G17921,VR,  356,"EnVen Energy Ventures, LLC",03026,DOCD,6/25/2013,A,11/5/2013,CERA,262,
R,5908,,,,G07462,GB,  260,Hess Corporation,00059,DOCD,6/24/2013,A,11/6/2013,CERA,1648,
S,7619,G25098,MC,  546,G25098,MC,  546,Eni US Operating Co. Inc.,02782,DOCD,6/24/2013,A,1/23/2014,CERA,2599,
R,5906,G31613,GB,  213,,GB,  169,Apache Deepwater LLC,03165,EP,6/19/2013,A,10/30/2013,SEAD,923,
R,5906,G31613,GB,  213,,GB,  169,Apache Deepwater LLC,03165,EP,6/19/2013,A,10/30/2013,SEAD,919,
R,5906,G31613,GB,  213,,GB,  169,Apache Deepwater LLC,03165,EP,6/19/2013,A,10/30/2013,SEAD,821,
R,5904,,,,G04109,SM,   99,Chevron U.S.A. Inc.,00078,DOCD,6/17/2013,A,8/2/2013,CERA,162,
R,5903,,,,G12119,VK,  786,Chevron U.S.A. Inc.,00078,DOCD,6/14/2013,A,11/7/2013,CERA,1754,
N,9730,G23736,WC,   73,G23736,WC,   73,Walter Oil & Gas Corporation,00730,DOCD,6/14/2013,A,10/29/2013,,39,
N,9731,,,,G34216,WC,  210,Apache Corporation,00105,EP,6/14/2013,A,8/29/2013,CERA,55,
N,9731,G34216,WC,  210,G34216,WC,  210,Apache Corporation,00105,EP,6/14/2013,A,8/29/2013,CERA,55,
R,5902,G32606,KC,  163,G32606,KC,  163,"Cobalt International Energy, L.P.",02873,DOCD,6/12/2013,A,8/2/2013,SEA,5550,
R,5900,G24055,MC,  209,G32303,MC,  208,"LLOG Exploration Offshore, L.L.C.",02058,EP,6/11/2013,A,7/9/2013,SEA,4645,
R,5898,G01146,VR,  245,G01146,VR,  245,Chevron U.S.A. Inc.,00078,DOCD,6/11/2013,A,6/25/2013,,133,
R,5899,,,,,MC,  365,Eni US Operating Co. Inc.,02782,DOCD,6/11/2013,X,11/29/2013,,619,
R,5897,G01146,VR,  245,G01146,VR,  245,Chevron U.S.A. Inc.,00078,DOCD,6/11/2013,A,8/21/2013,,134,
R,5896,G17878,EC,  344,G17878,EC,  344,Talos ERT LLC,02899,DOCD,6/10/2013,A,9/16/2013,,308,
R,5917,G17010,WR,  715,G17010,WR,  715,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/14/2013,CERA,7040,
R,5917,G17010,WR,  715,G17010,WR,  715,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/14/2013,CERA,7041,
R,5917,G17015,WR,  758,G17015,WR,  758,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/14/2013,CERA,7078,
R,5917,G17016,WR,  759,G17016,WR,  759,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/14/2013,CERA,7060,
R,5917,G17016,WR,  759,G17016,WR,  759,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/14/2013,CERA,7063,
R,5917,G17016,WR,  759,G17016,WR,  759,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/14/2013,CERA,7082,
R,5917,G17016,WR,  759,G17016,WR,  759,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/14/2013,CERA,7112,
N,9729,G33657,ST,  125,G33657,ST,  125,"EPL Oil & Gas, LLC",02266,EP,6/7/2013,A,11/18/2013,CERA,105,
R,5907,G16942,WR,   29,G16942,WR,   29,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/12/2013,CERA,5183,
R,5917,,,,G32703,WR,  718,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/14/2013,CERA,6950,
N,9729,,,,G33657,ST,  125,"EPL Oil & Gas, LLC",02266,EP,6/7/2013,A,11/18/2013,CERA,105,
R,5907,,,,G16942,WR,   29,Chevron U.S.A. Inc.,00078,DOCD,6/7/2013,A,8/12/2013,CERA,5185,
R,5895,G32822,EB,  645,G32822,EB,  645,Anadarko Petroleum Corporation,00981,EP,6/6/2013,A,7/16/2013,SEA,3798,
N,9728,G33706,EW,  833,G33706,EW,  833,Walter Oil & Gas Corporation,00730,EP,6/5/2013,A,12/12/2013,SEAD,1310,
N,9728,G33706,EW,  833,G33706,EW,  833,Walter Oil & Gas Corporation,00730,EP,6/5/2013,A,12/12/2013,SEAD,1200,
N,9727,G34458,MC,  768,G34461,MC,  812,Shell Offshore Inc.,00689,EP,6/4/2013,C,8/30/2013,SEAD,4469,
N,9727,G34461,MC,  812,G34461,MC,  812,Shell Offshore Inc.,00689,EP,6/4/2013,C,8/30/2013,SEAD,4459,
N,9727,G34461,MC,  812,G34461,MC,  812,Shell Offshore Inc.,00689,EP,6/4/2013,C,8/30/2013,SEAD,4475,
N,9727,G34461,MC,  812,G34461,MC,  812,Shell Offshore Inc.,00689,EP,6/4/2013,C,8/30/2013,SEAD,4479,
N,9727,G34461,MC,  812,G34461,MC,  812,Shell Offshore Inc.,00689,EP,6/4/2013,C,8/30/2013,SEAD,4469,
R,5892,G32145,VR,  179,G32145,VR,  179,"Energy XXI GOM, LLC",02375,EP,6/3/2013,A,6/5/2013,CERA,103,
N,9726,,,,G33644,SS,  170,Bois d' Arc Exploration LLC,03093,DOCD,6/3/2013,A,1/8/2014,CERA,60,
R,5892,,,,G32145,VR,  179,"Energy XXI GOM, LLC",02375,EP,6/3/2013,A,6/5/2013,CERA,103,
R,5893,,,,G08684,SM,   90,Chevron U.S.A. Inc.,00078,DOCD,6/3/2013,A,9/17/2013,,162,
N,9726,G33644,SS,  170,G33644,SS,  170,Bois d' Arc Exploration LLC,03093,DOCD,6/3/2013,A,1/8/2014,CERA,60,
N,9725,G27994,MC,  118,G27994,MC,  118,ConocoPhillips Company,00056,EP,6/3/2013,C,7/25/2013,SEAD,3090,
N,9724,G32181,EI,  305,G32181,EI,  305,"Tarpon Operating & Development, L.L.C.",02477,DOCD,5/31/2013,X,7/10/2013,CERA,226,
N,9723,,,,G33609,SM,    6,Byron Energy Inc.,02961,EP,5/31/2013,A,10/30/2013,CERA,68,
N,9723,G33609,SM,    6,G33609,SM,    6,Byron Energy Inc.,02961,EP,5/31/2013,A,10/30/2013,CERA,68,
N,9724,,,,G32181,EI,  305,"Tarpon Operating & Development, L.L.C.",02477,DOCD,5/31/2013,X,7/10/2013,CERA,226,
S,7618,G16965,WR,  206,G16965,WR,  206,Petrobras America Inc.,01207,DOCD,5/30/2013,X,2/11/2015,,8149,
R,5891,G33122,MP,   39,G33122,MP,   39,Talos Gulf Coast Offshore LLC,03201,EP,5/29/2013,X,3/25/2014,CERA,69,
R,5891,,,,G33122,MP,   39,Talos Gulf Coast Offshore LLC,03201,EP,5/29/2013,X,3/25/2014,CERA,69,
R,5890,,,,G14221,GB,  172,Shell Offshore Inc.,00689,EP,5/28/2013,A,7/3/2013,SEA,693,
R,5890,,,,G11455,GB,  128,Shell Offshore Inc.,00689,EP,5/28/2013,A,7/3/2013,SEA,705,
S,7617,G21817,GC,  768,G21817,GC,  768,Anadarko Petroleum Corporation,00981,DOCD,5/23/2013,A,8/1/2013,CERA,5256,
R,5889,00386,ST,   23, 00387,ST,   24,Chevron U.S.A. Inc.,00078,DOCD,5/23/2013,A,6/27/2013,,52,
N,9722,G16549,VK,  822,G10942,VK,  823,"W & T Energy VI, LLC",03148,DOCD,5/22/2013,A,2/17/2017,CERA,1130,
N,9722,G10942,VK,  823,G10942,VK,  823,"W & T Energy VI, LLC",03148,DOCD,5/22/2013,A,2/17/2017,CERA,1130,
N,9722,G33698,VK,  779,G10942,VK,  823,"W & T Energy VI, LLC",03148,DOCD,5/22/2013,A,2/17/2017,CERA,1130,
