Segment Number,Originating Id Name,Originating Area Code,Originating Block Number,Originating Lease Number,Receiving Id Name,Receiving Area Code,Receiving Block Number,Receiving Lease Number,Approved Date,Install Date,Status Code,Pipeline Size Code,ROW Number,Production Code,Facility Operator,Operator,Max Water Depth (feet),Max Allowable Operating Pressure,Cathodic Code,Pipeline ROW Seg Status Code,Pipeline ROW Permit,ROW Holder,Segment Length,Authority,Bidirectional,Out of Service Date,Temporary Cessation of Operations Date,Flush and Fill Date,Abandonment Approval Date,Abandonment Date
6758,Platform A,EC,  220,G03323,"12"" SSTI",VR,  241,G03132,8/15/1983,10/29/1983,ABN,12,G05263,G/C,01834,Talos Petroleum LLC,122,1253,A,RELQ,01834,Talos Petroleum LLC,36341,DOI,N,4/16/2005,,4/9/2011,11/16/2010,4/9/2011
6759,F/S,GI,   18, 00032,A,WD,   73,G01083,6/21/1983,8/11/1983,ACT,06,G05264,GAS,03151,"Cox Operating, L.L.C.",170,1357,A,ACT,03226,"Energy XXI Pipeline II, LLC ",98802,DOT,Y,,,,,
6760,A,MC,  280,G03818,A,SP,   93,G01619,7/26/1983,11/5/1983,COMB,10,G05265,GAS,00276,Exxon Mobil Corporation,980,1480,A,EXP,00276,Exxon Mobil Corporation,0,DOI,N,8/11/2005,,,,
6761,F/S,EI,   33,G27906,20-inch SSTI,EI,   34,G31363,6/30/1983,8/3/1983,REM,08,G05262,GAS,03255,"High Point Gas Gathering, L.L.C.",9,1300,A,RELQ,03255,"High Point Gas Gathering, L.L.C.",6388,DOT,N,6/20/2015,,,1/31/2018,7/7/2019
6762,A,BA,A 132,G02664,20 SSTI,BA,A 104,UNLEASE,8/17/1983,10/3/1983,ABN,08,G05261,GAS,00011,"Transcontinental Gas Pipe Line Company, LLC",204,1440,A,RELQ,00011,"Transcontinental Gas Pipe Line Company, LLC",20722,DOT,N,,,,12/28/1994,
6763,A,BA,A   7,G04558,"20"" SSTI",BA,  541,UNLEASE,8/23/1983,9/27/1983,ABN,12,G05260,GAS,00011,"Transcontinental Gas Pipe Line Company, LLC",125,1440,A,RELQ,00011,"Transcontinental Gas Pipe Line Company, LLC",15524,DOT,N,6/1/2002,6/1/2007,1/16/2004,12/15/2004,3/26/2005
6764,platform C,SP,   49,G02177,12 SSTI,SP,   50,G09699,7/8/1983,9/18/1983,ABN,06,G05259,GAS,00014,"Tennessee Gas Pipeline Company, L.L.C.",460,1300,A,RELQ,00014,"Tennessee Gas Pipeline Company, L.L.C.",4884,DOT,N,,,,6/30/2005,8/16/2008
6765,#08,EI,   93, 00228,#06,EI,   93, 00228,,1/18/1983,COMB,03,,BLKO,01689,Murphy Exploration & Production Company,0,1460,C,,,,0,DOI,N,,,,,
6766,H,SS,  114, 00064,#47,SS,  114, 00064,6/30/1983,10/18/1985,ABN,06,,LIFT,01834,Talos Petroleum LLC,53,1440,A,,,,306,DOI,N,,,,6/1/2004,11/27/2006
6767,D,SM,   33, 00780,10 SSTI,SM,   31,UNLEASE,6/8/1983,7/13/1983,COMB,06,G05256,OIL,00105,Apache Corporation,92,1,A,RELQ,00105,Apache Corporation,0,DOI,N,,,,,
6768,03 SSTI,PL,   20, 00074,#09,PL,   20, 00074,5/26/1983,2/25/1983,ABN,02-03,,LIFT,01764,"Energy Resource Technology, Inc.",35,1440,C,,,,1200,DOI,N,,,,,8/24/1992
6769,#09,PL,   20, 00074,B,PL,   19, 00073,5/26/1983,11/26/1987,COMB,03,,BLKO,01764,"Energy Resource Technology, Inc.",0,1440,C,,,,0,DOI,N,,,,,
6770,B,SM,  236,G04437,A,SM,  236,G04437,7/18/1983,9/16/1983,ABN,08,,BLKG,01551,"Devon SFS Operating, Inc.",24,1440,A,,,,13212,DOI,N,,,,3/21/2000,5/9/2001
6771,F,SS,  183, 00821,C,SS,  182,G01019,6/16/1983,6/24/1983,ABN,04,,BLKO,00078,Chevron U.S.A. Inc.,66,1176,A,,,,6070,DOI,N,12/26/2003,,7/23/2005,11/16/2009,7/15/2010
6772,F,SS,  183,G01019,C,SS,  182, 00821,6/16/1983,6/24/1983,ABN,04,,BLKG,00078,Chevron U.S.A. Inc.,66,1440,A,,,,6070,DOI,N,8/7/2005,,8/25/2006,11/16/2009,7/15/2010
6773,A,EI,   46,G04222,10 SSTI,EI,   46,G04222,6/30/1983,1/13/1984,ABN,06,,GAS,00011,"Transcontinental Gas Pipe Line Company, LLC",23,1440,A,,,,511,DOT,N,,,,,
6774,Platform D,EI,  105, 00797,Platform A,EI,  105, 00797,7/7/1983,7/9/1983,ABN,08,,BLKO,00105,Apache Corporation,26,275,A,,,,2746,DOI,N,6/11/2013,,,2/7/2014,7/11/2014
6775,#105,SM,  212, 00310,CAP,SM,  217, 00310,7/7/1983,8/22/1983,A/C,04,,BLKG,00078,Chevron U.S.A. Inc.,15,3120,A,,,,2137,DOI,N,,,,1/29/1998,2/19/1998
6776,#105D,SM,  212, 00310,CAP,SM,  217, 00310,7/7/1983,8/23/1983,A/C,04,,BLKG,00078,Chevron U.S.A. Inc.,15,3145,A,,,,1952,DOI,N,12/30/1995,,,3/23/1998,2/19/1998
6777,#01,WC,  211,G11771,C,WC,  212,G04758,7/18/1983,7/22/1983,ABN,06,,BLKG,00967,Atlantic Richfield Company,55,1748,A,,,,6286,DOI,N,,,,10/19/1989,10/17/1990
6778,C,WC,  212,G04758,12 SSTI,WC,  211,G11771,7/7/1983,7/10/1983,ABN,10,,GAS,00002,Atlantic Richfield Company,55,1440,A,,,,8643,DOT,N,,,,9/24/2001,10/1/2001
6779,A,HI,A 552,G03949,20 SSTI,HI,A 552,G03949,7/18/1983,6/5/1985,ABN,10,,GAS,00011,"Transcontinental Gas Pipe Line Company, LLC",260,1440,A,,,,5085,DOT,N,11/30/2006,,,11/13/2008,12/6/2008
6780,#03,WC,   67,G03256,A,WC,   67,G03256,8/23/1983,,ABN,04,,BLKO,02237,"Noble Energy, Inc.",32,1440,A,,,,7243,DOI,N,,,,,
6781,A,WC,   67,G03256,04 SSTI,WC,   67,G03256,8/23/1983,9/2/1983,ABN,04,,OIL,02237,"Noble Energy, Inc.",32,1440,A,,,,8099,DOI,N,,,,8/24/1988,9/3/1988
6782,B,SS,  233,G01528,16 SSTI,SS,  233,G01528,8/9/1983,8/29/1983,ACT,08,G28763,GAS,00011,"Transcontinental Gas Pipe Line Company, LLC",125,1440,A,ACT,00011,"Transcontinental Gas Pipe Line Company, LLC",249,DOT,N,,,,,
6783,A,EC,  231,G02038,D,EC,  232,G16256,7/18/1983,8/29/1983,ABN,04,G16067,LIFT,01764,"Energy Resource Technology, Inc.",125,5000,A,RELQ,01764,"Energy Resource Technology, Inc.",8144,DOI,N,,,,2/28/2002,5/27/2002
6784,#05,EI,   63, 00425,B,EI,   63, 00425,7/27/1983,7/30/1983,ABN,04,,BLKG,00064,Hunt Oil Company,24,6000,A,,,,3230,DOI,N,11/14/2002,,,5/6/2004,5/27/2004
6785,#100,SM,  236,G04437,A,SM,  236,G04437,8/11/1983,,CNCL,08,,BLKG,00078,Chevron U.S.A. Inc.,21,1440,A,,,,9959,DOI,N,,,,,
6786,#21,WC,   48,G01438,#04,WC,   48,G01438,7/25/1983,8/8/1983,ABN,03,,BLKG,00078,Chevron U.S.A. Inc.,25,5000,A,,,,1709,DOI,N,2/6/2002,,,5/19/2003,6/19/2003
6787,#04,WC,   48,G01438,#21,WC,   48,G01438,7/25/1983,8/7/1983,ABN,02,,SPLY,00078,Chevron U.S.A. Inc.,25,320,A,,,,1709,DOI,N,2/6/2002,,,5/19/2003,6/19/2003
6788,20-inch SSTI,SS,  168, 00819,26-inch SSTI,SS,  144, 00815,5/3/1968,9/3/1983,ACT,20,G01702,GAS,03203,"Kinetica Partners, LLC",53,1200,A,ACT,03203,"Kinetica Partners, LLC",26459,DOT,N,,,,,
6789,Platform A,WC,  215,G04087,16 SSTI,WC,  222,G03269,8/30/1983,10/26/1983,ABN,10,G05925,G/C,00011,"Transcontinental Gas Pipe Line Company, LLC",42,1200,A,RELQ,00011,"Transcontinental Gas Pipe Line Company, LLC",17591,DOT,N,11/6/2008,,,10/24/2012,7/8/2009
6790,B,MI,  623,G03088,F/S,MI,  624,G03306,8/16/1983,3/15/1984,ABN,24,G05267,GAS,01796,"Manta Ray Gathering Company, L.L.C.",80,1350,A,RELQ,01796,"Manta Ray Gathering Company, L.L.C.",19281,DOT,N,4/25/2015,9/8/2016,6/30/2016,5/10/2017,8/10/2017
6791,A,MI,  624,G03306,24 SSTI,MI,  623,G03088,8/4/1983,3/16/1984,ABN,10,G05268,GAS,02263,El Paso Offshore Gathering & Transmission Company,79,1350,A,RELQ,02263,El Paso Offshore Gathering & Transmission Company,1723,DOT,N,,,,4/2/2003,5/20/2003
6792,A,SM,  236,G04437,A,SM,  217, 00310,11/8/1983,6/19/1984,ABN,12,,GAS,00078,Chevron U.S.A. Inc.,20,1440,A,,,,42396,DOI,Y,12/7/2010,,,7/12/2011,10/3/2011
6793,#07,VR,   31,G02868,A,VR,   31,G02868,8/11/1983,5/21/1984,ABN,03,,BLKG,00078,Chevron U.S.A. Inc.,14,8960,A,,,,2607,DOI,N,,,,,
6794,#08,VR,   31,G02868,A,VR,   31,G02868,8/11/1983,5/16/1984,ABN,04,,BLKG,00078,Chevron U.S.A. Inc.,14,3360,A,,,,6268,DOI,N,,,,7/21/1998,7/18/1998
6795,#09,VR,   31,G02868,A,VR,   31,G02868,8/11/1983,6/22/1984,ABN,04,,BLKG,00078,Chevron U.S.A. Inc.,14,3280,A,,,,6244,DOI,N,,,,12/28/1994,2/7/1995
6796,H,EI,  208, 00577,E,EI,  208, 00577,8/22/1983,10/25/1983,ABN,08,,BLKG,01935,"Pioneer Natural Resources USA, Inc.",100,1440,A,,,,5180,DOI,N,1/27/1998,,5/30/2000,8/23/2006,8/31/2006
6797,F,WC,  150, 00254,A,WC,  149, 00253,9/1/1983,1/13/1984,ABN,04,,BLKG,02025,"EP Energy E&P Company, L.P.",40,2160,A,,,,3608,DOI,N,9/17/2005,,9/9/2006,6/16/2010,8/13/2010
6798,A,EC,  231,G02038,A,VR,  265,G01955,7/22/1983,11/6/1983,ABN,06,G05927,OIL,01764,"Energy Resource Technology, Inc.",160,2120,A,RELQ,01764,"Energy Resource Technology, Inc.",122124,DOI,N,,,,6/15/2006,10/6/2007
6799,Flange,SS,  233,G01528,16-inch SSTI,SS,  232,G03413,8/30/1983,11/14/1983,ACT,16,G05926,GAS,00011,"Transcontinental Gas Pipe Line Company, LLC",134,1440,A,ACT,00011,"Transcontinental Gas Pipe Line Company, LLC",7249,DOT,N,,,,,
6800,Cais #4,MP,   64,G04909,A,MP,   64,G04909,7/18/1983,7/28/1983,ACT,03,,BLKO,03520,"Sanare Energy Partners, LLC",50,2160,A,,,,1775,DOT,N,,,,,
6801,Flange,MP,   64,G04909,A,MP,   64,G04909,7/18/1983,7/18/1983,ABN,03,,BLKO,02672,Medco Energi US LLC,50,2000,A,,,,2295,DOI,N,11/28/2008,,,7/16/2009,8/16/2009
6802,#10,MP,   64,G04909,A,MP,   64,G04909,7/18/1983,7/30/1983,ACT,04,,INJ,03520,"Sanare Energy Partners, LLC",50,4956,A,,,,1517,DOT,N,,,,,
6803,Cut End,SM,   50, 00788,Cut End,SM,   51, 00789,4/14/1983,5/6/1983,ABN,04-06,,COND,00078,Chevron U.S.A. Inc.,110,1440,A,,,,8458,DOT,N,,,,,10/5/1993
6804,#01D,EI,   62, 00424,B,EI,   63, 00425,8/11/1983,,ABN,02-03,,BLKG,00064,Hunt Oil Company,24,4200,A,,,,5985,DOI,N,5/19/1990,,5/20/1990,11/30/2006,12/16/2006
6805,#2,EI,   77, 00466,B,EI,   63, 00425,7/27/1983,11/8/1981,ABN,04,G25359,BLKG,03035,Fieldwood Energy Offshore LLC,24,6000,A,RELQ,03035,Fieldwood Energy Offshore LLC,9968,DOI,N,8/16/2015,3/31/2017,,4/17/2019,4/24/2019
6806,#02,EI,   63, 00425,B,EI,   63, 00425,8/4/1983,7/27/1983,ABN,03,,BLKG,00064,Hunt Oil Company,24,5600,A,,,,1510,DOI,N,5/14/1998,,,5/6/2004,5/27/2004
6807,#5,EI,   77, 00466,B,EI,   63, 00425,8/4/1983,11/8/1981,COMB,04,G25360,BLKG,03035,Fieldwood Energy Offshore LLC,22,4800,A,RELQ,03035,Fieldwood Energy Offshore LLC,0,DOI,N,1/28/2013,,5/24/2014,7/8/2014,
6808,#2A,EI,   77, 00466,B,EI,   63, 00425,8/4/1983,11/8/1981,ABN,03,G25355,BLKG,00064,Hunt Oil Company,24,5000,A,RELQ,00064,Hunt Oil Company,11164,DOI,N,,12/31/2004,,10/3/2006,12/16/2006
6809,#04,EI,   77, 00466,B,EI,   63, 00425,8/4/1983,7/27/1983,ABN,03,,BLKG,00064,Hunt Oil Company,24,5680,A,,,,13832,DOI,N,4/29/1994,,12/9/2000,12/6/2006,12/23/2006
6810,#11,EI,   93, 00228,A,EI,   90, 00229,8/18/1983,8/13/1983,ABN,03,,BLKO,01284,"W & T Offshore, Inc.",25,1440,A,,,,6528,DOI,N,2/16/1999,,,8/23/2001,8/27/2001
6811,#25,SS,  108, 00814,#23,SS,  108, 00814,8/13/1983,8/13/1983,ABN,04,,LIFT,03041,"Hilcorp Energy GOM, LLC",25,1440,A,,,,2195,DOI,N,,,,3/28/1995,3/17/2007
6812,#05,VR,  131, 00775,CF,VR,  131, 00775,7/27/1983,9/5/1983,ABN,03,,BLKG,01834,Talos Petroleum LLC,60,3600,A,,,,2339,DOI,N,,,,10/19/2006,7/28/2008
6813,CF,VR,  131, 00775,#05,VR,  131, 00775,7/27/1983,9/3/1983,ABN,02,,SPLY,01834,Talos Petroleum LLC,60,720,A,,,,2171,DOI,N,,,,10/19/2006,7/28/2008
6814,#12,EI,   93, 00228,#11,EI,   93, 00228,9/23/1983,2/17/1984,ABN,03,,BLKO,01284,"W & T Offshore, Inc.",25,1440,A,,,,1312,DOI,N,1/5/1999,,,8/23/2001,8/27/2001
6815,A,VR,  122,G03807,12 SSTI,VR,  119, 00487,9/2/1983,11/5/1983,COMB,08,G05933,GAS,01831,Louis Dreyfus Natural Gas Corp.,78,1440,A,RELQ,01831,Louis Dreyfus Natural Gas Corp.,0,DOI,N,,,,,
6816,#38,SS,   93, 00063,#35,SS,   93, 00063,9/23/1983,9/20/1983,ABN,04,,BLKO,01689,Murphy Exploration & Production Company,21,1440,A,,,,1050,DOI,N,,,,,
6817,#35,SS,   93, 00063,#38,SS,   93, 00063,9/23/1983,9/15/1983,ABN,03,,LIFT,01689,Murphy Exploration & Production Company,21,1440,A,,,,1050,DOI,N,,,,,
6818,Platform A,EI,  337,G03332,Platform B,EI,  330,G02115,6/20/1984,8/25/1984,ACT,06,G05932,GAS,03295,Fieldwood Energy LLC,270,1440,A,ACT,03295,Fieldwood Energy LLC,21567,DOI,N,,,,,
6819,Platform A,EI,  337,G03332,14-inch SSTI,EI,  330,G02115,6/20/1984,8/25/1984,ACT,06,G05931,OIL,03295,Fieldwood Energy LLC,270,1440,A,ACT,03295,Fieldwood Energy LLC,24562,DOI,N,,,,,
6820,#04,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/20/1983,REM,04,,BLKG,00035,Kerr-McGee Corporation,53,1440,A,,,,7248,DOI,N,,,,,
6821,#04D,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/20/1983,REM,04,,BLKG,00035,Kerr-McGee Corporation,53,1440,A,,,,7248,DOI,N,,,,,
6822,#02,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/19/1983,REM,04,,BLKG,00035,Kerr-McGee Corporation,53,1440,A,,,,5208,DOI,N,,,,,
6823,#02D,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/20/1983,REM,04,,BLKG,00035,Kerr-McGee Corporation,53,1440,A,,,,5208,DOI,N,,,,,
6824,#03,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/20/1983,REM,04,,BLKG,00035,Kerr-McGee Corporation,53,2064,A,,,,5292,DOI,N,,,,,
6825,#03D,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/20/1983,REM,04,,BLKG,00035,Kerr-McGee Corporation,53,2080,A,,,,5292,DOI,N,,,,,
6826,#06,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/20/1983,ABN,04,,BLKG,00035,Kerr-McGee Corporation,53,1440,A,,,,2276,DOI,N,,,,5/13/1993,5/14/1993
6827,#06D,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/20/1983,ABN,04,,BLKG,00035,Kerr-McGee Corporation,53,1440,A,,,,2276,DOI,N,,,,5/13/1993,5/14/1993
6828,#08,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/20/1983,REM,04,,BLKG,00035,Kerr-McGee Corporation,53,1440,A,,,,9224,DOI,N,,,,,
6829,#08D,ST,   34,G04842,A,ST,   34,G04842,9/2/1983,10/20/1983,REM,04,,BLKG,00035,Kerr-McGee Corporation,53,1440,A,,,,9224,DOI,N,,,,,
6830,A,ST,   34,G04842,FLARE,ST,   34,G04842,9/2/1983,,REM,10,,FLG,00035,Kerr-McGee Corporation,48,0,A,,,,300,DOI,N,,,,,
6831,CAP,WD,   68, 00180,A,WD,   67,G04894,9/9/1983,10/9/1983,ABN,06,,SPLY,00001,Conoco Inc.,109,1440,A,,,,16945,DOI,N,,,,7/18/1990,8/31/1990
6832,A,WD,   67,G04894,08 SSTI,WD,   67,G04894,9/9/1983,10/6/1983,ABN,06,,OIL,00001,Conoco Inc.,109,1440,A,,,,2492,DOI,N,,,,7/18/1990,8/28/1990
6833,A,WD,   67,G04894,FLARE,WD,   67,G04894,9/9/1983,10/6/1983,ABN,12,,FLG,00001,Conoco Inc.,109,0,A,,,,600,DOI,N,,,,7/18/1990,8/22/1990
6834,J,SM,  108, 00792,08 SSTI,SM,  107,G02130,8/22/1983,9/6/1983,ABN,06,G05929,OIL,00001,Conoco Inc.,190,1440,A,RELQ,00001,Conoco Inc.,1357,DOI,N,,,,,
6835,A,VR,  381,G04216,A,VR,  397,G03141,9/7/1983,10/27/1983,ABN,06,G05930,GAS,01026,Mesa Operating Limited Partnership,397,1440,A,RELQ,01026,Mesa Operating Limited Partnership,22035,DOT,N,,,,,
6836,A,WC,  478,G03969,10 SSTI,WC,  478,G03969,9/27/1983,7/9/1984,ABN,06,,GAS,00282,"Dominion Exploration & Production, Inc.",123,1440,A,,,,2844,DOI,N,,,,2/26/1996,
6837,A,MU,A  90,UNLEASE,24 SSTI,MU,  738,UNLEASE,12/1/1983,,CNCL,12,G05934,GAS,00010,"Southern Natural Gas Company, L.L.C.",190,1250,A,RELQ,00010,"Southern Natural Gas Company, L.L.C.",48838,DOT,N,,,,,
6838,#21,SS,  108, 00814,#19,SS,  108, 00814,8/11/1983,8/11/1983,ABN,04,,BLKO,00078,Chevron U.S.A. Inc.,22,1140,A,,,,1765,DOI,N,,,,,
6839,A,EC,  129,UNLEASE,A,VR,  122,G03807,9/23/1983,8/29/1984,COMB,06,G12724,GAS,00014,"Tennessee Gas Pipeline Company, L.L.C.",80,1440,A,RELQ,00014,"Tennessee Gas Pipeline Company, L.L.C.",0,DOT,N,,,,,
6840,#02,VR,   30,G04785,A,VR,   30,G04785,10/13/1983,3/7/1984,ABN,03,,BLKG,00078,Chevron U.S.A. Inc.,15,1440,A,,,,6379,DOI,N,,,,10/23/2001,11/4/2001
6841,#04,VR,   30,G04785,A,VR,   30,G04785,10/13/1983,3/2/1984,COMB,03,,BLKG,00078,Chevron U.S.A. Inc.,15,1440,A,,,,0,DOI,N,,,,,
6842,A,VR,   30,G04785,CAP,VR,   30,G04785,10/13/1983,3/13/1984,A/C,12,,BLKG,00078,Chevron U.S.A. Inc.,15,1440,A,,,,1000,DOI,N,3/13/1991,,,4/11/2000,6/26/2000
6843,A,VR,  146,G03394,08 SSTI,VR,  146,G03394,9/14/1983,10/3/1983,ABN,06,,GAS,02409,"Maritech Resources, Inc.",84,1440,A,,,,491,DOI,N,6/1/2007,,,9/22/2008,12/18/2008
6844,#09,SS,  114, 00064,#48,SS,  114, 00064,8/18/1983,1/31/1985,COMB,02-03,,LIFT,01689,Murphy Exploration & Production Company,45,1440,A,,,,0,DOI,N,,,,,
6845,#02,SS,  117, 00065,A,SS,  114, 00064,8/18/1983,3/22/1984,ABN,04-03,,BLKO,01689,Murphy Exploration & Production Company,53,2160,A,,,,3325,DOI,N,,,,,
6846,E Platform,ST,   27,G01442,FLARE,ST,   27,G01442,9/26/1983,10/3/1983,REM,06,,FLG,02375,"Energy XXI GOM, LLC",54,0,A,,,,681,DOI,N,11/30/1991,,,4/7/1997,7/18/2010
6847,F,EI,  278,G03996,E,EI,  257,G02103,9/1/1983,9/12/1983,ABN,03,G12321,BLKG,00105,Apache Corporation,172,5000,A,RELQ,00105,Apache Corporation,12723,DOI,N,,,,11/1/1996,10/5/1997
6848,B,MC,   63,G03206,A,SP,   49,G02177,1/13/1984,4/29/1984,ABN,08,G05935,BLKG,00078,Chevron U.S.A. Inc.,550,1440,A,RELQ,00078,Chevron U.S.A. Inc.,21006,DOI,N,2/9/2004,,,5/10/2005,9/15/2006
6849,Platform A,EI,  182,G04452,12-inch SSTI,EI,  174,G03782,9/15/1983,6/10/1984,OUT,06,G05938,OIL,02628,"Arena Offshore, LP",88,1440,A,ACT,02628,"Arena Offshore, LP",9319,DOI,N,11/1/2017,11/1/2019,,,
6850,A,SM,  160,G04433,16 SSTI,SM,  156,G04220,10/7/1983,1/7/1984,ACT,06,G05937,GAS,02970,"Castex Offshore, Inc.",,1306,A,ACT,02970,"Castex Offshore, Inc.",23289,DOI,,,9/30/2016,,,
6851,A,SS,  207,G01523,C,SS,  216,G01524,7/11/1997,,ACT,04,,LIFT,00105,Apache Corporation,110,1440,R,,,,9407,DOI,Y,,,,,
6852,Platform A,EI,  315,G02112,14-inch SSTI,EI,  330,G02115,10/7/1983,2/24/1984,ACT,06,G13447,OIL,03295,Fieldwood Energy LLC,252,1440,A,ACT,03295,Fieldwood Energy LLC,12568,DOI,N,,,,,
6853,#707,EC,   82,G08640,#702,EC,   82,G08640,,,ABN,03,,INJ,00689,Shell Offshore Inc.,0,0,,,,,1300,DOI,,,,,,
6854,#707,EC,   82,G08640,#702,EC,   82,G08640,,,ABN,04,,INJ,00689,Shell Offshore Inc.,0,0,,,,,1300,DOI,,,,,,
6855,#702,EC,   82,G08640,B,EC,   82,G08640,,,ABN,02,,BLKG,00689,Shell Offshore Inc.,0,0,,,,,7100,DOI,,,,,,
6856,B,VR,   24,G03543,16 SSTI,VR,   24,G03543,10/13/1983,1/13/1984,ABN,12,,G/C,00078,Chevron U.S.A. Inc.,30,1440,A,,,,6200,DOI,N,7/5/2011,,7/7/2012,7/20/2012,9/29/2012
6857,E,ST,   27,G27147,10 SSTI,ST,   27,G27147,9/20/1983,10/3/1983,COMB,08,,OIL,02375,"Energy XXI GOM, LLC",54,1440,A,,,,0,DOI,N,,,,,
6858,#15,SM,  217, 00310,A,SM,  217, 00310,9/27/1983,,CNCL,03,,BLKG,00078,Chevron U.S.A. Inc.,14,3600,A,,,,8691,DOI,N,,,,,
6859,#52,SM,  217, 00310,A,SM,  217, 00310,9/27/1983,,CNCL,03,,BLKG,00078,Chevron U.S.A. Inc.,14,3600,A,,,,6518,DOI,N,,,,,
6860,#53,SM,  217, 00310,A,SM,  217, 00310,9/27/1983,,CNCL,03,,BLKG,00078,Chevron U.S.A. Inc.,14,3600,A,,,,7997,DOI,N,,,,,
6861,#01,GA,  241,G04846,A,GA,  255,G01777,10/18/1983,10/26/1983,ABN,04,,GAS,02237,"Noble Energy, Inc.",60,1440,A,,,,16492,DOI,N,10/17/1998,,10/18/1998,3/4/2015,
6862,B Platform,ST,   22, 00165,D Platform,ST,   27,G01442,10/13/1983,10/1/1983,ABN,06,,OIL,02375,"Energy XXI GOM, LLC",54,1440,C,,,,11222,DOI,N,8/29/2005,,,9/19/2006,9/8/2007
6863,Platform D,ST,   27,G27147,Platform B,ST,   22, 00165,10/13/1983,1/30/1984,ACT,04-06,,LIFT,02375,"Energy XXI GOM, LLC",54,1440,C,,,,11555,DOI,Y,,,,,
6864,#02,SS,   27, 00347,A,SS,   27, 00347,9/23/1983,9/26/1983,PABN,04,,BLKG,01284,"W & T Offshore, Inc.",12,1440,A,,,,150,DOI,N,,,,10/18/1994,
6865,#02,SS,   27, 00347,A,SS,   27, 00347,9/23/1983,9/26/1983,PABN,04,,BLKO,01284,"W & T Offshore, Inc.",12,1440,A,,,,150,DOI,N,,,,10/18/1994,
6866,A,SS,   27, 00347,#02,SS,   27, 00347,9/23/1983,9/26/1983,ABN,04,,BLKG,01284,"W & T Offshore, Inc.",12,1440,A,,,,150,DOI,N,,,,1/31/2019,6/28/2019
6867,#02,SS,   27, 00347,A,SS,   27, 00347,9/23/1983,9/26/1983,ABN,04,,BLKO,01284,"W & T Offshore, Inc.",12,1440,A,,,,150,DOI,Y,,,,10/18/1994,6/28/2019
6868,A,SS,   27, 00347,#02,SS,   27, 00347,9/23/1983,9/26/1983,PABN,06,,G/O,01284,"W & T Offshore, Inc.",12,1440,A,,,,150,DOI,N,,,,1/31/2019,
6869,#01,EI,   33,G03560,FLARE,EI,   33,G03560,9/6/1983,,REM,02,,FLG,00828,Cockrell Oil Corporation,10,0,A,,,,292,DOI,N,,,,,
6870,A,HI,A 376,G02754,10 SSTI,HI,A 546,G02779,9/6/1983,10/11/1983,ACT,06,G05150,OIL,03198,"Panther Operating Company, LLC",326,2160,A,ACT,03198,"Panther Operating Company, LLC",106807,DOT,N,,,,,
6871,A,WC,  648,G04268,30 SSTI,WC,  606,G02232,10/7/1983,11/15/1983,ABN,16,G05939,GAS,02312,McMoRan Oil & Gas LLC,396,1440,A,RELQ,02312,McMoRan Oil & Gas LLC,50656,DOI,N,9/9/2008,,,3/3/2010,5/27/2010
6872,A,SM,  236,G04437,16 SSTI,SM,  235,G04523,10/5/1983,10/25/1983,ABN,08,G05941,GAS,01795,"Green Canyon Pipe Line Company, L.P.",20,1440,A,RELQ,01795,"Green Canyon Pipe Line Company, L.P.",13564,DOT,N,,,,4/11/2002,3/13/2002
6873,#99,SM,  221, 00310,CAP,SM,  218, 00310,10/7/1983,1/13/1984,A/C,03,,BLKG,00078,Chevron U.S.A. Inc.,14,4800,A,,,,2500,DOI,N,,,,10/20/1992,12/8/1992
6874,Platform A,SS,  149, 00434,Platform E,SS,  130, 00453,9/29/1983,10/15/1983,ABN,03,,SPLY,01284,"W & T Offshore, Inc.",17,1440,A,,,,5466,DOI,N,7/20/2011,,3/24/2012,3/25/2016,4/19/2017
6875,E,SS,  130, 00453,A,SS,  149, 00434,9/29/1983,10/15/1983,ABN,03,,TEST,01284,"W & T Offshore, Inc.",49,1440,A,,,,5466,DOI,N,6/6/2001,,,7/24/2008,7/27/2009
6876,E Platform,SS,  130, 00453,A Platform,SS,  149, 00434,9/29/1983,10/15/1983,ABN,06,,BLKO,01284,"W & T Offshore, Inc.",17,1440,A,,,,5466,DOI,N,5/5/2015,,9/9/2011,3/31/2016,4/19/2017
6877,Platform A,BA,A  22,G03937,30-inch SSTI,BA,A  22,G03937,9/27/1983,11/28/1983,ABN,06,G06381,GAS,00014,"Tennessee Gas Pipeline Company, L.L.C.",125,1248,A,RELQ,00014,"Tennessee Gas Pipeline Company, L.L.C.",6302,DOT,N,2/1/2004,,,3/31/2009,6/8/2009
6878,D,EI,  215, 00580,B,EI,  215, 00580,,,CNCL,06,,OIL,00081,Tenneco Oil Company,100,2160,,,,,1517,DOT,,,,,,
6879,D,EI,  215, 00580,B,EI,  215, 00580,,,CNCL,06,,LIFT,00081,Tenneco Oil Company,100,1440,,,,,1517,DOI,,,,,,
