ROW Number,MMS Company Number,Company Name,ROW Effective Date,Termination Date,ROW Status Code,WCD Volume,ROW Description
G01950H,00176,"Texas Eastern Transmission, LP",5/26/1978,6/18/2018,RELQ,,"A pipeline right-of-way 200-feet in width for the operation and maintenance of a 30-inch pipeline, 25.97 miles in length, to transport gas from Tetco-Valve in Block 245, East Cameron Area, South Addition, through Block 244 in East Cameron Area, South Addition; Blocks 227 and 226 in East Cameron Area, Blocks 286, 285, 284, 280, 279, and 273 to the 
GP-Valve in Block 272, West Cameron Area."
G01950I,00176,"Texas Eastern Transmission, LP",9/3/1974,6/18/2018,RELQ,,"Pipeline Right-of-way (ROW) is a 200-foot wide and 9.23 mile long corridor associated with Pipeline Segment No. 1482.  The purpose of ROW OCS-G01950I is to operate and maintain the ROW, and to transport Gas through the associated 16-inch pipeline (Segment No.1482) from a Flange in Block 312, through Blocks 303, 294, 293 to a 24-inch subsea tie-in with SN 1478 in Block 286, all located in East Cameron Area. 


"
G01950J,00014,"Tennessee Gas Pipeline Company, L.L.C.",3/25/1974,8/9/2012,RELQ,,
G01950K,02250,"GEL Offshore Pipeline, LLC",7/10/1974,8/29/2006,RELQ,,
G01950L,00014,"Tennessee Gas Pipeline Company, L.L.C.",4/4/1975,5/18/1994,RELQ,,
G01950M,03388,East Cameron Gathering LLC,3/31/1975,,ACT,,"A right-of-way two-hundred feet (200') in width for the maintenance, and operation of an 8.625-inch pipeline, to transport crude oil, 7.37 miles in length, from Platform A in Block 338, East Cameron Area, South Addition, through Blocks 331 and 330, East Cameron Area, South Addition to Platform A, located in Block 321, East Cameron Area, South Addition."
G01950N,00014,"Tennessee Gas Pipeline Company, L.L.C.",6/4/1975,6/1/2007,RELQ,,
G01950O,00176,"Texas Eastern Transmission, LP",7/21/1975,8/19/1994,RELQ,,
G01950P,00176,"Texas Eastern Transmission, LP",7/28/1975,3/2/2012,RELQ,,
G01950Q,00282,"Dominion Exploration & Production, Inc.",8/20/1975,4/7/1998,RELQ,,
G01951,02899,Talos ERT LLC,7/23/1969,10/3/2012,RELQ,,"A 200' wide right of way for an 8-inch pipeline, 12.85 miles long to transport oil from a capped end in South Pelto Area Block 12 to Platform A in Ship Shoal Area Block 114."
G01969,00014,"Tennessee Gas Pipeline Company, L.L.C.",4/22/1970,2/19/1998,RELQ,,
G01991,00011,"Transcontinental Gas Pipe Line Company, LLC",3/24/1971,,ACT,,"“Pipeline Right-of-way (ROW) OCS-G01991 is a 200-foot wide and approximately 16.73 miles (88,321 feet) long corridor associated with 30-inch Pipeline Segment No.(PSN) 1548. The purpose of the pipeline ROW OCS-G01991 is to maintain and operate PSN 1548 and to transport gas originating at Platform A Block 538, through Blocks 509, 510, 495, 494, 474, 451, and 450, terminating at the Federal/State boundary in Block 439, all located in the Brazos Area.”"
G01991A,00011,"Transcontinental Gas Pipe Line Company, LLC",6/3/1971,8/11/2016,RELQ,,"Pipeline Right-of-way (ROW) OCS-G01991A is a 200-foot wide and approximately 9.36 miles (49,411 feet) long corridor associated with the 20-inch Pipeline Segment No. (PSN) 4166. The purpose of the pipeline ROW OCS-G01991A is to maintain and operate PSN 4166 and to transport gas/condensate originating at a 20-inch SSTI in Block 541, through Blocks 540 and 539, terminating at Platform A in Block 538, all located in the Brazos Area."
G01991B,00011,"Transcontinental Gas Pipe Line Company, LLC",10/4/1972,8/11/2016,RELQ,,"Pipeline Right-of-way (ROW) OCS-G01991B is a 200-foot wide and approximately 10.76 miles (56,837 feet) long corridor.  The purpose of the pipeline ROW OCS-G01991B is to maintain and operate the following:

Pipeline Segment No. 1638
An 8-inch pipeline, .06 mile (315 feet) in length, to transport gas originating at a 20-inch SSTI, terminating at a 20-inch SSTI, all located in Brazos Area Block 541.

Pipeline Segment No. 6461
A 20-inch pipeline, .04 mile (189 feet) in length, to transport gas originating at a 20-inch SSTI, and terminating at a 20-inch SSTI, all located in Brazos Area Block A1.

Pipeline Segment No. 4167
A 20-inch pipeline, 10.67 miles (56,333 feet) in length, to transport gas/condensate originating at Platform A in Block A1, through Blocks 504, A2, and 542, terminating at a 20-inch SSTI in Block 541, all located in the Brazos Area.
"
G01991C,00011,"Transcontinental Gas Pipe Line Company, LLC",8/9/1976,6/22/2011,RELQ,,
G01992,03203,"Kinetica Partners, LLC",11/17/1970,12/1/2006,EXP,,
G02120,02189,Mission Resources Corporation,4/29/1971,2/19/1998,RELQ,,
G02121,03203,"Kinetica Partners, LLC",7/23/1971,,ACT,,"Pipeline Right-of-way (ROW) OCS-G 02121 is a 200-foot wide and approximately 63.45 miles (335,000 feet) long corridor associated with the 36-inch Pipeline Segment Number (PSN) 3478 and accessory Platform PP, Complex ID Number 523-1, in Block 245 Vermilion Area. The purpose of pipeline ROW OCS-G 02121 is to maintain and operate PSN 3478 and to transport gas from Platform PP, in Block 245, through Blocks 238, 225, 218, 217, 206, 197, 186, 187, 176, 167, 156, 147, 136, 127, 116, 107, 96, 87, 76, 67, 56, 46, 35, 26, to a point on the Federal/State boundary line at Latitude = 29.49428000 and Longitude = -92.37939000 in Block 15, all located in Vermilion Area."
G02121A,00014,"Tennessee Gas Pipeline Company, L.L.C.",5/8/1972,7/3/2006,RELQ,,
G02121B,00014,"Tennessee Gas Pipeline Company, L.L.C.",11/24/1972,12/12/2008,EXP,,
G02121C,00014,"Tennessee Gas Pipeline Company, L.L.C.",11/24/1972,11/30/2008,EXP,,
G02121D,00014,"Tennessee Gas Pipeline Company, L.L.C.",11/24/1972,5/16/2005,RELQ,,
G02121E,00014,"Tennessee Gas Pipeline Company, L.L.C.",2/16/1973,3/3/1995,RELQ,,
G02121F,00208,Columbia Gulf Transmission Company,2/28/1973,8/17/1994,RELQ,,
G02121G,00014,"Tennessee Gas Pipeline Company, L.L.C.",2/25/1976,3/20/2012,RELQ,,
G02121H,00014,"Tennessee Gas Pipeline Company, L.L.C.",5/7/1976,12/12/2008,EXP,,
G02122,02472,"Stingray Pipeline Company, L.L.C.",6/1/1971,,ACT,,"Pipeline Right-of-way (ROW) OCS-G 02122 is a 200-foot wide and approximately 35.03 miles (185,000 feet) long corridor associated with the 24-inch Pipeline Segment No. (PSN) 2812, 36-inch PSN 3507, and accessory Platform PP-Valve, Complex ID Number (CID) 517-1.  The purpose of the Pipeline ROW OCS-G 02122 is to maintain and operate a 24-inch
pipeline, PSN 2812, 60,000 feet (11.36 miles) in length, to transport gas from PP Platform in Block 144, through Blocks 145, 146, 147 to Platform PP Valve in Block 148; and one 36-inch pipeline, PSN 3507, 125,000 feet (23.67 miles) in length, to transport gas from accessory Platform PP Valve, (CID 517-1) in Block 148, through Blocks 133, 132, 113, 114, 95, 78, 79, 58, 43, 44  to the Federal/State boundary in Block 21, all located in West Cameron Area."
G02122A,00244,Natural Gas Pipeline Company of America LLC,2/10/1972,2/19/1998,RELQ,,
G02122B,00208,Columbia Gulf Transmission Company,10/19/1972,6/23/2006,RELQ,,
G02122C,02472,"Stingray Pipeline Company, L.L.C.",1/21/1974,,ACT,0,"Pipeline Right-of-way (ROW) OCS-G 2122C is a 200-foot wide corridor to operate and maintain the following pipelines to transport gas, including operating and maintaining the associated accessory structures identified with Complex ID 528 (i.e, A-Valve, B, and C-QTRS) located in West Cameron Area, Block 509:

1.	Pipeline Segment No.(PSN) 3394 is a 30-inch pipeline, 24.97 mile (131,840 feet) long, originating at a capped end in Block 565, through Blocks 564, 549, 550, 551, 538, 537, 536, 529, 530, 531, and 510 terminating at an associated ROW accessory Platform B in Block 509, all in West Cameron Area.

2.	PSN 3395 is an 18-inch pipeline, 22.05 mile (116,400 feet) long, originating at an 18-inch sub-sea tie-in in Block 639, through Blocks 628, 629, 618, 607, 608, 595, 586, 573, and 572 terminating at a 30-inch sub-sea tie-in in Block 564, all in West Cameron Area. 

3.	PSN 3396 is a 16-inch pipeline, 24.75 mile (130,691 feet) long, originating at a Flange Connector in Block 338, though Blocks 331, 320, 313, 314, 201, 300, 297, 282, 281, and 280, all in East Cameron Area, terminating at Platform A-Valve in Block 509, West Cameron Area. 

4.	PSN 3397 is a 22-inch pipeline, 28.45 mile (150,212 feet) long, originating at a 22-inch sub-sea tie-in in Block 321 through Block 322, both in Vermilion Area, Blocks 307, 290, 291, 292, 293, 286, 285, 284, 283, 278, 279, 280, and 263, all in East Cameron Area, and terminating at Platform A-Valve in Block 509 in West Cameron Area.



Page 2

5.	PSN 7358 is a 36-inch pipeline with an associated ROW accessory A-Valve, 71.3 mile (376,432 feet) long, originating at Platform A-Valve in Block 509, through Blocks 508, 484, 483, 482, 459, 456, 433, 432, 431, 408, 282, 277, 275, 276, 269, 266, 259, 258, 255, 246, 245, 241, 230, 224, 213, 212, 205, 196, 183, 170, and 169 terminating at Platform PP in Block 148, all in West Cameron Area."
G02122D,02472,"Stingray Pipeline Company, L.L.C.",7/12/1974,12/20/2016,RELQ,,"A 200ft wide right-of-way to operate and maintain a 24 inch pipeline, 6.65 miles in length to transport Gas and Condensate from a 24 inch Sub Sea Tie IN (SSTI) in Block 587, through blocks 572, to a 30 inch SSTI in block 564, all located in the West Cameron Area.

"
G02122E,03035,Fieldwood Energy Offshore LLC,8/2/1974,,ACT,,"A pipeline right-of-way 200-feet in width for the operation and maintenance of a 12-inch pipeline, 5.44 miles in length, to transport gas from Platform A in Block 485, through Blocks 507 and 508, to the GP Platform in Block 509, all located in West Cameron Area."
G02122F,02472,"Stingray Pipeline Company, L.L.C.",7/14/1975,4/2/2012,RELQ,,"A 200-foot wide Right of Way to operate and maintain a 12-inch pipeline, 4.5 miles in lenght, to transport Gas from Platfrom A in Block 533 through blocks 534 and 531 to a 12-inch Sub Sea Tie In in Block 510, all in the West Cameron Area."
G02122G,02628,"Arena Offshore, LP",9/5/1975,3/20/2019,RELQ,,"Pipeline Right-of-way (ROW) OCS-G 2122G is a 200-foot wide and approximately 10.41 miles (54947.39 feet) long corridor associated with Segment 9526. The purpose of ROW OCS-G 2122G is to maintain, operate and transport Gas.  Segment 9526 originates at West Cameron Block 544, Platform A with a 10 inch pipeline and flows to a 16 inch Sub Sea Tie In (SSTI) in West Cameron Block 543, then flows to a goose neck also in Block 543. The flow then goes through blocks 542, 547, 548 and terminating at a SSTI in Block 564 all located in the West Cameron Area."
G02122H,02409,"Maritech Resources, Inc.",7/26/1976,5/1/2012,RELQ,,
G02123,00014,"Tennessee Gas Pipeline Company, L.L.C.",5/25/1971,4/29/2008,RELQ,,
G02124,03530,"Avocet LNG, LLC",7/9/1971,,ACT,,"A right-of-way 200 feet in width to operate and maintain a 30-inch pipeline, 12.31 miles in length, to transport gas from a 30-inch subsea tie-in with segment number 2321 in Block 101, across Blocks 102, 71, 70, 67, 34, to the Federal/State boundary in Block 33, all located in West Cameron Area."
G02124A,00160,ANR PIPELINE COMPANY,7/9/1971,6/30/2001,EXP,,
G02124B,03530,"Avocet LNG, LLC",3/21/1972,,ACT,,"A right-of-way 200 feet in width to operate and maintain a 30-inch pipeline, 11.33 miles in length, to transport gas from the compressor Platform A-AUX2 in Block 171, through Blocks 146, 145, 136, 137, and 108 to a 30-inch subsea tie-in with segment number 3407 in Block 101, all in West Cameron Area."
G02124D,03295,Fieldwood Energy LLC,9/19/1975,,ACT,,"Pipeline Right-of-way (ROW) OCS-G02124D is a 200-foot wide and approximately 1.60 miles (8,459 feet) long corridor associated with the 8-inch Pipeline Segment No. (PSN) 2698 and 8-inch PSN 3763. The purpose of the Pipeline ROW OCS-G02124D grant is to maintain and operate PSN 2698 and 3763 and to transport gas through PSN 3763, which originates at Platform 2 and terminates at an 8-inch SSTI with PSN 2698 all in West Cameron Area Block 102. The Pipeline ROW OCS-G02124D then continues through PSN 2698 which originates at an 8-inch SSTI with PSN 3763 and terminating at Platform G all in West Cameron Area Block 102."
G02124E,00160,ANR PIPELINE COMPANY,12/30/1975,2/5/1996,RELQ,,
G02138,02752,"Panther Interstate Pipeline Energy, LLC",8/21/1975,,ACT,,"A 200-foot wide right-of-way to operate and maintain a 16-inch pipeline, 10.98 miles in length, to transport gas from a Capped End in Block 71, through Blocks 72, 48, and 36 to the Federal/State boundary in Block 20, all in High Island Area."
G02139,03295,Fieldwood Energy LLC,6/30/1972,2/17/2017,RELQ,,"Pipeline Right-of-way (ROW) OCS-G02139 is a 200-foot wide and approximately 4.96 miles (26,207 feet) long corridor associated with the 14-inch Pipeline Segment No. 1127. The purpose of pipeline ROW OCS-G02139 is to maintain and operate PSN 1127 and to transport oil originating at a SSTI with PSN 9288 in Block 297, through Blocks 304, 305, and terminating at a SSTI with PSN 1128 in Block 306 all in the Eugene Island Area."
G02139A,03295,Fieldwood Energy LLC,6/30/1972,,ACT,,"A right of way 200 feet in width to operate and maintain a 14-inch 0.D. pipeline for the purpose of transportation of crude oil, condensate and liquid hydrocarbons.  The pipeline, 8.52 miles in length, will cross Blocks 306, 317, 316, 329 and 330, Eugene Island Area, South Addition."
G02214,03203,"Kinetica Partners, LLC",9/29/1972,3/16/2016,RELQ,,"Pipeline Right-of-way (ROW) OCS-G 02214 is a 200-foot wide and approximately 0.19 miles (1,000 feet) long corridor associated with the 12-inch Pipeline Segment Number (PSN) 4200. The purpose of pipeline ROW OCS-G 02214 is to maintain and operate PSN 4200 and to transport gas from an 8-inch flange at location point: X = 1,531,697 and Y = 308,581 to Well No. 2, all located in East Cameron Area Block 33."
G02214A,00014,"Tennessee Gas Pipeline Company, L.L.C.",5/4/1973,6/1/1995,RELQ,,
G02215,01834,Talos Petroleum LLC,11/10/1972,4/17/2009,RELQ,,"A 6-inch pipeline, 7.6 mile long, to transport oil from Platform CA in PL 23 to 6-inch SSTI with Segment 6146 in ST 52"
G02215A,01834,Talos Petroleum LLC,1/1/1980,4/17/2009,RELQ,,"a 6-inch pipeline, 0.77 mile long,  to transport oil from 6-inch SSTI  to platform A, all in South Timbalier 52"
G02216,00208,Columbia Gulf Transmission Company,11/6/1972,4/2/1996,RELQ,,
G02216A,00208,Columbia Gulf Transmission Company,6/4/1973,4/2/1996,RELQ,,
G02529,02227,"Enterprise Field Services, LLC",4/29/1974,6/14/2006,RELQ,,
G02816,03295,Fieldwood Energy LLC,1/21/1975,,ACT,,"Pipeline Right-of-way (ROW) OCS-G 02816 is a 200-foot wide and approximately 43.13 miles (227,733‘) long corridor associated with the 12 3/4-inch Pipeline Segment Number (PSN) 4008.  The purpose of pipeline ROW OCS-G 02816 is to maintain and operate PSN 4008 and to transport oil from A-PRD in Block 268 in South Marsh Island Area, North Addition, through Blocks 91, 90, 89, 88, 87, 86, 85, 84, 83, 82 and 81 in Eugene Island Area, Blocks 32, 33, 34 and 35 in Ship Shoal Area to Platform A in Block 28 in Ship Shoal Area."
G02817,03295,Fieldwood Energy LLC,1/11/1979,,ACT,,"A 200-foot wide right-of-way to operate and maintain SN 5427 as a bidirectional 12-inch pipeline, 3.58 miles in length, to transport bulk gas/supply from Platform E in Block 281 to Platform A in Block 268, all located in South Marsh Island Area and SN 5429 as a bidirectional 10-inch supply pipeline, 0.22 miles in length, from Platform C to a 12-inch subsea tie-in, all located in South Marsh Island Area."
G02975,01834,Talos Petroleum LLC,4/4/1975,12/13/2001,RELQ,,
G02975A,00014,"Tennessee Gas Pipeline Company, L.L.C.",4/4/1975,5/31/1996,RELQ,,
G03221,03203,"Kinetica Partners, LLC",9/19/1975,,ACT,,"Pipeline Right-of-way (ROW) OCS-G 03221 is a 200-foot wide and approximately 19.94 miles (105,270 feet) long corridor associated with the 12-inch Pipeline Segment Number (PSN) 3761. The purpose of pipeline ROW OCS-G 03221 is to maintain and operate PSN 3761 and to transport gas from a flange at location point: Latitude = 29.25357933 and Longitude = -90.04259953 in Block 249, South Marsh Island Area, North Addition, through Blocks 244, 245, 234, 231, 232, 220 in South Marsh Island Area, North Addition, Blocks 50, 31, 30 in Vermilion Area to a point on the Federal/State 8(g) boundary line at Latitude = 29.4964074 and Longitude = -92.22030491 in Block 29, Vermilion Area."
G03221A,03203,"Kinetica Partners, LLC",6/18/1976,8/23/2018,RELQ,,"Pipeline Right-of-way (ROW) OCS-G 03221A is a 200-foot wide and approximately 3.35 miles (17,674 feet) long corridor associated with the 10-inch Pipeline Segment Number (PSN) 3961. The purpose of pipeline ROW OCS-G 03221A is to maintain and operate PSN 3961 and to transport gas from a 16-inch subsea tie-in with PSN 5140 at location point: X = 1,781,263 and Y = 224,392 in Block 243, through Block 244 to a 12-inch subsea tie-in with PSN 3761 at location point:
X = 1,773,756 and Y = 213,940 in Block 249, all located in South Marsh Island Area."
G03302,00410,"High Island Offshore System, L.L.C.",7/2/1976,,ACT,,"Pipeline Right-of-way (ROW) OCS- G03302 is a 200-foot wide and approximately 200.58 miles (1,059,052 feet) long corridor associated with
(a)	A 30-inch bidirectional Pipeline Segment No. 4591, approximately 39.98 miles (211,106 feet) in length. The purpose of pipeline ROW OCS-G 03302 is to maintain and operate PSN 4591 and to transport gas from Platform HIOS in Block A573, through Blocks A572, A547, A546, A359, A340, A339, A320, A319, A318, A303, A300, A299, A286, A281, A270, A271 to Platform A in Block A264, all in High Island Area. 
(b)	A 30-inch Pipeline Segment No. 4087, approximately 14.68 miles (77,513 feet) in length. The purpose of pipeline ROW OCS-G 03302 is to maintain and operate PSN 4087 and to transport gas from Platform HIOS-Valve in Block A330, through Blocks A331, A332, A333, A346, A345, and A344 to Platform HIOS-Valve in Block A343, all in High Island Area.
(c)	A 30-inch Pipeline Segment No. 4592, approximately 53.71 miles (283, 574 feet) in length. The purpose of pipeline ROW OCS-G 03302 is to maintain and operate PSN 4592 and to transport gas from Platform HIOS in Block A582, through Blocks A563, A564, A555, A554, A539, A540, A527, A526, A515, A516, A499, A498, A491, A492, A471, A470, A467, A468, A443, A284, A283, A282, A260, A270, and A265, to Platform A in Block A264, all in High Island Area.
(d)	A 42-inch Pipeline Segment No. 7364, approximately 66.05 miles (348,734 feet) in length. The purpose of pipeline ROW OCS-G 03302 is to maintain and operate PSN 7364 and to transport gas from Platform A in Block A264, through Blocks A265, A248, A247, A242, A233, A228, A219, A218, A217, A206, all in High Island Area, and through Blocks 397, 396, 376, 377, 374, 359, 354, 341, 342, 335, 327, 319, 318, 314, 303, 302, 208, 189, and 186 Platform HIOS-Valve in Block 167, all in West Cameron Area.
(e)	A 36-inch Pipeline Segment No. 4088, approximately 26.16 miles (138,125 feet) in length. The purpose of pipeline ROW OCS-G 03302 is to maintain and operate PSN 4088 and to transport gas from Platform HIOS in Block A343, through Blocks A336, A323, A316, A305, A298, A287, A280, A271 to Platform A in Block A264, all in High Island Area.
"
G03302A,00408,Delfin Offshore Pipeline LLC,7/9/1976,1/4/2015,EXP,,"A pipeline right-of-way 200-feet in width for the operation and maintenance of a 42-inch pipeline, 24.94 miles in length, to transport gas from High Island Offshore System (HIOS) in Block 167, through Blocks 150, 151, 130, 115, 116, 93, 92, 81, 56, 55, 46, to the Federal/State boundary in Block 19, all located in West Cameron Area."
G03303,02289,Shell Pipeline Company LP,4/1/1976,,ACT,,"A pipeline right-of-way two-hundred feet (200') in width for the operation and maintenance of a 20-inch pipeline, 102.93 miles in length, to transport oil from Platform A-AUX2 in Block 128, South Marsh Island Area, South Addition, across Block 127, South Marsh Island Area, South Addition; Blocks 312, 313, 314, 315, 316, 317, 306, 305, 304, 297, 298, 299, 280, 279, Eugene Island Area, South Addition; Blocks 247, 246 Ship Shoal Area, South Addition; Blocks 225, 226, 221, 220, 203, 204, 195, 194, 181, 182, 183, 168, 167, 160, 161, 142, 141, 138, 139, 116, Ship Shoal Area; Blocks 74, South Timbalier Area; Blocks 21, 22, 19, 18, 13, 8, 7, 4, South Pelto Area; and Block 10, South Timbalier Area to the Federal/State boundary in Block 11, South Timbalier Area."
G03303A,02250,"GEL Offshore Pipeline, LLC",7/8/1976,,ACT,,"A pipeline right-of-way 200-feet in width for the maintenance and operation of an 8 5/8-inch pipeline, 9.85 miles in length, to transport oil from Platform A in Block 349, through Blocks 342, 341, 327, 318 and 305 to a 20-inch subsea tie-in in Block 306, all located in Eugene Island Area, South Addition."
G03303B,02250,"GEL Offshore Pipeline, LLC",8/27/1976,,ACT,,"A pipeline right-of-way 200-feet in width for the maintenance and operation of an 8.625-inch pipeline, 27.92 miles in length, to transport oil from Platform A in Block 331, Vermilion Area, South Addition, through Blocks 332, 333, Vermilion Area, South Addition; Blocks 135, 136, 137, 138, 139, 140, 141, 142, South Marsh Island Area, South Addition
to a 20-inch subsea tie-in in Block 312, Eugene Island Area, South Addition."
G03303C,00250,ORYX ENERGY COMPANY,,2/26/1998,CNCL,,
G03345,03295,Fieldwood Energy LLC,5/7/1976,,ACT,,"A pipeline right-of-way two-hundred feet in width and 3.45 miles in length to operate and maintain a 10 3/4-inch pipeline to transport oil and gas from Block 66 Platform A, across Blocks 35 and 34, to the Federal/State boundary in
Block 31, all located in the West Cameron area."
G03346,02400,"Triton Gathering, LLC",5/13/1976,2/27/2004,RELQ,,
G03348,00014,"Tennessee Gas Pipeline Company, L.L.C.",9/10/1976,10/15/1996,RELQ,,
G03349,03203,"Kinetica Partners, LLC",9/3/1976,3/6/2008,EXP,,
G03350,03203,"Kinetica Partners, LLC",8/6/1976,,ACT,,"Pipeline Right-of-way (ROW) OCS-G 03350 is a 200-foot wide and approximately 5.19 miles (27,393') long corridor associated with the 16-inch Pipeline Segment No. (PSN) 4084. The purpose of Pipeline ROW OCS-G 03350 is to maintain, and operate PSN 4084 and to transport gas from Platform A in Block 66 through Block 67, to CG Valve in Block 68, all located in West Cameron Area."
G03351,00011,"Transcontinental Gas Pipe Line Company, LLC",3/22/1990,12/9/2016,RELQ,,"Pipeline Right-of-way (ROW) OCS-G03351 is a 200-foot wide and approximately 10.85 miles (57,281 feet) long corridor associated with the 20-inch Pipeline Segment No. (PSN) 9002. The purpose of the pipeline ROW OCS-G03351 is to maintain and operate PSN 9002 and to transport gas originating at Platform A in Block A133, through Blocks A104, A105, A102, and A101, terminating at a 20-inch SSTI in Block A76, all located in the Brazos Area, South Addition."
G03352,02472,"Stingray Pipeline Company, L.L.C.",9/24/1976,12/20/2016,RELQ,,"A pipeline right-of-way 200-feet in width for the operation and maintenance of a 24-inch pipeline, 7.59 miles in length, to transport natural gas from a 24-inch subsea tie-in Block 616, across Blocks 609 and 594, to a 24-inch subsea tie-in with segment number 8290 in Block 587, all located in West Cameron Area, South Addition."
G03353,03530,"Avocet LNG, LLC",6/1/1977,,ACT,,"Pipeline Right-of-way (ROW) OCS-G03353 is a 200-foot wide and approximately 11.80 miles (62,330 feet) long corridor associated with the 30-inch Pipeline Segment No. (PSN) 4659 and Pipeline ROW Accessory Platform A-AUX2, Complex ID Number (CID) 21337-3 located in West Cameron Area Block 171.  The purpose of Pipeline ROW OCS-G03353 is to maintain and operate PSN 4659 and CID 21337-3, and to transport gas originating at HIOS Valve in Block 167, through Blocks 168, 169, 170 and terminating at Accessory Platform A-AUX2 in Block 171, all located in West Cameron Area."
G03354,00011,"Transcontinental Gas Pipe Line Company, LLC",10/22/1976,,ACT,,"Pipeline Right-of-way (ROW) OCS-G03354 is a 200-foot wide and approximately 33.96 miles
(209,320 feet) long corridor. The purpose of the pipeline ROW OCS-G03354 is to maintain and
operate the Pipeline ROW accessory structure, A-Valve, (Complex ID No. 1401-1) located in High
Island Area Block 154 and the following:

Pipeline Segment No. 4073
A 24-inch pipeline, 23.23 miles (122,669 feet) in length, to transport gas originating at a Valve A in
Block 154, through Blocks 155, 156, 140, 139, 138, 110, 111, 92, 67, and 53, terminating at a 24-
inch SSTI in Block 52, all located in the High Island Area.

Pipeline Segment No. 4590
A 12-inch pipeline, 10.73 miles (86,651 feet) in length, to transport gas originating at a 8-Inch Subsea tie-in with PSN 15298 in Galveston Area Block 239, through Galveston Area Blocks 238, and 237, High Island
Area Blocks 236, 228, 229, and 207, terminating at a 12-inch SSTI in High Island Area Block 206."
G03355,00014,"Tennessee Gas Pipeline Company, L.L.C.",7/23/1976,5/15/2002,RELQ,,
G03356,00001,Conoco Inc.,8/6/1976,6/1/2001,RELQ,,
G03357,00014,"Tennessee Gas Pipeline Company, L.L.C.",9/15/1976,5/2/1995,RELQ,,
G03358,03209,"Renaissance Offshore, LLC",9/15/1976,,ACT,,"Pipeline Right-of-way (ROW) OCS-G03358 is a 200-foot wide and approximately .96 miles (5,080 feet) long corridor associated with the 16-inch Pipeline Segment No. (PSN) 4083. The purpose of the pipeline ROW OCS-G03358 is to maintain and operate PSN 4083 and to transport gas originating at Platform H-PRD, terminating at CGP all in Ship Shoal Area Block 198."
G03359,00244,Natural Gas Pipeline Company of America LLC,9/27/1976,8/19/1994,RELQ,,
G03360,03203,"Kinetica Partners, LLC",9/15/1976,,ACT,,"Pipeline Right-of-way (ROW) OCS-G03360 is a 200-foot wide and approximately 20.96 miles (110,677 feet) long corridor associated with the 36-inch Pipeline Segment No.(PSN) 4082. The purpose of Pipeline ROW OCS-G03360 is to maintain and operate PSN 4082 and to transport gas originating at a 36-inch subsea tie-in with PSN 4858 in Block 144, through Blocks 135, 120, 119, 112, 95, 94, 89, 70 and 69 to Federal/State Boundary in Block 66, all in Ship Shoal Area."
G03361,00176,"Texas Eastern Transmission, LP",9/29/1976,5/14/2018,RELQ,,"A 200-foot wide right-of-way to operate and maintain a 16-inch pipeline, 12.00 miles in length, to transport gas from a Flange End in Block 480 through Blocks 481, 482 and 483, all in West Cameron Area to a Tetcco ""CGP"" in East Cameron Area Block 245."
G03362,00011,"Transcontinental Gas Pipe Line Company, LLC",10/22/1976,,ACT,,"Pipeline Right-of-way (ROW) OCS-G03362 is a 200-foot wide and approximately 4.14 miles (21,875 feet) long corridor associated with the 24-inch Pipeline Segment No. (PSN) 4074. The purpose of the pipeline ROW OCS-G03362 is to maintain and operate PSN 4074 and to transport gas originating at a 24-inch SSTI in Block 52, through Blocks 32, 33, and 23, terminating at the Federal/State Boundary in Block 22, all located in the High Island Area."
G03363,00030,"Trunkline Gas Company, LLC",9/15/1976,3/7/2012,RELQ,,
G03364,00011,"Transcontinental Gas Pipe Line Company, LLC",11/15/1976,7/18/2017,RELQ,,"Pipeline Right-of-way (ROW) OCS-G03364 is a 200-foot wide and approximately 8.06 miles (42,536 feet) long corridor associated with the 24-inch Pipeline Segment No. (PSN) 4198. The purpose of the pipeline ROW OCS-G03364 is to maintain and operate PSN 4198 and to transport gas originating at Platform B in Block 22, through Blocks 23, 24, 25, and 16, terminating at the Federal/State Boundary in Block 15, all located in the Vermilion Area."
G03365,00208,Columbia Gulf Transmission Company,10/7/1976,7/13/2007,RELQ,,
G03366,00208,Columbia Gulf Transmission Company,10/7/1976,8/19/1994,RELQ,,
G03367,00048,Sabine Oil & Gas Corporation,9/28/1976,8/4/2008,RELQ,,
G03368,00244,Natural Gas Pipeline Company of America LLC,2/19/1998,2/19/1998,CNCL,,
G03369,00011,"Transcontinental Gas Pipe Line Company, LLC",12/10/1976,8/19/1994,RELQ,,
G03370,00207,"Sea Robin Pipeline Company, LLC",3/18/1977,1/25/1999,RELQ,,
G03371,00160,ANR PIPELINE COMPANY,5/13/1977,4/25/2006,RELQ,,
G03372,01795,"Green Canyon Pipe Line Company, L.P.",12/10/1976,8/4/2003,RELQ,,
G03421,00207,"Sea Robin Pipeline Company, LLC",4/1/1977,8/19/1994,RELQ,,
G03422,00410,"High Island Offshore System, L.L.C.",4/12/1977,10/9/2002,RELQ,,
G03423,01795,"Green Canyon Pipe Line Company, L.P.",6/13/1977,6/14/1995,EXP,,
G03424,02227,"Enterprise Field Services, LLC",4/6/1978,12/11/2006,RELQ,,
G03425,00014,"Tennessee Gas Pipeline Company, L.L.C.",5/20/1977,6/26/2002,RELQ,,
G03426,02227,"Enterprise Field Services, LLC",5/20/1977,7/18/2006,RELQ,,
G03427,00032,Texas Gas Transmission LLC,5/20/1977,7/23/2001,RELQ,,
