PROJECT,OPERATOR,REGION,COUNTRY,WATER_DEPTH_M,FID_YEAR,FIRST_OIL_YEAR,SANCTIONED_CAPEX_USD_MM,ACTUAL_COST_USD_MM,CAPEX_BASIS,WELL_COUNT,DEVELOPMENT_TYPE,HOST_TYPE,SURF_KM,PEAK_PRODUCTION_BOEPD,RECOVERABLE_RESOURCE_MMBOE,USD_PER_BOE,SOURCE_TITLE,SOURCE_URL,PAGE_REFERENCE,QUOTED_TEXT,ACCESSED_DATE,CONFIDENCE,SOURCE_PRIORITY,NOTES,SCOPE_IS_OFFSHORE_ONLY
Sparta (formerly North Platte),Shell,US GOM - Garden Banks,USA,1400.0,2023,2028,,,,8,new_host_semi,semi-submersible host; ~95% of Whale's hull replicated,,90000.0,244.0,,"Shell press release (PR Newswire), Shell Invests in the Sparta Development in the Gulf of Mexico (19 Dec 2023)",https://www.prnewswire.com/news-releases/shell-invests-in-the-sparta-development-in-the-gulf-of-mexico-302019315.html,see quoted_text,"peak production of approximately 90,000 barrels of oil equivalent per day (boe/d) ... 244 million boe ... more than 1,400m/4,700ft of water ... initially with eight oil and gas producing wells ... scheduled to begin production in 2028",2026-07-14,high,press_release,"THIS IS THE FORMER NORTH PLATTE. TotalEnergies and Equinor exited in 2022; Shell farmed in, took operatorship and renamed it. Recorded as ONE project, not two — listing both would double-count. NO CAPEX DISCLOSED.",True
Uaru,ExxonMobil,Guyana - Stabroek,Guyana,,2023,2026,12700.0,,gross project cost at FID (fifth Stabroek phase),44,new_host_fpso,"FPSO (Errea Wittu), up to 10 drill centres",,250000.0,800.0,15.88,"ExxonMobil press release, ExxonMobil Guyana advances fifth offshore Guyana development (26 Apr 2023)",https://corporate.exxonmobil.com/news/news-releases/2023/0426_exxonmobil-guyana-advances-fifth-offshore-guyana-development,see quoted_text,"$12.7 billion Uaru project ... up to 10 drill centers ... 44 production and injection wells ... estimated resource of more than 800 million barrels of oil ... add approximately 250,000 barrels of daily capacity ... targeted startup in 2026",2026-07-14,high,press_release,,True
Bonga North,Shell (SNEPCo),West Africa,Nigeria,1000.0,2024,2030,,,"NOT DISCLOSED at FID. The '$5 billion' figure appears only in secondary summaries and is not imported. A fetched source does confirm the main EPC contract at ~$1bn (Saipem share ~$900m) — a contract value, not project capex.",16,subsea_tieback,"tie-back to the existing Bonga FPSO (225,000 b/d)",,110000.0,300.0,,Oil & Gas Journal — Shell takes FID at Bonga North,https://www.ogj.com/exploration-development/article/55249868/shell-takes-fid-at-bonga-north-to-sustain-production-offshore-nigeria,see quoted_text,"'Bonga North will be a subsea tie-back to the 225,000 b/d Bonga FPSO.' / 'drilling, completing, and starting up 16 wells (8 production, 8 water injection)' / 'expected to reach a peak production of 110,000 b/d of oil' / 'estimated recoverable resource volume of more than 300 MMboe'",2026-07-14,medium,secondary_operator_confirmed,"Consistent with Shell's practice of never disclosing project capex. Resource '>300 MMboe' and depth '>1,000m' are both FLOORS, not point estimates.",True
GranMorgu (Block 58),TotalEnergies,Suriname,Suriname,,2024,2028,10500.0,,gross total project investment at FID,,new_host_fpso,"FPSO, 220,000 bopd",,220000.0,750.0,14.0,"TotalEnergies press release, FID for the GranMorgu development on Block 58 (Oct 2024)",https://totalenergies.com/news/press-releases/suriname-totalenergies-announces-final-investment-decision-granmorgu,see quoted_text,"The fields are located 150 km off the coast of Suriname and hold recoverable reserves estimated at over 750 million barrels ... The project includes a 220,000 barrels of oil per day Floating Production Storage and Offloading (FPSO) unit ... Total investment is estimated at around $10.5 billion, with first oil expected in 2028.",2026-07-14,high,press_release,"Gross, not net. TotalEnergies 50% op / APA 50%. The SURF scope of this project is separately captured in SURF_LUMPSUM_AWARDS (Saipem $1.9bn).",True
Kaminho (Cameia & Golfinho),TotalEnergies,West Africa,Angola,1700.0,2024,2028,,,NOT DISCLOSED — TotalEnergies' FID release states no capex. The universally-reported '$6bn' appears in a World Oil HEADLINE but NOT in the article body. Not imported.,,new_host_fpso,all-electric FPSO converted from a VLCC,,70000.0,,,TotalEnergies press release — Angola: TotalEnergies launches the Kaminho deepwater project,https://totalenergies.com/news/press-releases/angola-totalenergies-launches-kaminho-deepwater-project,see quoted_text,"'located 100 km off the coast of Angola, by 1,700 m water-depth' / 'Production start-up is expected in 2028, with a plateau of 70,000 barrels of oil per day' / 'TotalEnergies (40%), along with its Block 20/11 partners, Petronas (40%) and Sonangol (20%)'",2026-07-14,medium,press_release,A HEADLINE IS NOT A SOURCE: the $6bn is in World Oil's headline but absent from the body. Left null. First major deepwater development in Angola's pre-salt Kwanza basin.,True
Kaskida,BP,US GOM - Keathley Canyon,USA,1829.0,2024,2029,5000.0,,"gross project cost at FID, phase 1 only. Operator stated as 'LESS THAN $5 billion' — this is an UPPER BOUND, not a point estimate",6,new_host_semi,"production semi-submersible, 80,000 bopd (20,000 psi)",,80000.0,275.0,18.18,"JPT (SPE), BP OKs 20K-psi Kaskida Project in Gulf of Mexico",https://jpt.spe.org/bp-oks-20k-psi-kaskida-project-in-gulf-of-mexico,see quoted_text,"BP CEO Murray Auchincloss said during the company's 30 July conference call discussing 2Q 2024 results that the Kaskida project would cost less than $5 billion ... The development targets six subsea wells in the initial phase ... about 6,000 ft water depth in the first phase ... The Kaskida production semisubmersible is expected to have nameplate production capacity of 80,000 BOPD ... The project targets recoverable resources estimated at 275 million BOE in the initial phase",2026-07-14,medium,secondary_operator_confirmed,"CAPEX IS AN UPPER BOUND ('less than $5 billion'), sourced to the BP CEO's 2Q24 earnings call, not a press release. Treat allocations off this figure as a ceiling.",True
Whiptail,ExxonMobil,Guyana - Stabroek,Guyana,,2024,2027,12700.0,,gross project cost at FID (sixth Stabroek phase),48,new_host_fpso,"FPSO (Jaguar), up to 10 drill centres",,250000.0,,,"ExxonMobil press release, ExxonMobil Guyana moves forward with sixth offshore development (12 Apr 2024)",https://corporate.exxonmobil.com/news/news-releases/2024/0412_guyana-offshore-development-whiptail,see quoted_text,$12.7 billion Whiptail project ... up to 10 drill centers with 48 production and injection wells ... production targeted to begin in 2027,2026-07-14,high,press_release,Same headline capex as Uaru ($12.7bn) — coincidental; both are operator-stated.,True
Coral North FLNG,Eni,East Africa,Mozambique,,2025,2028,,,NOT DISCLOSED — Eni's FID release states no total investment cost.,,new_host_fpso,"new-build FLNG, 3.6 MTPA",,,,,"Eni press release, Oct 2025 — FID on Coral North",https://www.eni.com/en-IT/media/press-release/2025/10/pr-eni-announces-final-investment-decision-mozambique-coral-north-project.html,see quoted_text,"'With a production liquefaction capacity of 3.6MTPA, the newly built Coral North FLNG' ... 'aiming to deliver the project within schedule in 2028' ... 'The project will be implemented by the Joint Venture formed by Eni (50%), CNPC (20%), Kogas (10%), ENH (10%) and ADNOC's subsidiary XRG (10%).'",2026-07-14,medium,press_release,Recent FID (Oct 2025) — useful for the 2025-26 sanctioning wave.,True
Hammerhead,ExxonMobil,Guyana - Stabroek,Guyana,,2025,2029,6800.0,,gross project cost at FID (seventh Stabroek phase),18,new_host_fpso,FPSO (MODEC-built),,150000.0,,,"ExxonMobil press release, ExxonMobil Guyana expands capacity with seventh offshore development (22 Sep 2025)",https://corporate.exxonmobil.com/news/news-releases/2025/0922_exxonmobil-guyana-expands-capacity-with-seventh-offshore-development,see quoted_text,"The US$6.8 billion Hammerhead project will include 18 production and injection wells ... a floating production storage and offloading (FPSO) vessel with a capacity to produce approximately 150,000 barrels of oil per day ... Hammerhead, the seventh project on the Stabroek block, is anticipated to come online in 2029.",2026-07-14,high,press_release,First Stabroek FID with Chevron (post-Hess acquisition) as largest partner.,True
Tiber-Guadalupe,BP,US GOM - Keathley Canyon,USA,,2025,2030,5000.0,,"gross project cost at FID, phase 1 only; BP holds 100% so gross = net",8,new_host_semi,"new floating production platform, 80,000 bopd",,80000.0,350.0,14.29,"World Oil, bp greenlights $5 billion Tiber-Guadalupe deepwater project in U.S. Gulf (29 Sep 2025)",https://www.worldoil.com/news/2025/9/29/bp-sanctions-5-billion-tiber-guadalupe-deepwater-project-in-u-s-gulf/,see quoted_text,"The $5 billion Tiber-Guadalupe development ... Initial development includes six wells at the Tiber field and a two-well tieback from the Guadalupe field ... A new floating production platform with a designed capacity of 80,000 bpd ... The company estimates recoverable resources of around 350 MMboe from the project's first phase ... First oil is expected in 2030 ... The 100% bp-owned hub",2026-07-14,medium,secondary_operator_confirmed,Well count 8 = 6 Tiber + 2 Guadalupe tieback. Design reuse said to cut development cost ~$3/bbl vs Kaskida.,True
Greater PAJ,Azule Energy (bp/Eni JV),West Africa,Angola,,2026,2029,,,"NOT DISCLOSED — Eni's FID release states no capex. Trade press reports ~$5.1bn but it was not verbatim-verifiable, so it is not imported.",17,new_host_fpso,"new-build FPSO, 95,000 bopd",,95000.0,,,"Eni press release, June 2026 — FID on Greater PAJ",https://www.eni.com/en-IT/media/press-release/2026/06/eni-announces-final-investment-decision-greater-paj-project-angola.html,see quoted_text,"'17 wells connected to a new Floating Production, Storage and Offloading vessel (FPSO)' with 'nameplate capacity of 95,000 barrels of oil per day' / 'first oil expected in less than 3 years, in the first half of 2029' / 'five offshore fields across the two blocks - Palas, Astraea and Juno in Block 31 and Urano and Dione in Block 31/21'",2026-07-14,medium,press_release,"MOST RECENT FID IN THIS TABLE (22 June 2026). Angola's first integrated cross-block development. Eni systematically OMITS capex from FID releases — confirmed across Coral South, Coral North and Greater PAJ.",True
