SN_EOR_FK,SN_EOR_WELL_COMP,INTERVAL,COMP_LEASE_NUMBER,COMP_AREA_CODE,COMP_BLOCK_NUMBER,COMP_STATUS_CD
-129631,-19884,S1,G15607,GC,  743,WIW
-135359,-19889,S1,G11080,GC,  644,WIW
-135473,-19898,S1, 00370,BM,    3,POW
-133795,-20002,S1, 00827,SS,  209,POW
-143412,-21442,S4, 00827,SS,  209,PGW
-143412,-21443,S5, 00827,SS,  209,POW
-143548,-21447,S1,G01187,SM,   27,GLO
-143300,-21465,S4, 00829,SS,  219,PGW
-142700,-21453,S1,G33636,EI,  314,GLO
-143864,-21456,S1,G07937,MC,  383,POW
-191453,-28095,S2,G02280,SM,  130,PGW
-194093,-28201,S2,G13997,MC,   29,POW
-196759,-28607,S3, 00457,ST,  131,POW
-196401,-28608,S1,G35313,MC,   82,POW
-196776,-28610,S1, 00456,ST,  130,POW
-196568,-28769,S1,G28030,MC,  948,POW
-198777,-29081,S2,G12136,EW,  873,POW
-201495,-29912,S2,G02705,HI,A 547,GLO
-201990,-30297,S1,G19974,MC,  613,POW
-174831,-26560,S1,G02914,EI,  341,POW
-174291,-26568,S2,G32334,MC,  547,POW
-175488,-26638,S3, 00052,EI,  126,PGW
-175030,-26643,S2,G15050,WC,   33,OSI
-121040,-26658,S3, 00385,WD,   29,GLO
-174178,-26677,S2,G34551,GC,  511,WIW
-175696,-26904,S6,G10736,EI,  187,POW
-177090,-26949,S2,G33140,EW,  790,POW
-177980,-27144,S1,G00989,EI,  276,WIW
-177980,-27145,S2,G00989,EI,  276,WSW
-178449,-27206,S2,G01865,EI,   64,PGW
-179391,-27516,S1,G09637,ST,   38,POW
-183139,-27756,S3, 00063,SS,   93,PGW
-196444,-29111,S1,G28100,GC,  869,POW
-199295,-29296,D3,G02587,SM,  128,PGW
-199636,-29343,S6,G34829,SS,   92,PGW
-176189,-26871,S1,G32301,MC,  199,OSI
-186513,-28269,S1,G16942,WR,   29,OSI
-186093,-27906,S5, 00796,EI,  100,PGW
-198767,-29110,S3,G01634,MP,  144,POW
-198827,-29292,S1,G08496,MC,  657,OSI
-199083,-29335,S1,G24130,MC,  942,POW
-198305,-29573,S2,G18402,GC,  608,OSI
-202115,-30129,S3,G01316,MP,  299,POW
-202177,-30425,S2,G35662,GC,  478,POW
-173560,-26541,S1,G16942,WR,   29,OSI
-175399,-26751,S1,G31534,MC,  940,OSI
-175852,-26779,S1, 00829,SS,  219,POW
-176271,-26836,S5, 00064,SS,  114,POW
-178353,-27161,S1,G00989,EI,  276,POW
-174847,-27409,S2,G26313,GC,  468,POW
-180150,-27475,S2,G13064,VK,  862,POW
-180528,-27540,S1, 00390,GI,   26,POW
-180967,-27541,S1,G27278,MC,  519,OSI
-194613,-28220,S3, 00166,ST,   23,GLO
-199067,-29142,S3, 00386,ST,   23,POW
-201720,-30005,S1,G09982,GC,  826,POW
-202235,-30162,S2,G05900,GC,  109,POW
-202273,-30188,S4,G02592,SM,  149,PGW
-201955,-30224,S1,G07962,MC,  806,OSI
-172510,-26114,S1,G05052,SP,   83,PGW
-172392,-26115,S5,G24926,SS,  120,PGW
-172291,-26129,S1,G07962,MC,  806,POW
-175969,-26808,S1,G02914,EI,  341,POW
-176809,-27146,S1,G26313,GC,  468,WIW
-176809,-27147,S2,G26313,GC,  468,WIW
-177840,-27181,S1,G02638,MC,  194,PGW
-178647,-27261,S1,G12209,GC,  200,POW
-178809,-27548,S1,G17571,AC,  901,OSI
-182232,-27670,S1,G34886,MC,   74,OSI
-192893,-28208,S1,G11081,GC,  645,POW
-198419,-29137,S1,G35295,EW,  877,POW
-176087,-26894,S1, 00063,SS,   93,POW
-177177,-26935,S2, 00810,EI,  246,PGW
-175700,-26941,S1,G33177,MC,  793,POW
-178069,-27098,S2, 00577,EI,  208,POW
-177870,-27127,S3,G33607,VR,  341,POW
-178073,-27153,S2,G25098,MC,  546,POW
-178158,-27165,S3,G02280,SM,  130,POW
-178018,-27213,S1,G22873,MC,  387,OSI
-178235,-27249,S1,G07976,MC,  935,POW
-178250,-27266,S1,G12136,EW,  873,POW
-178668,-27285,S4,G06893,VK,  912,PGW
-179253,-27310,S1,G33701,VK,  999,OSI
-178951,-27369,S6,G14585,MP,  264,PGW
-178907,-27370,S1, 00456,ST,  130,POW
-179467,-27429,S1,G12136,EW,  873,POW
-179933,-27436,S3, 00051,EI,  125,OSI
-179170,-27468,S1,G34460,MC,  811,POW
-180153,-27490,S1,G26252,MC,  391,POW
-180567,-27515,S2,G07957,MC,  762,POW
-180968,-27543,S1,G16641,MC,  696,OSI
-180729,-27573,S1,G27277,MC,  503,OSI
-195600,-28315,S1,G14585,MP,  264,PGW
-174309,-26379,S1,G26315,GC,  512,OSI
-175028,-26734,S2,G13672,VK,  734,POW
-178108,-27125,S9,G21655,SS,  109,PGW
-178210,-27230,S1,G26252,MC,  391,POW
-178772,-27233,S2,G11075,GC,  562,POW
-180471,-27554,S2,G34909,MC,  794,POW
-180628,-27587,S2,G02643,MC,  151,POW
-180668,-27626,S1,G12210,GC,  201,POW
-172327,-26096,S6,G02572,VR,  331,PGW
-174627,-26570,S1,G15879,GB,  341,POW
-178592,-27237,S1,G02914,EI,  341,POW
-177489,-27238,S1,G34461,MC,  812,POW
-178927,-27305,S4,G02624,ST,   36,PGW
-179030,-27378,S1,G31534,MC,  940,OSI
-180629,-27486,S2,G32301,MC,  199,POW
-199147,-29238,S2,G12088,MP,  123,POW
-197264,-29249,S1,G16764,GC,  609,OSI
-198498,-29280,S1,G07958,MC,  763,POW
-199536,-29518,S1,G09821,MC,  520,POW
-201816,-30123,S5, 00066,SS,  112,POW
-202399,-30186,S3,G33701,VK,  999,POW
-202677,-30226,S2,G04231,SS,  181,GLO
-203052,-30386,S1,G32504,GC,  432,POW
-174591,-26545,S1,G12136,EW,  873,OSI
-176036,-26743,S1,G07962,MC,  806,POW
-177048,-27030,S1,G04452,EI,  182,WIW
-178131,-27133,S4,G02705,HI,A 547,PGW
-182594,-27711,S1,G09981,GC,  825,POW
-192573,-28170,S2,G04832,MP,  108,PGW
-197648,-28749,S4,G01351,WC,   48,PGW
-202104,-30256,S2, 00386,ST,   23,GLO
-203027,-30325,S1,G33757,MC,  782,POW
-178196,-27157,S4,G01140,VR,  215,PGW
-179193,-27289,S2,G21785,GC,  141,PGW
-179211,-27303,S1,G02061,EC,  321,PGW
-179968,-27598,S2,G21776,MC,  682,POW
-180509,-27522,S1,G12010,SS,  359,POW
-198937,-29206,S4,G02587,SM,  128,POW
-198847,-29207,S2,G02115,EI,  330,POW
-199380,-29375,S1,G36208,EI,  261,POW
-199640,-29387,S2,G33757,MC,  782,POW
-173940,-26397,S4, 00134,GI,   48,GLO
-174148,-26401,S4, 00333,SS,   30,PGW
-174447,-26404,S1,G00983,EI,  252,PGW
-174375,-26427,S3,G02115,EI,  330,POW
-173946,-26428,S1,G14482,EI,  346,PGW
-174453,-26483,S1,G01240,ST,   51,POW
-175543,-26699,S1,G35325,MC,  257,POW
-175669,-26713,S4,G12008,SS,  349,PGW
-175907,-27051,S1,G20082,GC,  640,OSI
-179071,-27366,S1,G08736,WD,  107,POW
-174520,-26524,S2, 00821,SS,  183,POW
-175107,-26632,S1,G19966,MC,  562,POW
-175089,-26662,S2,G33757,MC,  782,POW
-176915,-26972,S3,G02826,WC,   66,GLO
-175994,-26772,S1,G24064,MC,  255,OSI
-176227,-26975,S1,G16942,WR,   29,OSI
-177151,-26976,S4,G19931,MC,  243,GLO
-178503,-27240,S2,G01315,MP,  298,GLO
-179691,-27502,S1,G16661,MC,  941,OSI
-179950,-27615,S4,G16623,MC,  582,POW
-181388,-27620,S1,G26253,MC,  392,POW
-198195,-28965,S2,G00989,EI,  276,GLO
-198055,-28979,S1,G04909,MP,   64,POW
-199811,-29364,S3,G31498,MC,  427,POW
-202923,-30319,S3,G02118,EI,  338,GLO
-177069,-26981,S6, 00066,SS,  112,PGW
-177068,-27024,S2,G01634,MP,  144,POW
-178555,-27450,S1,G26315,GC,  512,POW
-197309,-28696,S1,G33757,MC,  782,POW
-198638,-29054,S1,G33757,MC,  782,POW
-198200,-29092,S1,G12136,EW,  873,POW
-201209,-29825,S2,G06093,GA,  209,POW
-172030,-25976,S1,G19925,MC,  127,OSI
-171797,-25978,S3,G01106,WD,  133,POW
-176388,-27212,S1,G12355,SS,  198,POW
-176948,-27269,S1,G07998,GC,  202,POW
-180412,-27506,S2,G33177,MC,  793,POW
-187393,-27984,S1,G12136,EW,  873,POW
-185273,-27985,S1,G17001,WR,  508,POW
-200156,-29514,S2,G08736,WD,  107,POW
-200395,-29764,S1,G31534,MC,  940,POW
-201175,-30003,S1,G31534,MC,  940,POW
-202268,-30164,S1,G00989,EI,  276,GLO
-202535,-30205,S1,G07958,MC,  763,OSI
-174370,-26470,S3,G02625,ST,   37,POW
-173955,-26474,S1,G14653,MC,  766,GLO
-178247,-27265,S1,G07962,MC,  806,POW
-179609,-27361,S3,G02280,SM,  130,GLO
-197455,-29029,S1,G16647,MC,  772,POW
-202808,-30294,S2,G10638,EC,  328,POW
-202796,-30295,S3,G10638,EC,  328,POW
-202744,-30254,S3,G00989,EI,  276,GLO
-178689,-27221,S5,G21592,VR,   71,PGW
-178002,-27268,S1,G12010,SS,  359,POW
-179023,-27394,S4, 00180,WD,   68,POW
-197919,-28939,S1,G32504,GC,  432,POW
-197916,-29082,S1, 00166,ST,   23,POW
-199236,-29236,S2,G32301,MC,  199,POW
-199138,-29234,S3,G02111,EI,  314,POW
-199188,-29250,S1, 00370,BM,    3,WSW
-199188,-29251,S2, 00370,BM,    3,WIW
-199366,-29279,S2, 00461,ST,  134,POW
-202297,-30347,S3,G09982,GC,  826,WIW
-202740,-30263,S1,G01194,SM,   58,POW
-202740,-30264,S2,G01194,SM,   58,POW
-202851,-30361,S1,G12136,EW,  873,GLO
-203235,-30417,D3,G12088,MP,  123,POW
-202960,-30420,S1,G20082,GC,  640,OSI
-176882,-27080,S1,G10437,DC,    4,OSI
-197892,-28996,S3,G03197,MP,  120,PGW
-199120,-29356,S1,G07962,MC,  806,POW
-202265,-30201,S1,G24107,MC,  771,POW
-202203,-30216,S1,G32303,MC,  208,POW
-202799,-30286,S1,G12136,EW,  873,GLO
-175189,-26648,S1,G02914,EI,  341,POW
-176727,-26943,S1,G22919,MC,  984,GLO
-178912,-27296,D4,G08658,EC,  331,GSI
-197826,-28828,S3,G11075,GC,  562,POW
-198042,-29340,S1,G11081,GC,  645,POW
-200881,-29784,S1,G09982,GC,  826,POW
-201785,-30054,S1,G09982,GC,  826,WIW
-201967,-30182,S1,G36780,MC,  727,POW
-201775,-30258,S3,G07917,EW,  306,POW
-202977,-30342,S1,G36118,EI,  324,PGW
-203013,-30357,S2,G01194,SM,   58,OSI
-203013,-30358,S1,G01194,SM,   58,GLO
-171927,-25957,S3,G02757,HI,A 382,GLO
-171730,-25970,S3,G01294,SP,   62,POW
-173315,-26358,S1,G02883,SM,  127,GSI
-173701,-26402,S4, 00133,GI,   47,POW
-175395,-26763,S1,G11080,GC,  644,POW
-174178,-26674,S1,G34551,GC,  511,WIW
-176849,-26983,S1, 00831,SS,  230,PGW
-195139,-28255,S2,G01205,SM,   73,PGW
-193693,-28296,D1,G07962,MC,  806,OSI
-193693,-28297,D2,G07962,MC,  806,POW
-196267,-28599,S3,G35805,EW,  789,POW
-196219,-28604,S1,G35312,MC,   81,POW
-176707,-26861,S2,G15565,GC,  248,POW
-176670,-26960,S4,G14385,EC,  349,PGW
-176287,-26979,D6, 00593,SS,  198,PGW
-176391,-27082,S1,G12136,EW,  873,OSI
-181089,-27547,S5, 00820,SS,  169,OSI
-180349,-27558,S6,G08736,WD,  107,OSI
-187133,-27982,S1, 00386,ST,   23,POW
-172994,-26183,S2, 00821,SS,  183,PGW
-173670,-26277,S3,G04832,MP,  108,PGW
-175268,-26598,S1,G05040,EI,  316,GLO
-195902,-28409,S3,G02705,HI,A 547,PGW
-196567,-28779,S1,G24107,MC,  771,POW
-201514,-30004,S1,G03169,SS,  238,POW
-172497,-26149,S1,G07493,GB,  427,POW
-174348,-26683,D2,G01034,SS,  266,GLO
-175876,-26686,S1,G03776,SM,  106,GLO
-175678,-26750,S4,G04481,MP,   77,GLO
-177808,-27071,S2,G01240,ST,   51,GLO
-179310,-27571,S2,G07995,GC,  158,POW
-183476,-27898,S1,G07958,MC,  763,POW
-181149,-27746,S1,G14658,MC,  822,POW
-203176,-30389,S2,G01634,MP,  144,POW
-203215,-30394,S2, 00831,SS,  230,GLO
-202938,-30398,S2,G14658,MC,  822,POW
-203318,-30485,S1, 00369,BM,    2,POW
-202612,-30488,S1, 00166,ST,   23,WIW
-174294,-26475,S1,G02914,EI,  341,POW
-174968,-26516,S4,G03959,SA,   13,GLO
-175527,-26697,S1,G02914,EI,  341,POW
-175085,-26959,S1,G31418,ST,  311,OSI
-196478,-28666,S1,G36119,EI,  325,GSI
-196447,-28678,S1,G01194,SM,   58,POW
-176832,-27159,S1, 00346,SS,   28,GSI
-179547,-27524,S1,G07963,MC,  807,WIW
-197754,-28814,S1,G20085,GC,  654,WIW
-197590,-28815,S2,G00981,EI,  237,GLO
-198358,-29030,S1,G32654,KC,  918,POW
-203280,-30446,S2,G13964,MP,  122,PGW
-172249,-26145,S1,G02118,EI,  338,POW
-175404,-26601,S2,G33636,EI,  314,POW
-174267,-26676,S1,G33140,EW,  790,POW
-190836,-28000,S6,G02316,SM,  288,PGW
-195307,-28328,S1,G22987,GC,  680,OSI
-195298,-28329,S1,G03229,GA,  192,POW
-195615,-28331,S1,G10741,EI,  253,WIW
-197581,-28880,S1, 00166,ST,   23,POW
-173208,-26118,S2,G34805,VR,  301,PGW
-171619,-26126,S1,G11075,GC,  562,OSI
-175406,-26623,S3,G05052,SP,   83,PGW
-175856,-26730,S1,G10350,GB,  386,POW
-201537,-30010,S2,G24064,MC,  255,OSI
-177687,-27084,S1, 00796,EI,  100,POW
-189513,-28173,S1,G26252,MC,  391,WIW
-194893,-28226,S4, 00796,EI,  100,PGW
-195215,-28267,S2,G12136,EW,  873,GLO
-196397,-28571,S1, 00370,BM,    3,POW
-196928,-28679,S1, 00026,WD,   30,POW
-197294,-28712,S1, 00063,SS,   93,POW
-196988,-28694,S1,G36118,EI,  324,GSI
-199414,-29597,S1,G25852,DC,  353,POW
-171673,-25925,S1,G10638,EC,  328,OSI
-171803,-25934,S3,G06280,EB,  165,GLO
-171423,-25936,S4,G01966,MP,  152,PGW
-171557,-25938,S8,G21655,SS,  109,PGW
-176268,-26791,S4,G01316,MP,  299,POW
-176831,-26870,S1,G16727,GC,  282,POW
-175608,-26875,S2,G01031,SS,  253,POW
-197138,-28771,S3,G05646,ST,  295,OSI
-197443,-28838,S1,G06093,GA,  209,PGW
-203342,-30533,S1,G20870,AC,  856,POW
-203596,-30535,S3,G02592,SM,  149,POW
-173908,-26270,S3,G03336,ST,   35,POW
-176387,-26801,S1,G26313,GC,  468,POW
-176114,-26848,S3,G02719,HI,A 582,POW
-196413,-28625,S1,G33178,MC,  816,OSI
-203317,-30443,S1,G00989,EI,  276,POW
-203657,-30527,S2,G33757,MC,  782,POW
-196364,-28657,S1,G35827,MC,  505,OSI
-199619,-29602,S1,G11081,GC,  645,POW
-173648,-26205,S2,G15607,GC,  743,POW
-182836,-27794,S2,G02280,SM,  130,POW
-196049,-28424,S2, 00457,ST,  131,PGW
-195319,-28456,S1,G14658,MC,  822,POW
-195638,-28458,S2,G07493,GB,  427,PGW
-195878,-28460,S1,G34467,MC,  943,POW
-195218,-28465,S1,G07957,MC,  762,POW
-196225,-28494,S4,G02625,ST,   37,POW
-196042,-28495,S1,G35865,GC,  390,POW
-196143,-28529,S3,G01665,MP,  288,POW
-197902,-28916,S3, 00457,ST,  131,POW
-201057,-29891,S1,G09184,EB,  643,OSI
-201415,-29917,S1,G33757,MC,  782,POW
-171789,-26132,D5,G12355,SS,  198,PGW
-172409,-26138,S4,G01984,SS,  225,PGW
-182595,-27712,S1,G09982,GC,  826,POW
-184293,-27881,S1,G04940,GC,   18,POW
-198736,-29225,S1,G13964,MP,  122,POW
-188093,-27939,S1,G24102,MC,  727,OSI
-189613,-28002,S2, 00374,MP,   41,POW
-200327,-29586,S4,G05800,EW,  826,GLO
-200882,-29780,S1,G02118,EI,  338,POW
-200642,-29923,S1,G31507,MC,  525,POW
-176570,-26988,S3,G01034,SS,  266,PGW
-199973,-29565,S1,G16942,WR,   29,OSI
-202580,-30367,S1,G36061,GC,  944,OSI
-203023,-30454,S1, 00830,SS,  229,GLO
-202600,-30468,S1,G31752,GC,  807,OSI
-203602,-30539,D1,G02587,SM,  128,GLO
-203579,-30543,S2,G36119,EI,  325,PGW
-174333,-26458,S3, 00810,EI,  246,PGW
-193174,-28218,S1,G00983,EI,  252,POW
-196020,-28451,S1,G35295,EW,  877,OSI
-197622,-29027,S1,G34467,MC,  943,OSI
-201895,-30102,S3,G06898,VK,  989,GLO
-201659,-30109,S1,G34909,MC,  794,POW
-172153,-26050,S1,G03776,SM,  106,GLO
-172070,-26056,D1,G01083,WD,   73,POW
-173571,-26272,S2,G01316,MP,  299,POW
-173907,-26281,S2,G32301,MC,  199,OSI
-173498,-26306,D3, 00577,EI,  208,GLO
-176035,-26783,S1,G01449,WD,   79,POW
-178728,-27255,S2,G24878,SM,  192,POW
-179020,-27325,S4,G27509,HI,  176,PGW
-178891,-27363,S1,G12136,EW,  873,GLO
-180130,-27467,S4,G02592,SM,  149,PGW
-180413,-27550,D3,G00989,EI,  276,GLO
-201458,-29932,S1,G15607,GC,  743,WIW
-201508,-29955,S2,G33757,MC,  782,POW
-201687,-30045,S1, 00456,ST,  130,POW
-203126,-30427,S1,G34266,SM,   71,GLO
-182597,-27713,S1,G09982,GC,  826,POW
-182837,-27768,S10,G21655,SS,  109,PGW
-182916,-27751,S3,G34909,MC,  794,POW
-182858,-27774,S1,G01194,SM,   58,PGW
-185214,-27904,S1,G01240,ST,   51,PGW
-197062,-28704,S1,G35662,GC,  478,POW
-199798,-29381,D3,G02115,EI,  330,GLO
-199286,-29568,S1,G17015,WR,  758,OSI
-200631,-30033,S1,G09867,MC,  777,POW
-202927,-30336,S2,G01315,MP,  298,POW
-203283,-30472,S1,G10350,GB,  386,POW
-202736,-30500,S1,G16942,WR,   29,OSI
-193393,-28228,S4,G01372,BS,   55,OSI
-198298,-29061,S4, 00830,SS,  229,POW
-182814,-27706,S4, 00839,WD,   94,POW
-182993,-27731,S1,G33757,MC,  782,POW
-191033,-28099,S1,G00983,EI,  252,POW
-190733,-28100,S1,G12166,MC,  765,WIW
-195134,-28308,S2,G17182,HI,A 472,GSI
-176153,-27044,S1,G07962,MC,  806,POW
-198756,-29106,S2,G36119,EI,  325,POW
-199046,-29218,S2, 00378,MP,   58,POW
-200875,-29695,S3,G33608,VR,  342,POW
-171530,-29760,S2,G16614,MC,  538,POW
-203236,-30511,S1,G07976,MC,  935,POW
-203578,-30541,S1,G00989,EI,  276,POW
-203024,-30545,S2,G35153,AC,  772,OSI
-203024,-30546,S1,G35153,AC,  772,OSI
-176172,-26809,S1,G01614,SP,   70,POW
-199095,-29173,S3,G01316,MP,  299,PGW
-171799,-26161,S2,G01967,MP,  153,POW
-171788,-26185,D6, 00182,WD,   70,POW
-171788,-26186,D7, 00182,WD,   70,POW
-173312,-26188,S2, 00457,ST,  131,GLO
-171887,-26254,S1,G11081,GC,  645,OSI
-177273,-26922,S1,G01022,SS,  218,GLO
-177272,-26923,S2,G32201,SS,  217,GLO
-177271,-26924,S2,G01022,SS,  218,GLO
-185713,-28222,S1,G21245,WR,  678,OSI
-197274,-28991,D4,G21685,ST,  308,OSI
-200792,-29896,S1,G18753,WR,  677,OSI
-202472,-30195,S1,G33757,MC,  782,POW
-202784,-30327,S1, 00166,ST,   23,POW
-202152,-30328,S1, 00166,ST,   23,POW
-202081,-30335,S1,G19997,MC,  775,POW
-173558,-26244,S5,G04243,WD,   86,PGW
-183513,-27818,S2,G14456,SM,  280,PGW
-184114,-27830,S4, 00419,SS,  150,OSI
-183258,-27849,S2,G14205,EB,  602,POW
-195374,-28336,S2,G01315,MP,  298,POW
-196455,-28556,S1,G03998,SS,  182,POW
-198305,-29254,S1,G18402,GC,  608,OSI
-200363,-29587,S3,G05800,EW,  826,GLO
-173267,-26236,S1,G17565,AC,  857,OSI
-195960,-28420,S3,G01316,MP,  299,POW
-195606,-28421,S1,G35864,GC,  389,OSI
-196088,-28472,S1,G06093,GA,  209,POW
-196535,-28542,S2,G31498,MC,  427,POW
-199240,-29255,S1,G01316,MP,  299,POW
-201863,-30060,S1,G11081,GC,  645,GLO
-203158,-30415,S4,G25142,GC,  385,OSI
-173650,-26296,S1,G09896,MC,  899,POW
-176595,-27047,S1,G35292,EW,  305,PGW
-195059,-28275,S2,G01036,SS,  269,PGW
-190033,-28361,S1,G21245,WR,  678,OSI
-195535,-28362,S1,G27083,SM,   50,PGW
-196746,-28718,S2,G33757,MC,  782,POW
-196817,-28719,S1,G25814,KC,  829,OSI
-180732,-27566,S1,G02625,ST,   37,POW
-182394,-27661,S1,G12209,GC,  200,POW
-199912,-29683,S1,G19409,AC,  815,OSI
-200835,-29692,S2,G10638,EC,  328,GLO
-201238,-29950,S1,G02118,EI,  338,POW
-203206,-30493,S1, 00369,BM,    2,POW
-171714,-25930,S3,G19931,MC,  243,GLO
-171722,-26102,S1,G01023,SS,  224,PGW
-172268,-26124,S1,G17565,AC,  857,OSI
-172827,-26128,S8,G18054,PL,   22,POW
-171789,-26131,D4,G12355,SS,  198,PGW
-172251,-26140,S2,G03959,SA,   13,GSI
-173675,-26310,S1,G02118,EI,  338,POW
-183555,-27790,S1,G35385,GC,   21,POW
-187953,-27935,S1,G15607,GC,  743,POW
-196054,-28527,S1,G07969,MC,  890,POW
-195479,-28528,S1,G26252,MC,  391,POW
-196091,-28750,S1,G14658,MC,  822,POW
-198659,-29262,S2,G02625,ST,   37,POW
-171447,-26005,S4, 00419,SS,  150,OSI
-171807,-26020,S1,G02118,EI,  338,POW
-179333,-27657,S1,G17565,AC,  857,POW
-195055,-28445,S2,G10638,EC,  328,GLO
-196324,-28552,S7, 00066,SS,  112,POW
-197295,-28686,S1,G03169,SS,  238,GLO
-197437,-28726,S3,G35295,EW,  877,POW
-200326,-29810,S1,G13075,EW,  874,POW
-201681,-30040,S1,G15607,GC,  743,POW
-201981,-30092,S3,G00983,EI,  252,POW
-173078,-26318,S1,G20082,GC,  640,OSI
-174071,-26339,S1,G09821,MC,  520,POW
-176684,-26907,S3, 00081,WC,  110,PGW
-177710,-27545,D7,G15277,SS,   79,GSI
-195860,-28379,S1,G01315,MP,  298,GLO
-195896,-28380,S2,G24060,MC,  215,POW
-196742,-28596,S1,G35295,EW,  877,POW
-196107,-28611,S1,G14205,EB,  602,POW
-196402,-28612,S1,G12136,EW,  873,POW
-195961,-28620,S1,G09982,GC,  826,POW
-197039,-28741,S1,G06093,GA,  209,PGW
-173907,-26282,S3,G32301,MC,  199,OSI
-171087,-26283,S3, 00370,BM,    3,POW
-173382,-26284,S1,G08241,GB,  426,POW
-172154,-26286,S1,G17001,WR,  508,OSI
-174268,-26382,S3, 00310,SM,  212,POW
-184953,-27872,S1,G21447,KC,  919,POW
-195957,-28396,S2,G33757,MC,  782,POW
-195899,-28422,S1,G01316,MP,  299,POW
-196113,-28448,S1, 00063,SS,   93,GLO
-196241,-28497,S1,G01316,MP,  299,POW
-196368,-28519,S3,G04231,SS,  181,PGW
-173927,-26312,S1,G19931,MC,  243,GLO
-196166,-28471,S3,G12355,SS,  198,POW
-196695,-28715,S1,G04809,SM,  161,POW
-202277,-30165,S2,G01022,SS,  218,POW
-202463,-30436,S2,G24184,GC,  770,OSI
-184153,-27841,S5,G01870,ST,   26,POW
-189393,-28082,S2,G12136,EW,  873,POW
-193873,-28178,S3,G02625,ST,   37,POW
-196278,-28491,S3,G01134,VR,  191,PGW
-196286,-28492,S1,G18194,MC,  126,OSI
-195294,-28504,S1,G12139,EW,  917,POW
-196092,-28516,S2,G04832,MP,  108,PGW
-174010,-26304,S2,G07963,MC,  807,GLO
-172393,-26309,S1,G19997,MC,  775,OSI
-182493,-27685,S2,G01019,SS,  182,POW
-180627,-27743,S2,G07958,MC,  763,POW
-180627,-27744,S3,G07958,MC,  763,POW
-196280,-28503,S1,G12136,EW,  873,POW
-196176,-28548,S2,G10741,EI,  253,WSW
-195216,-28553,S3,G16500,MP,  138,PGW
-197718,-28850,S1,G06093,GA,  209,POW
-197438,-29014,S1,G16644,MC,  728,POW
-173405,-26311,S1,G02118,EI,  338,POW
-182268,-27686,S1,G01194,SM,   58,PGW
-182596,-27716,S1,G09981,GC,  825,POW
-183012,-27766,S2, 00387,ST,   24,POW
-184575,-27909,S1,G09981,GC,  825,OSI
-195698,-28382,S2,G02587,SM,  128,POW
-197656,-28757,S1,G35312,MC,   81,POW
-201000,-29863,S1,G36060,GC,  943,OSI
-172273,-26207,S1,G12010,SS,  359,POW
-173083,-26209,S4,G01372,BS,   55,OSI
-173007,-26308,S1,G07917,EW,  306,POW
-173993,-26314,S2,G02118,EI,  338,POW
-173715,-26320,S3,G01317,MP,  300,POW
-171768,-26398,S2,G32201,SS,  217,PGW
-173167,-26442,S1,G31534,MC,  940,OSI
-174593,-26504,S2,G02625,ST,   37,POW
-181887,-27658,S2,G02281,SM,  131,GLO
-181510,-27683,S1,G17001,WR,  508,POW
-182478,-27811,S1,G07493,GB,  427,POW
-185213,-27892,S3,G01240,ST,   51,POW
-183396,-27925,S1,G17565,AC,  857,POW
-200054,-29610,S1,G34469,DC,   90,POW
-171588,-25974,S1,G07493,GB,  427,PGW
-171649,-25985,S2,G19996,MC,  773,POW
-171388,-25986,S1,G12136,EW,  873,POW
-171061,-25997,S1,G35805,EW,  789,POW
-175267,-26644,S1,G26253,MC,  392,OSI
-176369,-26798,S2,G02625,ST,   37,POW
-175681,-26864,S1, 00390,GI,   26,GLO
-177671,-27203,S1,G36365,GI,   82,PGW
-179007,-27322,S2,G02076,VR,  214,GLO
-178077,-27340,S1,G16644,MC,  728,POW
-178274,-27385,S1,G24101,MC,  726,OSI
-178589,-27434,S1,G20082,GC,  640,GSI
-179317,-27440,S1,G02625,ST,   37,POW
-181567,-27655,S1,G25852,DC,  353,OSI
-180154,-27650,S1,G02625,ST,   37,POW
-196001,-28573,S1,G17001,WR,  508,POW
-202790,-30304,S1, 00392,GI,   37,POW
-171567,-25874,S2, 00310,SM,  217,PGW
-169640,-25876,S2,G08484,MC,   84,POW
-171233,-25888,S0,G01146,VR,  245,POW
-171187,-25894,S1,G02625,ST,   37,POW
-171667,-25899,S3,G01082,WD,   72,PGW
-171109,-25939,S5,G14585,MP,  264,PGW
-171989,-25951,S1,G02118,EI,  338,POW
-171960,-25968,S1,G02914,EI,  341,GLO
-172331,-26060,S3,G02275,VR,  370,POW
-172391,-26075,S4,G08680,SM,   18,PGW
-172610,-26086,S8,G01182,SM,   11,POW
-187473,-27953,S2,G12010,SS,  359,OSI
-185373,-27950,S1,G11080,GC,  644,WIW
-190013,-27995,S1,G26253,MC,  392,POW
-190595,-28018,S2,G02280,SM,  130,POW
-191733,-28195,S1,G10741,EI,  253,POW
-194059,-28287,S3,G06898,VK,  989,POW
-195882,-28411,S1,G06898,VK,  989,PGW
-202620,-30217,S1,G35864,GC,  389,POW
-202076,-30227,S1,G04127,MP,  313,POW
-202154,-30259,S1,G22919,MC,  984,POW
-173870,-26287,S1,G01146,VR,  245,POW
-173290,-26290,S5, 00577,EI,  208,GLO
-174090,-26444,S1,G19409,AC,  815,OSI
-177029,-26969,S2, 00374,MP,   41,POW
-182267,-27678,S6,G07917,EW,  306,PGW
