SN_APD_FK,SN_ATTACHMENT_BLOB_FK,ATT_NAME,ATT_EXTENSION
-2963,-92558,Supplemental APD Information Sheet,pdf
-2963,-92559,Evaluation / Logging Program,pdf
-2963,-92560,Operator Statement in response to NTL No. 2006-G09,pdf
-2963,-92561,"6"" +10 valve schematic",pdf
-2963,-92562,Change diverter size,pdf
-2964,-95074,Proposed Well Location Plat,pdf
-2678,-81859,procedure,pdf
-2936,-91384,5.5 LINER,pdf
-2964,-96135,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3621,-121256,+10 Ball Valve Schematic,pdf
-3626,-122701,Directional Program,pdf
-2695,-82335,Proposed Well Location Plat,pdf
-2695,-82336,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2695,-82337,Directional Program,pdf
-2695,-82338,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2695,-82339,Proposed Wellbore Schematic,pdf
-2695,-82340,Safe Welding Area Drawing,pdf
-2695,-82341,ABS/DNV Certificate,pdf
-2695,-82342,Engineering Calculation,pdf
-2695,-82343,Departure List,pdf
-2695,-82344,BOP & Diverter Schematics with Operating Procedures,pdf
-2695,-82345,U.S. Coast Guard Certificate,pdf
-2644,-80348,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2644,-80355,Proposed Wellbore Schematic,pdf
-2644,-81052,Safe Welding Area Drawing,pdf
-2644,-80358,ABS/DNV Certificate,pdf
-2644,-80345,Engineering Calculation,pdf
-2644,-81158,BOP & Diverter Schematics with Operating Procedures,pdf
-2644,-80359,U.S. Coast Guard Certificate,pdf
-2528,-76248,Application for Permit to Drill,PDF
-3511,-115196,"Wellbore Schematic with 4.5"" liner",pdf
-3513,-115584,SM 80 A3 Compliance NTL 2006 G09,pdf
-3518,-115615,Proposed Well Bore Sketch Rev. 1,pdf
-3288,-110069,temperature statement,pdf
-3414,-110445,Proposed Well Location Plat,pdf
-3414,-110446,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3414,-110447,Directional Program,pdf
-3414,-110448,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3414,-110449,Proposed Wellbore Schematic,pdf
-3414,-110450,ABS/DNV Certificate,pdf
-3414,-110451,Engineering Calculation,pdf
-3414,-110452,BOP & Diverter Schematics with Operating Procedures,pdf
-3414,-110453,"6"" +10 valve schematic",pdf
-3414,-110455,logging program,pdf
-3414,-110456,mud products list,pdf
-3417,-117564,Proposed Well Location Plat,pdf
-3417,-117561,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3417,-117565,Directional Program,pdf
-3417,-117567,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3417,-117563,Proposed Wellbore Schematic,pdf
-3417,-117562,Engineering Calculation,pdf
-3417,-116544,BOP & Diverter Schematics with Operating Procedures,pdf
-2880,-89510,BOP & Diverter Schematics with Operating Procedures,pdf
-2880,-89511,WC 254 NTL 2006-G09_2006 Hurricane Season,pdf
-2880,-89513,+10 valve,pdf
-2870,-89683,procedure,pdf
-2870,-89684,spreadsheet,pdf
-2886,-89993,Proposed Well Location Plat,pdf
-2886,-98323,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2886,-89994,Directional Program,pdf
-2886,-95356,ABS/DNV Certificate,pdf
-2886,-94611,BOP & Diverter Schematics with Operating Procedures,pdf
-2679,-89986,Comment Information,pdf
-2891,-89957,EI 391 #1 Current WB Schematic,pdf
-2892,-90307,Proposed Well Location Plat,pdf
-2892,-90577,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2892,-89988,Directional Program,pdf
-2892,-90325,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2892,-90306,Proposed Wellbore Schematic,pdf
-2892,-90329,Engineering Calculation,pdf
-2892,-90328,BOP & Diverter Schematics with Operating Procedures,pdf
-2682,-89985,Comment Information,pdf
-3035,-95839,Proposed Well Location Plat,pdf
-3035,-95719,BOP & Diverter Schematics with Operating Procedures,pdf
-3513,-127701,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3513,-127700,Proposed Wellbore Schematic,pdf
-3513,-127699,Engineering Calculation,pdf
-3615,-121355,VR 162 #1 Geological Documentation,pdf
-3626,-122704,Proposed Well Location Plat,pdf
-3626,-122702,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3626,-122700,Proposed Wellbore Schematic,pdf
-3626,-122697,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2225,-83022,Revised APD Information Sheet 2/20/2006,pdf
-3414,-110454,conductor casing waiver statement,pdf
-2886,-94814,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2886,-94813,Proposed Wellbore Schematic,pdf
-2886,-94811,Engineering Calculation,pdf
-2667,-89987,Comment Information,pdf
-3035,-95754,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3035,-95762,Directional Program,pdf
-3035,-95757,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3035,-95705,Proposed Wellbore Schematic,pdf
-3035,-95755,Engineering Calculation,pdf
-2723,-83473,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3035,-95145,UM1-A Structure Map,pdf
-2695,-82346,MASP,pdf
-2695,-82347,+10 Valve,pdf
-2695,-82348,MMS123S,pdf
-2695,-82349,Revised Casing Detail_4-13-06,pdf
-2695,-82350,Revised 123S_4-13-06,pdf
-2695,-82351,Revised WBS_04-13-06,pdf
-2586,-82402,Cross Section,pdf
-2586,-82403,Strat Column,pdf
-2964,-92770,Directional Program,pdf
-2964,-95136,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2964,-92714,Proposed Wellbore Schematic,pdf
-2654,-80950,Casing Design,pdf
-2654,-80951,Cement Design,pdf
-2655,-81504,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2615,-81471,Application for Permit to Drill,PDF
-2599,-81238,Mud Disposal & Zone Protection Statements,pdf
-2599,-81972,Application for Permit to Drill,PDF
-2545,-82155,Application for Permit to Drill,PDF
-2225,-83258,Application for Permit to Drill,PDF
-2723,-83586,Application for Permit to Drill,PDF
-2667,-85478,OSFR Letter,pdf
-2679,-85484,OSFR Letter,pdf
-2808,-86566,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2808,-86557,Directional Program,pdf
-2808,-86569,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2808,-86568,Proposed Wellbore Schematic,pdf
-2808,-86560,ABS/DNV Certificate,pdf
-2808,-86567,Engineering Calculation,pdf
-2808,-86562,BOP & Diverter Schematics with Operating Procedures,pdf
-2808,-86563,EPA - Notice of Intent for Coverage,pdf
-2808,-86564,"16-3/4"" BOP Schematic",pdf
-2808,-86565,Additional Safety Remarks,pdf
-2808,-86555,Proposed Well Location Plat,pdf
-2587,-78321,BOP & Diverter Schematics with Operating Procedures,pdf
-2587,-78324,Location Plat - Public Copy,pdf
-2588,-78903,Proposed Well Location Plat,pdf
-2588,-82922,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2588,-78388,Directional Program,pdf
-2588,-78385,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2588,-78384,Proposed Wellbore Schematic,pdf
-2588,-82926,Engineering Calculation,pdf
-2588,-82929,Departure List,pdf
-2588,-82737,BOP & Diverter Schematics with Operating Procedures,pdf
-2566,-78496,+10 Valve Schematic,pdf
-2603,-78918,shutin procedure,pdf
-2588,-78921,EC 269 #1 Barite Sack Calculations,pdf
-2644,-80349,Barite Statement,pdf
-2603,-79386,spreadsheet,pdf
-2613,-79398,Revised MMS Form 123-S,pdf
-3431,-111648,Proposed Well Location Plat,pdf
-3431,-111168,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3431,-111174,Directional Program,pdf
-3431,-111172,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3431,-111171,Proposed Wellbore Schematic,pdf
-3431,-111170,Engineering Calculation,pdf
-3425,-111144,Revised WBS (08/14/06),pdf
-3431,-111192,BOP & Diverter Schematics with Operating Procedures,pdf
-3434,-111386,Proposed Well Location Plat,pdf
-3554,-117539,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3554,-117527,Directional Program,pdf
-3554,-117528,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3554,-117540,Proposed Wellbore Schematic,pdf
-3554,-117530,Engineering Calculation,pdf
-3554,-117531,Departure List,pdf
-3554,-117532,BOP & Diverter Schematics with Operating Procedures,pdf
-3554,-117533,EEP,pdf
-3554,-117534,Proprietary Plat,pdf
-3554,-117535,Form MMS 123S,pdf
-3554,-117536,API Moored Drilling Rig Fitness Reqmts (NTL No. 2006-G10),pdf
-3417,-117569,Response to NTL 2006-G009,pdf
-3552,-117575,General Work Procedure,pdf
-2914,-117692,10' Valve Schematic,pdf
-3569,-118541,Proposed Well Location Plat,pdf
-3569,-118121,Directional Program,pdf
-3569,-119598,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3569,-119597,Proposed Wellbore Schematic,pdf
-3569,-119596,Engineering Calculation,pdf
-3569,-119594,BOP & Diverter Schematics with Operating Procedures,pdf
-2914,-118321,Cement Volume Calculations,pdf
-3577,-118537,Well Schematic,pdf
-3569,-118540,Pay Gov Payment Confirmation,pdf
-3055,-96069,Proposed Wellbore Schematic,pdf
-3055,-96070,Floater Evacuation Plan,pdf
-3055,-96071,Safe Welding Area Drawing,pdf
-3055,-96072,ABS/DNV Certificate,pdf
-3055,-96073,Engineering Calculation,pdf
-3055,-96074,Departure List,pdf
-3055,-96075,BOP & Diverter Schematics with Operating Procedures,pdf
-3055,-96076,U.S. Coast Guard Certificate,pdf
-3055,-96077,Rig Picture and Drawing,pdf
-3055,-96091,Mooring Hazards to Contractor & Anchor Info & Risk Assess,pdf
-3055,-96089,Permitting Comments to NTL 2006-G10 and API RP 75F,pdf
-2981,-96104,Cross Section and Structure Map,pdf
-3060,-96378,Proposed Well Location Plat,pdf
-3060,-99719,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3060,-96318,Directional Program,pdf
-3060,-96379,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3060,-96377,Proposed Wellbore Schematic,pdf
-3060,-96376,Engineering Calculation,pdf
-3060,-96380,BOP & Diverter Schematics with Operating Procedures,pdf
-3061,-96276,Proposed Well Location Plat,pdf
-3061,-98002,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3061,-96278,Directional Program,pdf
-3061,-96280,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3061,-97999,Proposed Wellbore Schematic,pdf
-3061,-96270,Engineering Calculation,pdf
-3061,-96311,BOP & Diverter Schematics with Operating Procedures,pdf
-3063,-96284,Proposed Well Location Plat,pdf
-3063,-96285,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3063,-96286,Directional Program,pdf
-3063,-96287,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3063,-96321,Proposed Wellbore Schematic,pdf
-3063,-96289,Engineering Calculation,pdf
-3006,-94646,Application for Permit to Drill,PDF
-3023,-94659,Application for Permit to Drill,PDF
-2983,-94660,Application for Permit to Drill,PDF
-2526,-77827,MMS 123s revised 3 27 06,pdf
-2575,-77873,+10' valve,pdf
-2575,-77875,Public well plat,pdf
-2545,-77897,"6"" +10 ball valve schematic",pdf
-2627,-80402,Application for Permit to Drill,PDF
-2637,-81348,Application for Permit to Drill,PDF
-2482,-79301,Application for Permit to Drill,PDF
-2612,-79357,Application for Permit to Drill,PDF
-2826,-87184,Proposed Well Location Plat,pdf
-2826,-87181,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2826,-87185,Directional Program,pdf
-2826,-87186,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2826,-87183,Proposed Wellbore Schematic,pdf
-2826,-87182,Engineering Calculation,pdf
-2826,-87305,BOP & Diverter Schematics with Operating Procedures,pdf
-2858,-88517,Proposed Well Location Plat,pdf
-2852,-88070,Operator Statement in response to NTL No. 2006-G09,pdf
-2858,-88514,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2858,-88518,Directional Program,pdf
-2858,-88519,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2858,-88516,Proposed Wellbore Schematic,pdf
-2858,-88877,Engineering Calculation,pdf
-2858,-92149,BOP & Diverter Schematics with Operating Procedures,pdf
-2855,-88783,Location Plat - Public Copy,pdf
-2689,-89136,EPA NOI,pdf
-2876,-89624,Cement Calculations,pdf
-2884,-89718,Proposed Well Location Plat,pdf
-2884,-89719,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2884,-89720,Directional Program,pdf
-2884,-89721,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2884,-89722,Proposed Wellbore Schematic,pdf
-2884,-89723,Engineering Calculation,pdf
-2884,-89724,BOP & Diverter Schematics with Operating Procedures,pdf
-2884,-89725,+10 valve,pdf
-2884,-89726,WC 254 NTL 2006-G09_2006 Hurricane Season,pdf
-2884,-89745,LOC Plat - Rev PBHL,pdf
-2884,-89746,WC 254-1 dir plan_rev PBHL,pdf
-2884,-89750,WC 254_FG-PP-MW rev PBHL,pdf
-2884,-89748,WC 254 _WBS rev PBHL,pdf
-2884,-89749,WC 254 APD Drilling Procedure rev 04,pdf
-2884,-89751,WC 254 csg_cmt worksheets 5_18_06,pdf
-2588,-80368,EC 269 #1 H2S Plan,pdf
-2654,-80930,Proposed Well Location Plat,pdf
-2654,-80947,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2654,-80932,Directional Program,pdf
-2654,-80949,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2654,-80948,Proposed Wellbore Schematic,pdf
-2654,-80953,Engineering Calculation,pdf
-2654,-80936,BOP & Diverter Schematics with Operating Procedures,pdf
-2654,-80937,U.S. Coast Guard Certificate,pdf
-2654,-80939,OSFR,pdf
-2654,-80940,Diverter Procedure,pdf
-2654,-80941,Exploration Plan Approval Letter,pdf
-2654,-80942,Mud Disposal Statement,pdf
-2654,-80945,Casing Pressure Test Calculations,pdf
-2654,-80946,NPDES Application,pdf
-2681,-81819,Proposed Well Location Plat,pdf
-2681,-81816,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2681,-81822,Directional Program,pdf
-2681,-81762,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2681,-81817,Proposed Wellbore Schematic,pdf
-2681,-81764,Engineering Calculation,pdf
-2681,-81765,Departure List,pdf
-2681,-81766,BOP & Diverter Schematics with Operating Procedures,pdf
-2653,-81768,G&G data,pdf
-2420,-76800,Application for Permit to Drill,PDF
-2378,-77268,Application for Permit to Drill,PDF
-2524,-77742,Application for Permit to Drill,PDF
-2539,-77747,Application for Permit to Drill,PDF
-2544,-80967,Application for Permit to Drill,PDF
-2725,-83710,Application for Permit to Drill,PDF
-2588,-83862,Application for Permit to Drill,PDF
-2736,-83905,Application for Permit to Drill,PDF
-2734,-83988,Application for Permit to Drill,PDF
-2586,-84485,Application for Permit to Drill,PDF
-2738,-84961,Application for Permit to Drill,PDF
-2793,-86452,Application for Permit to Drill,PDF
-2821,-87021,Application for Permit to Drill,PDF
-2819,-87023,Application for Permit to Drill,PDF
-2841,-87744,Application for Permit to Drill,PDF
-2853,-88470,Application for Permit to Drill,PDF
-2854,-88472,Application for Permit to Drill,PDF
-2882,-89692,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2882,-89645,Directional Program,pdf
-2882,-89695,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2882,-89694,Proposed Wellbore Schematic,pdf
-2882,-89693,Engineering Calculation,pdf
-3502,-114815,Proposed Well Location Plat,pdf
-3502,-114816,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3502,-114817,Directional Program,pdf
-3502,-114844,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3502,-114843,Proposed Wellbore Schematic,pdf
-3502,-114820,Safe Welding Area Drawing,pdf
-3502,-114821,ABS/DNV Certificate,pdf
-3502,-114835,Engineering Calculation,pdf
-3502,-114823,BOP & Diverter Schematics with Operating Procedures,pdf
-3502,-114824,Rig Picture and Drawing,pdf
-3502,-114825,Moored Drilling Rig Operations Parameters 7 26 06,pdf
-3502,-114826,Anchor Pattern,pdf
-3502,-114828,USCG Certification,pdf
-3502,-114829,Revised Mooring Pattern 7 26 06,pdf
-3502,-114830,Ocean Star Auxiliary Mooring System 7 26 06,pdf
-3502,-114831,95F Analysis 7 26 06,pdf
-3502,-114832,Station Keeping on Moored Rigs Alert Guidelines 7 26 06,pdf
-3502,-114833,Station Keeping Guidelines for Moored Rigs 7 26 06,pdf
-3502,-114834,MMS 123S Attachment,pdf
-3476,-115158,Application for Permit to Drill,PDF
-3502,-115507,Application for Permit to Drill,PDF
-3507,-116142,Revised MMS 123S 8 29 06,pdf
-3485,-116516,API 95F - Risk Assessment,pdf
-3538,-117372,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3529,-116379,Revision 5 updated worksheets,pdf
-3546,-116885,Proposed Well Location Plat,pdf
-3546,-116886,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3546,-116887,Directional Program,pdf
-3030,-95155,Proposed Well Location Plat,pdf
-3030,-96522,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3030,-95104,Directional Program,pdf
-3030,-96524,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3030,-96525,Proposed Wellbore Schematic,pdf
-3030,-96523,Engineering Calculation,pdf
-3030,-95109,BOP & Diverter Schematics with Operating Procedures,pdf
-2921,-95204,Application for Permit to Drill,PDF
-3025,-95228,Application for Permit to Drill,PDF
-2976,-95312,Application for Permit to Drill,PDF
-3030,-95115,NTL 2006-G09 Requirements,pdf
-3035,-95720,Diverter Target Flange,pdf
-3049,-95783,Proposed Well Location Plat,pdf
-3049,-95784,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3049,-95785,Directional Program,pdf
-3049,-95786,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3049,-95787,Proposed Wellbore Schematic,pdf
-3049,-95836,Engineering Calculation,pdf
-3049,-95835,BOP & Diverter Schematics with Operating Procedures,pdf
-3049,-95791,Typical 6in Ball Valve,pdf
-3051,-95874,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3051,-95875,Directional Program,pdf
-3051,-95876,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3051,-95877,Proposed Wellbore Schematic,pdf
-3051,-95878,Engineering Calculation,pdf
-3051,-95879,BOP & Diverter Schematics with Operating Procedures,pdf
-3051,-95880,+10 Valve Schematic,pdf
-3051,-95881,Location Plat - Public Information,pdf
-3043,-95919,APD Spreadsheet,pdf
-3043,-95920,Rig Fitness Requirements,pdf
-1236,-95921,Proposed TA procedures,pdf
-3043,-95922,+10 Ball Valve,pdf
-3055,-96065,Proposed Well Location Plat,pdf
-3055,-96066,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3055,-96067,Directional Program,pdf
-3055,-96068,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2225,-77138,Station Keeping Mooring Information,pdf
-2562,-77528,Proposed Well Location Plat,pdf
-2562,-77530,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2562,-77533,Directional Program,pdf
-2562,-77535,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2562,-77529,Proposed Wellbore Schematic,pdf
-2562,-77544,Engineering Calculation,pdf
-2562,-77636,BOP & Diverter Schematics with Operating Procedures,pdf
-2226,-78875,Application for Permit to Drill,PDF
-2562,-77561,ABS/DNV Certificate,pdf
-2562,-77645,Additional Safety Remarks,pdf
-2577,-77938,Application for Permit to Drill,PDF
-2534,-77939,Application for Permit to Drill,PDF
-2558,-77604,Supplemental APD Information Sheet,pdf
-2614,-83349,Application for Permit to Drill,PDF
-2873,-90157,Application for Permit to Drill,PDF
-2924,-91017,EC 269 #1 Worksheet NTL 2006 G09,pdf
-2924,-91018,EC 269 #1 Contractor Certification of Reciept of Data,pdf
-2924,-91022,EC 269 #1 Gorilla III Preload Procedure,pdf
-2686,-83127,Application for Permit to Drill,PDF
-2892,-91080,Application for Permit to Drill,PDF
-2936,-91391,Proposed Well Location Plat,pdf
-2936,-91379,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2932,-91169,+10 Information,pdf
-2932,-91170,OSFR Approval,pdf
-2932,-91172,MMS Operating Statement,pdf
-2932,-91173,NTL 2006-G09,pdf
-2932,-91174,APD Supplemental Information Spreadsheet,pdf
-2935,-94053,Proposed Well Location Plat,pdf
-2935,-91334,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2935,-91351,Directional Program,pdf
-2935,-91352,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2935,-91339,Proposed Wellbore Schematic,pdf
-2932,-91164,Proposed Well Location Plat,pdf
-2932,-91158,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2932,-91165,Directional Program,pdf
-2932,-91166,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2932,-91163,Proposed Wellbore Schematic,pdf
-2932,-91161,Engineering Calculation,pdf
-2932,-91234,BOP & Diverter Schematics with Operating Procedures,pdf
-2935,-91355,Safe Welding Area Drawing,pdf
-2935,-91354,ABS/DNV Certificate,pdf
-2935,-91335,Engineering Calculation,pdf
-2935,-91353,BOP & Diverter Schematics with Operating Procedures,pdf
-2935,-91356,U.S. Coast Guard Certificate,pdf
-2936,-91381,Directional Program,pdf
-2936,-91386,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2936,-91382,Proposed Wellbore Schematic,pdf
-2936,-91377,Engineering Calculation,pdf
-2882,-89649,BOP & Diverter Schematics with Operating Procedures,pdf
-2882,-89650,WC 386 EPA NOI,pdf
-2883,-89667,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2883,-89669,directional,pdf
-2882,-89696,Current WBS,pdf
-2879,-90819,Application for Permit to Drill,PDF
-2936,-91387,BOP & Diverter Schematics with Operating Procedures,pdf
-2936,-91344,PUBLIC INFORMATION - LOCATION PLAT,pdf
-2936,-91345,DIVERTER,pdf
-2936,-91346,APD FORM,pdf
-2936,-91347,RENTAL BOP,pdf
-2936,-91348,CEMENT CALCULATIONS,pdf
-2936,-91349,WAIVERS,pdf
-2935,-91357,(+) 10 valve,pdf
-2682,-91371,B003 Grid,pdf
-2936,-91388,"ENSCO 74 DIVERTER DESCRIPTION (MMS), REVISED",pdf
-3097,-97274,Proposed Well Location Plat,pdf
-3097,-102930,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3097,-97275,Directional Program,pdf
-3097,-97290,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3097,-97273,Proposed Wellbore Schematic,pdf
-2938,-91406,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2938,-91407,Current Well Bore Schematic,pdf
-2938,-91408,<Directional Program>,pdf
-2938,-91409,MMS 123S,pdf
-2938,-91410,Casing Design,pdf
-2938,-91411,Proposed Well Bore Schematic,pdf
-3097,-97310,Engineering Calculation,pdf
-3097,-101943,BOP & Diverter Schematics with Operating Procedures,pdf
-2521,-76367,Application for Permit to Drill,PDF
-2736,-83854,Directional Program,pdf
-2736,-83855,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2736,-83852,Proposed Wellbore Schematic,pdf
-3546,-116888,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3546,-116914,Proposed Wellbore Schematic,pdf
-3546,-116890,ABS/DNV Certificate,pdf
-3546,-116913,Engineering Calculation,pdf
-3546,-116892,BOP & Diverter Schematics with Operating Procedures,pdf
-3546,-116893,U.S. Coast Guard Certificate,pdf
-3546,-116895,ABS Interim MODU Safety Certificate,pdf
-3546,-116896,Ensco 7500 Watch Circle,pdf
-3546,-116897,ABS Interim Class Certificate,pdf
-3546,-116900,ABS International Oil Pollution Prevention Certificate,pdf
-3527,-116146,Proposed Well Location Plat,pdf
-3527,-117435,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3527,-116147,Directional Program,pdf
-3527,-116148,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3527,-117452,Proposed Wellbore Schematic,pdf
-3527,-116145,Engineering Calculation,pdf
-3527,-117547,BOP & Diverter Schematics with Operating Procedures,pdf
-3527,-116143,Mooring Risk Analysis,pdf
-3547,-117018,Proposed Well Location Plat,pdf
-3547,-116997,Directional Program,pdf
-3547,-117003,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3547,-116996,Proposed Wellbore Schematic,pdf
-2689,-83365,+10 Ball Valve,pdf
-2603,-81449,Application for Permit to Drill,PDF
-1488,-81364,Application for Permit to Drill,PDF
-2669,-81365,Application for Permit to Drill,PDF
-2681,-82479,Application for Permit to Drill,PDF
-2680,-82481,Application for Permit to Drill,PDF
-2671,-83505,Application for Permit to Drill,PDF
-2695,-83064,Application for Permit to Drill,PDF
-2736,-83851,Supplemental APD Form,pdf
-2736,-83853,Proposed Well Location Plat,pdf
-2736,-83857,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3562,-117766,REVISED Info sheet with new BOP test pressures,pdf
-3547,-117005,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3569,-120138,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3051,-95873,Proposed Well Location Plat,pdf
-3547,-117006,Engineering Calculation,pdf
-3547,-117016,BOP & Diverter Schematics with Operating Procedures,pdf
-3548,-117270,SM 80 A2ST2 Compliance NTL 2006-G09,pdf
-3548,-117399,SM 80 A02ST2  AST Record of Payment 09-06-06,pdf
-3461,-117422,Application for Permit to Drill,PDF
-3431,-117458,Application for Permit to Drill,PDF
-3552,-117579,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3553,-117496,Proposed Well Location Plat,pdf
-3553,-117497,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-3553,-117498,Directional Program,pdf
-3553,-117499,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-3553,-117500,Proposed Wellbore Schematic,pdf
-2989,-93138,Proposed Well Location Plat,pdf
-2989,-93171,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2989,-93140,Directional Program,pdf
-2989,-93141,"Pore pressure (PP), Mud Weight (MW), and Fracture Gradient (FG) Plot",pdf
-2989,-93173,Proposed Wellbore Schematic,pdf
-2989,-93172,Engineering Calculation,pdf
-2989,-93144,BOP & Diverter Schematics with Operating Procedures,pdf
-2989,-93145,"30"" Diverter",pdf
-2989,-93146,"16-3/4"" Blind Shear RAM",pdf
-2997,-93469,Proposed Well Location Plat,pdf
-2997,-93470,"Drilling prognosis and summary of drilling, cementing, and mud processes",pdf
-2997,-93471,Directional Program,pdf
